"City of Baytown, Proposition No. 15",0012,227,133,360,716,50.28%,170,48,218
"City of Baytown, Proposition No. 15",0013,1133,439,1572,2808,55.98%,833,242,1075
"City of Baytown, Proposition No. 15",0028,1436,459,1895,2768,68.46%,1014,216,1230
"City of Baytown, Proposition No. 15",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 15",0099,568,311,879,2040,43.09%,437,105,542
"City of Baytown, Proposition No. 15",0100,427,324,751,1754,42.82%,339,132,471
"City of Baytown, Proposition No. 15",0102,493,267,760,1910,39.79%,314,87,401
"City of Baytown, Proposition No. 15",0103,287,82,369,664,55.57%,174,49,223
"City of Baytown, Proposition No. 15",0248,408,405,813,2122,38.31%,321,108,429
"City of Baytown, Proposition No. 15",0249,1011,477,1488,2636,56.45%,815,197,1012
"City of Baytown, Proposition No. 15",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 15",0386,599,186,785,1249,62.85%,402,113,515
"City of Baytown, Proposition No. 15",0387,2,17,19,7,271.43%,6,4,10
"City of Baytown, Proposition No. 15",0414,1407,577,1984,3360,59.05%,1034,284,1318
"City of Baytown, Proposition No. 15",0456,1168,556,1724,3091,55.77%,829,241,1070
"City of Baytown, Proposition No. 15",0532,452,184,636,1039,61.21%,316,98,414
"City of Baytown, Proposition No. 15",0533,317,207,524,1069,49.02%,262,68,330
"City of Baytown, Proposition No. 15",0739,905,448,1353,2526,53.56%,646,180,826
"City of Baytown, Proposition No. 15",0740,43,39,82,148,55.41%,25,13,38
"City of Baytown, Proposition No. 15",Totals:,10884,5111,15995,29907,,7937,2185,10122
