Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Dave Martin,Elizabeth C. Perez,Lonnie Allsbrooks,Totals
"City of Houston, Council Member, District E",0013,0,2,2,3,66.67%,0,0,0,0
"City of Houston, Council Member, District E",0081,0,3,3,1,300.00%,2,1,0,3
"City of Houston, Council Member, District E",0092,1105,534,1639,2228,73.56%,515,344,80,939
"City of Houston, Council Member, District E",0097,0,1,1,0,0.00%,1,0,0,1
"City of Houston, Council Member, District E",0098,874,607,1481,2403,61.63%,499,272,105,876
"City of Houston, Council Member, District E",0102,0,1,1,0,0.00%,0,1,0,1
"City of Houston, Council Member, District E",0141,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0162,232,262,494,1249,39.55%,62,195,22,279
"City of Houston, Council Member, District E",0174,0,3,3,0,0.00%,2,0,0,2
"City of Houston, Council Member, District E",0181,41,e,514,930,1968,47.26%,118,447,24,589
"City of Houston, Council Member, District E",0199,1407,773,2180,3159,69.01%,941,387,127,1455
"City of Houston, Council Member, District E",0220,0,5,5,0,0.00%,2,2,1,5
"City of Houston, Council Member, District E",0221,699,611,1310,2489,52.63%,210,615,37,862
"City of Houston, Council Member, District E",0266,552,542,1094,2119,51.63%,241,372,64,677
"City of Houston, Council Member, District E",0280,303,360,663,1515,43.76%,95,268,36,399
"City of Houston, Council Member, District E",0289,374,397,771,1510,51.06%,116,335,29,480
"City of Houston, Council Member, District E",0306,1013,323,1336,1847,72.33%,457,283,40,780
"City of Houston, Council Member, District E",0328,344,270,614,1361,45.11%,84,241,36,361
"City of Houston, Council Member, District E",0329,405,307,712,1367,52.08%,93,324,25,442
"City of Houston, Council Member, District E",0340,1446,748,2194,3162,69.39%,856,442,134,1432
"City of Houston, Council Member, District E",0346,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0347,96,59,155,341,45.45%,26,57,7,90
"City of Houston, Council Member, District E",0349,1,0,1,3,33.33%,0,0,0,0
"City of Houston, Council Member, District E",0351,250,59,309,412,75.00%,123,49,11,183
"City of Houston, Council Member, District E",0354,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0357,1633,709,2342,3371,69.47%,965,453,133,1551
"City of Houston, Council Member, District E",0368,3,0,3,2,150.00%,1,0,1,2
"City of Houston, Council Member, District E",0375,14,5,19,69,27.54%,2,7,0,9
"City of Houston, Council Member, District E",0380,2441,1150,3591,4633,77.51%,819,756,221,1796
"City of Houston, Council Member, District E",0381,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0382,0,4,4,0,0.00%,1,1,0,2
"City of Houston, Council Member, District E",0388,0,6,6,0,0.00%,1,2,1,4
"City of Houston, Council Member, District E",0391,655,253,908,1326,68.48%,275,232,35,542
"City of Houston, Council Member, District E",0393,345,318,664,1206,55.06%,136,211,49,396
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Dave Martin,Elizabeth C. Perez,Lonnie Allsbrooks,Totals
"City of Houston, Council Member, District E",0413,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0416,919,850,1769,2956,59.84%,436,518,83,1037
"City of Houston, Council Member, District E",0459,1637,476,2113,2950,71.63%,1064,363,99,1526
"City of Houston, Council Member, District E",0460,0,0,0,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0469,2039,638,2677,3779,70.84%,1162,428,143,1733
"City of Houston, Council Member, District E",0473,914,442,1356,1827,74.22%,418,321,57,796
"City of Houston, Council Member, District E",0527,0,2,2,0,0.00%,0,0,0,0
"City of Houston, Council Member, District E",0563,1599,415,2114,2969,71.20%,941,351,89,1381
"City of Houston, Council Member, District E",0568,1628,837,2465,3487,70.69%,740,586,97,1423
"City of Houston, Council Member, District E",0590,1158,463,1621,2136,75.89%,753,258,74,1085
"City of Houston, Council Member, District E",0598,50,39,89,154,57.79%,26,18,6,50
"City of Houston, Council Member, District E",0599,5,0,5,16,31.25%,2,2,0,4
"City of Houston, Council Member, District E",0604,29,9,38,64,59.38%,12,11,5,28
