Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"City of Houston, Proposition A",0001,806,516,1322,2155,61.35%,750,342,1092
"City of Houston, Proposition A",0002,753,407,1160,1890,61.38%,672,264,936
"City of Houston, Proposition A",0003,660,474,1134,1519,74.65%,680,295,975
"City of Houston, Proposition A",0004,676,534,1210,1652,73.24%,745,316,1061
"City of Houston, Proposition A",0005,472,518,990,1376,71.95%,589,277,866
"City of Houston, Proposition A",0007,495,124,619,1058,58.51%,207,132,339
"City of Houston, Proposition A",0008,661,430,1091,1706,63.95%,568,346,914
"City of Houston, Proposition A",0009,472,382,854,1736,49.19%,444,195,639
"City of Houston, Proposition A",0010,499,245,744,1722,43.21%,363,137,500
"City of Houston, Proposition A",0011,418,335,753,1830,41.15%,353,163,516
"City of Houston, Proposition A",0013,0,2,2,3,66.67%,0,0,0
"City of Houston, Proposition A",0014,758,606,1364,1848,73.81%,837,383,1220
"City of Houston, Proposition A",0016,457,175,632,947,66.74%,382,155,537
"City of Houston, Proposition A",0017,346,326,672,1105,60.81%,364,175,539
"City of Houston, Proposition A",0018,550,483,1033,1396,74.00%,606,290,896
"City of Houston, Proposition A",0019,423,261,684,995,68.74%,395,173,568
"City of Houston, Proposition A",0020,678,470,1148,3074,37.35%,631,289,920
"City of Houston, Proposition A",0021,419,230,649,1013,64.07%,355,154,509
"City of Houston, Proposition A",0022,888,554,1442,2524,57.13%,743,290,1033
"City of Houston, Proposition A",0023,99,65,164,512,32.03%,86,25,111
"City of Houston, Proposition A",0024,225,121,346,611,56.63%,164,57,221
"City of Houston, Proposition A",0025,244,304,548,1062,51.60%,264,110,374
"City of Houston, Proposition A",0026,463,486,949,1843,51.49%,538,234,772
"City of Houston, Proposition A",0027,821,695,1516,3005,50.45%,831,321,1152
"City of Houston, Proposition A",0030,798,588,1386,2034,68.14%,749,313,1062
"City of Houston, Proposition A",0031,911,526,1437,2518,57.07%,711,271,982
"City of Houston, Proposition A",0032,796,556,1352,2171,62.28%,773,336,1109
"City of Houston, Proposition A",0033,1479,843,2322,3540,65.59%,1370,605,1975
"City of Houston, Proposition A",0034,1012,749,1761,2676,65.81%,1105,418,1523
"City of Houston, Proposition A",0035,3,0,3,10,30.00%,1,1,2
"City of Houston, Proposition A",0036,993,479,1472,2868,51.32%,700,375,1075
"City of Houston, Proposition A",0037,801,479,1280,1885,67.90%,788,320,1108
"City of Houston, Proposition A",0038,1241,673,1914,2703,70.81%,1178,474,1652
"City of Houston, Proposition A",0039,1063,723,1786,2726,65.52%,1172,382,1554
"City of Houston, Proposition A",0040,239,135,374,524,71.37%,219,100,319
"City of Houston, Proposition A",0042,505,139,644,1121,57.45%,266,116,382
"City of Houston, Proposition A",0043,520,372,892,1644,54.26%,438,238,676
"City of Houston, Proposition A",0044,492,314,806,1976,40.79%,435,161,596
"City of Houston, Proposition A",0045,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0046,538,433,971,2468,39.34%,563,174,737
"City of Houston, Proposition A",0047,535,345,880,1624,54.19%,457,154,611
"City of Houston, Proposition A",0048,371,193,564,992,56.85%,268,113,381
"City of Houston, Proposition A",0049,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0052,970,620,1590,2299,69.16%,915,420,1335
"City of Houston, Proposition A",0053,1102,884,1986,2808,70.73%,1164,541,1705
"City of Houston, Proposition A",0054,606,402,1008,1408,71.59%,568,294,862
"City of Houston, Proposition A",0055,441,394,835,1305,63.98%,476,216,692
"City of Houston, Proposition A",0056,548,307,855,1285,66.54%,398,319,717
"City of Houston, Proposition A",0057,1273,955,2229,3062,72.80%,1365,628,1993
"City of Houston, Proposition A",0058,881,747,1628,2521,64.58%,910,446,1356
"City of Houston, Proposition A",0059,914,751,1665,2283,72.93%,1011,417,1428
"City of Houston, Proposition A",0060,839,664,1503,2263,66.42%,970,315,1285
"City of Houston, Proposition A",0061,411,519,930,2189,42.49%,457,188,645
"City of Houston, Proposition A",0062,419,528,947,2190,43.24%,485,193,678
"City of Houston, Proposition A",0064,410,420,830,2090,39.71%,428,145,573
"City of Houston, Proposition A",0065,404,532,936,2178,42.98%,478,166,644
"City of Houston, Proposition A",0066,172,279,451,1090,41.38%,235,58,293
"City of Houston, Proposition A",0067,664,574,1238,2742,45.15%,632,268,900
"City of Houston, Proposition A",0068,1198,486,1684,2782,60.53%,749,341,1090
"City of Houston, Proposition A",0069,218,284,502,1303,38.53%,228,105,333
"City of Houston, Proposition A",0070,1633,726,2359,3142,75.08%,1243,755,1998
"City of Houston, Proposition A",0071,1419,948,2367,3662,64.64%,1295,659,1954
"City of Houston, Proposition A",0072,441,562,1003,1882,53.29%,544,233,777
"City of Houston, Proposition A",0073,499,496,995,1494,66.60%,515,359,874
"City of Houston, Proposition A",0074,0,1,1,0,0.00%,0,0,0
"City of Houston, Proposition A",0075,481,370,851,1329,64.03%,471,254,725
"City of Houston, Proposition A",0076,731,480,1211,2009,60.28%,522,386,908
"City of Houston, Proposition A",0077,168,81,249,565,44.07%,113,54,167
"City of Houston, Proposition A",0078,359,344,703,1479,47.53%,395,167,562
"City of Houston, Proposition A",0079,511,717,1228,2959,41.50%,610,238,848
"City of Houston, Proposition A",0080,1159,481,1640,2712,60.47%,749,419,1168
"City of Houston, Proposition A",0081,0,3,3,1,300.00%,3,0,3
"City of Houston, Proposition A",0083,126,92,218,491,44.40%,102,66,168
"City of Houston, Proposition A",0085,730,548,1278,2079,61.47%,676,272,948
"City of Houston, Proposition A",0086,1054,689,1743,2637,66.10%,972,483,1455
"City of Houston, Proposition A",0092,1,1105,534,1639,2228,73.56%,790,568,1358
"City of Houston, Proposition A",0094,148,104,252,537,46.93%,137,61,198
"City of Houston, Proposition A",0095,1684,671,2355,3179,74.08%,1173,801,1974
"City of Houston, Proposition A",0096,364,237,601,1241,48.43%,320,102,422
"City of Houston, Proposition A",0097,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition A",0098,874,607,1481,2403,61.63%,489,597,1086
"City of Houston, Proposition A",0101,149,140,289,722,40.03%,154,44,198
"City of Houston, Proposition A",0102,0,1,1,0,0.00%,0,1,1
"City of Houston, Proposition A",0104,992,238,1230,1847,66.59%,425,276,701
"City of Houston, Proposition A",0105,462,453,915,2153,42.50%,464,218,682
"City of Houston, Proposition A",0106,0,3,3,1,300.00%,0,2,2
"City of Houston, Proposition A",0107,412,441,853,1905,44.78%,416,181,597
"City of Houston, Proposition A",0108,0,3,3,0,0.00%,0,2,2
"City of Houston, Proposition A",0109,1101,368,1469,2663,55.16%,581,428,1009
"City of Houston, Proposition A",0111,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0115,598,305,903,1764,51.19%,356,186,542
"City of Houston, Proposition A",0117,398,462,860,1878,45.79%,410,238,648
"City of Houston, Proposition A",0118,460,148,608,743,81.83%,287,232,519
"City of Houston, Proposition A",0119,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0120,1197,632,1829,2986,61.25%,883,605,1488
"City of Houston, Proposition A",0121,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0122,895,349,1244,2199,56.57%,576,240,816
"City of Houston, Proposition A",0123,440,350,790,1356,58.26%,505,159,664
"City of Houston, Proposition A",0124,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0125,0,3,3,0,0.00%,0,1,1
"City of Houston, Proposition A",0126,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0129,2294,1449,3743,5495,68.12%,1920,1119,3039
"City of Houston, Proposition A",0130,1201,523,1724,2240,76.96%,761,663,1424
"City of Houston, Proposition A",0131,257,124,381,906,42.05%,164,115,279
"City of Houston, Proposition A",0132,1119,397,1516,2449,61.90%,675,312,987
"City of Houston, Proposition A",0133,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0134,419,392,811,1444,56.16%,386,275,661
"City of Houston, Proposition A",0135,1424,634,2058,2750,74.84%,1083,647,1730
"City of Houston, Proposition A",0136,981,451,1432,2111,67.84%,763,356,1119
"City of Houston, Proposition A",0137,305,193,498,740,67.30%,296,127,423
"City of Houston, Proposition A",0138,661,259,920,1749,52.60%,375,167,542
"City of Houston, Proposition A",0139,1290,747,2037,2746,74.18%,1188,503,1691
"City of Houston, Proposition A",0140,1311,683,1994,3104,64.24%,1134,478,1612
"City of Houston, Proposition A",0141,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0142,212,171,383,870,44.02%,196,83,279
"City of Houston, Proposition A",0143,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0144,476,204,680,1143,59.49%,267,125,392
"City of Houston, Proposition A",0145,663,245,908,1580,57.47%,378,163,541
"City of Houston, Proposition A",0146,759,614,1373,1953,70.30%,793,389,1182
"City of Houston, Proposition A",0147,1255,485,1740,2813,61.86%,822,444,1266
"City of Houston, Proposition A",0148,908,924,1832,2467,74.26%,1152,460,1612
"City of Houston, Proposition A",0149,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0150,539,207,746,1212,61.55%,292,159,451
"City of Houston, Proposition A",0151,316,148,464,846,54.85%,175,89,264
"City of Houston, Proposition A",0152,482,601,1083,2695,40.19%,559,232,791
