Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"City of Houston, Proposition D",0001,806,516,1322,2155,61.35%,714,372,1086
"City of Houston, Proposition D",0002,753,407,1160,1890,61.38%,603,331,934
"City of Houston, Proposition D",0003,660,474,1134,1519,74.65%,651,328,979
"City of Houston, Proposition D",0004,676,534,1210,1652,73.24%,734,323,1057
"City of Houston, Proposition D",0005,472,518,990,1376,71.95%,563,297,860
"City of Houston, Proposition D",0007,495,124,619,1058,58.51%,217,120,337
"City of Houston, Proposition D",0008,661,430,1091,1706,63.95%,519,389,908
"City of Houston, Proposition D",0009,472,382,854,1736,49.19%,439,190,629
"City of Houston, Proposition D",0010,499,245,744,1722,43.21%,341,145,486
"City of Houston, Proposition D",0011,418,335,753,1830,41.15%,348,147,495
"City of Houston, Proposition D",0013,0,2,2,3,66.67%,0,0,0
"City of Houston, Proposition D",0014,758,606,1364,1848,73.81%,777,432,1209
"City of Houston, Proposition D",0016,457,175,632,947,66.74%,371,168,539
"City of Houston, Proposition D",0017,346,326,672,1105,60.81%,349,192,541
"City of Houston, Proposition D",0018,550,483,1033,1396,74.00%,552,342,894
"City of Houston, Proposition D",0019,423,261,684,995,68.74%,366,210,576
"City of Houston, Proposition D",0020,678,470,1148,3074,37.35%,601,316,917
"City of Houston, Proposition D",0021,419,230,649,1013,64.07%,316,184,500
"City of Houston, Proposition D",0022,888,554,1442,2524,57.13%,736,275,1011
"City of Houston, Proposition D",0023,99,65,164,512,32.03%,91,22,113
"City of Houston, Proposition D",0024,225,121,346,611,56.63%,159,63,222
"City of Houston, Proposition D",0025,244,304,548,1062,51.60%,281,95,376
"City of Houston, Proposition D",0026,463,486,949,1843,51.49%,512,246,758
"City of Houston, Proposition D",0027,821,695,1516,3005,50.45%,828,311,1139
"City of Houston, Proposition D",0030,798,588,1386,2034,68.14%,702,352,1054
"City of Houston, Proposition D",0031,911,526,1437,2518,57.07%,707,242,949
"City of Houston, Proposition D",0032,796,556,1352,2171,62.28%,672,434,1106
"City of Houston, Proposition D",0033,1479,843,2322,3540,65.59%,1315,668,1983
"City of Houston, Proposition D",0034,1012,749,1761,2676,65.81%,1090,431,1521
"City of Houston, Proposition D",0035,3,0,3,10,30.00%,1,1,2
"City of Houston, Proposition D",0036,993,479,1472,2868,51.32%,660,380,1040
"City of Houston, Proposition D",0037,801,479,1280,1885,67.90%,741,358,1099
"City of Houston, Proposition D",0038,1241,673,1914,2703,70.81%,1152,511,1663
"City of Houston, Proposition D",0039,1063,723,1786,2726,65.52%,1187,369,1556
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"City of Houston, Proposition D",0040,239,135,374,524,71.37%,205,109,314
"City of Houston, Proposition D",0042,505,139,644,1121,57.45%,291,86,377
"City of Houston, Proposition D",0043,520,372,892,1644,54.26%,408,272,680
"City of Houston, Proposition D",0044,492,314,806,1976,40.79%,428,161,589
"City of Houston, Proposition D",0045,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition D",0046,538,433,971,2468,39.34%,545,179,724
"City of Houston, Proposition D",0047,535,345,880,1624,54.19%,474,132,606
