Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"City of Houston, Proposition E",0001,806,516,1322,2155,61.35%,615,476,1091
"City of Houston, Proposition E",0002,753,407,1160,1890,61,38%,475,458,933
"City of Houston, Proposition E",0003,660,474,1134,1519,74.65%,510,455,965
"City of Houston, Proposition E",0004,676,534,1210,1652,73.24%,596,447,1043
"City of Houston, Proposition E",0005,472,518,990,1376,71.95%,434,420,854
"City of Houston, Proposition E",0007,495,124,619,1058,58.51%,233,104,337
"City of Houston, Proposition E",0008,661,430,1091,1706,63.95%,418,484,902
"City of Houston, Proposition E",0009,472,382,854,1736,49.19%,425,208,633
"City of Houston, Proposition E",0010,499,245,744,1722,43.21%,319,177,496
"City of Houston, Proposition E",0011,418,335,753,1830,41.15%,344,159,503
"City of Houston, Proposition E",0013,0,2,2,3,66.67%,0,0,0
"City of Houston, Proposition E",0014,758,606,1364,1848,73.81%,518,681,1199
"City of Houston, Proposition E",0016,457,175,632,947,66.74%,310,225,535
"City of Houston, Proposition E",0017,346,326,672,1105,60.81%,291,239,530
"City of Houston, Proposition E",0018,550,483,1033,1396,74.00%,456,426,882
"City of Houston, Proposition E",0019,423,261,684,995,68.74%,301,269,570
"City of Houston, Proposition E",0020,678,470,1148,3074,37.35%,547,370,917
"City of Houston, Proposition E",0021,419,230,649,1013,64.07%,317,192,509
"City of Houston, Proposition E",0022,888,554,1442,2524,57.13%,733,287,1020
"City of Houston, Proposition E",0023,99,65,164,512,32.03%,88,23,111
"City of Houston, Proposition E",0024,225,121,346,611,56.63%,149,77,226
"City of Houston, Proposition E",0025,244,304,548,1062,51.60%,298,78,376
"City of Houston, Proposition E",0026,463,486,949,1843,51.49%,461,292,753
"City of Houston, Proposition E",0027,821,695,1516,3005,50.45%,738,396,1134
"City of Houston, Proposition E",0030,798,588,1386,2034,68.14%,672,382,1054
"City of Houston, Proposition E",0031,911,526,1437,2518,57.07%,782,196,978
"City of Houston, Proposition E",0032,796,556,1352,2171,62.28%,553,554,1107
"City of Houston, Proposition E",0033,1479,843,2322,3540,65.59%,1057,916,1973
"City of Houston, Proposition E",0034,1012,749,1761,2676,65.81%,973,533,1506
"City of Houston, Proposition E",0035,3,0,3,10,30.00%,1,1,2
"City of Houston, Proposition E",0036,993,479,1472,2868,51,32%,632,421,1053
"City of Houston, Proposition E",0037,801,479,1280,1885,67.90%,641,450,1091
"City of Houston, Proposition E",0038,1241,673,1914,2703,70.81%,950,682,1632
"City of Houston, Proposition E",0039,1063,723,1786,2726,65.52%,1034,508,1542
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"City of Houston, Proposition E",0040,239,135,374,524,71.37%,165,148,313
"City of Houston, Proposition E",0042,505,139,644,1121,57.45%,289,82,371
"City of Houston, Proposition E",0043,520,372,892,1644,54.26%,344,336,680
"City of Houston, Proposition E",0044,492,314,806,1976,40.79%,396,192,588
"City of Houston, Proposition E",0045,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition E",0046,538,433,971,2468,39.34%,520,211,731
"City of Houston, Proposition E",0047,535,345,880,1624,54.19%,506,102,608
"City of Houston, Proposition E",0048,371,193,564,992,56.85%,265,114,379
"City of Houston, Proposition E",0049,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition E",0052,970,620,1590,2299,69.16%,658,675,1333
"City of Houston, Proposition E",0053,1102,884,1986,2808,70.73%,881,798,1679
"City of Houston, Proposition E",0054,606,402,1008,1408,71.59%,410,448,858
"City of Houston, Proposition E",0055,441,394,835,1305,63.98%,354,336,690
"City of Houston, Proposition E",0056,548,307,855,1285,66.54%,273,435,708
"City of Houston, Proposition E",0057,1273,955,2229,3062,72.80%,1047,928,1975
"City of Houston, Proposition E",0058,881,747,1628,2521,64.58%,646,695,1341
"City of Houston, Proposition E",0059,914,751,1665,2283,72.93%,798,621,1419
"City of Houston, Proposition E",0060,839,664,1503,2263,66.42%,807,481,1288
"City of Houston, Proposition E",0061,411,519,930,2189,42.49%,420,235,655
"City of Houston, Proposition E",0062,419,528,947,2190,43.24%,430,240,670
"City of Houston, Proposition E",0064,410,420,830,2090,39.71%,381,188,569
"City of Houston, Proposition E",0065,404,532,936,2178,42.98%,438,202,640
"City of Houston, Proposition E",0066,172,279,451,1090,41.38%,210,83,293
"City of Houston, Proposition E",0067,664,574,1238,2742,45.15%,605,291,896
"City of Houston, Proposition E",0068,1198,486,1684,2782,60.53%,847,253,1100
"City of Houston, Proposition E",0069,218,284,502,1303,38.53%,215,110,325
