Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0001,808,518,1322,2155,81.35%,788,289,1055
"City of Houston, Proposition No. 1",0002,753,407,1180,1890,81.38%,893,205,898
"City of Houston, Proposition No. 1",0003,880,474,1134,1519,74.85%,708,207,913
"City of Houston, Proposition No. 1",0004,878,534,1210,1852,73.24%,814,198,1012
"City of Houston, Proposition No. 1",0005,472,518,990,1378,71.95%,830,179,809
"City of Houston, Proposition No. 1",0008,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0007,495,124,819,1058,58.51%,172,139,311
"City of Houston, Proposition No. 1",0008,881,430,1091,1708,83.95%,584,282,888
"City of Houston, Proposition No. 1",0009,472,382,854,1738,49.19%,377,218,593
"City of Houston, Proposition No. 1",0010,499,245,744,1722,43.21%,291,179,470
"City of Houston, Proposition No. 1",0011,418,335,753,1830,41.15%,305,182,487
"City of Houston, Proposition No. 1",0013,0,2,2,3,88.87%,0,0,0
"City of Houston, Proposition No. 1",0014,758,808,1384,1848,73.81%,858,302,1158
"City of Houston, Proposition No. 1",0018,457,175,832,947,88.74%,417,103,520
"City of Houston, Proposition No. 1",0017,348,328,872,1105,80.81%,340,170,510
"City of Houston, Proposition No. 1",0018,550,483,1033,1398,74.00%,874,187,881
"City of Houston, Proposition No. 1",0019,423,281,884,995,88.74%,429,120,549
"City of Houston, Proposition No. 1",0020,878,470,1148,3074,37.35%,880,194,874
"City of Houston, Proposition No. 1",0021,419,230,849,1013,84.07%,378,113,489
"City of Houston, Proposition No. 1",0022,888,554,1442,2524,57.13%,872,322,994
"City of Houston, Proposition No. 1",0023,99,85,184,512,32.03%,75,38,113
"City of Houston, Proposition No. 1",0024,225,121,348,811,58.83%,137,81,218
"City of Houston, Proposition No. 1",0025,244,304,548,1082,51.80%,257,111,388
"City of Houston, Proposition No. 1",0028,483,488,949,1843,51.49%,491,248,737
