Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,LIB James C. Lancaster,GRN Carlos Villalobos,Totals
"Constable, Precinct 1",0001,806,516,1322,2155,61.35%,391,744,46,70,1251
"Constable, Precinct 1",0002,753,407,1160,1890,61,38%,508,484,55,39,1086
"Constable, Precinct 1",0003,660,474,1134,1519,74.65%,408,547,62,39,1056
"Constable, Precinct 1",0004,676,534,1210,1652,73.24%,397,637,57,45,1136
"Constable, Precinct 1",0005,472,518,990,1376,71.95%,348,481,46,35,910
"Constable, Precinct 1",0015,1144,1016,2160,2806,76.98%,1111,778,53,23,1965
"Constable, Precinct 1",0016,457,175,632,947,66.74%,274,271,29,13,587
"Constable, Precinct 1",0030,798,588,1386,2034,68.14%,309,919,48,38,1314
"Constable, Precinct 1",0032,796,556,1352,2171,62.28%,595,547,84,23,1249
"Constable, Precinct 1",0033,1479,843,2322,3540,65.59%,832,1114,117,75,2138
"Constable, Precinct 1",0034,1012,749,1761,2676,65.81%,421,1088,89,78,1676
"Constable, Precinct 1",0037,801,479,1280,1885,67.90%,379,718,53,44,1194
"Constable, Precinct 1",0038,1241,673,1914,2703,70.81%,606,1018,77,56,1757
"Constable, Precinct 1",0039,1063,723,1786,2726,65.52%,453,1087,67,63,1670
"Constable, Precinct 1",0040,239,135,374,524,71,37%,167,153,13,7,340
"Constable, Precinct 1",0042,505,139,644,1121,57.45%,9,604,2,2,617
"Constable, Precinct 1",0043,520,372,892,1644,54.26%,386,384,31,33,834
"Constable, Precinct 1",0052,970,620,1590,2299,69.16%,739,645,63,29,1476
"Constable, Precinct 1",0053,1102,884,1986,2808,70.73%,745,945,87,63,1840
"Constable, Precinct 1",0054,606,402,1008,1408,71.59%,465,396,47,26,934
"Constable, Precinct 1",0055,441,394,835,1305,63.98%,300,404,43,29,776
"Constable, Precinct 1",0057,1273,956,2229,3062,72.80%,822,1097,94,76,2089
"Constable, Precinct 1",0058,881,747,1628,2521,64.58%,627,772,63,54,1516
"Constable, Precinct 1",0059,914,751,1665,2283,72.93%,632,784,63,56,1535
"Constable, Precinct 1",0060,839,664,1503,2263,66.42%,374,875,79,71,1399
"Constable, Precinct 1",0061,435,528,963,2250,42.80%,220,648,13,44,925
