Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris McDonald,"DEM Christopher (""Chris"") Diaz",Totals
"Constable, Precinct 2",0023,99,65,164,512,32.03%,35,123,158
"Constable, Precinct 2",0029,418,577,995,2659,37.42%,294,653,947
"Constable, Precinct 2",0036,993,479,1472,2868,51.32%,379,1014,1393
"Constable, Precinct 2",0076,814,569,1383,2328,59.41%,747,563,1310
"Constable, Precinct 2",0077,168,81,249,565,44.07%,51,183,234
"Constable, Precinct 2",0080,1159,481,1640,2712,60.47%,318,1255,1573
"Constable, Precinct 2",0081,540,309,849,1839,46.17%,242,578,820
"Constable, Precinct 2",0093,782,643,1425,3295,43.25%,470,881,1351
"Constable, Precinct 2",0094,148,104,252,537,46.93%,47,190,237
"Constable, Precinct 2",0134,419,392,811,1444,56.16%,342,423,765
"Constable, Precinct 2",0142,212,171,383,870,44.02%,87,272,359
"Constable, Precinct 2",0162,232,262,494,1249,39.55%,113,335,448
"Constable, Precinct 2",0163,778,635,1413,3054,46.27%,314,1062,1376
"Constable, Precinct 2",0164,505,304,809,1434,56.42%,12,769,781
"Constable, Precinct 2",0172,161,147,308,600,51.33%,102,186,288
"Constable, Precinct 2",0181,416,514,930,1968,47.26%,231,646,877
"Constable, Precinct 2",0188,307,378,685,1616,42.39%,238,420,658
"Constable, Precinct 2",0190,275,401,676,1720,39.30%,206,432,638
"Constable, Precinct 2",0191,196,313,509,1391,36.59%,157,331,488
"Constable, Precinct 2",0208,806,364,1170,2201,53.16%,248,887,1135
"Constable, Precinct 2",0211,710,686,1396,2797,49.91%,470,840,1310
"Constable, Precinct 2",0221,699,611,1310,2489,52.63%,498,723,1221
"Constable, Precinct 2",0229,152,207,359,811,44.27%,83,262,345
"Constable, Precinct 2",0231,562,471,1033,2219,46.55%,231,757,988
"Constable, Precinct 2",0257,553,571,1124,2403,46.77%,243,830,1073
"Constable, Precinct 2",0259,1210,460,1670,2408,69.35%,106,1504,1610
"Constable, Precinct 2",0275,567,410,977,1730,56.47%,149,786,935
"Constable, Precinct 2",0278,756,607,1363,2405,56.67%,669,630,1299
"Constable, Precinct 2",0280,303,360,663,1515,43.76%,217,401,618
"Constable, Precinct 2",0289,374,397,771,1510,51.06%,283,434,717
"Constable, Precinct 2",0301,450,655,1105,2397,46.10%,400,656,1056
"Constable, Precinct 2",0308,444,238,682,1266,53.87%,182,466,648
"Constable, Precinct 2",0328,344,270,614,1361,45.11%,213,373,586
"Constable, Precinct 2",0329,405,307,712,1367,52.08%,205,464,669
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris McDonald,"DEM Christopher (""Chris"") Diaz",Totals
"Constable, Precinct 2",0349,405,407,812,1315,61.75%,472,298,770
"Constable, Precinct 2",0373,61,16,77,159,48.43%,1,74,75
"Constable, Precinct 2",0374,139,187,326,748,43.58%,75,240,315
"Constable, Precinct 2",0378,559,521,1080,1777,60.78%,672,360,1032
"Constable, Precinct 2",0379,800,338,1138,2017,56.42%,81,1011,1092
"Constable, Precinct 2",0394,166,176,342,860,39.77%,128,193,321
