Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP David Cruzan,DEM Ken Jones,Totals
"Constable, Precinct 3",0007,495,124,619,1058,58.51%,14,589,603
"Constable, Precinct 3",0012,227,133,360,716,50.28%,176,176,352
"Constable, Precinct 3",0013,1140,443,1583,2823,56.08%,912,606,1518
"Constable, Precinct 3",0028,1446,465,1911,2782,68.69%,953,880,1833
"Constable, Precinct 3",0045,2434,1138,3572,6031,59.23%,493,2976,3469
"Constable, Precinct 3",0063,674,400,1074,1784,60.20%,722,333,1055
"Constable, Precinct 3",0083,2625,1181,3806,5598,67.99%,1791,1885,3676
"Constable, Precinct 3",0097,2393,764,3157,4566,69.14%,2063,1032,3095
"Constable, Precinct 3",0098,874,607,1481,2403,61.63%,1143,305,1448
"Constable, Precinct 3",0099,568,311,879,2040,43.09%,334,514,848
"Constable, Precinct 3",0100,427,324,751,1754,42.82%,301,436,737
"Constable, Precinct 3",0102,493,268,761,1910,39.84%,176,562,738
"Constable, Precinct 3",0103,1915,1065,2980,4751,62.72%,1317,1588,2905
"Constable, Precinct 3",0104,992,238,1230,1847,66.59%,22,1174,1196
"Constable, Precinct 3",0115,598,305,903,1764,51.19%,95,780,875
"Constable, Precinct 3",0141,181,143,324,872,37.16%,148,160,308
"Constable, Precinct 3",0150,539,207,746,1212,61.55%,18,709,727
"Constable, Precinct 3",0151,316,148,464,846,54.85%,20,422,442
"Constable, Precinct 3",0205,856,201,1057,1667,63.41%,18,1014,1032
"Constable, Precinct 3",0220,711,353,1064,2360,45.08%,518,520,1038
"Constable, Precinct 3",0248,408,405,813,2122,38.31%,177,596,773
"Constable, Precinct 3",0249,1028,481,1509,2676,56.39%,854,602,1456
"Constable, Precinct 3",0250,306,247,553,951,58.15%,16,520,536
"Constable, Precinct 3",0251,809,529,1338,2072,64.58%,95,1209,1304
"Constable, Precinct 3",0252,1111,356,1467,2350,62.43%,18,1410,1428
"Constable, Precinct 3",0253,923,325,1248,2252,55.42%,14,1217,1231
"Constable, Precinct 3",0254,220,282,502,1476,34.01%,118,351,469
"Constable, Precinct 3",0266,552,542,1094,2119,51.63%,379,673,1052
"Constable, Precinct 3",0353,1544,703,2247,3697,60.78%,335,1854,2189
"Constable, Precinct 3",0354,1476,517,1993,3193,62.42%,373,1566,1939
"Constable, Precinct 3",0368,418,143,561,929,60.39%,129,422,551
"Constable, Precinct 3",0371,226,69,295,475,62.11%,5,280,285
"Constable, Precinct 3",0375,577,524,1101,2607,42.23%,354,717,1071
"Constable, Precinct 3",0376,629,334,963,1916,50.26%,317,612,929
"Constable, Precinct 3",0380,2500,1183,3883,4753,77.49%,2005,1547,3552
"Constable, Precinct 3",0381,957,424,1381,2715,50.87%,437,910,1347
"Constable, Precinct 3",0382,278,231,507,841,80.29%,298,192,490
"Constable, Precinct 3",0388,1484,480,1924,2872,88.99%,1180,728,1888
"Constable, Precinct 3",0387,1389,802,2171,3727,58.25%,1214,907,2121
"Constable, Precinct 3",0398,1157,219,1378,2073,88.38%,12,1319,1331
"Constable, Precinct 3",0401,723,284,1007,1878,53.88%,44,937,981
"Constable, Precinct 3",0413,1493,525,2018,3023,88.75%,857,1304,1981
"Constable, Precinct 3",0414,1452,593,2045,3457,59.18%,1240,731,1971
"Constable, Precinct 3",0454,1228,311,1537,2571,59.78%,11,1478,1487
"Constable, Precinct 3",0458,1288,593,1859,3350,55.49%,838,952,1790
"Constable, Precinct 3",0480,1250,402,1852,2348,70.42%,375,1228,1803
