Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,Totals
"Constable, Precinct 4",0006,1251,929,2180,3616,60.29%,1438,1438
"Constable, Precinct 4",0035,4,0,4,12,33.33%,1,1
"Constable, Precinct 4",0041,560,284,844,1197,70.51%,469,469
"Constable, Precinct 4",0049,1228,669,1897,3144,60.34%,1405,1405
"Constable, Precinct 4",0074,2212,530,2742,3632,75.50%,2194,2194
"Constable, Precinct 4",0082,1353,816,2169,3284,66.05%,1711,1711
"Constable, Precinct 4",0108,1193,514,1707,3229,52.86%,1059,1059
"Constable, Precinct 4",0110,1465,589,2054,2853,71.99%,1420,1420
"Constable, Precinct 4",0111,1868,848,2716,3638,74.66%,2129,2129
"Constable, Precinct 4",0112,1252,558,1930,2894,66.69%,1503,1503
"Constable, Precinct 4",0113,1125,590,1715,2537,67.60%,1154,1154
"Constable, Precinct 4",0114,1454,546,2000,2650,75.47%,1642,1642
"Constable, Precinct 4",0124,3522,1281,4803,5952,80.70%,3978,3978
"Constable, Precinct 4",0125,896,534,1430,2281,62.69%,958,958
"Constable, Precinct 4",0126,1630,407,2037,2799,72.78%,1788,1788
"Constable, Precinct 4",0127,854,182,1036,1703,60.83%,796,796
"Constable, Precinct 4",0173,1798,619,2417,3105,77.84%,1971,1971
"Constable, Precinct 4",0199,1407,773,2180,3159,69.01%,1746,1746
"Constable, Precinct 4",0225,1109,720,1829,3155,57.97%,965,965
"Constable, Precinct 4",0244,1100,656,1756,2912,60.30%,1083,1083
"Constable, Precinct 4",0245,2340,1115,3455,5240,65.94%,2539,2539
"Constable, Precinct 4",0246,1584,624,2208,2999,73.62%,1645,1645
"Constable, Precinct 4",0263,1785,719,2504,3319,75.44%,1969,1969
"Constable, Precinct 4",0300,3013,922,3935,5040,78.08%,3222,3222
"Constable, Precinct 4",0334,255,114,369,755,48.87%,108,108
"Constable, Precinct 4",0340,1778,833,2611,3717,70.24%,2059,2059
"Constable, Precinct 4",0342,2029,1113,3142,5718,54.95%,844,844
"Constable, Precinct 4",0351,2495,793,3288,4537,72.47%,2765,2765
"Constable, Precinct 4",0357,1633,709,2342,3371,69.47%,1843,1843
"Constable, Precinct 4",0358,740,464,1204,2297,52.42%,227,227
"Constable, Precinct 4",0363,1346,687,2033,3291,61.77%,1112,1112
"Constable, Precinct 4",0370,3143,1178,4321,5781,74.74%,3445,3445
"Constable, Precinct 4",0388,2780,1222,4002,5329,75.10%,2611,2611
"Constable, Precinct 4",0399,895,593,1489,2542,58.58%,879,879
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,Totals
"Constable, Precinct 4",0405,0,1,1,0,0.00%,0,0
"Constable, Precinct 4",0410,337,102,439,849,51.71%,123,123
"Constable, Precinct 4",0442,1366,513,1879,2504,75.04%,1618,1618
"Constable, Precinct 4",0449,62,37,99,164,60.37%,21,21
"Constable, Precinct 4",0451,1575,515,2090,2674,78.16%,1782,1782
"Constable, Precinct 4",0452,1109,639,1748,2810,62.21%,1404,1404
"Constable, Precinct 4",0457,0,0,0,0,0.00%,0,0
"Constable, Precinct 4",0459,1537,475,2113,2950,71.63%,1756,1756
"Constable, Precinct 4",0464,786,612,1398,2126,65.76%,1042,1042
"Constable, Precinct 4",0465,1465,702,2167,3343,64.82%,1354,1354
"Constable, Precinct 4",0466,2052,729,2781,4072,68.30%,1757,1757
"Constable, Precinct 4",0468,984,793,1777,3354,52.98%,738,738
"Constable, Precinct 4",0469,2039,638,2677,3779,70.84%,2180,2180
