Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Camus,Totals
"Constable, Precinct 5",0008,661,430,1091,1706,63.95%,640,640
"Constable, Precinct 5",0014,758,606,1364,1848,73.81%,879,879
"Constable, Precinct 5",0050,1901,1110,3011,4762,63.23%,1851,1851
"Constable, Precinct 5",0056,548,307,855,1285,66.54%,582,582
"Constable, Precinct 5",0095,1684,671,2355,3179,74.08%,1765,1765
"Constable, Precinct 5",0096,364,237,601,1241,48.43%,151,151
"Constable, Precinct 5",0116,1626,747,2373,3014,78.73%,1891,1891
"Constable, Precinct 5",0118,460,148,608,743,81.83%,509,509
"Constable, Precinct 5",0119,1924,1265,3189,4892,65.19%,2613,2613
"Constable, Precinct 5",0120,1197,632,1829,2986,61.25%,1246,1246
"Constable, Precinct 5",0121,193,244,437,679,64.36%,302,302
"Constable, Precinct 5",0129,2294,1449,3743,5495,68.12%,2600,2600
"Constable, Precinct 5",0130,1201,523,1724,2240,76.96%,1337,1337
"Constable, Precinct 5",0143,2993,660,3653,4598,79.45%,2784,2784
"Constable, Precinct 5",0146,759,614,1373,1953,70.30%,769,769
"Constable, Precinct 5",0149,2859,1322,4181,6103,68.51%,2279,2279
"Constable, Precinct 5",0155,1957,834,2791,4087,68.29%,2069,2069
"Constable, Precinct 5",0165,918,557,1475,2284,64.58%,1018,1018
"Constable, Precinct 5",0176,626,530,1156,1581,73.12%,724,724
"Constable, Precinct 5",0209,0,4,4,0,0.00%,4,4
"Constable, Precinct 5",0213,1603,939,2542,3308,76.84%,2049,2049
"Constable, Precinct 5",0234,2088,885,2973,3854,77.14%,2317,2317
"Constable, Precinct 5",0256,1059,766,1825,3226,56.57%,953,953
"Constable, Precinct 5",0258,1577,888,2465,3286,75.02%,1911,1911
"Constable, Precinct 5",0260,420,290,710,1187,59.81%,454,454
"Constable, Precinct 5",0262,1470,906,2376,4232,56.14%,1566,1566
"Constable, Precinct 5",0264,936,639,1575,2939,53.59%,979,979
"Constable, Precinct 5",0265,1936,674,2610,3617,72.16%,1984,1984
"Constable, Precinct 5",0269,1143,444,1587,1981,80.11%,1245,1245
"Constable, Precinct 5",0272,610,484,1094,2112,51.80%,545,545
"Constable, Precinct 5",0273,1139,634,1773,2426,73.08%,1445,1445
"Constable, Precinct 5",0274,1049,364,1413,2063,68.49%,998,998
"Constable, Precinct 5",0281,1087,903,1990,2610,76.25%,1268,1268
"Constable, Precinct 5",0282,690,591,1281,1988,64.44%,847,847
"Constable, Precinct 5",0283,0,0,0,0,0.00%,0,0
"Constable, Precinct 5",0284,1135,595,1730,3262,53.03%,849,849
"Constable, Precinct 5",0293,620,557,1177,1733,67.92%,660,660
"Constable, Precinct 5",0296,602,432,1034,1693,61.08%,676,676
"Constable, Precinct 5",0297,576,445,1021,1978,51.62%,483,483
"Constable, Precinct 5",0298,847,475,1322,2083,63.47%,844,844
"Constable, Precinct 5",0303,1772,755,2527,3172,79.67%,2021,2021
"Constable, Precinct 5",0304,970,648,1618,2266,71.40%,1071,1071
"Constable, Precinct 5",0305,1319,858,2177,3621,60.12%,1096,1096
"Constable, Precinct 5",0309,1385,612,1997,2529,78.96%,1657,1657
"Constable, Precinct 5",0310,617,348,965,1437,67.15%,700,700
"Constable, Precinct 5",0311,862,699,1561,2997,52.09%,832,832
"Constable, Precinct 5",0312,1600,718,2318,3669,63.18%,1464,1464
"Constable, Precinct 5",0314,2494,1221,3715,5225,71.10%,2561,2561
"Constable, Precinct 5",0315,711,479,1190,1618,73.55%,819,819
"Constable, Precinct 5",0316,682,411,1093,1522,71.81%,703,703
