Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,"DEM Victor Trevino, Jr.",Totals
"Constable, Precinct 6",0009,472,382,854,1736,49.19%,692,692
"Constable, Precinct 6",0010,499,245,744,1722,43.21%,601,601
"Constable, Precinct 6",0011,418,335,753,1830,41.15%,637,637
"Constable, Precinct 6",0019,423,231,684,995,68.74%,474,474
"Constable, Precinct 6",0026,463,486,949,1843,51.49%,780,780
"Constable, Precinct 6",0027,821,695,1516,3005,50.45%,1231,1231
"Constable, Precinct 6",0044,492,314,806,1976,40.79%,674,674
"Constable, Precinct 6",0046,538,433,971,2468,39.34%,847,847
"Constable, Precinct 6",0047,535,345,880,1624,54.19%,848,848
"Constable, Precinct 6",0048,371,193,564,992,56.85%,505,505
"Constable, Precinct 6",0062,419,528,947,2190,43.24%,784,784
"Constable, Precinct 6",0064,410,420,830,2090,39.71%,698,698
"Constable, Precinct 6",0065,404,532,936,2178,42.98%,801,801
"Constable, Precinct 6",0066,172,279,451,1090,41.38%,387,387
"Constable, Precinct 6",0067,664,574,1238,2742,45.15%,1002,1002
"Constable, Precinct 6",0069,218,284,502,1303,38.53%,427,427
"Constable, Precinct 6",0072,441,562,1003,1882,53.29%,816,816
"Constable, Precinct 6",0079,511,717,1228,2959,41.50%,1050,1050
"Constable, Precinct 6",0154,593,360,953,2133,44.68%,770,770
"Constable, Precinct 6",0159,313,187,500,976,51.23%,426,426
"Constable, Precinct 6",0160,246,140,386,688,56.10%,363,363
"Constable, Precinct 6",0161,395,190,585,1030,56.80%,555,555
"Constable, Precinct 6",0167,5,2,7,23,30.43%,7,7
"Constable, Precinct 6",0186,204,1,70,374,795,47.04%,327,327
"Constable, Precinct 6",0187,48,65,113,309,36.57%,91,91
"Constable, Precinct 6",0201,229,125,354,728,48.63%,335,335
"Constable, Precinct 6",0202,488,332,820,1479,55.44%,771,771
"Constable, Precinct 6",0203,266,156,422,900,46.89%,351,351
"Constable, Precinct 6",0218,690,608,1298,2274,57.08%,1012,1012
"Constable, Precinct 6",0226,529,545,1074,2393,44.88%,879,879
"Constable, Precinct 6",0285,988,509,1497,2505,59.76%,1380,1380
"Constable, Precinct 6",0339,369,373,742,1716,43.24%,603,603
"Constable, Precinct 6",0343,436,483,919,1904,48.27%,729,729
"Constable, Precinct 6",0412,193,74,267,433,61.66%,250,250
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,"DEM Victor Trevino, Jr.",Totals
"Constable, Precinct 6",0530,259,235,494,1196,41.30%,411,411
"Constable, Precinct 6",0560,172,289,461,1176,39.20%,387,387
"Constable, Precinct 6",0736,6,1,7,21,33.33%,6,6
"Constable, Precinct 6",0766,71,92,163,383,42.56%,126,126
"Constable, Precinct 6",0844,2,4,6,1,3,46.1,5%,5,5
"Constable, Precinct 6",0846,70,29,99,210,47.14%,92,92
"Constable, Precinct 6",0852,0,4,4,2,200.00%,4,4
"Constable, Precinct 6",0854,41,30,71,175,40.57%,68,68
"Constable, Precinct 6",0856,0,4,4,0,0.00%,2,2
"Constable, Precinct 6",0865,9,2,11,23,47.83%,10,10
"Constable, Precinct 6",0866,0,0,0,0,0.00%,0,0
"Constable, Precinct 6",0867,0,0,0,0,0.00%,0,0
"Constable, Precinct 6",0871,3,0,3,4,75.00%,3,3
"Constable, Precinct 6",0889,22,0,22,61,36.07%,11,11
"Constable, Precinct 6",0892,193,130,323,696,46.41%,221,221
"Constable, Precinct 6",0899,4,0,4,8,50.00%,3,3
"Constable, Precinct 6",0900,5,0,5,12,41.67%,5,5
"Constable, Precinct 6",0924,0,0,0,0,0.00%,0,0
"Constable, Precinct 6",0929,0,0,0,0,0.00%,0,0
"Constable, Precinct 6",0945,4,7,11,16,68.75%,10,10
"Constable, Precinct 6",0946,3,3,6,14,42.86%,4,4
"Constable, Precinct 6",1046,19,18,37,54,68.52%,32,32
"Constable, Precinct 6",1055,0,0,0,0,0.00%,0,0
"Constable, Precinct 6",1056,4,0,4,6,66.67%,4,4
"Constable, Precinct 6",1057,34,7,41,115,35.65%,38,38
"Constable, Precinct 6",1059,7,3,10,23,43.48%,9,9
"Constable, Precinct 6",Totals:,15191,12762,27953,59119,23554,23554
