Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM May Walker,Totals
"Constable, Precinct 7",0017,346,326,672,1105,60.81%,407,407
"Constable, Precinct 7",0018,550,483,1033,1396,74.00%,600,600
"Constable, Precinct 7",0020,678,470,1148,3074,37.35%,798,798
"Constable, Precinct 7",0021,419,230,649,1013,64.07%,504,504
"Constable, Precinct 7",0022,888,554,1442,2524,57.13%,1228,1228
"Constable, Precinct 7",0024,225,121,346,611,56.63%,294,294
"Constable, Precinct 7",0025,244,304,548,1062,51.60%,509,509
"Constable, Precinct 7",0031,911,526,1437,2518,57.07%,1378,1378
"Constable, Precinct 7",0068,1198,486,1684,2782,60.53%,1611,1611
"Constable, Precinct 7",0085,730,548,1278,2079,61.47%,1193,1193
"Constable, Precinct 7",0131,604,374,978,1721,56.83%,749,749
"Constable, Precinct 7",0132,1119,397,1516,2449,61.90%,1442,1442
"Constable, Precinct 7",0136,981,451,1432,2111,67.84%,1340,1340
"Constable, Precinct 7",0140,1311,683,1994,3104,64.24%,1677,1677
"Constable, Precinct 7",0156,1427,457,1884,3134,60.11%,1780,1780
"Constable, Precinct 7",0158,1304,435,1739,3016,57.66%,1681,1681
"Constable, Precinct 7",0180,966,552,1518,2795,54.31%,1421,1421
"Constable, Precinct 7",0193,341,269,610,1050,58.10%,574,574
"Constable, Precinct 7",0194,704,504,1208,1735,69.63%,852,852
"Constable, Precinct 7",0198,143,158,301,657,45.81%,287,287
"Constable, Precinct 7",0210,1013,542,1555,2300,67.61%,1356,1356
"Constable, Precinct 7",0216,784,320,1104,1917,57.59%,999,999
"Constable, Precinct 7",0219,1117,587,1704,2654,64.20%,1524,1524
"Constable, Precinct 7",0223,1350,760,2110,3528,59.81%,1547,1547
"Constable, Precinct 7",0224,894,649,1543,2259,68.30%,884,884
"Constable, Precinct 7",0228,583,165,748,1073,69.71%,701,701
"Constable, Precinct 7",0235,466,242,708,1305,54.25%,665,665
"Constable, Precinct 7",0236,779,342,1121,2144,52.29%,1059,1059
"Constable, Precinct 7",0237,793,441,1234,2181,56.58%,1196,1196
"Constable, Precinct 7",0238,640,422,1062,1901,55.87%,1010,1010
"Constable, Precinct 7",0239,765,357,1122,1997,56.18%,1057,1057
"Constable, Precinct 7",0240,1157,402,1559,2688,58.00%,1486,1486
"Constable, Precinct 7",0243,254,50,304,452,67.26%,291,291
"Constable, Precinct 7",0247,421,403,824,1607,51.28%,785,785
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM May Walker,Totals
"Constable, Precinct 7",0255,995,797,1792,2411,74.33%,1005,1005
"Constable, Precinct 7",0271,1303,371,1674,2469,67.80%,1614,1614
"Constable, Precinct 7",0276,1139,404,1543,2532,60.94%,1496,1496
"Constable, Precinct 7",0286,2657,1053,3710,5719,64.87%,3337,3337
"Constable, Precinct 7",0287,647,542,1189,1616,73.58%,602,602
"Constable, Precinct 7",0288,1036,380,1416,2259,62.68%,1351,1351
"Constable, Precinct 7",0291,541,298,839,1203,69.74%,460,460
"Constable, Precinct 7",0292,477,236,713,1272,56.05%,614,614
"Constable, Precinct 7",0294,989,298,1287,2107,61.08%,1237,1237
"Constable, Precinct 7",0295,314,189,503,862,58.35%,487,487
"Constable, Precinct 7",0318,1708,611,2319,3531,65.68%,2161,2161
"Constable, Precinct 7",0319,965,290,1255,2081,60.31%,1152,1152
"Constable, Precinct 7",0336,1818,588,2406,3161,76.12%,2176,2176
"Constable, Precinct 7",0337,309,207,516,951,54.26%,439,439
"Constable, Precinct 7",0355,700,286,986,1384,71.24%,896,896
"Constable, Precinct 7",0359,706,482,1188,3008,39.49%,1078,1078
"Constable, Precinct 7",0372,498,231,729,1215,60.00%,637,637
"Constable, Precinct 7",0384,1172,505,1677,2596,64.60%,1394,1394
"Constable, Precinct 7",0389,283,261,544,975,55.79%,437,437
"Constable, Precinct 7",0390,644,368,1012,1565,64.66%,874,874
"Constable, Precinct 7",0392,737,197,934,1441,64.82%,914,914
"Constable, Precinct 7",0402,891,245,1136,1737,65.40%,1052,1052
"Constable, Precinct 7",0422,1456,585,2041,3345,61.02%,1962,1962
"Constable, Precinct 7",0458,908,271,1179,1893,62.28%,1095,1095
"Constable, Precinct 7",0462,1318,865,2183,3367,64.84%,1444,1444
"Constable, Precinct 7",0489,783,378,1161,1823,63.69%,843,843
"Constable, Precinct 7",0506,1470,801,2271,3380,67.19%,1892,1892
"Constable, Precinct 7",0525,1380,610,1990,2947,67.53%,1632,1632
"Constable, Precinct 7",0538,433,237,670,1282,52.26%,628,628
"Constable, Precinct 7",0540,666,380,1046,1491,70.15%,599,599
"Constable, Precinct 7",0541,1824,779,2603,4183,62.23%,2243,2243
"Constable, Precinct 7",0542,997,501,1498,2525,59.33%,1398,1398
"Constable, Precinct 7",0554,562,340,902,1731,52.11%,724,724
"Constable, Precinct 7",0555,597,447,1044,2119,49.27%,859,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM May Walker,Totals
"Constable, Precinct 7",0564,1150,713,1863,3096,60.17%,1384,1384
"Constable, Precinct 7",0573,577,368,945,1618,58.41%,905,905
"Constable, Precinct 7",0607,194,118,312,731,42.68%,281,281
"Constable, Precinct 7",0630,2018,535,2553,3190,80.03%,2310,2310
"Constable, Precinct 7",0632,12,9,21,231,9.09%,17,17
"Constable, Precinct 7",0638,740,684,1424,2078,68.53%,1289,1289
"Constable, Precinct 7",0652,1049,653,1702,2633,64.64%,1431,1431
"Constable, Precinct 7",0653,0,8,8,0,0.00%,6,6
"Constable, Precinct 7",0693,303,116,419,651,64.36%,299,299
"Constable, Precinct 7",0722,1892,642,2534,4357,58.16%,2321,2321
"Constable, Precinct 7",0819,97,45,142,238,59.66%,60,60
"Constable, Precinct 7",0820,0,0,0,0,0.00%,0,0
"Constable, Precinct 7",0822,584,282,866,1544,56.09%,817,817
"Constable, Precinct 7",0825,0,0,0,0,0.00%,0,0
"Constable, Precinct 7",0831,0,0,0,0,0.00%,0,0
"Constable, Precinct 7",0858,132,18,150,372,40.32%,141,141
"Constable, Precinct 7",0863,210,69,279,620,45.00%,266,266
"Constable, Precinct 7",0891,539,392,931,1413,65.89%,563,563
"Constable, Precinct 7",0893,1,0,1,5,20.00%,1,1
"Constable, Precinct 7",0931,48,53,101,122,82.79%,55,55
"Constable, Precinct 7",0932,0,5,5,0,0.00%,5,5
"Constable, Precinct 7",0933,233,121,354,566,62.54%,257,257
"Constable, Precinct 7",0947,320,292,612,822,74.45%,281,281
"Constable, Precinct 7",0948,0,0,0,0,0.00%,0,0
"Constable, Precinct 7",0949,59,37,96,201,47.76%,56,56
"Constable, Precinct 7",0969,335,82,417,584,71.40%,399,399
"Constable, Precinct 7",0994,6,5,11,8,137.50%,8,8
"Constable, Precinct 7",0995,596,190,786,1269,61.94%,729,729
"Constable, Precinct 7",1010,124,74,198,317,62.46%,169,169
"Constable, Precinct 7",1019,426,4,430,1518,28.33%,396,396
"Constable, Precinct 7",1020,0,0,0,1,0.00%,0,0
