Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0003,660,474,1134,1519,74.65%,441,600,1041
"County Commissioner, Precinct 1",0004,676,534,1210,1652,73.24%,439,686,1125
"County Commissioner, Precinct 1",0005,472,518,990,1376,71.95%,366,535,901
"County Commissioner, Precinct 1",0007,495,124,619,1058,58.51%,14,592,606
"County Commissioner, Precinct 1",0014,758,606,1364,1848,73.81%,712,559,1271
"County Commissioner, Precinct 1",0016,457,175,632,947,66.74%,294,286,580
"County Commissioner, Precinct 1",0017,346,326,672,1105,60.81%,250,374,624
"County Commissioner, Precinct 1",0018,550,483,1033,1396,74.00%,477,501,978
"County Commissioner, Precinct 1",0019,423,261,684,995,68.74%,247,383,630
"County Commissioner, Precinct 1",0020,678,470,1148,3074,37.35%,334,729,1063
"County Commissioner, Precinct 1",0021,419,230,649,1013,64.07%,150,467,617
"County Commissioner, Precinct 1",0022,888,554,1442,2524,57.13%,200,1190,1390
"County Commissioner, Precinct 1",0024,225,121,346,611,56.63%,35,294,329
"County Commissioner, Precinct 1",0025,244,304,548,1062,51.60%,20,509,529
"County Commissioner, Precinct 1",0030,798,588,1386,2034,68.14%,348,964,1312
"County Commissioner, Precinct 1",0031,911,526,1437,2518,57.07%,25,1373,1398
"County Commissioner, Precinct 1",0032,796,556,1352,2171,62.28%,663,569,1232
"County Commissioner, Precinct 1",0033,1479,843,2322,3540,65.59%,928,1197,2125
"County Commissioner, Precinct 1",0034,1012,749,1761,2676,65.81%,479,1169,1648
"County Commissioner, Precinct 1",0035,4,0,4,12,33.33%,1,3,4
"County Commissioner, Precinct 1",0037,801,479,1280,1885,67.90%,418,761,1179
"County Commissioner, Precinct 1",0038,1241,673,1914,2703,70.81%,686,1069,1755
"County Commissioner, Precinct 1",0039,1063,723,1786,2726,65.52%,508,1159,1667
"County Commissioner, Precinct 1",0040,239,135,374,524,71.37%,181,165,346
"County Commissioner, Precinct 1",0042,505,139,644,1121,57.45%,11,612,623
"County Commissioner, Precinct 1",0045,2434,1138,3572,6031,59.23%,563,2897,3460
"County Commissioner, Precinct 1",0047,535,345,880,1624,54.19%,21,845,866
"County Commissioner, Precinct 1",0048,371,193,564,992,56.85%,47,494,541
"County Commissioner, Precinct 1",0052,970,620,1590,2299,69.16%,812,640,1452
"County Commissioner, Precinct 1",0053,1102,884,1986,2808,70.73%,850,960,1810
"County Commissioner, Precinct 1",0055,441,394,835,1305,63.98%,332,433,765
"County Commissioner, Precinct 1",0057,1273,956,2229,3062,72.80%,911,1160,2071
"County Commissioner, Precinct 1",0059,914,751,1665,2283,72.93%,675,856,1531
"County Commissioner, Precinct 1",0060,839,664,1503,2263,66.42%,429,951,1380
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0068,1198,486,1684,2782,60.53%,26,1612,1638
"County Commissioner, Precinct 1",0075,481,370,851,1329,64.03%,332,460,792
"County Commissioner, Precinct 1",0076,814,569,1383,2328,59.41%,665,651,1316
"County Commissioner, Precinct 1",0077,168,81,249,565,44.07%,47,189,236
"County Commissioner, Precinct 1",0085,730,548,1278,2079,61.47%,30,1199,1229
"County Commissioner, Precinct 1",0101,203,186,389,941,41.34%,83,297,380
"County Commissioner, Precinct 1",0104,992,238,1230,1847,66.59%,26,1171,1197
"County Commissioner, Precinct 1",0109,1150,430,1590,2884,55.13%,26,1521,1547
"County Commissioner, Precinct 1",0115,598,305,903,1764,51.19%,93,781,874
"County Commissioner, Precinct 1",0122,895,349,1244,2199,56.57%,35,1176,1211
"County Commissioner, Precinct 1",0123,440,350,790,1356,58.26%,213,518,731
"County Commissioner, Precinct 1",0131,604,374,978,1721,56.83%,225,711,936
"County Commissioner, Precinct 1",0132,1119,397,1516,2449,61.90%,24,1449,1473
"County Commissioner, Precinct 1",0134,419,392,811,1444,56.16%,335,432,767
"County Commissioner, Precinct 1",0136,981,451,1432,2111,67.84%,52,1347,1399
"County Commissioner, Precinct 1",0138,661,259,920,1749,52.60%,19,877,896
"County Commissioner, Precinct 1",0140,1311,683,1994,3104,64.24%,278,1620,1898
"County Commissioner, Precinct 1",0144,475,204,680,1143,59.49%,8,658,666
"County Commissioner, Precinct 1",0145,663,245,908,1580,57.47%,14,876,890
"County Commissioner, Precinct 1",0146,759,614,1373,1953,70.30%,591,690,1281
"County Commissioner, Precinct 1",0147,1255,485,1740,2813,61.86%,195,1504,1699
"County Commissioner, Precinct 1",0148,908,924,1832,2467,74.26%,707,975,1682
"County Commissioner, Precinct 1",0150,539,207,746,1212,61.55%,19,710,729
"County Commissioner, Precinct 1",0151,316,148,464,846,54.85%,17,427,444
"County Commissioner, Precinct 1",0156,1427,457,1884,3134,60.11%,44,1792,1836
"County Commissioner, Precinct 1",0157,881,382,1263,2311,54.65%,38,1202,1240
"County Commissioner, Precinct 1",0158,1304,435,1739,3016,57.66%,21,1693,1714
"County Commissioner, Precinct 1",0159,313,187,500,976,51.23%,64,413,477
"County Commissioner, Precinct 1",0160,246,140,386,688,56.10%,9,364,373
"County Commissioner, Precinct 1",0161,395,190,585,1030,56.80%,10,560,570
"County Commissioner, Precinct 1",0164,505,304,809,1434,56.42%,9,778,787
"County Commissioner, Precinct 1",0167,5,2,7,23,30.43%,0,7,7
"County Commissioner, Precinct 1",0168,188,126,314,519,60.50%,4,298,302
"County Commissioner, Precinct 1",0169,1059,433,1492,2531,58.95%,17,1449,1466
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0171,514,294,808,1613,50.09%,28,752,780
"County Commissioner, Precinct 1",0175,1064,867,1931,2506,77.06%,939,832,1771
"County Commissioner, Precinct 1",0180,966,552,1518,2795,54.31%,36,1421,1457
"County Commissioner, Precinct 1",0185,592,494,1086,1910,56.86%,336,694,1030
"County Commissioner, Precinct 1",0186,204,170,374,795,47.04%,43,309,352
"County Commissioner, Precinct 1",0192,746,332,1078,2045,52.71%,38,1012,1050
"County Commissioner, Precinct 1",0193,341,269,610,1050,58.10%,12,583,595
"County Commissioner, Precinct 1",0194,704,504,1208,1735,69.63%,353,778,1131
"County Commissioner, Precinct 1",0195,539,419,958,1721,55.67%,23,907,930
"County Commissioner, Precinct 1",0196,121,55,176,323,54.49%,7,163,170
"County Commissioner, Precinct 1",0197,1109,497,1606,2895,55.47%,29,1540,1569
"County Commissioner, Precinct 1",0198,143,158,301,657,45.81%,5,287,292
"County Commissioner, Precinct 1",0200,1638,585,2223,3222,68.99%,1009,1031,2040
"County Commissioner, Precinct 1",0201,229,125,354,728,48.63%,8,341,349
"County Commissioner, Precinct 1",0202,488,332,820,1479,55.44%,18,775,793
"County Commissioner, Precinct 1",0205,856,201,1057,1667,63.41%,20,1020,1040
"County Commissioner, Precinct 1",0210,1013,542,1555,2300,67.61%,168,1320,1488
"County Commissioner, Precinct 1",0216,784,320,1104,1917,57.59%,69,997,1066
"County Commissioner, Precinct 1",0219,1117,587,1704,2654,64.20%,135,1490,1625
"County Commissioner, Precinct 1",0222,1000,792,1792,2384,75.17%,773,845,1618
"County Commissioner, Precinct 1",0223,1350,760,2110,3528,59.81%,584,1356,1940
"County Commissioner, Precinct 1",0224,894,649,1543,2259,68.30%,691,724,1415
"County Commissioner, Precinct 1",0228,583,165,748,1073,69.71%,32,705,737
"County Commissioner, Precinct 1",0230,421,153,574,1096,52.37%,10,541,551
"County Commissioner, Precinct 1",0232,685,546,1231,1696,72.58%,663,455,1118
"County Commissioner, Precinct 1",0235,466,242,708,1305,54.25%,23,668,691
"County Commissioner, Precinct 1",0236,779,342,1121,2144,52.29%,19,1062,1081
"County Commissioner, Precinct 1",0237,793,441,1234,2181,56.58%,18,1192,1210
"County Commissioner, Precinct 1",0238,640,422,1062,1901,55.87%,15,1015,1030
"County Commissioner, Precinct 1",0239,765,357,1122,1997,56.18%,24,1064,1088
"County Commissioner, Precinct 1",0240,1157,402,1559,2688,58.00%,16,1501,1517
"County Commissioner, Precinct 1",0243,254,50,304,452,67.26%,2,295,297
"County Commissioner, Precinct 1",0247,421,403,824,1607,51.28%,11,792,803
"County Commissioner, Precinct 1",0252,1111,356,1467,2350,62.43%,19,1414,1433
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chuck Maricle,DEM El Franco Lee,Totals
"County Commissioner, Precinct 1",0253,923,325,1248,2252,55.42%,18,1211,1229
