Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Glorice McPherson,Totals
"County Commissioner, Precinct 3",0008,661,430,1091,1706,63.95%,588,446,1034
"County Commissioner, Precinct 3",0015,1144,1016,2160,2806,76.98%,1375,622,1997
"County Commissioner, Precinct 3",0043,520,372,892,1644,54.26%,431,406,837
"County Commissioner, Precinct 3",0049,1228,669,1897,3144,60.34%,1332,499,1831
"County Commissioner, Precinct 3",0050,1901,1110,3011,4762,63.23%,1565,1332,2897
"County Commissioner, Precinct 3",0056,548,307,855,1285,66.54%,575,233,808
"County Commissioner, Precinct 3",0087,1222,861,2083,2749,75.77%,1405,531,1936
"County Commissioner, Precinct 3",0089,342,454,796,1104,72.10%,501,239,740
"County Commissioner, Precinct 3",0095,1684,671,2355,3179,74.08%,1710,543,2253
"County Commissioner, Precinct 3",0096,364,237,601,1241,48.43%,66,519,585
"County Commissioner, Precinct 3",0111,1868,848,2716,3638,74.66%,2029,566,2595
"County Commissioner, Precinct 3",0116,1626,747,2373,3014,78.73%,1853,412,2265
"County Commissioner, Precinct 3",0118,460,148,608,743,81.83%,481,88,569
"County Commissioner, Precinct 3",0119,1924,1265,3189,4892,65.19%,2516,598,3114
"County Commissioner, Precinct 3",0120,1197,632,1829,2986,61.25%,1142,609,1751
"County Commissioner, Precinct 3",0121,193,244,437,679,64.36%,282,137,419
"County Commissioner, Precinct 3",0124,3522,1281,4803,5952,80.70%,3830,802,4632
"County Commissioner, Precinct 3",0126,1630,407,2037,2799,72.78%,1739,220,1959
"County Commissioner, Precinct 3",0128,936,736,1672,2257,74.08%,1116,409,1525
"County Commissioner, Precinct 3",0129,2294,1449,3743,5495,68.12%,2391,1159,3550
"County Commissioner, Precinct 3",0130,1201,523,1724,2240,76.96%,1324,325,1649
"County Commissioner, Precinct 3",0133,1083,940,2023,2605,77.66%,1281,596,1877
"County Commissioner, Precinct 3",0137,305,193,498,740,67.30%,266,192,458
"County Commissioner, Precinct 3",0143,2993,660,3653,4598,79.45%,2586,941,3527
"County Commissioner, Precinct 3",0149,2859,1322,4181,6103,68.51%,1886,2146,4032
"County Commissioner, Precinct 3",0165,918,557,1475,2284,64.58%,982,431,1413
"County Commissioner, Precinct 3",0176,626,530,1156,1581,73.12%,689,376,1065
"County Commissioner, Precinct 3",0179,449,321,770,1508,51.06%,366,355,721
"County Commissioner, Precinct 3",0182,1321,1081,2402,3289,73.03%,1543,677,2220
"County Commissioner, Precinct 3",0183,970,943,1913,2451,78.05%,1342,444,1786
"County Commissioner, Precinct 3",0209,0,4,4,0,0.00%,4,0,4
"County Commissioner, Precinct 3",0213,1603,939,2542,3308,76.84%,2052,370,2422
"County Commissioner, Precinct 3",0214,798,544,1342,1795,74.76%,857,386,1243
"County Commissioner, Precinct 3",0215,844,786,1630,2168,75.18%,1026,492,1518
"County Commissioner, Precinct 3",0234,2088,885,2973,3854,77.14%,2335,484,2799
"County Commissioner, Precinct 3",0258,1059,788,1825,3228,58.57%,787,943,1710
"County Commissioner, Precinct 3",0258,1577,888,2485,3288,75.02%,1872,483,2335
"County Commissioner, Precinct 3",0285,1938,874,2810,3817,72.18%,1999,485,2484
"County Commissioner, Precinct 3",0288,931,810,1741,2387,72.94%,1118,488,1802
"County Commissioner, Precinct 3",0289,1143,444,1587,1981,80.11%,1273,220,1493
"County Commissioner, Precinct 3",0272,810,484,1094,2112,51.80%,418,817,1035
"County Commissioner, Precinct 3",0273,1139,834,1773,2428,73.08%,1452,239,1891
"County Commissioner, Precinct 3",0274,1049,384,1413,2083,88.49%,988,372,1340
"County Commissioner, Precinct 3",0281,1087,903,1990,2810,78.25%,1158,879,1837
"County Commissioner, Precinct 3",0282,890,591,1281,1988,84.44%,780,458,1218
"County Commissioner, Precinct 3",0283,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 3",0284,1135,595,1730,3282,53.03%,889,979,1888
"County Commissioner, Precinct 3",0298,802,432,1034,1893,81.08%,825,339,984
"County Commissioner, Precinct 3",0297,578,445,1021,1978,51.82%,392,581,953
"County Commissioner, Precinct 3",0298,847,475,1322,2083,83.47%,740,502,1242
"County Commissioner, Precinct 3",0299,328,213,541,1231,43.95%,178,329,507
"County Commissioner, Precinct 3",0300,3013,922,3935,5040,78.08%,3084,701,3785
"County Commissioner, Precinct 3",0303,1772,755,2527,3172,79.87%,2051,347,2398
"County Commissioner, Precinct 3",0304,970,848,1818,2288,71.40%,998,517,1515
"County Commissioner, Precinct 3",0305,1319,858,2177,3821,80.12%,813,1272,2085
"County Commissioner, Precinct 3",0309,1385,812,1997,2529,78.98%,1839,284,1903
"County Commissioner, Precinct 3",0311,882,899,1581,2997,52.09%,719,704,1423
"County Commissioner, Precinct 3",0312,1800,718,2318,3889,83.18%,1314,889,2203
"County Commissioner, Precinct 3",0314,2494,1221,3715,5225,71.10%,2274,1308,3580
"County Commissioner, Precinct 3",0315,711,479,1190,1818,73.55%,788,353,1121
"County Commissioner, Precinct 3",0318,882,411,1093,1522,71.81%,882,385,1027
"County Commissioner, Precinct 3",0317,551,338,887,1489,80.38%,278,575,851
"County Commissioner, Precinct 3",0332,23,4,27,128,21.09%,13,13,28
"County Commissioner, Precinct 3",0335,285,248,531,1227,43.28%,158,322,480
"County Commissioner, Precinct 3",0338,1540,824,2384,4873,50.59%,874,1557,2231
"County Commissioner, Precinct 3",0345,428,357,785,1708,45.98%,171,571,742
"County Commissioner, Precinct 3",0358,1382,818,2000,2838,70.52%,1195,710,1905
"County Commissioner, Precinct 3",0380,989,515,1484,2190,87.78%,830,524,1354
"County Commissioner, Precinct 3",0362,2131,1200,3331,4952,67.27%,2466,739,3205
"County Commissioner, Precinct 3",0370,3143,1178,4321,5781,74.74%,3283,895,4178
"County Commissioner, Precinct 3",0385,1099,621,1720,2175,79.08%,1350,282,1632
"County Commissioner, Precinct 3",0395,830,491,1321,1820,72.58%,969,293,1262
"County Commissioner, Precinct 3",0400,1048,506,1554,2238,69.44%,1130,360,1490
"County Commissioner, Precinct 3",0403,791,527,1318,1703,77.39%,836,388,1224
"County Commissioner, Precinct 3",0407,1317,1000,2317,3652,63.44%,1502,684,2186
"County Commissioner, Precinct 3",0421,124,92,216,467,46.25%,47,161,208
"County Commissioner, Precinct 3",0424,435,1,57,592,888,66.67%,354,226,580
"County Commissioner, Precinct 3",0425,227,234,461,875,52.69%,149,285,434
"County Commissioner, Precinct 3",0426,415,283,698,1224,57.03%,412,238,650
"County Commissioner, Precinct 3",0427,325,249,574,1115,51.48%,217,321,538
"County Commissioner, Precinct 3",0428,1284,907,2191,4316,50.76%,650,1396,2046
"County Commissioner, Precinct 3",0430,403,335,738,1654,44.62%,160,524,684
"County Commissioner, Precinct 3",0431,819,403,1222,3188,38.33%,326,822,1148
"County Commissioner, Precinct 3",0432,311,271,582,1344,43.30%,160,392,552
"County Commissioner, Precinct 3",0433,139,106,245,573,42.76%,40,190,230
"County Commissioner, Precinct 3",0435,1534,768,2302,3097,74.33%,1556,598,2154
"County Commissioner, Precinct 3",0436,1334,709,2043,3012,67.83%,1263,643,1906
"County Commissioner, Precinct 3",0437,951,542,1493,2007,74.39%,1104,326,1430
"County Commissioner, Precinct 3",0438,1046,387,1433,1802,79.52%,1121,235,1356
"County Commissioner, Precinct 3",0439,1526,905,2431,3416,71.17%,1777,510,2287
"County Commissioner, Precinct 3",0440,1326,876,2202,2867,76.81%,1768,302,2070
"County Commissioner, Precinct 3",0441,698,513,1211,1616,74.94%,911,234,1145
"County Commissioner, Precinct 3",0443,335,148,483,605,79.83%,365,94,459
"County Commissioner, Precinct 3",0447,271,108,379,583,65.01%,134,222,356
