Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0001,806,516,1322,2155,61.35%,415,814,1229
"County School Trustee, Position 3, At Large",0002,753,407,1160,1890,61.38%,533,544,1077
"County School Trustee, Position 3, At Large",0003,660,474,1134,1519,74.65%,415,623,1038
"County School Trustee, Position 3, At Large",0004,676,534,1210,1652,73.24%,419,703,1122
"County School Trustee, Position 3, At Large",0005,472,518,990,1376,71.95%,361,531,892
"County School Trustee, Position 3, At Large",0006,1251,929,2180,3616,60.29%,1158,928,2086
"County School Trustee, Position 3, At Large",0007,495,124,619,1058,58.51%,11,594,605
"County School Trustee, Position 3, At Large",0008,661,430,1091,1706,63.95%,523,502,1025
"County School Trustee, Position 3, At Large",0009,472,382,854,1736,49.19%,178,620,798
"County School Trustee, Position 3, At Large",0010,499,245,744,1722,43.21%,156,514,670
"County School Trustee, Position 3, At Large",0011,418,335,753,1830,41.15%,130,572,702
"County School Trustee, Position 3, At Large",0012,227,133,360,716,50.28%,191,157,348
"County School Trustee, Position 3, At Large",0013,1140,443,1583,2823,56.08%,1018,477,1495
"County School Trustee, Position 3, At Large",0014,758,606,1364,1848,73.81%,685,582,1267
"County School Trustee, Position 3, At Large",0015,1144,1016,2160,2806,76.98%,1167,790,1957
"County School Trustee, Position 3, At Large",0016,457,175,632,947,66.74%,285,289,574
"County School Trustee, Position 3, At Large",0017,346,326,672,1105,60.81%,255,365,620
"County School Trustee, Position 3, At Large",0018,550,483,1033,1396,74.00%,473,491,964
"County School Trustee, Position 3, At Large",0019,423,261,684,995,68.74%,239,390,629
"County School Trustee, Position 3, At Large",0020,678,470,1148,3074,37.35%,329,731,1060
"County School Trustee, Position 3, At Large",0021,419,230,649,1013,64.07%,140,471,611
"County School Trustee, Position 3, At Large",0022,888,554,1442,2524,57.13%,197,1184,1381
"County School Trustee, Position 3, At Large",0023,99,65,164,512,32.03%,35,120,155
"County School Trustee, Position 3, At Large",0024,225,121,346,611,56.63%,36,291,327
"County School Trustee, Position 3, At Large",0025,244,304,548,1062,51.60%,23,504,527
"County School Trustee, Position 3, At Large",0026,463,486,949,1843,51.49%,230,648,878
"County School Trustee, Position 3, At Large",0027,821,695,1516,3005,50.45%,340,1071,1411
"County School Trustee, Position 3, At Large",0028,1446,465,1911,2782,68.69%,1092,715,1807
"County School Trustee, Position 3, At Large",0029,418,577,995,2659,37.42%,302,636,938
"County School Trustee, Position 3, At Large",0030,798,588,1386,2034,68.14%,344,969,1313
"County School Trustee, Position 3, At Large",0031,911,526,1437,2518,57.07%,25,1373,1398
"County School Trustee, Position 3, At Large",0032,796,556,1352,2171,62.28%,632,596,1228
"County School Trustee, Position 3, At Large",0033,1479,843,2322,3540,65.59%,903,1221,2124
"County School Trustee, Position 3, At Large",0034,1012,749,1761,2676,65.81%,452,1199,1651
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0035,4,0,4,12,33.33%,1,3,4
"County School Trustee, Position 3, At Large",0036,993,479,1472,2868,51.32%,372,1021,1393
"County School Trustee, Position 3, At Large",0037,801,479,1280,1885,67.90%,405,774,1179
"County School Trustee, Position 3, At Large",0038,1241,673,1914,2703,70.81%,634,1118,1752
"County School Trustee, Position 3, At Large",0039,1063,723,1786,2726,65.52%,483,1185,1668
"County School Trustee, Position 3, At Large",0040,239,135,374,524,71.37%,174,165,339
"County School Trustee, Position 3, At Large",0041,560,284,844,1197,70.51%,362,453,815
