Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kay Smith,DEM Silvia Mintz,Totals
"County School Trustee, Position 4, Precinct 3",0008,661,430,1091,1706,63.95%,531,489,1020
"County School Trustee, Position 4, Precinct 3",0015,1144,1016,2160,2806,76.98%,1197,753,1950
"County School Trustee, Position 4, Precinct 3",0043,520,372,892,1644,54.26%,416,411,827
"County School Trustee, Position 4, Precinct 3",0049,1228,669,1897,3144,60.34%,1299,508,1807
"County School Trustee, Position 4, Precinct 3",0050,1901,1110,3011,4762,63.23%,1533,1349,2882
"County School Trustee, Position 4, Precinct 3",0056,548,307,855,1285,66.54%,535,259,794
"County School Trustee, Position 4, Precinct 3",0087,1222,861,2083,2749,75.77%,1230,656,1886
"County School Trustee, Position 4, Precinct 3",0089,342,454,796,1104,72.10%,410,305,715
"County School Trustee, Position 4, Precinct 3",0095,1684,671,2355,3179,74.08%,1572,625,2197
"County School Trustee, Position 4, Precinct 3",0096,364,237,601,1241,48.43%,57,523,580
"County School Trustee, Position 4, Precinct 3",0111,1868,848,2716,3638,74.66%,1957,606,2563
"County School Trustee, Position 4, Precinct 3",0116,1626,747,2373,3014,78.73%,1753,472,2225
"County School Trustee, Position 4, Precinct 3",0118,460,148,608,743,81.83%,459,110,569
"County School Trustee, Position 4, Precinct 3",0119,1924,1265,3189,4892,65.19%,2479,594,3073
"County School Trustee, Position 4, Precinct 3",0120,1197,632,1829,2986,61.25%,1075,634,1709
"County School Trustee, Position 4, Precinct 3",0121,193,244,437,679,64.36%,285,133,418
"County School Trustee, Position 4, Precinct 3",0124,3522,1281,4803,5952,80.70%,3725,857,4582
"County School Trustee, Position 4, Precinct 3",0126,1630,407,2037,2799,72.78%,1729,220,1949
"County School Trustee, Position 4, Precinct 3",0128,936,736,1672,2257,74.08%,982,501,1483
"County School Trustee, Position 4, Precinct 3",0129,2294,1449,3743,5495,68.12%,2253,1252,3505
"County School Trustee, Position 4, Precinct 3",0130,1201,523,1724,2240,76.96%,1232,386,1618
"County School Trustee, Position 4, Precinct 3",0133,1083,940,2023,2605,77.66%,1144,689,1833
"County School Trustee, Position 4, Precinct 3",0137,305,193,498,740,67.30%,234,221,455
"County School Trustee, Position 4, Precinct 3",0143,2993,660,3653,4598,79.45%,2521,984,3505
"County School Trustee, Position 4, Precinct 3",0149,2859,1322,4181,6103,68.51%,1847,2173,4020
"County School Trustee, Position 4, Precinct 3",0165,918,557,1475,2284,64.58%,911,481,1392
"County School Trustee, Position 4, Precinct 3",0176,626,530,1156,1581,73.12%,555,484,1039
"County School Trustee, Position 4, Precinct 3",0179,449,321,770,1508,51.06%,337,374,711
"County School Trustee, Position 4, Precinct 3",0182,1321,1081,2402,3289,73.03%,1373,786,2159
"County School Trustee, Position 4, Precinct 3",0183,970,943,1913,2451,78.05%,1209,532,1741
"County School Trustee, Position 4, Precinct 3",0209,0,4,4,0,0.00%,4,0,4
"County School Trustee, Position 4, Precinct 3",0213,1603,939,2542,3308,76.84%,1856,482,2338
"County School Trustee, Position 4, Precinct 3",0214,798,544,1342,1795,74.76%,786,428,1214
"County School Trustee, Position 4, Precinct 3",0215,844,786,1630,2168,75.18%,917,577,1494
"County School Trustee, Position 4, Precinct 3",0234,2088,885,2973,3854,77.14%,2136,608,2744
"County School Trustee, Position 4, Precinct 3",0256,1059,766,1825,3226,56.57%,685,995,1680
"County School Trustee, Position 4, Precinct 3",0258,1577,888,2465,3286,75.02%,1700,560,2260
"County School Trustee, Position 4, Precinct 3",0265,1936,674,2610,3617,72.16%,1829,579,2408
"County School Trustee, Position 4, Precinct 3",0268,931,810,1741,2387,72.94%,963,593,1556
"County School Trustee, Position 4, Precinct 3",0269,1143,444,1587,1981,80.11%,1171,288,1459
"County School Trustee, Position 4, Precinct 3",0272,610,484,1094,2112,51.80%,394,636,1030
"County School Trustee, Position 4, Precinct 3",0273,1139,634,1773,2426,73.08%,1370,291,1661
"County School Trustee, Position 4, Precinct 3",0274,1049,364,1413,2063,68.49%,899,418,1317
"County School Trustee, Position 4, Precinct 3",0281,1087,903,1990,2610,76.25%,875,899,1774
"County School Trustee, Position 4, Precinct 3",0282,690,591,1281,1988,64.44%,730,486,1216
"County School Trustee, Position 4, Precinct 3",0283,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 4, Precinct 3",0284,1135,595,1730,3262,53.03%,623,1020,1643
"County School Trustee, Position 4, Precinct 3",0296,602,432,1034,1693,61.08%,581,365,946
"County School Trustee, Position 4, Precinct 3",0297,576,445,1021,1978,51.62%,376,572,948
"County School Trustee, Position 4, Precinct 3",0298,847,475,1322,2083,63.47%,708,524,1232
"County School Trustee, Position 4, Precinct 3",0299,328,213,541,1231,43.95%,165,341,506
"County School Trustee, Position 4, Precinct 3",0300,3013,922,3935,5040,78.08%,2962,744,3706
"County School Trustee, Position 4, Precinct 3",0303,1772,755,2527,3172,79.67%,1906,432,2338
"County School Trustee, Position 4, Precinct 3",0304,970,648,1618,2266,71.40%,841,644,1485
"County School Trustee, Position 4, Precinct 3",0305,1319,858,2177,3621,60.12%,779,1297,2076
"County School Trustee, Position 4, Precinct 3",0309,1385,612,1997,2529,78.96%,1528,333,1861
"County School Trustee, Position 4, Precinct 3",0311,862,699,1561,2997,52.09%,663,743,1406
"County School Trustee, Position 4, Precinct 3",0312,1600,718,2318,3669,63.18%,1232,941,2173
"County School Trustee, Position 4, Precinct 3",0314,2494,1221,3715,5225,71.10%,2206,1345,3551
"County School Trustee, Position 4, Precinct 3",0315,711,479,1190,1618,73.55%,660,443,1103
"County School Trustee, Position 4, Precinct 3",0316,682,411,1093,1522,71.81%,558,444,1002
"County School Trustee, Position 4, Precinct 3",0317,551,336,887,1469,60.38%,247,597,844
"County School Trustee, Position 4, Precinct 3",0332,23,4,27,128,21.09%,10,15,25
"County School Trustee, Position 4, Precinct 3",0335,285,246,531,1227,43.28%,143,332,475
"County School Trustee, Position 4, Precinct 3",0338,1540,824,2364,4673,50.59%,640,1569,2209
"County School Trustee, Position 4, Precinct 3",0345,428,357,785,1708,45.96%,155,584,739
"County School Trustee, Position 4, Precinct 3",0356,1382,618,2000,2836,70.52%,1127,739,1866
"County School Trustee, Position 4, Precinct 3",0360,969,515,1484,2190,67.76%,755,571,1326
"County School Trustee, Position 4, Precinct 3",0362,2131,1200,3331,4952,67.27%,2361,796,3157
"County School Trustee, Position 4, Precinct 3",0370,3143,1178,4321,5781,74.74%,3216,912,4128
"County School Trustee, Position 4, Precinct 3",0385,1099,621,1720,2175,79.08%,1218,366,1584
"County School Trustee, Position 4, Precinct 3",0395,830,491,1321,1820,72.58%,889,341,1230
"County School Trustee, Position 4, Precinct 3",0400,1048,506,1554,2238,69.44%,1073,393,1466
"County School Trustee, Position 4, Precinct 3",0403,791,527,1318,1703,77.39%,681,504,1185
"County School Trustee, Position 4, Precinct 3",0407,1317,1000,2317,3652,63.44%,1408,749,2157
"County School Trustee, Position 4, Precinct 3",0421,124,92,216,467,46.25%,49,156,205
"County School Trustee, Position 4, Precinct 3",0424,435,1,57,592,888,66.67%,327,247,574
"County School Trustee, Position 4, Precinct 3",0425,227,234,461,875,52.69%,142,287,429
"County School Trustee, Position 4, Precinct 3",0426,415,283,698,1224,57.03%,369,273,642
"County School Trustee, Position 4, Precinct 3",0427,325,249,574,1115,51.48%,199,328,527
"County School Trustee, Position 4, Precinct 3",0428,1284,907,2191,4316,50.76%,631,1409,2040
"County School Trustee, Position 4, Precinct 3",0430,403,335,738,1654,44.62%,146,530,676
"County School Trustee, Position 4, Precinct 3",0431,819,403,1222,3188,38.33%,298,845,1143
"County School Trustee, Position 4, Precinct 3",0432,311,271,582,1344,43.30%,157,393,550
"County School Trustee, Position 4, Precinct 3",0433,139,106,245,573,42.76%,39,191,230
"County School Trustee, Position 4, Precinct 3",0435,1534,768,2302,3097,74.33%,1461,667,2128
"County School Trustee, Position 4, Precinct 3",0436,1334,709,2043,3012,67.83%,1154,725,1879
"County School Trustee, Position 4, Precinct 3",0437,951,542,1493,2007,74.39%,1005,388,1393
"County School Trustee, Position 4, Precinct 3",0438,1046,387,1433,1802,79.52%,1028,286,1314
"County School Trustee, Position 4, Precinct 3",0439,1526,905,2431,3416,71.17%,1657,583,2240
"County School Trustee, Position 4, Precinct 3",0440,1326,876,2202,2867,76.81%,1643,374,2017
"County School Trustee, Position 4, Precinct 3",0441,698,513,1211,1616,74.94%,861,265,1126
"County School Trustee, Position 4, Precinct 3",0443,335,148,483,605,79.83%,330,112,442
"County School Trustee, Position 4, Precinct 3",0447,271,108,379,583,65.01%,120,231,351
"County School Trustee, Position 4, Precinct 3",0461,1958,828,2786,3733,74.63%,1749,818,2567
"County School Trustee, Position 4, Precinct 3",0463,1124,656,1780,2962,60.09%,700,1000,1700
"County School Trustee, Position 4, Precinct 3",0480,936,555,1491,2267,65.77%,1011,398,1409
"County School Trustee, Position 4, Precinct 3",0481,1463,852,2315,3298,70.19%,1671,528,2199
"County School Trustee, Position 4, Precinct 3",0483,1868,759,2627,4141,63.44%,1356,1130,2486
"County School Trustee, Position 4, Precinct 3",0487,1005,612,1617,3318,48.73%,452,1028,1480
"County School Trustee, Position 4, Precinct 3",0488,580,440,1020,1713,59.54%,331,614,945
"County School Trustee, Position 4, Precinct 3",0490,876,439,1315,1944,67.64%,457,780,1237
"County School Trustee, Position 4, Precinct 3",0491,667,489,1156,1782,64.87%,627,443,1070
"County School Trustee, Position 4, Precinct 3",0492,1069,504,1573,2351,66.91%,795,662,1457
"County School Trustee, Position 4, Precinct 3",0493,858,400,1258,1804,69.73%,774,394,1168
"County School Trustee, Position 4, Precinct 3",0499,1301,517,1818,2304,78.91%,1274,414,1688
"County School Trustee, Position 4, Precinct 3",0503,359,273,632,1363,46.37%,187,397,584
"County School Trustee, Position 4, Precinct 3",0504,1129,538,1667,2197,75.88%,1060,510,1570
"County School Trustee, Position 4, Precinct 3",0507,582,385,967,2435,39.71%,140,696,836
"County School Trustee, Position 4, Precinct 3",0508,946,760,1706,3248,52.52%,527,1041,1568
"County School Trustee, Position 4, Precinct 3",0509,1340,864,2204,3536,62.33%,1503,587,2090
"County School Trustee, Position 4, Precinct 3",0510,1492,682,2174,3511,61.92%,941,1106,2047
"County School Trustee, Position 4, Precinct 3",0517,1208,653,1861,3320,56.05%,941,817,1758
"County School Trustee, Position 4, Precinct 3",0519,1234,645,1879,2951,63.67%,1303,480,1783
"County School Trustee, Position 4, Precinct 3",0521,1011,694,1705,2725,62.57%,837,784,1621
"County School Trustee, Position 4, Precinct 3",0522,1171,658,1829,2682,68.20%,1319,412,1731
"County School Trustee, Position 4, Precinct 3",0524,1237,675,1912,3292,58.08%,542,1284,1826
"County School Trustee, Position 4, Precinct 3",0539,26,209,235,71,330.99%,47,165,212
"County School Trustee, Position 4, Precinct 3",0546,4,4,8,30,26.67%,2,6,8
"County School Trustee, Position 4, Precinct 3",0547,877,647,1524,2408,63.29%,1023,423,1446
"County School Trustee, Position 4, Precinct 3",0557,822,556,1378,2726,50.55%,428,839,1267
"County School Trustee, Position 4, Precinct 3",0558,1588,824,2412,4084,59.06%,740,1554,2294
"County School Trustee, Position 4, Precinct 3",0559,1787,899,2686,4633,57.98%,620,1917,2537
"County School Trustee, Position 4, Precinct 3",0565,315,194,509,1373,37.07%,89,386,475
"County School Trustee, Position 4, Precinct 3",0566,1122,478,1600,2950,54.24%,415,1119,1534
"County School Trustee, Position 4, Precinct 3",0567,672,394,1066,2198,48.50%,267,703,970
"County School Trustee, Position 4, Precinct 3",0569,1294,865,2159,3249,66.45%,1107,891,1998
"County School Trustee, Position 4, Precinct 3",0570,525,409,934,1473,63.41%,402,445,847
"County School Trustee, Position 4, Precinct 3",0572,1283,574,1857,2998,61.94%,836,916,1752
"County School Trustee, Position 4, Precinct 3",0577,231,113,344,573,60.03%,187,135,322
"County School Trustee, Position 4, Precinct 3",0589,1033,738,1771,3130,56.58%,909,789,1698
"County School Trustee, Position 4, Precinct 3",0600,1383,869,2252,3820,58.95%,751,1385,2136
"County School Trustee, Position 4, Precinct 3",0602,562,296,858,1237,69.36%,583,240,823
"County School Trustee, Position 4, Precinct 3",0603,1437,1163,2600,3917,66.38%,1541,967,2508
"County School Trustee, Position 4, Precinct 3",0616,1352,970,2322,3378,68.74%,1567,641,2208
"County School Trustee, Position 4, Precinct 3",0618,1920,1021,2941,5344,55.03%,1257,1570,2827
"County School Trustee, Position 4, Precinct 3",0619,2133,857,2990,4266,70.09%,2162,689,2851
"County School Trustee, Position 4, Precinct 3",0620,2382,856,3238,5271,61.43%,1504,1525,3029
"County School Trustee, Position 4, Precinct 3",0621,397,203,600,1173,51.15%,291,274,565
"County School Trustee, Position 4, Precinct 3",0625,862,454,1316,1796,73.27%,723,486,1209
"County School Trustee, Position 4, Precinct 3",0626,1148,655,1803,2838,63.53%,853,834,1687
"County School Trustee, Position 4, Precinct 3",0639,828,711,1539,2501,61.54%,1178,292,1470
"County School Trustee, Position 4, Precinct 3",0640,1382,723,2105,3548,59.33%,1182,824,2006
"County School Trustee, Position 4, Precinct 3",0641,1265,878,2143,3375,63.50%,1306,748,2054
"County School Trustee, Position 4, Precinct 3",0644,2123,1204,3327,5261,63.24%,2021,1128,3149
"County School Trustee, Position 4, Precinct 3",0645,1639,895,2534,4035,62.80%,1125,1265,2390
"County School Trustee, Position 4, Precinct 3",0646,708,456,1164,2163,53.81%,325,775,1100
"County School Trustee, Position 4, Precinct 3",0647,1770,1020,2790,5593,49.88%,686,1892,2578
"County School Trustee, Position 4, Precinct 3",0650,1328,939,2267,3151,71.95%,1627,531,2158
"County School Trustee, Position 4, Precinct 3",0651,2085,1070,3155,4931,63.98%,1920,1075,2995
"County School Trustee, Position 4, Precinct 3",0667,989,547,1536,2181,70.43%,1131,313,1444
"County School Trustee, Position 4, Precinct 3",0684,72,24,96,187,51.34%,53,35,88
"County School Trustee, Position 4, Precinct 3",0685,167,29,196,326,60.12%,84,97,181
"County School Trustee, Position 4, Precinct 3",0686,46,34,80,196,40.82%,18,56,74
"County School Trustee, Position 4, Precinct 3",0688,1815,673,2488,3266,76.18%,1956,410,2366
"County School Trustee, Position 4, Precinct 3",0691,10,2,12,34,35.29%,5,7,12
"County School Trustee, Position 4, Precinct 3",0694,420,137,557,817,68.18%,358,168,526
"County School Trustee, Position 4, Precinct 3",0706,222,135,357,529,67.49%,166,178,344
"County School Trustee, Position 4, Precinct 3",0707,284,136,420,707,59.41%,239,152,391
"County School Trustee, Position 4, Precinct 3",0709,2996,1297,4293,6239,68.81%,2487,1630,4117
"County School Trustee, Position 4, Precinct 3",0711,1492,701,2193,3351,65.44%,1274,780,2054
"County School Trustee, Position 4, Precinct 3",0712,1200,858,2058,3348,61.47%,820,1173,1993
"County School Trustee, Position 4, Precinct 3",0713,665,436,1101,1827,60.26%,560,487,1047
"County School Trustee, Position 4, Precinct 3",0720,1575,1044,2619,3903,67.10%,1854,658,2512
"County School Trustee, Position 4, Precinct 3",0727,931,466,1397,2488,56.15%,333,1002,1335
"County School Trustee, Position 4, Precinct 3",0730,800,437,1237,1630,75.89%,796,341,1137
"County School Trustee, Position 4, Precinct 3",0731,121,36,157,373,42.09%,24,121,145
"County School Trustee, Position 4, Precinct 3",0734,3209,1114,4323,5952,72.63%,2866,1296,4162
"County School Trustee, Position 4, Precinct 3",0751,1664,1254,2918,4451,65.56%,1920,860,2780
"County School Trustee, Position 4, Precinct 3",0761,917,219,1136,1464,77.60%,802,251,1053
"County School Trustee, Position 4, Precinct 3",0765,1390,815,2205,3967,55.58%,749,1348,2097
"County School Trustee, Position 4, Precinct 3",0772,2927,1002,3929,5617,69.95%,2873,881,3754
"County School Trustee, Position 4, Precinct 3",0773,892,550,1442,2648,54.46%,342,1019,1361
"County School Trustee, Position 4, Precinct 3",0781,1152,555,1807,3716,48.63%,644,980,1624
"County School Trustee, Position 4, Precinct 3",0788,156,58,214,481,44.49%,69,133,202
"County School Trustee, Position 4, Precinct 3",0800,1188,795,1983,2817,70.39%,1287,586,1873
"County School Trustee, Position 4, Precinct 3",0803,1305,630,1935,2718,71.19%,1403,435,1838
"County School Trustee, Position 4, Precinct 3",0804,1806,960,2766,4348,63.62%,1626,1004,2630
"County School Trustee, Position 4, Precinct 3",0807,652,402,1054,2001,52.67%,155,849,1004
"County School Trustee, Position 4, Precinct 3",0813,1957,1258,3225,5423,59.47%,1519,1587,3106
"County School Trustee, Position 4, Precinct 3",0814,1772,955,2727,4503,60.56%,601,2003,2604
"County School Trustee, Position 4, Precinct 3",0819,97,45,142,238,59.66%,81,44,125
"County School Trustee, Position 4, Precinct 3",0826,153,89,242,342,70.76%,130,94,224
"County School Trustee, Position 4, Precinct 3",0829,107,56,163,266,61.28%,33,127,160
"County School Trustee, Position 4, Precinct 3",0835,87,53,140,292,47.95%,37,96,133
"County School Trustee, Position 4, Precinct 3",0836,8,3,11,19,57.89%,0,10,10
"County School Trustee, Position 4, Precinct 3",0839,353,240,593,1122,52.85%,110,444,554
"County School Trustee, Position 4, Precinct 3",0869,153,76,229,473,48.41%,32,190,222
"County School Trustee, Position 4, Precinct 3",0875,1719,927,2646,4031,65.64%,1236,1303,2539
"County School Trustee, Position 4, Precinct 3",0877,1030,642,1672,2480,67.42%,690,928,1618
"County School Trustee, Position 4, Precinct 3",0879,890,527,1417,2334,60.71%,646,716,1362
"County School Trustee, Position 4, Precinct 3",0901,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 4, Precinct 3",0906,12,6,18,26,69.23%,9,8,17
"County School Trustee, Position 4, Precinct 3",0917,280,137,417,481,86.69%,279,102,381
"County School Trustee, Position 4, Precinct 3",0918,489,135,624,883,70.67%,465,119,584
"County School Trustee, Position 4, Precinct 3",0919,0,3,3,3,100.00%,1,2,3
"County School Trustee, Position 4, Precinct 3",09206,0,6,13,46.15%,6,0,6
"County School Trustee, Position 4, Precinct 3",0921,71,9,80,87,91.95%,62,18,80
"County School Trustee, Position 4, Precinct 3",0923,663,87,750,826,90.80%,565,155,720
"County School Trustee, Position 4, Precinct 3",0938,73,14,87,256,33.98%,28,56,84
"County School Trustee, Position 4, Precinct 3",0941,13,9,22,25,88.00%,19,3,22
"County School Trustee, Position 4, Precinct 3",0942,68,24,92,159,57.86%,72,13,85
"County School Trustee, Position 4, Precinct 3",0943,296,63,359,536,66.98%,242,89,331
"County School Trustee, Position 4, Precinct 3",0944,30,6,36,39,92.31%,29,4,33
"County School Trustee, Position 4, Precinct 3",0951,79,44,123,218,56.42%,22,97,119
"County School Trustee, Position 4, Precinct 3",0952,24,1e,40,70,57.14%,17,19,36
"County School Trustee, Position 4, Precinct 3",0971,27,21,48,129,37.21%,1,47,48
"County School Trustee, Position 4, Precinct 3",0979,5,6,11,26,42.31%,11,0,11
"County School Trustee, Position 4, Precinct 3",0980,595,356,951,1323,71.88%,669,226,895
"County School Trustee, Position 4, Precinct 3",0981,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 4, Precinct 3",0984,43,49,92,198,46.46%,6,82,88
"County School Trustee, Position 4, Precinct 3",0985,172,57,239,336,71.13%,112,108,220
"County School Trustee, Position 4, Precinct 3",0986,129,86,215,404,53.22%,20,182,202
"County School Trustee, Position 4, Precinct 3",0990,37,15,52,154,33.77%,15,32,47
"County School Trustee, Position 4, Precinct 3",0992,309,202,511,1015,50.34%,280,207,487
"County School Trustee, Position 4, Precinct 3",0993,272,91,363,551,65.88%,280,61,341
"County School Trustee, Position 4, Precinct 3",1001,496,294,790,1566,50.45%,148,600,748
"County School Trustee, Position 4, Precinct 3",1002,464,314,778,1738,44.76%,85,660,745
"County School Trustee, Position 4, Precinct 3",1003,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 4, Precinct 3",1005,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 4, Precinct 3",1006,3,0,3,5,60.00%,3,0,3
"County School Trustee, Position 4, Precinct 3",1021,1,0,1,2,50.00%,0,1,1
"County School Trustee, Position 4, Precinct 3",1022,190,30,220,426,51.64%,168,41,209
"County School Trustee, Position 4, Precinct 3",1052,0,2,2,0,0.00%,1,0,1
"County School Trustee, Position 4, Precinct 3",1054,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 4, Precinct 3",1061,665,300,965,1613,59.83%,514,408,922
"County School Trustee, Position 4, Precinct 3",Totals:,210487,115294,325781,501988,,180791,125037,305828
