Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0003,660,474,1134,1519,74.65%,414,623,1037
"County School Trustee, Position 6, Precinct 1",0004,676,534,1210,1652,73.24%,407,710,1117
"County School Trustee, Position 6, Precinct 1",0005,472,518,990,1376,71.95%,357,528,885
"County School Trustee, Position 6, Precinct 1",0007,495,124,619,1058,58.51%,12,592,604
"County School Trustee, Position 6, Precinct 1",0014,758,606,1364,1848,73.81%,675,585,1260
"County School Trustee, Position 6, Precinct 1",0016,457,175,632,947,66.74%,284,292,576
"County School Trustee, Position 6, Precinct 1",0017,346,326,672,1105,60.81%,244,374,618
"County School Trustee, Position 6, Precinct 1",0018,550,483,1033,1396,74.00%,461,500,961
"County School Trustee, Position 6, Precinct 1",0019,423,261,684,995,68.74%,230,394,624
"County School Trustee, Position 6, Precinct 1",0020,678,470,1148,3074,37.35%,317,737,1054
"County School Trustee, Position 6, Precinct 1",0021,419,230,649,1013,64.07%,139,472,611
"County School Trustee, Position 6, Precinct 1",0022,888,554,1442,2524,57.13%,193,1188,1381
"County School Trustee, Position 6, Precinct 1",0024,225,121,346,611,56.63%,34,291,325
"County School Trustee, Position 6, Precinct 1",0025,244,304,548,1062,51.60%,19,509,528
"County School Trustee, Position 6, Precinct 1",0030,798,588,1386,2034,68.14%,340,969,1309
"County School Trustee, Position 6, Precinct 1",0031,911,526,1437,2518,57.07%,23,1374,1397
"County School Trustee, Position 6, Precinct 1",0032,796,556,1352,2171,62.28%,618,602,1220
"County School Trustee, Position 6, Precinct 1",0033,1479,843,2322,3540,65.59%,885,1233,2118
"County School Trustee, Position 6, Precinct 1",0034,1012,749,1761,2676,65.81%,450,1187,1637
"County School Trustee, Position 6, Precinct 1",0035,4,0,4,12,33.33%,1,3,4
"County School Trustee, Position 6, Precinct 1",0037,801,479,1280,1885,67.90%,394,776,1170
"County School Trustee, Position 6, Precinct 1",0038,1241,673,1914,2703,70.81%,632,1108,1740
"County School Trustee, Position 6, Precinct 1",0039,1063,723,1786,2726,65.52%,472,1181,1653
"County School Trustee, Position 6, Precinct 1",0040,239,135,374,524,71.37%,166,172,338
"County School Trustee, Position 6, Precinct 1",0042,505,139,644,1121,57.45%,10,610,620
"County School Trustee, Position 6, Precinct 1",0045,2434,1138,3572,6031,59.23%,542,2890,3432
"County School Trustee, Position 6, Precinct 1",0047,535,345,880,1624,54.19%,21,846,867
"County School Trustee, Position 6, Precinct 1",0048,371,193,564,992,56.85%,43,496,539
"County School Trustee, Position 6, Precinct 1",0052,970,620,1590,2299,69.16%,762,680,1442
"County School Trustee, Position 6, Precinct 1",0053,1102,884,1986,2808,70.73%,799,997,1796
"County School Trustee, Position 6, Precinct 1",0055,441,394,835,1305,63.98%,315,445,760
"County School Trustee, Position 6, Precinct 1",0057,1273,956,2229,3062,72.80%,844,1206,2050
"County School Trustee, Position 6, Precinct 1",0059,914,751,1665,2283,72.93%,636,880,1516
"County School Trustee, Position 6, Precinct 1",0060,839,664,1503,2263,66.42%,416,965,1381
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0068,1198,486,1684,2782,60.53%,25,1610,1635
"County School Trustee, Position 6, Precinct 1",0075,481,370,851,1329,64.03%,311,466,777
"County School Trustee, Position 6, Precinct 1",0076,814,569,1383,2328,59.41%,690,594,1284
"County School Trustee, Position 6, Precinct 1",0077,168,81,249,565,44.07%,50,185,235
"County School Trustee, Position 6, Precinct 1",0085,730,548,1278,2079,61.47%,31,1197,1228
"County School Trustee, Position 6, Precinct 1",0101,203,186,389,941,41.34%,85,295,380
"County School Trustee, Position 6, Precinct 1",0104,992,238,1230,1847,66.59%,21,1182,1203
"County School Trustee, Position 6, Precinct 1",0109,1150,430,1590,2884,55.13%,25,1516,1541
"County School Trustee, Position 6, Precinct 1",0115,598,305,903,1764,51.19%,93,779,872
"County School Trustee, Position 6, Precinct 1",0122,895,349,1244,2199,56.57%,31,1162,1193
"County School Trustee, Position 6, Precinct 1",0123,440,350,790,1356,58.26%,205,523,728
"County School Trustee, Position 6, Precinct 1",0131,604,374,978,1721,56.83%,221,707,928
"County School Trustee, Position 6, Precinct 1",0132,1119,397,1516,2449,61.90%,26,1439,1465
"County School Trustee, Position 6, Precinct 1",0134,419,392,811,1444,56.16%,346,412,758
"County School Trustee, Position 6, Precinct 1",0136,981,451,1432,2111,67.84%,55,1335,1390
"County School Trustee, Position 6, Precinct 1",0138,661,259,920,1749,52.60%,17,869,886
"County School Trustee, Position 6, Precinct 1",0140,1311,683,1994,3104,64.24%,265,1626,1891
"County School Trustee, Position 6, Precinct 1",0144,475,204,680,1143,59.49%,7,652,659
"County School Trustee, Position 6, Precinct 1",0145,663,245,908,1580,57.47%,15,873,888
"County School Trustee, Position 6, Precinct 1",0146,759,614,1373,1953,70.30%,557,709,1266
"County School Trustee, Position 6, Precinct 1",0147,1255,485,1740,2813,61.86%,192,1501,1693
"County School Trustee, Position 6, Precinct 1",0148,908,924,1832,2467,74.26%,672,987,1659
"County School Trustee, Position 6, Precinct 1",0150,539,207,746,1212,61.55%,16,712,728
"County School Trustee, Position 6, Precinct 1",0151,316,148,464,846,54.85%,17,424,441
"County School Trustee, Position 6, Precinct 1",0156,1427,457,1884,3134,60.11%,47,1780,1827
"County School Trustee, Position 6, Precinct 1",0157,881,382,1263,2311,54.65%,39,1194,1233
"County School Trustee, Position 6, Precinct 1",0158,1304,435,1739,3016,57.66%,24,1684,1708
"County School Trustee, Position 6, Precinct 1",0159,313,187,500,976,51.23%,56,420,476
"County School Trustee, Position 6, Precinct 1",0160,246,140,386,688,56.10%,9,366,375
"County School Trustee, Position 6, Precinct 1",0161,395,190,585,1030,56.80%,7,562,569
"County School Trustee, Position 6, Precinct 1",0164,505,304,809,1434,56.42%,10,773,783
"County School Trustee, Position 6, Precinct 1",0167,5,2,7,23,30.43%,0,7,7
"County School Trustee, Position 6, Precinct 1",0168,188,126,314,519,60.50%,7,290,297
"County School Trustee, Position 6, Precinct 1",0169,1059,433,1492,2531,58.95%,20,1445,1465
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0171,514,294,808,1613,50.09%,26,751,777
"County School Trustee, Position 6, Precinct 1",0175,1064,867,1931,2506,77.06%,879,865,1744
"County School Trustee, Position 6, Precinct 1",0180,966,552,1518,2795,54.31%,31,1425,1456
"County School Trustee, Position 6, Precinct 1",0185,592,494,1086,1910,56.86%,322,693,1015
"County School Trustee, Position 6, Precinct 1",0186,204,170,374,795,47.04%,41,310,351
"County School Trustee, Position 6, Precinct 1",0192,746,332,1078,2045,52.71%,37,1007,1044
"County School Trustee, Position 6, Precinct 1",0193,341,269,610,1050,58.10%,13,581,594
"County School Trustee, Position 6, Precinct 1",0194,704,504,1208,1735,69.63%,329,801,1130
"County School Trustee, Position 6, Precinct 1",0195,539,419,958,1721,55.67%,28,895,923
"County School Trustee, Position 6, Precinct 1",0196,121,55,176,323,54.49%,7,163,170
"County School Trustee, Position 6, Precinct 1",0197,1109,497,1606,2895,55.47%,29,1532,1561
"County School Trustee, Position 6, Precinct 1",0198,143,158,301,657,45.81%,5,287,292
"County School Trustee, Position 6, Precinct 1",0200,1638,585,2223,3222,68.99%,940,1082,2022
"County School Trustee, Position 6, Precinct 1",0201,229,125,354,728,48.63%,11,332,343
"County School Trustee, Position 6, Precinct 1",0202,488,332,820,1479,55.44%,14,773,787
"County School Trustee, Position 6, Precinct 1",0205,856,201,1057,1667,63.41%,17,1011,1028
"County School Trustee, Position 6, Precinct 1",0210,1013,542,1555,2300,67.61%,168,1311,1479
"County School Trustee, Position 6, Precinct 1",0216,784,320,1104,1917,57.59%,70,993,1063
"County School Trustee, Position 6, Precinct 1",0219,1117,587,1704,2654,64.20%,120,1492,1612
"County School Trustee, Position 6, Precinct 1",0222,1000,792,1792,2384,75.17%,728,860,1588
"County School Trustee, Position 6, Precinct 1",0223,1350,760,2110,3528,59.81%,557,1378,1935
"County School Trustee, Position 6, Precinct 1",0224,894,649,1543,2259,68.30%,657,751,1408
"County School Trustee, Position 6, Precinct 1",0228,583,165,748,1073,69.71%,30,700,730
"County School Trustee, Position 6, Precinct 1",0230,421,153,574,1096,52.37%,9,543,552
"County School Trustee, Position 6, Precinct 1",0232,685,546,1231,1696,72.58%,625,483,1108
"County School Trustee, Position 6, Precinct 1",0235,466,242,708,1305,54.25%,22,669,691
"County School Trustee, Position 6, Precinct 1",0236,779,342,1121,2144,52.29%,21,1055,1076
"County School Trustee, Position 6, Precinct 1",0237,793,441,1234,2181,56.58%,17,1196,1213
"County School Trustee, Position 6, Precinct 1",0238,640,422,1062,1901,55.87%,18,1010,1028
"County School Trustee, Position 6, Precinct 1",0239,765,357,1122,1997,56.18%,25,1061,1086
"County School Trustee, Position 6, Precinct 1",0240,1157,402,1559,2688,58.00%,23,1490,1513
"County School Trustee, Position 6, Precinct 1",0243,254,50,304,452,67.26%,4,292,296
"County School Trustee, Position 6, Precinct 1",0247,421,403,824,1607,51.28%,12,787,799
"County School Trustee, Position 6, Precinct 1",0252,1111,356,1467,2350,62.43%,16,1412,1428
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0253,923,325,1248,2252,55.42%,15,1215,1230
"County School Trustee, Position 6, Precinct 1",0255,995,797,1792,2411,74.33%,759,906,1665
"County School Trustee, Position 6, Precinct 1",0257,553,571,1124,2403,46.77%,251,821,1072
"County School Trustee, Position 6, Precinct 1",0259,1210,460,1670,2408,69.35%,30,1603,1633
"County School Trustee, Position 6, Precinct 1",0271,1303,371,1674,2469,67.80%,19,1613,1632
"County School Trustee, Position 6, Precinct 1",0276,1139,404,1543,2532,60.94%,11,1496,1507
"County School Trustee, Position 6, Precinct 1",0286,2657,1053,3710,5719,64.87%,306,3252,3558
"County School Trustee, Position 6, Precinct 1",0287,647,542,1189,1616,73.58%,577,516,1093
"County School Trustee, Position 6, Precinct 1",0288,1036,380,1416,2259,62.68%,21,1353,1374
"County School Trustee, Position 6, Precinct 1",0291,541,298,839,1203,69.74%,371,408,779
"County School Trustee, Position 6, Precinct 1",0292,477,236,713,1272,56.05%,86,601,687
"County School Trustee, Position 6, Precinct 1",0293,620,557,1177,1733,67.92%,502,589,1091
"County School Trustee, Position 6, Precinct 1",0294,989,298,1287,2107,61.08%,11,1245,1256
"County School Trustee, Position 6, Precinct 1",0295,314,189,503,862,58.35%,7,483,490
"County School Trustee, Position 6, Precinct 1",0318,1708,611,2319,3531,65.68%,81,2164,2245
"County School Trustee, Position 6, Precinct 1",0319,965,290,1255,2081,60.31%,70,1135,1205
"County School Trustee, Position 6, Precinct 1",0320,464,300,764,1505,50.76%,316,398,714
"County School Trustee, Position 6, Precinct 1",0321,442,306,748,2029,36.87%,238,469,707
"County School Trustee, Position 6, Precinct 1",0325,656,397,1053,2251,46.78%,219,782,1001
"County School Trustee, Position 6, Precinct 1",0327,726,244,970,1751,55.40%,12,926,938
"County School Trustee, Position 6, Precinct 1",0331,0,1,1,0,0.00%,1,0,1
"County School Trustee, Position 6, Precinct 1",0334,255,114,369,755,48.87%,70,283,353
"County School Trustee, Position 6, Precinct 1",0336,1818,588,2406,3161,76.12%,200,2123,2323
"County School Trustee, Position 6, Precinct 1",0337,309,207,516,951,54.26%,81,422,503
"County School Trustee, Position 6, Precinct 1",0342,2029,1113,3142,5718,54.95%,409,2638,3047
"County School Trustee, Position 6, Precinct 1",0344,395,245,640,1207,53.02%,20,596,616
"County School Trustee, Position 6, Precinct 1",0349,405,407,812,1315,61.75%,462,301,763
"County School Trustee, Position 6, Precinct 1",0350,1112,780,1892,2906,65.11%,705,1023,1728
"County School Trustee, Position 6, Precinct 1",0355,700,286,986,1384,71.24%,85,873,958
"County School Trustee, Position 6, Precinct 1",0358,740,464,1204,2297,52.42%,84,1079,1163
"County School Trustee, Position 6, Precinct 1",0359,706,482,1188,3008,39.49%,88,1060,1148
"County School Trustee, Position 6, Precinct 1",0361,135,691,826,1585,52.11%,125,577,702
"County School Trustee, Position 6, Precinct 1",0365,734,245,979,1302,75.19%,86,861,947
"County School Trustee, Position 6, Precinct 1",0367,328,212,540,1019,52.99%,90,431,521
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0371,226,69,295,475,62.11%,5,282,287
"County School Trustee, Position 6, Precinct 1",0372,498,231,729,1215,60.00%,76,620,696
"County School Trustee, Position 6, Precinct 1",0373,61,16,77,159,48.43%,1,74,75
"County School Trustee, Position 6, Precinct 1",0378,559,521,1080,1777,60.78%,652,377,1029
"County School Trustee, Position 6, Precinct 1",0379,800,338,1138,2017,56.42%,76,1015,1091
"County School Trustee, Position 6, Precinct 1",0380,2500,1183,3683,4753,77.49%,1999,1499,3498
"County School Trustee, Position 6, Precinct 1",0382,276,231,507,841,60.29%,340,142,482
"County School Trustee, Position 6, Precinct 1",0384,1172,505,1677,2596,64.60%,316,1292,1608
"County School Trustee, Position 6, Precinct 1",0389,283,261,544,975,55.79%,78,420,498
"County School Trustee, Position 6, Precinct 1",0390,644,368,1012,1565,64.66%,111,858,969
"County School Trustee, Position 6, Precinct 1",0392,737,197,934,1441,64.82%,6,912,918
"County School Trustee, Position 6, Precinct 1",0396,1157,219,1376,2073,66.38%,11,1325,1336
"County School Trustee, Position 6, Precinct 1",0401,723,284,1007,1876,53.68%,36,948,984
"County School Trustee, Position 6, Precinct 1",0402,891,245,1136,1737,65.40%,45,1063,1108
"County School Trustee, Position 6, Precinct 1",0406,281,72,353,610,57.87%,5,332,337
"County School Trustee, Position 6, Precinct 1",0408,154,179,333,933,35.69%,129,180,309
"County School Trustee, Position 6, Precinct 1",0410,337,102,439,849,51.71%,78,343,421
"County School Trustee, Position 6, Precinct 1",0412,193,74,267,433,61.66%,12,247,259
"County School Trustee, Position 6, Precinct 1",0417,777,619,1396,2465,56.63%,579,731,1310
"County School Trustee, Position 6, Precinct 1",0418,1057,758,1815,3420,53.07%,628,1091,1719
"County School Trustee, Position 6, Precinct 1",0422,1456,585,2041,3345,61.02%,37,1951,1988
"County School Trustee, Position 6, Precinct 1",0429,1091,777,1868,3929,47.54%,331,1403,1734
"County School Trustee, Position 6, Precinct 1",0449,62,37,99,164,60.37%,12,81,93
"County School Trustee, Position 6, Precinct 1",0450,856,537,1393,2622,53.13%,326,1002,1328
"County School Trustee, Position 6, Precinct 1",0453,559,475,1034,1885,54.85%,313,657,970
"County School Trustee, Position 6, Precinct 1",0454,1226,311,1537,2571,59.78%,11,1483,1494
"County School Trustee, Position 6, Precinct 1",0455,748,216,964,1679,57.42%,23,912,935
"County School Trustee, Position 6, Precinct 1",0457,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",0458,908,271,1179,1893,62.28%,41,1099,1140
"County School Trustee, Position 6, Precinct 1",0462,1318,865,2183,3367,64.84%,727,1318,2045
"County School Trustee, Position 6, Precinct 1",0472,370,337,707,1027,68.84%,283,350,633
"County School Trustee, Position 6, Precinct 1",0474,1146,766,1912,3006,63.61%,1267,542,1809
"County School Trustee, Position 6, Precinct 1",0475,485,473,958,1651,58.03%,393,498,891
"County School Trustee, Position 6, Precinct 1",0476,809,658,1467,2412,60.82%,796,600,1396
