Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0001,806,516,1322,2155,61.35%,445,756,50,1251
County Tax Assessor-Collector,0002,753,407,1160,1890,61.38%,550,495,46,1091
County Tax Assessor-Collector,0003,660,474,1134,1519,74.65%,442,557,68,1067
County Tax Assessor-Collector,0004,676,534,1210,1652,73.24%,456,629,64,1149
County Tax Assessor-Collector,0005,472,518,990,1376,71.95%,387,490,45,922
County Tax Assessor-Collector,0006,1251,929,2180,3616,60.29%,1163,886,46,2095
County Tax Assessor-Collector,0007,495,124,619,1058,58.51%,11,588,5,604
County Tax Assessor-Collector,0008,661,430,1091,1706,63.95%,540,463,44,1047
County Tax Assessor-Collector,0009,472,382,854,1736,49.19%,168,610,29,807
County Tax Assessor-Collector,0010,499,245,744,1722,43.21%,155,508,16,679
County Tax Assessor-Collector,0011,418,335,753,1830,41.15%,129,561,15,705
County Tax Assessor-Collector,0012,227,133,360,716,50.28%,187,158,7,352
County Tax Assessor-Collector,0013,1140,443,1583,2823,56.08%,1018,460,39,1517
County Tax Assessor-Collector,0014,758,606,1364,1848,73.81%,747,522,27,1296
County Tax Assessor-Collector,0015,1144,1016,2160,2806,76.98%,1332,651,49,2032
County Tax Assessor-Collector,0016,457,175,632,947,66.74%,303,263,24,590
County Tax Assessor-Collector,0017,346,326,672,1105,60.81%,254,356,24,634
County Tax Assessor-Collector,0018,550,483,1033,1396,74.00%,517,428,40,985
County Tax Assessor-Collector,0019,423,261,684,995,68.74%,241,361,40,642
County Tax Assessor-Collector,0020,678,470,1148,3074,37.35%,332,699,52,1083
County Tax Assessor-Collector,0021,419,230,649,1013,64.07%,135,457,27,619
County Tax Assessor-Collector,0022,888,554,1442,2524,57.13%,206,1168,19,1393
County Tax Assessor-Collector,0023,99,65,164,512,32.03%,34,122,0,156
County Tax Assessor-Collector,0024,225,121,346,611,56.63%,34,290,4,328
County Tax Assessor-Collector,0025,244,304,548,1062,51.60%,21,504,6,531
County Tax Assessor-Collector,0026,463,486,949,1843,51.49%,249,613,25,887
County Tax Assessor-Collector,0027,821,695,1516,3005,50.45%,343,1044,46,1433
County Tax Assessor-Collector,0028,1446,465,1911,2782,68.69%,1099,688,42,1829
County Tax Assessor-Collector,0029,418,577,995,2659,37.42%,310,624,14,948
County Tax Assessor-Collector,0030,798,588,1386,2034,68.14%,349,924,57,1330
County Tax Assessor-Collector,0031,911,526,1437,2518,57.07%,31,1363,5,1399
County Tax Assessor-Collector,0032,796,556,1352,2171,62.28%,635,536,85,1256
County Tax Assessor-Collector,0033,1479,843,2322,3540,65.59%,905,1134,122,2161
County Tax Assessor-Collector,0034,1012,749,1761,2676,65.81%,474,1113,102,1689
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0035,4,0,4,12,33.33%,1,3,0,4
County Tax Assessor-Collector,0036,993,479,1472,2868,51.32%,387,991,21,1399
County Tax Assessor-Collector,0037,801,479,1280,1885,67.90%,425,728,59,1212
County Tax Assessor-Collector,0038,1241,673,1914,2703,70.81%,706,1006,84,1796
County Tax Assessor-Collector,0039,1063,723,1786,2726,65.52%,528,1094,71,1693
County Tax Assessor-Collector,0040,239,135,374,524,71.37%,195,137,16,348
County Tax Assessor-Collector,0041,560,284,844,1197,70.51%,356,448,15,819
County Tax Assessor-Collector,0042,505,139,644,1121,57.45%,10,605,1,616
County Tax Assessor-Collector,0043,520,372,892,1644,54.26%,413,392,41,846
County Tax Assessor-Collector,0044,492,314,806,1976,40.79%,145,583,33,761
County Tax Assessor-Collector,0045,2434,1138,3572,6031,59.23%,593,2828,33,3454
County Tax Assessor-Collector,0046,538,433,971,2468,39.34%,146,758,21,925
County Tax Assessor-Collector,0047,535,345,880,1624,54.19%,19,845,2,866
County Tax Assessor-Collector,0048,371,193,564,992,56.85%,47,484,9,540
County Tax Assessor-Collector,0049,1228,559,1897,3144,60.34%,1282,501,45,1828
County Tax Assessor-Collector,0050,1901,1110,3011,4762,63.23%,1488,1350,82,2920
County Tax Assessor-Collector,0051,657,349,1006,1568,64.16%,701,241,23,965
County Tax Assessor-Collector,0052,970,620,1590,2299,69.16%,790,623,78,1491
County Tax Assessor-Collector,0053,1102,884,1986,2808,70.73%,856,911,83,1850
County Tax Assessor-Collector,0054,606,402,1008,1408,71.59%,528,392,35,955
County Tax Assessor-Collector,0055,441,394,835,1305,63.98%,319,418,43,780
County Tax Assessor-Collector,0056,548,307,855,1285,66.54%,541,239,38,818
County Tax Assessor-Collector,0057,1273,956,2229,3062,72.80%,924,1075,104,2103
County Tax Assessor-Collector,0058,881,747,1628,2521,64.58%,680,792,70,1542
County Tax Assessor-Collector,0059,914,751,1665,2283,72.93%,681,810,66,1557
County Tax Assessor-Collector,0060,839,664,1503,2263,66.42%,444,893,77,1414
County Tax Assessor-Collector,0061,435,528,963,2250,42.80%,235,668,17,920
County Tax Assessor-Collector,0062,419,528,947,2190,43.24%,185,674,15,874
County Tax Assessor-Collector,0063,674,400,1074,1784,60.20%,840,176,22,1038
County Tax Assessor-Collector,0064,410,420,830,2090,39.71%,149,616,17,782
County Tax Assessor-Collector,0065,404,532,936,2178,42.98%,157,712,19,888
County Tax Assessor-Collector,0066,172,279,451,1090,41.38%,62,346,8,416
County Tax Assessor-Collector,0067,664,574,1238,2742,45.15%,256,871,24,1151
County Tax Assessor-Collector,0068,1198,486,1684,2782,60.53%,26,1600,5,1631
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0069,218,284,502,1303,38.53%,82,370,6,458
County Tax Assessor-Collector,0070,1633,726,2359,3142,75.08%,1457,709,73,2239
County Tax Assessor-Collector,0071,1419,948,2367,3662,64.64%,1180,940,121,2241
County Tax Assessor-Collector,0072,441,562,1003,1882,53.29%,258,651,21,930
County Tax Assessor-Collector,0073,499,496,995,1494,66.60%,556,352,36,944
County Tax Assessor-Collector,0074,2212,530,2742,3632,75.50%,2087,471,57,2615
County Tax Assessor-Collector,0075,481,370,851,1329,64.03%,331,431,35,797
County Tax Assessor-Collector,0076,814,559,1383,2328,59.41%,744,550,22,1316
County Tax Assessor-Collector,0077,168,81,249,565,44.07%,51,178,5,234
County Tax Assessor-Collector,0078,359,344,703,1479,47.53%,195,430,15,640
County Tax Assessor-Collector,0079,511,717,1228,2959,41.50%,214,903,20,1137
County Tax Assessor-Collector,0080,1159,481,1640,2712,60.47%,333,1211,22,1566
County Tax Assessor-Collector,0081,540,309,849,1839,46.17%,254,526,13,793
County Tax Assessor-Collector,0082,1353,816,2169,3284,66.05%,1569,478,52,2099
County Tax Assessor-Collector,0083,2525,1181,3806,5598,67.99%,1746,1853,85,3684
County Tax Assessor-Collector,0084,444,346,790,1389,56.88%,537,205,20,762
County Tax Assessor-Collector,0085,730,548,1278,2079,61.47%,24,1184,15,1223
County Tax Assessor-Collector,0086,1054,689,1743,2637,66.10%,769,798,72,1639
