Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Darcy Mingoia,Lillian Wanjagi,Bill Morris,Totals
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0050,1901,1110,3011,4762,63.23%,780,399,655,1834
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0074,2212,530,2742,3632,75.50%,1143,189,442,1774
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0111,1868,848,2716,3638,74.66%,970,197,596,1763
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0117,97,130,227,484,46.90%,44,33,60,137
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0124,3504,1274,4778,5902,80.96%,1891,258,1035,3184
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0125,896,534,1430,2281,62.69%,403,152,327,882
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0126,226,48,274,322,85.09%,81,25,78,184
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0143,2993,660,3653,4598,79.45%,1045,298,929,2272
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0149,2803,1305,4108,5969,68.82%,1050,482,1103,2635
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0155,1957,834,2791,4087,68.29%,574,306,685,1565
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0225,1109,720,1829,3155,57.97%,393,228,366,987
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0244,1100,656,1756,2912,60.30%,422,240,415,1077
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0260,420,290,710,1187,59.81%,129,86,161,376
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0270,0,7,7,0,0.00%,3,1,1,5
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0300,3013,922,3935,5040,78.08%,1259,290,873,2422
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0305,1318,858,2176,3621,60.09%,466,288,509,1263
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0314,2494,1221,3715,5225,71.10%,1058,370,864,2292
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0364,801,425,1226,1952,62.81%,288,135,313,736
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0370,3143,1178,4321,5781,74.74%,1314,350,1107,2771
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0383,599,492,1091,2076,52.55%,279,120,236,635
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0398,1438,839,2277,3816,59.67%,565,294,474,1333
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0442,1366,513,1879,2504,75.04%,638,117,478,1233
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0451,1575,515,2090,2674,78.16%,638,126,459,1223
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0478,1959,898,2857,4150,68.84%,755,254,637,1646
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0479,1298,588,1886,2648,71.22%,847,142,306,1295
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0480,936,555,1491,2267,65.77%,578,88,336,1002
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0481,1453,852,2315,3298,70.19%,760,183,574,1517
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0484,1624,824,2448,3460,70.75%,881,218,468,1567
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0495,1120,494,1614,2284,70.67%,538,113,325,976
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0496,496,560,1056,2086,50.62%,253,123,191,567
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0498,757,498,1255,2120,59.20%,267,151,274,692
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0512,1558,1127,2685,4582,58.60%,752,278,565,1595
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0513,921,335,1256,1659,75.71%,429,106,254,789
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0516,283,129,412,726,56.75%,82,71,59,212
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0517,850,382,1012,1854,54.58%,247,128,252,827
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0518,1478,919,2397,3755,83.83%,592,248,558,1394
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0519,1234,845,1879,2951,83.87%,583,158,442,1183
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0548,720,478,1198,2129,58.18%,288,171,287,728
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0553,1485,951,2418,4355,55.48%,594,289,807,1490
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0593,1038,872,1908,3444,55.40%,409,224,413,1048
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0597,809,808,1415,2539,55.73%,318,193,301,812
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0802,552,295,858,1237,89.38%,277,83,188,548
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0809,1384,844,2208,3281,87.71%,598,214,484,1294
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0818,1352,970,2322,3378,88.74%,895,282,555,1512
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0817,1318,849,2187,3548,81.11%,484,297,558,1339
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0822,1722,829,2551,4305,59.28%,570,324,598,1490
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0828,0,0,0,0,0.00%,0,0,0,0
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0840,1382,723,2105,3548,59.33%,571,228,505,1302
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0841,1255,878,2143,3375,83.50%,848,188,479,1313
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0842,871,447,1318,1779,74.09%,454,91,300,845
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0843,2157,994,3151,5310,59.34%,875,441,727,1843
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0850,1328,939,2287,3151,71.95%,745,298,488,1527
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0851,2085,1070,3155,4931,83.98%,981,328,719,2028
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0881,1814,1012,2828,4179,82.84%,807,287,589,1483
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0887,989,547,1538,2181,70.43%,588,97,354,1017
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0889,1808,823,2429,3243,74.90%,838,203,509,1548
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0871,1090,773,1883,2942,83.32%,479,225,421,1125
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0887,1084,841,1725,2497,89.08%,455,181,378,1012
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0888,1815,873,2488,3288,78.18%,927,148,529,1802
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0889,505,851,1158,2278,50.79%,242,148,255,843
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0891,10,2,12,34,35.29%,3,2,2,7
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0701,142,115,257,554,48.39%,59,24,59,142
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0709,2998,1297,4293,8239,88.81%,1231,497,1010,2738
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0712,1200,858,2058,3348,81.47%,475,288,478,1217
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0713,885,438,1101,1827,80.28%,255,130,232,817
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0734,3209,1114,4323,5952,72.83%,1224,407,1047,2878
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0753,108,81,187,280,84.23%,40,9,48,97
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0759,1109,590,1899,2825,84.72%,444,209,339,992
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0788,2854,1159,4013,5384,74.81%,1191,284,988,2483
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0771,457,328,783,1519,51.55%,179,101,179,459
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0800,1188,795,1983,2817,70.39%,847,175,480,1282
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0803,1305,830,1935,2718,71.19%,582,150,490,1202
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0804,389,178,587,909,82.38%,120,78,138,334
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0805,1509,529,2038,2812,72.48%,753,118,451,1322
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0823,1849,1015,2884,4710,80.81%,787,332,594,1893
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0828,1074,343,1417,1875,75.57%,454,101,387,922
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0875,1719,927,2848,4031,85.84%,888,448,591,1725
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0877,758,470,1228,1878,85.28%,251,193,319,783
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0881,1510,877,2387,3819,85.98%,518,373,582,1451
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0882,940,457,1397,2328,80.01%,348,187,348,881
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0904,0,1,1,1,100.00%,0,1,0,1
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0919,0,3,3,3,100.00%,1,0,2,3
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0921,71,9,80,87,91.95%,23,8,21,50
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0923,883,87,750,828,90.80%,193,83,188,484
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0934,12,1,13,41,31.71%,8,1,2,9
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0939,1,0,1,1,100.00%,0,1,0,1
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0951,79,44,123,218,58.42%,32,20,27,79
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0988,305,180,485,1073,43.34%,99,85,103,287
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0979,56,11,28,42.31%,3,1,4,8
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0980,595,358,951,1323,71.88%,443,50,188,859
"Cypress-Fairbanks I.S.D., Trustee, Position 3",0991,0,0,0,1,0.00%,0,0,0,0
"Cypress-Fairbanks I.S.D., Trustee, Position 3",1018,591,384,955,1828,58.73%,219,135,214,588
"Cypress-Fairbanks I.S.D., Trustee, Position 3",1021,1,0,1,2,50.00%,0,0,1,1
"Cypress-Fairbanks I.S.D., Trustee, Position 3",1022,190,30,220,428,51.84%,75,13,59,147
"Cypress-Fairbanks I.S.D., Trustee, Position 3",1023,894,401,1295,1984,85.94%,487,108,273,848
"Cypress-Fairbanks I.S.D., Trustee, Position 3",1028,0,1,1,0,0.00%,0,0,1,1
"Cypress-Fairbanks I.S.D., Trustee, Position 3",1033,0,0,0,0,0.00%,0,0,0,0
"Cypress-Fairbanks I.S.D., Trustee, Position 3",1082,59,28,85,188,50.80%,22,13,17,52
"Cypress-Fairbanks I.S.D., Trustee, Position 3",Totals:,109202,55227,164429,247535,,47180,16714,37399,101293
