Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Kevin H. Hoffman,Angela M. Wesley,Totals
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0050,1901,1110,3011,4762,63.23%,1015,803,1818
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0074,2212,530,2742,3632,75.50%,1270,471,1741
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0111,1868,848,2716,3638,74.66%,1232,541,1773
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0117,97,130,227,484,46.90%,68,68,136
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0124,3504,1274,4778,5902,80.96%,2418,784,3202
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0125,896,534,1430,2281,62.69%,536,351,887
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0126,226,48,274,322,85.09%,123,59,182
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0143,2993,660,3653,4598,79.45%,1457,808,2265
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0149,2803,1305,4108,5969,68.82%,1390,1216,2606
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0155,1957,834,2791,4087,68.29%,901,662,1563
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0225,1109,720,1829,3155,57.97%,501,498,999
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0244,1100,656,1756,2912,60.30%,552,521,1073
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0260,420,290,710,1187,59.81%,212,163,375
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0270,0,7,7,0,0.00%,4,1,5
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0300,3013,922,3935,5040,78.08%,1674,732,2406
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0305,1318,858,2176,3621,60.09%,599,678,1277
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0314,2494,1221,3715,5225,71.10%,1380,904,2284
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0364,801,425,1226,1952,62.81%,389,342,731
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0370,3143,1178,4321,5781,74.74%,1850,907,2757
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0383,599,492,1091,2076,52.55%,354,290,644
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0398,1438,839,2277,3816,59.67%,705,610,1315
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0442,1366,513,1879,2504,75.04%,880,354,1234
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0451,1575,515,2090,2674,78.16%,871,349,1220
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0478,1959,898,2857,4150,68.84%,1023,619,1642
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0479,1298,588,1886,2648,71.22%,963,319,1282
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0480,936,555,1491,2267,65.77%,708,298,1006
