Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0001,806,516,1322,2155,61.35%,532,699,1231
District Attorney,0002,753,407,1160,1890,61.38%,605,471,1076
District Attorney,0003,660,474,1134,1519,74.65%,527,528,1055
District Attorney,0004,676,534,1210,1652,73.24%,565,555,1120
District Attorney,0005,472,518,990,1376,71.95%,459,436,895
District Attorney,0006,1251,929,2180,3616,60.29%,1229,859,2088
District Attorney,0007,495,124,619,1058,58.51%,13,592,605
District Attorney,0008,661,430,1091,1706,63.95%,587,435,1022
District Attorney,0009,472,382,854,1736,49.19%,191,607,798
District Attorney,0010,499,245,744,1722,43.21%,177,494,671
District Attorney,0011,418,335,753,1830,41.15%,146,554,700
District Attorney,0012,227,133,360,716,50.28%,198,153,351
District Attorney,0013,1140,443,1583,2823,56.08%,1084,425,1509
District Attorney,0014,758,606,1364,1848,73.81%,835,442,1277
District Attorney,0015,1144,1016,2160,2806,76.98%,1489,502,1991
District Attorney,0016,457,175,632,947,66.74%,328,251,579
District Attorney,0017,346,326,672,1105,60.81%,279,338,617
District Attorney,0018,550,483,1033,1396,74.00%,598,369,967
District Attorney,0019,423,261,684,995,68.74%,275,360,635
District Attorney,0020,678,470,1148,3074,37.35%,394,668,1062
District Attorney,0021,419,230,649,1013,64.07%,160,453,613
District Attorney,0022,888,554,1442,2524,57.13%,230,1151,1381
District Attorney,0023,99,65,164,512,32.03%,39,117,156
District Attorney,0024,225,121,346,611,56.63%,42,285,327
District Attorney,0025,244,304,548,1062,51.60%,27,501,528
District Attorney,0026,463,486,949,1843,51.49%,292,585,877
District Attorney,0027,821,695,1516,3005,50.45%,421,982,1403
District Attorney,0028,1446,465,1911,2782,68.69%,1158,663,1821
District Attorney,0029,418,577,995,2659,37.42%,326,616,942
District Attorney,0030,798,588,1386,2034,68.14%,394,915,1309
District Attorney,0031,911,526,1437,2518,57.07%,33,1362,1395
District Attorney,0032,796,556,1352,2171,62.28%,706,532,1238
District Attorney,0033,1479,843,2322,3540,65.59%,1062,1061,2123
District Attorney,0034,1012,749,1761,2676,65.81%,596,1040,1636
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0035,4,0,4,12,33.33%,1,3,4
District Attorney,0036,993,479,1472,2868,51.32%,402,983,1385
District Attorney,0037,801,479,1280,1885,67.90%,503,667,1170
District Attorney,0038,1241,673,1914,2703,70.81%,837,907,1744
District Attorney,0039,1063,723,1786,2726,65.52%,672,971,1643
District Attorney,0040,239,135,374,524,71.37%,246,95,341
District Attorney,0041,560,284,844,1197,70.51%,379,432,811
District Attorney,0042,505,139,644,1121,57.45%,13,606,619
District Attorney,0043,520,372,892,1644,54.26%,440,398,838
District Attorney,0044,492,314,806,1976,40.79%,175,566,741
District Attorney,0045,2434,1138,3572,6031,59.23%,632,2802,3434
District Attorney,0046,538,433,971,2468,39.34%,169,746,915
District Attorney,0047,535,345,880,1624,54.19%,26,836,862
District Attorney,0048,371,193,564,992,56.85%,55,487,542
District Attorney,0049,1228,669,1897,3144,60.34%,1331,487,1818
District Attorney,0050,1901,1110,3011,4762,63.23%,1562,1330,2892
District Attorney,0051,657,349,1006,1568,64.16%,746,216,962
District Attorney,0052,970,620,1590,2299,69.16%,877,588,1465
District Attorney,0053,1102,884,1986,2808,70.73%,984,812,1796
District Attorney,0054,606,402,1008,1408,71.59%,584,350,934
District Attorney,0055,441,394,835,1305,63.98%,367,405,772
District Attorney,0056,548,307,855,1285,66.54%,574,218,792
District Attorney,0057,1273,956,2229,3062,72.80%,1104,939,2043
District Attorney,0058,881,747,1628,2521,64.58%,773,728,1501
District Attorney,0059,914,751,1665,2283,72.93%,797,727,1524
