Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bruce Bain,DEM Mike Miller,Totals
"District Judge, 11th Judicial District",0001,806,516,1322,2155,61.35%,429,801,1230
"District Judge, 11th Judicial District",0002,753,407,1160,1890,61.38%,537,544,1081
"District Judge, 11th Judicial District",0003,660,474,1134,1519,74.65%,410,616,1026
"District Judge, 11th Judicial District",0004,676,534,1210,1652,73.24%,421,702,1123
"District Judge, 11th Judicial District",0005,472,518,990,1376,71.95%,362,540,902
"District Judge, 11th Judicial District",0006,1251,929,2180,3616,60.29%,1167,907,2074
"District Judge, 11th Judicial District",0007,495,124,619,1058,58.51%,14,590,604
"District Judge, 11th Judicial District",0008,661,430,1091,1706,63.95%,513,506,1019
"District Judge, 11th Judicial District",0009,472,382,854,1736,49.19%,174,623,797
"District Judge, 11th Judicial District",0010,499,245,744,1722,43.21%,167,503,670
"District Judge, 11th Judicial District",0011,418,335,753,1830,41.15%,125,574,699
"District Judge, 11th Judicial District",0012,227,133,360,716,50.28%,185,161,346
"District Judge, 11th Judicial District",0013,1140,443,1583,2823,56.08%,1026,463,1489
"District Judge, 11th Judicial District",0014,758,606,1364,1848,73.81%,692,564,1256
"District Judge, 11th Judicial District",0015,1144,1016,2160,2806,76.98%,1160,800,1960
"District Judge, 11th Judicial District",0016,457,175,632,947,66.74%,289,293,582
"District Judge, 11th Judicial District",0017,346,326,672,1105,60.81%,251,364,615
"District Judge, 11th Judicial District",0018,550,483,1033,1396,74.00%,474,477,951
"District Judge, 11th Judicial District",0019,423,261,684,995,68.74%,238,394,632
"District Judge, 11th Judicial District",0020,678,470,1148,3074,37.35%,322,735,1057
"District Judge, 11th Judicial District",0021,419,230,649,1013,64.07%,141,469,610
"District Judge, 11th Judicial District",0022,888,554,1442,2524,57.13%,191,1187,1378
"District Judge, 11th Judicial District",0023,99,65,164,512,32.03%,35,120,155
"District Judge, 11th Judicial District",0024,225,121,346,611,56.63%,35,288,323
"District Judge, 11th Judicial District",0025,244,304,548,1062,51.60%,17,509,526
"District Judge, 11th Judicial District",0026,463,486,949,1843,51.49%,239,630,869
"District Judge, 11th Judicial District",0027,821,695,1516,3005,50.45%,347,1054,1401
"District Judge, 11th Judicial District",0028,1446,465,1911,2782,68.69%,1088,715,1803
"District Judge, 11th Judicial District",0029,418,577,995,2659,37.42%,299,637,936
"District Judge, 11th Judicial District",0030,798,588,1386,2034,68.14%,343,958,1301
"District Judge, 11th Judicial District",0031,911,526,1437,2518,57.07%,25,1374,1399
"District Judge, 11th Judicial District",0032,796,556,1352,2171,62.28%,629,597,1226
"District Judge, 11th Judicial District",0033,1479,843,2322,3540,65.59%,894,1216,2110
"District Judge, 11th Judicial District",0034,1012,749,1761,2676,65.81%,464,1188,1652
"District Judge, 11th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 11th Judicial District",0036,993,479,1472,2868,51.32%,365,1022,1387
"District Judge, 11th Judicial District",0037,801,479,1280,1885,67.90%,409,772,1181
"District Judge, 11th Judicial District",0038,1241,673,1914,2703,70.81%,656,1090,1746
"District Judge, 11th Judicial District",0039,1063,723,1786,2726,65.52%,494,1168,1662
"District Judge, 11th Judicial District",0040,239,135,374,524,71.37%,171,169,340
"District Judge, 11th Judicial District",0041,560,284,844,1197,70.51%,364,449,813
"District Judge, 11th Judicial District",0042,505,139,644,1121,57.45%,11,605,616
"District Judge, 11th Judicial District",0043,520,372,892,1644,54.26%,404,424,828
"District Judge, 11th Judicial District",0044,492,314,806,1976,40.79%,153,591,744
"District Judge, 11th Judicial District",0045,2434,1138,3572,6031,59.23%,579,2851,3430
"District Judge, 11th Judicial District",0046,538,433,971,2468,39.34%,145,773,918
"District Judge, 11th Judicial District",0047,535,345,880,1624,54.19%,22,841,863
"District Judge, 11th Judicial District",0048,371,193,564,992,56.85%,46,495,541
"District Judge, 11th Judicial District",0049,1228,669,1897,3144,60.34%,1287,523,1810
"District Judge, 11th Judicial District",0050,1901,1110,3011,4762,63.23%,1521,1362,2883
"District Judge, 11th Judicial District",0051,657,349,1006,1568,64.16%,705,248,953
"District Judge, 11th Judicial District",0052,970,620,1590,2299,69.16%,777,677,1454
"District Judge, 11th Judicial District",0053,1102,884,1986,2808,70.73%,827,983,1810
"District Judge, 11th Judicial District",0054,606,402,1008,1408,71.59%,498,427,925
"District Judge, 11th Judicial District",0055,441,394,835,1305,63.98%,336,428,764
"District Judge, 11th Judicial District",0056,548,307,855,1285,66.54%,534,256,790
"District Judge, 11th Judicial District",0057,1273,956,2229,3062,72.80%,886,1164,2050
"District Judge, 11th Judicial District",0058,881,747,1628,2521,64.58%,665,840,1505
"District Judge, 11th Judicial District",0059,914,751,1665,2283,72.93%,649,865,1514
"District Judge, 11th Judicial District",0060,839,664,1503,2263,66.42%,407,975,1382
"District Judge, 11th Judicial District",0061,435,528,963,2250,42.80%,241,670,911
"District Judge, 11th Judicial District",0062,419,528,947,2190,43.24%,184,667,851
"District Judge, 11th Judicial District",0063,674,400,1074,1784,60.20%,832,175,1007
"District Judge, 11th Judicial District",0064,410,420,830,2090,39.71%,149,628,777
"District Judge, 11th Judicial District",0065,404,532,936,2178,42.98%,168,716,884
"District Judge, 11th Judicial District",0066,172,279,451,1090,41.38%,61,353,414
"District Judge, 11th Judicial District",0067,664,574,1238,2742,45.15%,243,889,1132
"District Judge, 11th Judicial District",0068,1198,486,1684,2782,60.53%,27,1600,1627
"District Judge, 11th Judicial District",0069,218,284,502,1303,38.53%,76,368,444
"District Judge, 11th Judicial District",0070,1633,726,2359,3142,75.08%,1342,838,2180
"District Judge, 11th Judicial District",0071,1419,948,2367,3662,64.64%,1169,1028,2197
"District Judge, 11th Judicial District",0072,441,562,1003,1882,53.29%,255,657,912
"District Judge, 11th Judicial District",0073,499,496,995,1494,66.60%,524,387,911
"District Judge, 11th Judicial District",0074,2212,530,2742,3632,75.50%,2037,524,2561
"District Judge, 11th Judicial District",0075,481,370,851,1329,64.03%,318,467,785
"District Judge, 11th Judicial District",0076,814,569,1383,2328,59.41%,711,569,1280
"District Judge, 11th Judicial District",0077,168,81,249,565,44.07%,49,185,234
"District Judge, 11th Judicial District",0078,359,344,703,1479,47.53%,191,437,628
"District Judge, 11th Judicial District",0079,511,717,1228,2959,41.50%,217,910,1127
"District Judge, 11th Judicial District",0080,1159,481,1640,2712,60.47%,328,1218,1546
"District Judge, 11th Judicial District",0081,540,309,849,1839,46.17%,247,538,785
"District Judge, 11th Judicial District",0082,1353,816,2169,3284,66.05%,1577,493,2070
"District Judge, 11th Judicial District",0083,2625,1181,3806,5598,67.99%,1749,1899,3648
"District Judge, 11th Judicial District",0084,444,346,790,1389,56.88%,548,207,755
"District Judge, 11th Judicial District",0085,730,548,1278,2079,61.47%,22,1197,1219
"District Judge, 11th Judicial District",0086,1054,689,1743,2637,66.10%,768,835,1603
"District Judge, 11th Judicial District",0087,1222,861,2083,2749,75.77%,1202,696,1898
"District Judge, 11th Judicial District",0088,235,162,397,678,58.55%,243,138,381
"District Judge, 11th Judicial District",0089,342,454,796,1104,72.10%,397,322,719
"District Judge, 11th Judicial District",0090,1498,958,2456,3571,68.78%,1738,575,2313
"District Judge, 11th Judicial District",0091,466,333,799,1248,64.02%,478,288,766
"District Judge, 11th Judicial District",0092,1105,534,1639,2228,73.56%,1072,449,1521
"District Judge, 11th Judicial District",0093,782,643,1425,3295,43.25%,485,841,1326
"District Judge, 11th Judicial District",0094,148,104,252,537,46.93%,51,186,237
"District Judge, 11th Judicial District",0095,1684,671,2355,3179,74.08%,1537,666,2203
"District Judge, 11th Judicial District",0096,364,237,601,1241,48.43%,51,530,581
"District Judge, 11th Judicial District",0097,2393,764,3157,4566,69.14%,2254,738,2992
"District Judge, 11th Judicial District",0098,874,607,1481,2403,61.63%,1182,238,1420
"District Judge, 11th Judicial District",0099,568,311,879,2040,43.09%,379,461,840
"District Judge, 11th Judicial District",0100,427,324,751,1754,42.82%,318,396,714
"District Judge, 11th Judicial District",0101,203,186,389,941,41.34%,88,289,377
"District Judge, 11th Judicial District",0102,493,268,761,1910,39.84%,188,543,731
"District Judge, 11th Judicial District",0103,1915,1065,2980,4751,62.72%,1521,1326,2847
"District Judge, 11th Judicial District",0104,992,238,1230,1847,66.59%,19,1176,1195
"District Judge, 11th Judicial District",0105,462,453,915,2153,42.50%,215,633,848
"District Judge, 11th Judicial District",0106,49,37,86,284,30.28%,42,40,82
"District Judge, 11th Judicial District",0107,412,441,853,1905,44.78%,129,687,816
"District Judge, 11th Judicial District",0108,1193,514,1707,3229,52.86%,865,754,1619
"District Judge, 11th Judicial District",0109,1160,430,1590,2884,55.13%,23,1522,1545
"District Judge, 11th Judicial District",0110,1465,589,2054,2853,71.99%,1207,734,1941
"District Judge, 11th Judicial District",0111,1868,848,2716,3638,74.66%,1952,607,2559
"District Judge, 11th Judicial District",0112,1262,668,1930,2894,66.69%,1320,519,1839
