Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0001,806,516,1322,2155,61.35%,460,769,1229
"District Judge, 125th Judicial District",0002,753,407,1160,1890,61.38%,552,523,1075
"District Judge, 125th Judicial District",0003,660,474,1134,1519,74.65%,460,570,1030
"District Judge, 125th Judicial District",0004,676,534,1210,1652,73.24%,463,664,1127
"District Judge, 125th Judicial District",0005,472,518,990,1376,71.95%,394,503,897
"District Judge, 125th Judicial District",0006,1251,929,2180,3616,60.29%,1173,898,2071
"District Judge, 125th Judicial District",0007,495,124,619,1058,58.51%,13,592,605
"District Judge, 125th Judicial District",0008,661,430,1091,1706,63.95%,536,488,1024
"District Judge, 125th Judicial District",0009,472,382,854,1736,49.19%,181,617,798
"District Judge, 125th Judicial District",0010,499,245,744,1722,43.21%,154,509,663
"District Judge, 125th Judicial District",0011,418,335,753,1830,41.15%,131,570,701
"District Judge, 125th Judicial District",0012,227,133,360,716,50.28%,183,163,346
"District Judge, 125th Judicial District",0013,1140,443,1583,2823,56.08%,1035,453,1488
"District Judge, 125th Judicial District",0014,758,606,1364,1848,73.81%,724,534,1258
"District Judge, 125th Judicial District",0015,1144,1016,2160,2806,76.98%,1338,629,1967
"District Judge, 125th Judicial District",0016,457,175,632,947,66.74%,296,284,580
"District Judge, 125th Judicial District",0017,346,326,672,1105,60.81%,259,358,617
"District Judge, 125th Judicial District",0018,550,483,1033,1396,74.00%,515,436,951
"District Judge, 125th Judicial District",0019,423,261,684,995,68.74%,239,394,633
"District Judge, 125th Judicial District",0020,678,470,1148,3074,37.35%,325,734,1059
"District Judge, 125th Judicial District",0021,419,230,649,1013,64.07%,140,471,611
"District Judge, 125th Judicial District",0022,888,554,1442,2524,57.13%,202,1177,1379
"District Judge, 125th Judicial District",0023,99,65,164,512,32.03%,36,120,156
"District Judge, 125th Judicial District",0024,225,121,346,611,56.63%,35,288,323
"District Judge, 125th Judicial District",0025,244,304,548,1062,51.60%,18,507,525
"District Judge, 125th Judicial District",0026,463,486,949,1843,51.49%,257,611,868
"District Judge, 125th Judicial District",0027,821,695,1516,3005,50.45%,356,1047,1403
"District Judge, 125th Judicial District",0028,1446,465,1911,2782,68.69%,1089,712,1801
"District Judge, 125th Judicial District",0029,418,577,995,2659,37.42%,308,628,936
"District Judge, 125th Judicial District",0030,798,588,1386,2034,68.14%,348,953,1301
"District Judge, 125th Judicial District",0031,911,526,1437,2518,57.07%,23,1381,1404
"District Judge, 125th Judicial District",0032,796,556,1352,2171,62.28%,641,589,1230
"District Judge, 125th Judicial District",0033,1479,843,2322,3540,65.59%,936,1181,2117
"District Judge, 125th Judicial District",0034,1012,749,1761,2676,65.81%,497,1148,1645
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 125th Judicial District",0038,993,479,1472,2888,51.32%,373,1012,1385
"District Judge, 125th Judicial District",0037,801,479,1280,1885,87.90%,439,740,1179
"District Judge, 125th Judicial District",0038,1241,873,1914,2703,70.81%,892,1048,1740
"District Judge, 125th Judicial District",0039,1083,723,1788,2728,85.52%,539,1119,1858
"District Judge, 125th Judicial District",0040,239,135,374,524,71.37%,207,135,342
"District Judge, 125th Judicial District",0041,580,284,844,1197,70.51%,383,453,818
"District Judge, 125th Judicial District",0042,505,139,844,1121,57.45%,11,808,817
