Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0001,806,516,1322,2155,61.35%,445,782,1227
"District Judge, 127th Judicial District",0002,753,407,1160,1890,61.38%,539,540,1079
"District Judge, 127th Judicial District",0003,660,474,1134,1519,74.65%,433,594,1027
"District Judge, 127th Judicial District",0004,676,534,1210,1652,73.24%,428,697,1125
"District Judge, 127th Judicial District",0005,472,518,990,1376,71.95%,361,533,894
"District Judge, 127th Judicial District",0006,1251,929,2180,3616,60.29%,1193,881,2074
"District Judge, 127th Judicial District",0007,495,124,619,1058,58.51%,13,592,605
"District Judge, 127th Judicial District",0008,661,430,1091,1706,63.95%,520,496,1016
"District Judge, 127th Judicial District",0009,472,382,854,1736,49.19%,180,617,797
"District Judge, 127th Judicial District",0010,499,245,744,1722,43.21%,170,497,667
"District Judge, 127th Judicial District",0011,418,335,753,1830,41.15%,140,559,699
"District Judge, 127th Judicial District",0012,227,133,360,716,50.28%,186,160,346
"District Judge, 127th Judicial District",0013,1140,443,1583,2823,56.08%,1036,451,1487
"District Judge, 127th Judicial District",0014,758,606,1364,1848,73.81%,704,553,1257
"District Judge, 127th Judicial District",0015,1144,1016,2160,2806,76.98%,1202,764,1966
"District Judge, 127th Judicial District",0016,457,175,632,947,66.74%,293,289,582
"District Judge, 127th Judicial District",0017,346,326,672,1105,60.81%,254,365,619
"District Judge, 127th Judicial District",0018,550,483,1033,1396,74.00%,488,469,957
"District Judge, 127th Judicial District",0019,423,261,684,995,68.74%,246,385,631
"District Judge, 127th Judicial District",0020,678,470,1148,3074,37.35%,324,731,1055
"District Judge, 127th Judicial District",0021,419,230,649,1013,64.07%,140,471,611
"District Judge, 127th Judicial District",0022,888,554,1442,2524,57.13%,202,1174,1376
"District Judge, 127th Judicial District",0023,99,65,164,512,32.03%,35,120,155
"District Judge, 127th Judicial District",0024,225,121,346,611,56.63%,37,284,321
"District Judge, 127th Judicial District",0025,244,304,548,1062,51.60%,19,507,526
"District Judge, 127th Judicial District",0026,463,486,949,1843,51.49%,261,610,871
"District Judge, 127th Judicial District",0027,821,695,1516,3005,50.45%,363,1038,1401
"District Judge, 127th Judicial District",0028,1446,465,1911,2782,68.69%,1113,685,1798
"District Judge, 127th Judicial District",0029,418,577,995,2659,37.42%,312,623,935
"District Judge, 127th Judicial District",0030,798,588,1386,2034,68.14%,336,963,1299
"District Judge, 127th Judicial District",0031,911,526,1437,2518,57.07%,26,1370,1396
"District Judge, 127th Judicial District",0032,796,556,1352,2171,62.28%,637,589,1226
"District Judge, 127th Judicial District",0033,1479,843,2322,3540,65.59%,912,1200,2112
"District Judge, 127th Judicial District",0034,1012,749,1761,2676,65.81%,473,1174,1647
"District Judge, 127th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 127th Judicial District",0038,993,479,1472,2888,51.32%,378,1000,1378
"District Judge, 127th Judicial District",0037,801,479,1280,1885,87.90%,421,780,1181
"District Judge, 127th Judicial District",0038,1241,873,1914,2703,70.81%,854,1092,1748
"District Judge, 127th Judicial District",0039,1083,723,1788,2728,85.52%,507,1151,1858
"District Judge, 127th Judicial District",0040,239,135,374,524,71.37%,179,185,344
