Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0001,806,516,1322,2155,61.35%,446,789,1235
"District Judge, 129th Judicial District",0002,753,407,1160,1890,61,38%,553,529,1082
"District Judge, 129th Judicial District",0003,660,474,1134,1519,74.65%,441,586,1027
"District Judge, 129th Judicial District",0004,676,534,1210,1652,73.24%,451,673,1124
"District Judge, 129th Judicial District",0005,472,518,990,1376,71.95%,382,516,898
"District Judge, 129th Judicial District",0006,1251,929,2180,3616,60.29%,1189,890,2079
"District Judge, 129th Judicial District",0007,495,124,619,1058,58.51%,13,593,606
"District Judge, 129th Judicial District",0008,661,430,1091,1706,63.95%,542,478,1020
"District Judge, 129th Judicial District",0009,472,382,854,1736,49.19%,160,639,799
"District Judge, 129th Judicial District",0010,499,245,744,1722,43.21%,149,532,681
"District Judge, 129th Judicial District",0011,418,335,753,1830,41.15%,120,586,706
"District Judge, 129th Judicial District",0012,227,133,360,716,50.28%,182,164,346
"District Judge, 129th Judicial District",0013,1140,443,1583,2823,56.08%,1040,450,1490
"District Judge, 129th Judicial District",0014,758,606,1364,1848,73.81%,726,525,1251
"District Judge, 129th Judicial District",0015,1144,1016,2160,2806,76.98%,1326,636,1962
"District Judge, 129th Judicial District",0016,457,175,632,947,66.74%,298,280,578
"District Judge, 129th Judicial District",0017,346,326,672,1105,60.81%,253,366,619
"District Judge, 129th Judicial District",0018,550,483,1033,1396,74.00%,514,437,951
"District Judge, 129th Judicial District",0019,423,261,684,995,68.74%,239,392,631
"District Judge, 129th Judicial District",0020,678,470,1148,3074,37.35%,340,719,1059
"District Judge, 129th Judicial District",0021,419,230,649,1013,64.07%,139,471,610
"District Judge, 129th Judicial District",0022,888,554,1442,2524,57.13%,206,1171,1377
"District Judge, 129th Judicial District",0023,99,65,164,512,32.03%,35,121,156
"District Judge, 129th Judicial District",0024,225,121,346,611,56.63%,35,288,323
"District Judge, 129th Judicial District",0025,244,304,548,1062,51.60%,19,506,525
"District Judge, 129th Judicial District",0026,463,486,949,1843,51.49%,220,657,877
"District Judge, 129th Judicial District",0027,821,695,1516,3005,50.45%,314,1108,1422
"District Judge, 129th Judicial District",0028,1446,465,1911,2782,68.69%,1107,697,1804
"District Judge, 129th Judicial District",0029,418,577,995,2659,37.42%,300,645,945
"District Judge, 129th Judicial District",0030,798,588,1386,2034,68.14%,346,957,1303
"District Judge, 129th Judicial District",0031,911,526,1437,2518,57.07%,29,1364,1393
"District Judge, 129th Judicial District",0032,796,556,1352,2171,62.28%,647,576,1223
