Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Wittenmyer,DEM Mike Engelhart,Totals
"District Judge, 151st Judicial District",0001,808,518,1322,2155,81.35%,423,803,1228
"District Judge, 151st Judicial District",0002,753,407,1180,1890,81.38%,527,549,1078
"District Judge, 151st Judicial District",0003,880,474,1134,1519,74.85%,418,815,1031
"District Judge, 151st Judicial District",0004,878,534,1210,1852,73.24%,418,705,1121
"District Judge, 151st Judicial District",0005,472,518,990,1378,71.95%,359,539,898
"District Judge, 151st Judicial District",0008,1251,929,2180,3818,80.29%,1170,901,2071
"District Judge, 151st Judicial District",0007,495,124,819,1058,58.51%,12,593,805
"District Judge, 151st Judicial District",0008,881,430,1091,1708,83.95%,507,514,1021
"District Judge, 151st Judicial District",0009,472,382,854,1738,49.19%,181,815,798
"District Judge, 151st Judicial District",0010,499,245,744,1722,43.21%,187,502,889
"District Judge, 151st Judicial District",0011,418,335,753,1830,41.15%,137,559,898
"District Judge, 151st Judicial District",0012,227,133,380,718,50.28%,188,159,347
"District Judge, 151st Judicial District",0013,1140,443,1583,2823,58.08%,1030,484,1494
"District Judge, 151st Judicial District",0014,758,808,1384,1848,73.81%,880,577,1257
"District Judge, 151st Judicial District",0015,1144,1018,2180,2808,78.98%,1157,810,1987
"District Judge, 151st Judicial District",0018,457,175,832,947,88.74%,279,298,577
"District Judge, 151st Judicial District",0017,348,328,872,1105,80.81%,250,370,820
"District Judge, 151st Judicial District",0018,550,483,1033,1398,74.00%,458,500,958
"District Judge, 151st Judicial District",0019,423,281,884,995,88.74%,232,402,834
"District Judge, 151st Judicial District",0020,878,470,1148,3074,37.35%,312,743,1055
"District Judge, 151st Judicial District",0021,419,230,849,1013,84.07%,140,488,808
"District Judge, 151st Judicial District",0022,888,554,1442,2524,57.13%,194,1182,1378
"District Judge, 151st Judicial District",0023,99,85,184,512,32.03%,33,122,155
"District Judge, 151st Judicial District",0024,225,121,348,811,58.83%,33,290,323
"District Judge, 151st Judicial District",0025,244,304,548,1082,51.80%,12,514,528
"District Judge, 151st Judicial District",0028,483,488,949,1843,51.49%,245,828,873
"District Judge, 151st Judicial District",0027,821,895,1518,3005,50.45%,348,1058,1408
"District Judge, 151st Judicial District",0028,1448,485,1911,2782,88.89%,1098,704,1802
