Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0001,806,516,1322,2155,61.35%,421,804,1225
"District Judge, 164th Judicial District",0002,753,407,1160,1890,61,38%,530,546,1076
"District Judge, 164th Judicial District",0003,660,474,1134,1519,74.65%,416,599,1015
"District Judge, 164th Judicial District",0004,676,534,1210,1652,73.24%,410,707,1117
"District Judge, 164th Judicial District",0005,472,518,990,1376,71.95%,361,524,885
"District Judge, 164th Judicial District",0006,1251,929,2180,3616,60.29%,1160,907,2067
"District Judge, 164th Judicial District",0007,495,124,619,1058,58.51%,13,592,605
"District Judge, 164th Judicial District",0008,661,430,1091,1706,63.95%,510,504,1014
"District Judge, 164th Judicial District",0009,472,382,854,1736,49.19%,169,625,794
"District Judge, 164th Judicial District",0010,499,245,744,1722,43.21%,158,512,670
"District Judge, 164th Judicial District",0011,418,335,753,1830,41.15%,131,565,696
"District Judge, 164th Judicial District",0012,227,133,360,716,50.28%,183,164,347
"District Judge, 164th Judicial District",0013,1140,443,1583,2823,56.08%,1019,470,1489
"District Judge, 164th Judicial District",0014,758,606,1364,1848,73.81%,687,569,1256
"District Judge, 164th Judicial District",0015,1144,1016,2160,2806,76.98%,1179,772,1951
"District Judge, 164th Judicial District",0016,457,175,632,947,66.74%,289,291,580
"District Judge, 164th Judicial District",0017,346,326,672,1105,60.81%,246,370,616
"District Judge, 164th Judicial District",0018,550,483,1033,1396,74.00%,464,487,951
"District Judge, 164th Judicial District",0019,423,261,684,995,68.74%,240,394,634
"District Judge, 164th Judicial District",0020,678,470,1148,3074,37.35%,318,734,1052
"District Judge, 164th Judicial District",0021,419,230,649,1013,64.07%,139,470,609
"District Judge, 164th Judicial District",0022,888,554,1442,2524,57.13%,198,1182,1380
"District Judge, 164th Judicial District",0023,99,65,164,512,32.03%,31,124,155
"District Judge, 164th Judicial District",0024,225,121,346,611,56.63%,34,289,323
"District Judge, 164th Judicial District",0025,244,304,548,1062,51.60%,17,508,525
"District Judge, 164th Judicial District",0026,463,486,949,1843,51.49%,234,634,868
"District Judge, 164th Judicial District",0027,821,695,1516,3005,50.45%,336,1062,1398
"District Judge, 164th Judicial District",0028,1446,465,1911,2782,68.69%,1076,718,1794
"District Judge, 164th Judicial District",0029,418,577,995,2659,37.42%,305,631,936
"District Judge, 164th Judicial District",0030,798,588,1386,2034,68.14%,332,966,1298
"District Judge, 164th Judicial District",0031,911,526,1437,2518,57.07%,21,1370,1391
"District Judge, 164th Judicial District",0032,796,556,1352,2171,62.28%,633,589,1222
"District Judge, 164th Judicial District",0033,1479,843,2322,3540,65.59%,883,1223,2106
"District Judge, 164th Judicial District",0034,1012,749,1761,2676,65.81%,462,1184,1646
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 164th Judicial District",0036,993,479,1472,2868,51.32%,361,1017,1378
"District Judge, 164th Judicial District",0037,801,479,1280,1885,67.90%,405,774,1179
"District Judge, 164th Judicial District",0038,1241,673,1914,2703,70.81%,622,1117,1739
"District Judge, 164th Judicial District",0039,1063,723,1786,2726,65.52%,479,1172,1651
"District Judge, 164th Judicial District",0040,239,135,374,524,71.37%,170,164,334
"District Judge, 164th Judicial District",0041,560,284,844,1197,70.51%,352,460,812
"District Judge, 164th Judicial District",0042,505,139,644,1121,57.45%,12,605,617
"District Judge, 164th Judicial District",0043,520,372,892,1644,54.26%,401,427,828
"District Judge, 164th Judicial District",0044,492,314,806,1976,40.79%,155,582,737
