Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0001,806,516,1322,2155,61.35%,464,767,1231
"District Judge, 165th Judicial District",0002,753,407,1160,1890,61,38%,550,526,1076
"District Judge, 165th Judicial District",0003,660,474,1134,1519,74.65%,467,557,1024
"District Judge, 165th Judicial District",0004,676,534,1210,1652,73.24%,477,647,1124
"District Judge, 165th Judicial District",0005,472,518,990,1376,71.95%,401,494,895
"District Judge, 165th Judicial District",0006,1251,929,2180,3616,60.29%,1205,866,2071
"District Judge, 165th Judicial District",0007,495,124,619,1058,58.51%,13,592,605
"District Judge, 165th Judicial District",0008,661,430,1091,1706,63.95%,542,476,1018
"District Judge, 165th Judicial District",0009,472,382,854,1736,49.19%,180,618,798
"District Judge, 165th Judicial District",0010,499,245,744,1722,43.21%,159,515,674
"District Judge, 165th Judicial District",0011,418,335,753,1830,41.15%,122,576,698
"District Judge, 165th Judicial District",0012,227,133,360,716,50.28%,187,160,347
"District Judge, 165th Judicial District",0013,1140,443,1583,2823,56.08%,1053,443,1496
"District Judge, 165th Judicial District",0014,758,606,1364,1848,73.81%,757,495,1252
"District Judge, 165th Judicial District",0015,1144,1016,2160,2806,76.98%,1388,581,1969
"District Judge, 165th Judicial District",0016,457,175,632,947,66.74%,299,277,576
"District Judge, 165th Judicial District",0017,346,326,672,1105,60.81%,263,357,620
"District Judge, 165th Judicial District",0018,550,483,1033,1396,74.00%,527,424,951
"District Judge, 165th Judicial District",0019,423,261,684,995,68.74%,243,388,631
"District Judge, 165th Judicial District",0020,678,470,1148,3074,37.35%,337,715,1052
"District Judge, 165th Judicial District",0021,419,230,649,1013,64.07%,148,465,613
"District Judge, 165th Judicial District",0022,888,554,1442,2524,57.13%,213,1166,1379
"District Judge, 165th Judicial District",0023,99,65,164,512,32.03%,35,122,157
"District Judge, 165th Judicial District",0024,225,121,346,611,56.63%,34,287,321
"District Judge, 165th Judicial District",0025,244,304,548,1062,51.60%,22,503,525
"District Judge, 165th Judicial District",0026,463,486,949,1843,51.49%,232,648,880
"District Judge, 165th Judicial District",0027,821,695,1516,3005,50.45%,326,1084,1410
"District Judge, 165th Judicial District",0028,1446,465,1911,2782,68.69%,1110,693,1803
"District Judge, 165th Judicial District",0029,418,577,995,2659,37.42%,309,633,942
"District Judge, 165th Judicial District",0030,798,588,1386,2034,68.14%,357,939,1296
"District Judge, 165th Judicial District",0031,911,526,1437,2518,57.07%,26,1365,1391
"District Judge, 165th Judicial District",0032,796,556,1352,2171,62.28%,651,571,1222
"District Judge, 165th Judicial District",0033,1479,843,2322,3540,65.59%,957,1149,2106
"District Judge, 165th Judicial District",0034,1012,749,1761,2676,65.81%,499,1145,1644
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 165th Judicial District",0036,993,479,1472,2868,51.32%,365,1020,1385
"District Judge, 165th Judicial District",0037,801,479,1280,1885,67.90%,453,719,1172
"District Judge, 165th Judicial District",0038,1241,673,1914,2703,70.81%,736,1010,1746
"District Judge, 165th Judicial District",0039,1063,723,1786,2726,65.52%,558,1097,1655
"District Judge, 165th Judicial District",0040,239,135,374,524,71.37%,211,129,340
"District Judge, 165th Judicial District",0041,560,284,844,1197,70.51%,370,444,814
"District Judge, 165th Judicial District",0042,505,139,644,1121,57.45%,13,606,619
"District Judge, 165th Judicial District",0043,520,372,892,1644,54.26%,425,405,830
"District Judge, 165th Judicial District",0044,492,314,806,1976,40.79%,154,594,748
"District Judge, 165th Judicial District",0045,2434,1138,3572,6031,59.23%,596,2826,3422
"District Judge, 165th Judicial District",0046,538,433,971,2468,39.34%,150,776,926
"District Judge, 165th Judicial District",0047,535,345,880,1624,54.19%,22,840,862
"District Judge, 165th Judicial District",0048,371,193,564,992,56.85%,50,493,543
"District Judge, 165th Judicial District",0049,1228,669,1897,3144,60.34%,1312,501,1813
"District Judge, 165th Judicial District",0050,1901,1110,3011,4762,63.23%,1551,1334,2885
"District Judge, 165th Judicial District",0051,657,349,1006,1568,64.16%,729,228,957
"District Judge, 165th Judicial District",0052,970,620,1590,2299,69.16%,811,640,1451
"District Judge, 165th Judicial District",0053,1102,884,1986,2808,70.73%,882,912,1794
"District Judge, 165th Judicial District",0054,606,402,1008,1408,71.59%,519,400,919
"District Judge, 165th Judicial District",0055,441,394,835,1305,63.98%,336,425,761
"District Judge, 165th Judicial District",0056,548,307,855,1285,66.54%,564,225,789
"District Judge, 165th Judicial District",0057,1273,956,2229,3062,72.80%,1002,1044,2046
"District Judge, 165th Judicial District",0058,881,747,1628,2521,64.58%,712,792,1504
"District Judge, 165th Judicial District",0059,914,751,1665,2283,72.93%,710,810,1520
"District Judge, 165th Judicial District",0060,839,664,1503,2263,66.42%,445,932,1377
"District Judge, 165th Judicial District",0061,435,528,963,2250,42.80%,245,668,913
"District Judge, 165th Judicial District",0062,419,528,947,2190,43.24%,183,684,867
"District Judge, 165th Judicial District",0063,674,400,1074,1784,60.20%,842,162,1004
"District Judge, 165th Judicial District",0064,410,420,830,2090,39.71%,147,634,781
"District Judge, 165th Judicial District",0065,404,532,936,2178,42.98%,158,726,884
"District Judge, 165th Judicial District",0066,172,279,451,1090,41.38%,61,361,422
"District Judge, 165th Judicial District",0067,664,574,1238,2742,45.15%,248,883,1131
"District Judge, 165th Judicial District",0068,1198,486,1684,2782,60.53%,24,1601,1625
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0089,218,284,502,1303,38.53%,88,380,448
"District Judge, 165th Judicial District",0070,1833,728,2359,3142,75.08%,1472,710,2182
"District Judge, 165th Judicial District",0071,1419,948,2387,3882,84.84%,1222,975,2197
"District Judge, 165th Judicial District",0072,441,582,1003,1882,53.29%,238,888,924
"District Judge, 165th Judicial District",0073,499,498,995,1494,88.80%,578,340,918
"District Judge, 165th Judicial District",0074,2212,530,2742,3832,75.50%,2114,442,2558
"District Judge, 165th Judicial District",0075,481,370,851,1329,84.03%,338,445,781
"District Judge, 165th Judicial District",0078,814,589,1383,2328,59.41%,721,589,1290
"District Judge, 165th Judicial District",0077,188,81,249,585,44.07%,52,180,232
"District Judge, 165th Judicial District",0078,359,344,703,1479,47.53%,182,451,833
"District Judge, 165th Judicial District",0079,511,717,1228,2959,41.50%,198,935,1133
"District Judge, 165th Judicial District",0080,1159,481,1840,2712,80.47%,322,1227,1549
"District Judge, 165th Judicial District",0081,540,309,849,1839,48.17%,280,525,785
"District Judge, 165th Judicial District",0082,1353,818,2189,3284,88.05%,1599,487,2088
"District Judge, 165th Judicial District",0083,2825,1181,3808,5598,87.99%,1793,1857,3850
"District Judge, 165th Judicial District",0084,444,348,790,1389,58.88%,583,193,758
"District Judge, 165th Judicial District",0085,730,548,1278,2079,81.47%,30,1188,1218
"District Judge, 165th Judicial District",0088,1054,889,1743,2837,88.10%,808,793,1801
"District Judge, 165th Judicial District",0087,1222,881,2083,2749,75.77%,1384,512,1898
"District Judge, 165th Judicial District",0088,235,182,397,878,58.55%,252,129,381
"District Judge, 165th Judicial District",0089,342,454,798,1104,72.10%,502,230,732
"District Judge, 165th Judicial District",0090,1498,958,2458,3571,88.78%,1793,517,2310
"District Judge, 165th Judicial District",0091,488,333,799,1248,84.02%,492,274,788
