Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0001,806,516,1322,2155,61.35%,465,760,1225
"District Judge, 176th Judicial District",0002,753,407,1160,1890,61,38%,549,524,1073
"District Judge, 176th Judicial District",0003,660,474,1134,1519,74.65%,449,565,1014
"District Judge, 176th Judicial District",0004,676,534,1210,1652,73.24%,448,665,1113
"District Judge, 176th Judicial District",0005,472,518,990,1376,71.95%,383,504,887
"District Judge, 176th Judicial District",0006,1251,929,2180,3616,60.29%,1192,877,2069
"District Judge, 176th Judicial District",0007,495,124,619,1058,58.51%,14,592,606
"District Judge, 176th Judicial District",0008,661,430,1091,1706,63.95%,536,481,1017
"District Judge, 176th Judicial District",0009,472,382,854,1736,49.19%,183,608,791
"District Judge, 176th Judicial District",0010,499,245,744,1722,43.21%,163,507,670
"District Judge, 176th Judicial District",0011,418,335,753,1830,41.15%,140,558,698
"District Judge, 176th Judicial District",0012,227,133,360,716,50.28%,192,154,346
"District Judge, 176th Judicial District",0013,1140,443,1583,2823,56.08%,1049,444,1493
"District Judge, 176th Judicial District",0014,758,606,1364,1848,73.81%,710,533,1243
"District Judge, 176th Judicial District",0015,1144,1016,2160,2806,76.98%,1289,663,1952
"District Judge, 176th Judicial District",0016,457,175,632,947,66.74%,295,280,575
"District Judge, 176th Judicial District",0017,346,326,672,1105,60.81%,251,365,616
"District Judge, 176th Judicial District",0018,550,483,1033,1396,74.00%,501,452,953
"District Judge, 176th Judicial District",0019,423,261,684,995,68.74%,254,381,635
"District Judge, 176th Judicial District",0020,678,470,1148,3074,37.35%,324,724,1048
"District Judge, 176th Judicial District",0021,419,230,649,1013,64.07%,146,462,608
"District Judge, 176th Judicial District",0022,888,554,1442,2524,57.13%,202,1178,1380
"District Judge, 176th Judicial District",0023,99,65,164,512,32.03%,35,120,155
"District Judge, 176th Judicial District",0024,225,121,346,611,56.63%,33,290,323
"District Judge, 176th Judicial District",0025,244,304,548,1062,51.60%,25,502,527
"District Judge, 176th Judicial District",0026,463,486,949,1843,51.49%,251,608,859
"District Judge, 176th Judicial District",0027,821,695,1516,3005,50.45%,359,1039,1398
"District Judge, 176th Judicial District",0028,1446,465,1911,2782,68.69%,1102,692,1794
"District Judge, 176th Judicial District",0029,418,577,995,2659,37.42%,319,618,937
"District Judge, 176th Judicial District",0030,798,588,1386,2034,68.14%,353,944,1297
"District Judge, 176th Judicial District",0031,911,526,1437,2518,57.07%,29,1367,1396
"District Judge, 176th Judicial District",0032,796,556,1352,2171,62.28%,652,572,1224
"District Judge, 176th Judicial District",0033,1479,843,2322,3540,65.59%,946,1162,2108
"District Judge, 176th Judicial District",0034,1012,749,1761,2676,65.81%,501,1142,1643
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 176th Judicial District",0036,993,479,1472,2868,51.32%,378,1000,1378
"District Judge, 176th Judicial District",0037,801,479,1280,1885,67.90%,436,740,1176
"District Judge, 176th Judicial District",0038,1241,673,1914,2703,70.81%,678,1066,1744
"District Judge, 176th Judicial District",0039,1063,723,1786,2726,65.52%,514,1138,1652
"District Judge, 176th Judicial District",0040,239,135,374,524,71.37%,192,149,341
"District Judge, 176th Judicial District",0041,560,284,844,1197,70.51%,366,447,813
"District Judge, 176th Judicial District",0042,505,139,644,1121,57.45%,12,607,619
"District Judge, 176th Judicial District",0043,520,372,892,1644,54.26%,421,404,825
"District Judge, 176th Judicial District",0044,492,314,806,1976,40.79%,166,573,739
"District Judge, 176th Judicial District",0045,2434,1138,3572,6031,59.23%,605,2811,3416
"District Judge, 176th Judicial District",0046,538,433,971,2468,39.34%,162,752,914
"District Judge, 176th Judicial District",0047,535,345,880,1624,54.19%,22,836,858
"District Judge, 176th Judicial District",0048,371,193,564,992,56.85%,46,495,541
"District Judge, 176th Judicial District",0049,1228,669,1897,3144,60.34%,1302,504,1806
"District Judge, 176th Judicial District",0050,1901,1110,3011,4762,63.23%,1548,1334,2882
"District Judge, 176th Judicial District",0051,657,349,1006,1568,64.16%,725,229,954
"District Judge, 176th Judicial District",0052,970,620,1590,2299,69.16%,804,640,1444
"District Judge, 176th Judicial District",0053,1102,884,1986,2808,70.73%,857,934,1791
"District Judge, 176th Judicial District",0054,606,402,1008,1408,71.59%,522,391,913
"District Judge, 176th Judicial District",0055,441,394,835,1305,63.98%,336,423,759
"District Judge, 176th Judicial District",0056,548,307,855,1285,66.54%,543,245,788
"District Judge, 176th Judicial District",0057,1273,956,2229,3062,72.80%,928,1110,2038
"District Judge, 176th Judicial District",0058,881,747,1628,2521,64.58%,692,808,1500
"District Judge, 176th Judicial District",0059,914,751,1665,2283,72.93%,681,823,1504
"District Judge, 176th Judicial District",0060,839,664,1503,2263,66.42%,424,945,1369
"District Judge, 176th Judicial District",0061,435,528,963,2250,42.80%,252,660,912
"District Judge, 176th Judicial District",0062,419,528,947,2190,43.24%,194,658,852
"District Judge, 176th Judicial District",0063,674,400,1074,1784,60.20%,840,166,1006
"District Judge, 176th Judicial District",0064,410,420,830,2090,39.71%,155,613,768
"District Judge, 176th Judicial District",0065,404,532,936,2178,42.98%,169,709,878
