Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0001,806,516,1322,2155,61.35%,463,759,1222
"District Judge, 177th Judicial District",0002,753,407,1160,1890,61.38%,556,519,1075
"District Judge, 177th Judicial District",0003,660,474,1134,1519,74.65%,457,560,1017
"District Judge, 177th Judicial District",0004,676,534,1210,1652,73.24%,466,653,1119
"District Judge, 177th Judicial District",0005,472,518,990,1376,71.95%,389,496,885
"District Judge, 177th Judicial District",0006,1251,929,2180,3616,60.29%,1194,882,2076
"District Judge, 177th Judicial District",0007,495,124,619,1058,58.51%,13,592,605
"District Judge, 177th Judicial District",0008,661,430,1091,1706,63.95%,549,466,1015
"District Judge, 177th Judicial District",0009,472,382,854,1736,49.19%,178,615,793
"District Judge, 177th Judicial District",0010,499,245,744,1722,43.21%,164,502,666
"District Judge, 177th Judicial District",0011,418,335,753,1830,41.15%,139,557,696
"District Judge, 177th Judicial District",0012,227,133,360,716,50.28%,191,155,346
"District Judge, 177th Judicial District",0013,1140,443,1583,2823,56.08%,1055,440,1495
"District Judge, 177th Judicial District",0014,758,606,1364,1848,73.81%,742,507,1249
"District Judge, 177th Judicial District",0015,1144,1016,2160,2806,76.98%,1319,632,1951
"District Judge, 177th Judicial District",0016,457,175,632,947,66.74%,303,275,578
"District Judge, 177th Judicial District",0017,346,326,672,1105,60.81%,259,359,618
"District Judge, 177th Judicial District",0018,550,483,1033,1396,74.00%,518,443,961
"District Judge, 177th Judicial District",0019,423,261,684,995,68.74%,255,381,636
"District Judge, 177th Judicial District",0020,678,470,1148,3074,37.35%,333,719,1052
"District Judge, 177th Judicial District",0021,419,230,649,1013,64.07%,147,465,612
"District Judge, 177th Judicial District",0022,888,554,1442,2524,57.13%,207,1175,1382
"District Judge, 177th Judicial District",0023,99,65,164,512,32.03%,36,120,156
"District Judge, 177th Judicial District",0024,225,121,346,611,56.63%,36,289,325
"District Judge, 177th Judicial District",0025,244,304,548,1062,51.60%,19,508,527
"District Judge, 177th Judicial District",0026,463,486,949,1843,51.49%,254,615,869
"District Judge, 177th Judicial District",0027,821,695,1516,3005,50.45%,368,1038,1406
"District Judge, 177th Judicial District",0028,1446,465,1911,2782,68.69%,1116,684,1800
"District Judge, 177th Judicial District",0029,418,577,995,2659,37.42%,317,625,942
"District Judge, 177th Judicial District",0030,798,588,1386,2034,68.14%,355,945,1300
"District Judge, 177th Judicial District",0031,911,526,1437,2518,57.07%,23,1374,1397
"District Judge, 177th Judicial District",0032,796,556,1352,2171,62.28%,659,566,1225
"District Judge, 177th Judicial District",0033,1479,843,2322,3540,65.59%,944,1162,2106
"District Judge, 177th Judicial District",0034,1012,749,1761,2676,65.81%,477,1164,1641
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 177th Judicial District",0036,993,479,1472,2868,51.32%,382,1001,1383
"District Judge, 177th Judicial District",0037,801,479,1280,1885,67.90%,441,731,1172
"District Judge, 177th Judicial District",0038,1241,673,1914,2703,70.81%,708,1037,1745
"District Judge, 177th Judicial District",0039,1063,723,1786,2726,65.52%,534,1119,1653
"District Judge, 177th Judicial District",0040,239,135,374,524,71.37%,202,137,339
"District Judge, 177th Judicial District",0041,560,284,844,1197,70.51%,371,446,817
"District Judge, 177th Judicial District",0042,505,139,644,1121,57.45%,13,607,620
"District Judge, 177th Judicial District",0043,520,372,892,1644,54.26%,415,413,828
"District Judge, 177th Judicial District",0044,492,314,806,1976,40.79%,163,579,742
"District Judge, 177th Judicial District",0045,2434,1138,3572,6031,59.23%,596,2829,3425
"District Judge, 177th Judicial District",0046,538,433,971,2468,39.34%,160,759,919
"District Judge, 177th Judicial District",0047,535,345,880,1624,54.19%,20,841,861
"District Judge, 177th Judicial District",0048,371,193,564,992,56.85%,47,495,542
"District Judge, 177th Judicial District",0049,1228,669,1897,3144,60.34%,1306,505,1811
"District Judge, 177th Judicial District",0050,1901,1110,3011,4762,63.23%,1539,1347,2886
"District Judge, 177th Judicial District",0051,657,349,1006,1568,64.16%,722,232,954
"District Judge, 177th Judicial District",0052,970,620,1590,2299,69.16%,814,634,1448
"District Judge, 177th Judicial District",0053,1102,884,1986,2808,70.73%,874,914,1788
"District Judge, 177th Judicial District",0054,606,402,1008,1408,71.59%,523,393,916
"District Judge, 177th Judicial District",0055,441,394,835,1305,63.98%,336,423,759
"District Judge, 177th Judicial District",0056,548,307,855,1285,66.54%,553,234,787
"District Judge, 177th Judicial District",0057,1273,956,2229,3062,72.80%,957,1083,2040
"District Judge, 177th Judicial District",0058,881,747,1628,2521,64.58%,714,790,1504
"District Judge, 177th Judicial District",0059,914,751,1665,2283,72.93%,702,805,1507
"District Judge, 177th Judicial District",0060,839,664,1503,2263,66.42%,450,912,1362
"District Judge, 177th Judicial District",0061,435,528,963,2250,42.80%,239,674,913
"District Judge, 177th Judicial District",0062,419,528,947,2190,43.24%,192,662,854
"District Judge, 177th Judicial District",0063,674,400,1074,1784,60.20%,841,166,1007
"District Judge, 177th Judicial District",0064,410,420,830,2090,39.71%,156,618,774
"District Judge, 177th Judicial District",0065,404,532,936,2178,42.98%,166,713,879
"District Judge, 177th Judicial District",0066,172,279,451,1090,41.38%,65,348,413
"District Judge, 177th Judicial District",0067,664,574,1238,2742,45.15%,259,864,1123
"District Judge, 177th Judicial District",0068,1198,486,1684,2782,60.53%,24,1599,1623
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0069,218,284,502,1303,38.53%,84,363,447
"District Judge, 177th Judicial District",0070,1633,726,2359,3142,75.08%,1442,726,2168
"District Judge, 177th Judicial District",0071,1419,948,2367,3662,64.64%,1209,977,2186
"District Judge, 177th Judicial District",0072,441,562,1003,1882,53.29%,282,627,909
"District Judge, 177th Judicial District",0073,499,496,995,1494,66.60%,566,349,915
"District Judge, 177th Judicial District",0074,2212,530,2742,3632,75.50%,2096,468,2564
"District Judge, 177th Judicial District",0075,481,370,851,1329,64.03%,337,443,780
"District Judge, 177th Judicial District",0076,814,569,1383,2328,59.41%,726,556,1282
"District Judge, 177th Judicial District",0077,168,81,249,565,44.07%,54,178,232
"District Judge, 177th Judicial District",0078,359,344,703,1479,47.53%,204,418,622
"District Judge, 177th Judicial District",0079,511,717,1228,2959,41.50%,235,884,1119
"District Judge, 177th Judicial District",0080,1159,481,1640,2712,60.47%,334,1215,1549
"District Judge, 177th Judicial District",0081,540,309,849,1839,46.17%,261,524,785
"District Judge, 177th Judicial District",0082,1353,816,2169,3284,66.05%,1587,482,2069
"District Judge, 177th Judicial District",0083,2625,1181,3806,5598,67.99%,1770,1881,3651
"District Judge, 177th Judicial District",0084,444,346,790,1389,56.88%,551,206,757
