Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0001,808,518,1322,2155,81.35%,427,798,1225
"District Judge, 178th Judicial District",0002,753,407,1180,1890,81.38%,533,542,1075
"District Judge, 178th Judicial District",0003,880,474,1134,1519,74.85%,422,598,1020
"District Judge, 178th Judicial District",0004,878,534,1210,1852,73.24%,423,890,1113
"District Judge, 178th Judicial District",0005,472,518,990,1378,71.95%,389,520,889
"District Judge, 178th Judicial District",0008,1251,929,2180,3818,80.29%,1171,902,2073
"District Judge, 178th Judicial District",0007,495,124,819,1058,58.51%,12,595,807
"District Judge, 178th Judicial District",0008,881,430,1091,1708,83.95%,518,498,1014
"District Judge, 178th Judicial District",0009,472,382,854,1738,49.19%,181,838,797
"District Judge, 178th Judicial District",0010,499,245,744,1722,43.21%,148,531,877
"District Judge, 178th Judicial District",0011,418,335,753,1830,41.15%,119,588,705
"District Judge, 178th Judicial District",0012,227,133,380,718,50.28%,184,182,348
"District Judge, 178th Judicial District",0013,1140,443,1583,2823,58.08%,1031,488,1499
"District Judge, 178th Judicial District",0014,758,808,1384,1848,73.81%,710,539,1249
"District Judge, 178th Judicial District",0015,1144,1018,2180,2808,78.98%,1200,740,1940
"District Judge, 178th Judicial District",0018,457,175,832,947,88.74%,287,283,570
"District Judge, 178th Judicial District",0017,348,328,872,1105,80.81%,248,388,812
"District Judge, 178th Judicial District",0018,550,483,1033,1398,74.00%,480,470,950
"District Judge, 178th Judicial District",001,9,423,281,884,995,88.74%,234,400,834
"District Judge, 178th Judicial District",0020,878,470,1148,3074,37.35%,325,725,1050
"District Judge, 178th Judicial District",0021,419,230,849,1013,84.07%,141,472,813
"District Judge, 178th Judicial District",0022,888,554,1442,2524,57.13%,191,1187,1378
"District Judge, 178th Judicial District",0023,99,85,184,512,32.03%,34,123,157
"District Judge, 178th Judicial District",0024,225,121,348,811,58.83%,33,289,322
"District Judge, 178th Judicial District",0025,244,304,548,1082,51.80%,27,503,530
"District Judge, 178th Judicial District",0028,483,488,949,1843,51.49%,214,888,882
"District Judge, 178th Judicial District",0027,821,895,1518,3005,50.45%,313,1108,1419
"District Judge, 178th Judicial District",0028,1448,485,1911,2782,88.89%,1097,700,1797
"District Judge, 178th Judicial District",0029,418,577,995,2859,37.42%,294,850,944
"District Judge, 178th Judicial District",0030,798,588,1388,2034,88.14%,345,949,1294
"District Judge, 178th Judicial District",0031,911,528,1437,2518,57.07%,27,1388,1393
"District Judge, 178th Judicial District",0032,798,558,1352,2171,82.28%,843,579,1222
"District Judge, 178th Judicial District",0033,1479,843,2322,3540,85.59%,919,1179,2098
"District Judge, 178th Judicial District",0034,1012,749,1781,2878,85.81%,472,1148,1820
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 178th Judicial District",0036,993,479,1472,2868,51.32%,354,1029,1383
"District Judge, 178th Judicial District",0037,801,479,1280,1885,67.90%,412,751,1163
"District Judge, 178th Judicial District",0038,1241,673,1914,2703,70.81%,644,1089,1733
"District Judge, 178th Judicial District",0039,1063,723,1786,2726,65.52%,504,1135,1639
"District Judge, 178th Judicial District",0040,239,135,374,524,71.37%,171,162,333
"District Judge, 178th Judicial District",0041,560,284,844,1197,70.51%,353,461,814
"District Judge, 178th Judicial District",0042,505,139,644,1121,57.45%,12,606,618
"District Judge, 178th Judicial District",0043,520,372,892,1644,54.26%,407,421,828
"District Judge, 178th Judicial District",0044,492,314,806,1976,40.79%,139,610,749
"District Judge, 178th Judicial District",0045,2434,1138,3572,6031,59.23%,573,2852,3425
"District Judge, 178th Judicial District",0046,538,433,971,2468,39.34%,126,796,922
"District Judge, 178th Judicial District",0047,535,345,880,1624,54.19%,20,840,860
"District Judge, 178th Judicial District",0048,371,193,564,992,56.85%,40,502,542
"District Judge, 178th Judicial District",0049,1228,669,1897,3144,60.34%,1292,517,1809
"District Judge, 178th Judicial District",0050,1901,1110,3011,4762,63.23%,1529,1349,2878
"District Judge, 178th Judicial District",0051,657,349,1006,1568,64.16%,719,235,954
"District Judge, 178th Judicial District",0052,970,620,1590,2299,69.16%,779,664,1443
"District Judge, 178th Judicial District",0053,1102,884,1986,2808,70.73%,829,959,1788
"District Judge, 178th Judicial District",0054,606,402,1008,1408,71.59%,491,424,915
"District Judge, 178th Judicial District",0055,441,394,835,1305,63.98%,322,434,756
"District Judge, 178th Judicial District",0056,548,307,855,1285,66.54%,535,253,788
"District Judge, 178th Judicial District",0057,1273,956,2229,3062,72.80%,887,1145,2032
"District Judge, 178th Judicial District",0058,881,747,1628,2521,64.58%,683,808,1491
"District Judge, 178th Judicial District",0059,914,751,1665,2283,72.93%,661,845,1506
"District Judge, 178th Judicial District",0060,839,664,1503,2263,66.42%,409,952,1361
"District Judge, 178th Judicial District",0061,435,528,963,2250,42.80%,233,683,916
"District Judge, 178th Judicial District",0062,419,528,947,2190,43.24%,158,720,878
"District Judge, 178th Judicial District",0063,674,400,1074,1784,60.20%,836,174,1010
"District Judge, 178th Judicial District",0064,410,420,830,2090,39.71%,120,665,785
"District Judge, 178th Judicial District",0065,404,532,936,2178,42.98%,146,747,893
"District Judge, 178th Judicial District",0066,172,279,451,1090,41.38%,58,365,423
"District Judge, 178th Judicial District",0067,664,574,1238,2742,45.15%,232,905,1137
"District Judge, 178th Judicial District",0068,1198,486,1684,2782,60.53%,29,1595,1624
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0069,218,284,502,1303,38.53%,66,389,455
"District Judge, 178th Judicial District",0070,1633,726,2359,3142,75.08%,1344,830,2174
"District Judge, 178th Judicial District",0071,1419,948,2367,3662,64.64%,1162,1022,2184
"District Judge, 178th Judicial District",0072,441,562,1003,1882,53.29%,220,707,927
"District Judge, 178th Judicial District",0073,499,496,995,1494,66.60%,536,379,915
"District Judge, 178th Judicial District",0074,2212,530,2742,3632,75.50%,2048,509,2557
"District Judge, 178th Judicial District",0075,481,370,851,1329,64.03%,326,446,772
"District Judge, 178th Judicial District",0076,814,559,1383,2328,59.41%,690,598,1288
"District Judge, 178th Judicial District",0077,168,81,249,565,44.07%,48,185,233
"District Judge, 178th Judicial District",0078,359,344,703,1479,47.53%,167,471,638
"District Judge, 178th Judicial District",0079,511,717,1228,2959,41.50%,179,969,1148
"District Judge, 178th Judicial District",0080,1159,481,1640,2712,60.47%,312,1243,1555
"District Judge, 178th Judicial District",0081,540,309,849,1839,46.17%,247,545,792
"District Judge, 178th Judicial District",0082,1353,816,2169,3284,66.05%,1567,498,2065
"District Judge, 178th Judicial District",0083,2525,1181,3806,5598,67.99%,1720,1924,3644
"District Judge, 178th Judicial District",0084,444,346,790,1389,56.88%,554,203,757
"District Judge, 178th Judicial District",0085,730,548,1278,2079,61.47%,22,1192,1214
"District Judge, 178th Judicial District",0086,1054,689,1743,2637,66.10%,776,822,1598
"District Judge, 178th Judicial District",0087,1222,861,2083,2749,75.77%,1207,653,1860
"District Judge, 178th Judicial District",0088,235,162,397,678,58.55%,242,139,381
"District Judge, 178th Judicial District",0089,342,454,796,1104,72.10%,417,296,713
"District Judge, 178th Judicial District",0090,1498,958,2456,3571,68.78%,1750,558,2308
"District Judge, 178th Judicial District",0091,466,333,799,1248,64.02%,476,288,764
"District Judge, 178th Judicial District",0092,1105,534,1639,2228,73.56%,1077,439,1516
"District Judge, 178th Judicial District",0093,782,643,1425,3295,43.25%,464,867,1331
"District Judge, 178th Judicial District",0094,148,104,252,537,46.93%,50,189,239
"District Judge, 178th Judicial District",0095,1584,571,2355,3179,74.08%,1560,628,2188
"District Judge, 178th Judicial District",0096,364,237,601,1241,48.43%,56,524,580
"District Judge, 178th Judicial District",0097,2393,764,3157,4566,69.14%,2251,735,2986
"District Judge, 178th Judicial District",0098,874,607,1481,2403,61.63%,1188,225,1413
"District Judge, 178th Judicial District",0099,568,311,879,2040,43.09%,373,469,842
"District Judge, 178th Judicial District",0100,427,324,751,1754,42.82%,320,398,718
