Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0001,806,516,1322,2155,61.35%,434,770,1204
"District Judge, 215th Judicial District",0002,753,407,1160,1890,61.38%,550,508,1058
"District Judge, 215th Judicial District",0003,660,474,1134,1519,74.65%,443,562,1005
"District Judge, 215th Judicial District",0004,676,534,1210,1652,73.24%,441,650,1091
"District Judge, 215th Judicial District",0005,472,518,990,1376,71.95%,384,489,873
"District Judge, 215th Judicial District",0006,1251,929,2180,3616,60.29%,1175,895,2070
"District Judge, 215th Judicial District",0007,495,124,619,1058,58.51%,13,592,605
"District Judge, 215th Judicial District",0008,661,430,1091,1706,63.95%,522,483,1005
"District Judge, 215th Judicial District",0009,472,382,854,1736,49.19%,168,622,790
"District Judge, 215th Judicial District",0010,499,245,744,1722,43.21%,155,513,668
"District Judge, 215th Judicial District",0011,418,335,753,1830,41.15%,128,568,696
"District Judge, 215th Judicial District",0012,227,133,360,716,50.28%,189,156,345
"District Judge, 215th Judicial District",0013,1140,443,1583,2823,56.08%,1027,459,1486
"District Judge, 215th Judicial District",0014,758,606,1364,1848,73.81%,715,524,1239
"District Judge, 215th Judicial District",0015,1144,1016,2160,2806,76.98%,1295,637,1932
"District Judge, 215th Judicial District",0016,457,175,632,947,66.74%,288,276,564
"District Judge, 215th Judicial District",0017,346,326,672,1105,60.81%,250,359,609
"District Judge, 215th Judicial District",0018,550,483,1033,1396,74.00%,508,430,938
"District Judge, 215th Judicial District",0019,423,261,684,995,68.74%,241,379,620
"District Judge, 215th Judicial District",0020,678,470,1148,3074,37.35%,320,714,1034
"District Judge, 215th Judicial District",0021,419,230,649,1013,64.07%,137,468,605
"District Judge, 215th Judicial District",0022,888,554,1442,2524,57.13%,199,1174,1373
"District Judge, 215th Judicial District",0023,99,65,164,512,32.03%,35,120,155
"District Judge, 215th Judicial District",0024,225,121,346,611,56.63%,35,290,325
"District Judge, 215th Judicial District",0025,244,304,548,1062,51.60%,24,502,526
"District Judge, 215th Judicial District",0026,463,486,949,1843,51.49%,229,634,863
"District Judge, 215th Judicial District",0027,821,695,1516,3005,50.45%,337,1062,1399
"District Judge, 215th Judicial District",0028,1446,465,1911,2782,68.69%,1083,707,1790
"District Judge, 215th Judicial District",0029,418,577,995,2659,37.42%,297,640,937
"District Judge, 215th Judicial District",0030,798,588,1386,2034,68.14%,333,956,1289
"District Judge, 215th Judicial District",0031,911,526,1437,2518,57.07%,25,1367,1392
"District Judge, 215th Judicial District",0032,796,556,1352,2171,62.28%,650,563,1213
"District Judge, 215th Judicial District",0033,1479,843,2322,3540,65.59%,934,1118,2052
"District Judge, 215th Judicial District",0034,1012,749,1761,2676,65.81%,473,1085,1558
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 215th Judicial District",0036,993,479,1472,2868,51.32%,359,1019,1378
"District Judge, 215th Judicial District",0037,801,479,1280,1885,67.90%,433,691,1124
"District Judge, 215th Judicial District",0038,1241,673,1914,2703,70.81%,672,1039,1711
"District Judge, 215th Judicial District",0039,1063,723,1786,2726,65.52%,537,1043,1580
"District Judge, 215th Judicial District",0040,239,135,374,524,71.37%,197,130,327
"District Judge, 215th Judicial District",0041,560,284,844,1197,70.51%,353,457,810
"District Judge, 215th Judicial District",0042,505,139,644,1121,57.45%,11,607,618
"District Judge, 215th Judicial District",0043,520,372,892,1644,54.26%,397,421,818
"District Judge, 215th Judicial District",0044,492,314,806,1976,40.79%,149,587,736
"District Judge, 215th Judicial District",0045,2434,1138,3572,6031,59.23%,566,2853,3419
"District Judge, 215th Judicial District",0046,538,433,971,2468,39.34%,141,773,914
"District Judge, 215th Judicial District",0047,535,345,880,1624,54.19%,19,843,862
"District Judge, 215th Judicial District",0048,371,193,564,992,56.85%,44,497,541
"District Judge, 215th Judicial District",0049,1228,669,1897,3144,60.34%,1290,512,1802
"District Judge, 215th Judicial District",0050,1901,1110,3011,4762,63.23%,1513,1360,2873
"District Judge, 215th Judicial District",0051,657,349,1006,1568,64.16%,707,243,950
"District Judge, 215th Judicial District",0052,970,620,1590,2299,69.16%,791,634,1425
"District Judge, 215th Judicial District",0053,1102,884,1986,2808,70.73%,858,904,1762
"District Judge, 215th Judicial District",0054,606,402,1008,1408,71.59%,515,395,910
"District Judge, 215th Judicial District",0055,441,394,835,1305,63.98%,325,425,750
"District Judge, 215th Judicial District",0056,548,307,855,1285,66.54%,536,249,785
"District Judge, 215th Judicial District",0057,1273,956,2229,3062,72.80%,931,1066,1997
"District Judge, 215th Judicial District",0058,881,747,1628,2521,64.58%,684,794,1478
"District Judge, 215th Judicial District",0059,914,751,1665,2283,72.93%,672,808,1480
"District Judge, 215th Judicial District",0060,839,664,1503,2263,66.42%,420,896,1316
"District Judge, 215th Judicial District",0061,435,528,963,2250,42.80%,236,672,908
"District Judge, 215th Judicial District",0062,419,528,947,2190,43.24%,178,681,859
"District Judge, 215th Judicial District",0063,674,400,1074,1784,60.20%,821,183,1004
