Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Wise,DEM Donna Roth,Totals
"District Judge, 334th Judicial District",0001,806,516,1322,2155,61.35%,456,767,1223
"District Judge, 334th Judicial District",0002,753,407,1160,1890,61.38%,561,518,1079
"District Judge, 334th Judicial District",0003,660,474,1134,1519,74.65%,459,569,1028
"District Judge, 334th Judicial District",0004,676,534,1210,1652,73.24%,471,651,1122
"District Judge, 334th Judicial District",0005,472,518,990,1376,71.95%,399,487,886
"District Judge, 334th Judicial District",0006,1251,929,2180,3616,60.29%,1192,881,2073
"District Judge, 334th Judicial District",0007,495,124,619,1058,58.51%,13,591,604
"District Judge, 334th Judicial District",0008,661,430,1091,1706,63.95%,539,477,1016
"District Judge, 334th Judicial District",0009,472,382,854,1736,49.19%,172,618,790
"District Judge, 334th Judicial District",0010,499,245,744,1722,43.21%,160,504,664
"District Judge, 334th Judicial District",0011,418,335,753,1830,41.15%,133,563,696
"District Judge, 334th Judicial District",0012,227,133,360,716,50.28%,190,156,346
"District Judge, 334th Judicial District",0013,1140,443,1583,2823,56.08%,1053,442,1495
"District Judge, 334th Judicial District",0014,758,606,1364,1848,73.81%,748,509,1257
"District Judge, 334th Judicial District",0015,1144,1016,2160,2806,76.98%,1348,620,1968
"District Judge, 334th Judicial District",0016,457,175,632,947,66.74%,305,275,580
"District Judge, 334th Judicial District",0017,346,326,672,1105,60.81%,259,358,617
"District Judge, 334th Judicial District",0018,550,483,1033,1396,74.00%,528,421,949
"District Judge, 334th Judicial District",0019,423,261,684,995,68.74%,247,378,625
"District Judge, 334th Judicial District",0020,678,470,1148,3074,37.35%,338,713,1051
"District Judge, 334th Judicial District",0021,419,230,649,1013,64.07%,150,463,613
"District Judge, 334th Judicial District",0022,888,554,1442,2524,57.13%,201,1174,1375
"District Judge, 334th Judicial District",0023,99,65,164,512,32.03%,36,119,155
"District Judge, 334th Judicial District",0024,225,121,346,611,56.63%,37,288,325
"District Judge, 334th Judicial District",0025,244,304,548,1062,51.60%,24,501,525
"District Judge, 334th Judicial District",0026,463,486,949,1843,51.49%,249,618,867
"District Judge, 334th Judicial District",0027,821,695,1516,3005,50.45%,347,1055,1402
"District Judge, 334th Judicial District",0028,1446,465,1911,2782,68.69%,1109,686,1795
"District Judge, 334th Judicial District",0029,418,577,995,2659,37.42%,314,625,939
"District Judge, 334th Judicial District",0030,798,588,1386,2034,68.14%,354,940,1294
"District Judge, 334th Judicial District",0031,911,526,1437,2518,57.07%,26,1364,1390
"District Judge, 334th Judicial District",0032,796,556,1352,2171,62.28%,670,557,1227
"District Judge, 334th Judicial District",0033,1479,843,2322,3540,65.59%,939,1159,2098
"District Judge, 334th Judicial District",0034,1012,749,1761,2676,65.81%,481,1166,1647
"District Judge, 334th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 334th Judicial District",0036,993,479,1472,2868,51.32%,375,1005,1380
"District Judge, 334th Judicial District",0037,801,479,1280,1885,67.90%,454,726,1180
"District Judge, 334th Judicial District",0038,1241,673,1914,2703,70.81%,724,1022,1746
"District Judge, 334th Judicial District",0039,1063,723,1786,2726,65.52%,538,1129,1667
"District Judge, 334th Judicial District",0040,239,135,374,524,71.37%,214,121,335
"District Judge, 334th Judicial District",0041,560,284,844,1197,70.51%,363,450,813
"District Judge, 334th Judicial District",0042,505,139,644,1121,57.45%,12,606,618
"District Judge, 334th Judicial District",0043,520,372,892,1644,54.26%,407,417,824
"District Judge, 334th Judicial District",0044,492,314,806,1976,40.79%,159,582,741
"District Judge, 334th Judicial District",0045,2434,1138,3572,6031,59.23%,606,2805,3411
"District Judge, 334th Judicial District",0046,538,433,971,2468,39.34%,153,762,915
"District Judge, 334th Judicial District",0047,535,345,880,1624,54.19%,22,840,862
"District Judge, 334th Judicial District",0048,371,193,564,992,56.85%,47,494,541
"District Judge, 334th Judicial District",0049,1228,669,1897,3144,60.34%,1300,506,1806
"District Judge, 334th Judicial District",0050,1901,1110,3011,4762,63.23%,1536,1342,2878
"District Judge, 334th Judicial District",0051,657,349,1006,1568,64.16%,719,233,952
"District Judge, 334th Judicial District",0052,970,620,1590,2299,69.16%,828,623,1451
"District Judge, 334th Judicial District",0053,1102,884,1986,2808,70.73%,881,911,1792
"District Judge, 334th Judicial District",0054,606,402,1008,1408,71.59%,536,385,921
"District Judge, 334th Judicial District",0055,441,394,835,1305,63.98%,337,425,762
"District Judge, 334th Judicial District",0056,548,307,855,1285,66.54%,551,235,786
"District Judge, 334th Judicial District",0057,1273,956,2229,3062,72.80%,967,1064,2031
"District Judge, 334th Judicial District",0058,881,747,1628,2521,64.58%,702,797,1499
"District Judge, 334th Judicial District",0059,914,751,1665,2283,72.93%,709,803,1512
"District Judge, 334th Judicial District",0060,839,664,1503,2263,66.42%,445,922,1367
"District Judge, 334th Judicial District",0061,435,528,963,2250,42.80%,245,668,913
"District Judge, 334th Judicial District",0062,419,528,947,2190,43.24%,181,677,858
"District Judge, 334th Judicial District",0063,674,400,1074,1784,60.20%,837,170,1007
"District Judge, 334th Judicial District",0064,410,420,830,2090,39.71%,144,629,773
"District Judge, 334th Judicial District",0065,404,532,936,2178,42.98%,158,719,877
"District Judge, 334th Judicial District",0066,172,279,451,1090,41.38%,64,351,415
"District Judge, 334th Judicial District",0067,664,574,1238,2742,45.15%,256,874,1130
"District Judge, 334th Judicial District",0068,1198,486,1684,2782,60.53%,27,1597,1624
"District Judge, 334th Judicial District",0089,218,284,502,1303,38.53%,81,388,447
"District Judge, 334th Judicial District",0070,1833,728,2359,3142,75.08%,1473,708,2179
"District Judge, 334th Judicial District",0071,1419,948,2387,3882,84.84%,1204,981,2185
"District Judge, 334th Judicial District",0072,441,582,1003,1882,53.29%,283,852,915
"District Judge, 334th Judicial District",0073,499,498,995,1494,88.80%,581,358,919
"District Judge, 334th Judicial District",0074,2212,530,2742,3832,75.50%,2074,480,2554
"District Judge, 334th Judicial District",0075,481,370,851,1329,84.03%,339,440,779
"District Judge, 334th Judicial District",0078,814,589,1383,2328,59.41%,718,559,1277
"District Judge, 334th Judicial District",0077,188,81,249,585,44.07%,52,180,232
"District Judge, 334th Judicial District",0078,359,344,703,1479,47.53%,194,429,823
"District Judge, 334th Judicial District",0079,511,717,1228,2959,41.50%,217,907,1124
"District Judge, 334th Judicial District",0080,1159,481,1840,2712,80.47%,338,1208,1542
