Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0001,806,516,1322,2155,61.35%,462,755,1217
"District Judge, 337th Judicial District",0002,753,407,1160,1890,61.38%,558,516,1074
"District Judge, 337th Judicial District",0003,660,474,1134,1519,74.65%,459,558,1017
"District Judge, 337th Judicial District",0004,676,534,1210,1652,73.24%,453,659,1112
"District Judge, 337th Judicial District",0005,472,518,990,1376,71.95%,390,492,882
"District Judge, 337th Judicial District",0006,1251,929,2180,3616,60.29%,1205,866,2071
"District Judge, 337th Judicial District",0007,495,124,619,1058,58.51%,15,589,604
"District Judge, 337th Judicial District",0008,661,430,1091,1706,63.95%,536,477,1013
"District Judge, 337th Judicial District",0009,472,382,854,1736,49.19%,186,607,793
"District Judge, 337th Judicial District",0010,499,245,744,1722,43.21%,169,499,668
"District Judge, 337th Judicial District",0011,418,335,753,1830,41.15%,138,560,698
"District Judge, 337th Judicial District",0012,227,133,360,716,50.28%,187,159,346
"District Judge, 337th Judicial District",0013,1140,443,1583,2823,56.08%,1054,437,1491
"District Judge, 337th Judicial District",0014,758,606,1364,1848,73.81%,728,519,1247
"District Judge, 337th Judicial District",0015,1144,1016,2160,2806,76.98%,1304,633,1937
"District Judge, 337th Judicial District",0016,457,175,632,947,66.74%,290,282,572
"District Judge, 337th Judicial District",0017,346,326,672,1105,60.81%,257,360,617
"District Judge, 337th Judicial District",0018,550,483,1033,1396,74.00%,512,436,948
"District Judge, 337th Judicial District",0019,423,261,684,995,68.74%,247,380,627
"District Judge, 337th Judicial District",0020,678,470,1148,3074,37.35%,329,718,1047
"District Judge, 337th Judicial District",0021,419,230,649,1013,64.07%,149,460,609
"District Judge, 337th Judicial District",0022,888,554,1442,2524,57.13%,217,1159,1376
"District Judge, 337th Judicial District",0023,99,65,164,512,32.03%,37,118,155
"District Judge, 337th Judicial District",0024,225,121,346,611,56.63%,36,288,324
"District Judge, 337th Judicial District",0025,244,304,548,1062,51.60%,23,504,527
"District Judge, 337th Judicial District",0026,463,486,949,1843,51.49%,265,597,862
"District Judge, 337th Judicial District",0027,821,695,1516,3005,50.45%,359,1039,1398
"District Judge, 337th Judicial District",0028,1446,465,1911,2782,68.69%,1114,681,1795
"District Judge, 337th Judicial District",0029,418,577,995,2659,37.42%,329,607,936
"District Judge, 337th Judicial District",0030,798,588,1386,2034,68.14%,352,940,1292
"District Judge, 337th Judicial District",0031,911,526,1437,2518,57.07%,28,1366,1394
"District Judge, 337th Judicial District",0032,796,556,1352,2171,62.28%,642,576,1218
"District Judge, 337th Judicial District",0033,1479,843,2322,3540,65.59%,947,1154,2101
"District Judge, 337th Judicial District",0034,1012,749,1761,2676,65.81%,489,1150,1639
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 337th Judicial District",0036,993,479,1472,2868,51.32%,381,997,1378
"District Judge, 337th Judicial District",0037,801,479,1280,1885,67.90%,428,748,1176
"District Judge, 337th Judicial District",0038,1241,673,1914,2703,70.81%,702,1032,1734
"District Judge, 337th Judicial District",0039,1063,723,1786,2726,65.52%,528,1119,1647
"District Judge, 337th Judicial District",0040,239,135,374,524,71.37%,202,135,337
"District Judge, 337th Judicial District",0041,560,284,844,1197,70.51%,361,451,812
"District Judge, 337th Judicial District",0042,505,139,644,1121,57.45%,11,607,618
"District Judge, 337th Judicial District",0043,520,372,892,1644,54.26%,419,403,822
"District Judge, 337th Judicial District",0044,492,314,806,1976,40.79%,161,579,740
