Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM Mack Mclnnis,Totals
"District Judge, 351st Judicial District",0001,806,516,1322,2155,61.35%,474,746,1220
"District Judge, 351st Judicial District",0002,753,407,1160,1890,61.38%,560,512,1072
"District Judge, 351st Judicial District",0003,660,474,1134,1519,74.65%,469,549,1018
"District Judge, 351st Judicial District",0004,676,534,1210,1652,73.24%,477,639,1116
"District Judge, 351st Judicial District",0005,472,518,990,1376,71.95%,402,479,881
"District Judge, 351st Judicial District",0006,1251,929,2180,3616,60.29%,1206,870,2076
"District Judge, 351st Judicial District",0007,495,124,619,1058,58.51%,14,592,606
"District Judge, 351st Judicial District",0008,661,430,1091,1706,63.95%,556,458,1014
"District Judge, 351st Judicial District",0009,472,382,854,1736,49.19%,183,607,790
"District Judge, 351st Judicial District",0010,499,245,744,1722,43.21%,167,504,671
"District Judge, 351st Judicial District",0011,418,335,753,1830,41.15%,138,561,699
"District Judge, 351st Judicial District",0012,227,133,360,716,50.28%,187,159,346
"District Judge, 351st Judicial District",0013,1140,443,1583,2823,56.08%,1057,433,1490
"District Judge, 351st Judicial District",0014,758,606,1364,1848,73.81%,749,498,1247
"District Judge, 351st Judicial District",0015,1144,1016,2160,2806,76.98%,1376,574,1950
"District Judge, 351st Judicial District",0016,457,175,632,947,66.74%,297,275,572
"District Judge, 351st Judicial District",0017,346,326,672,1105,60.81%,255,359,614
"District Judge, 351st Judicial District",0018,550,483,1033,1396,74.00%,532,414,946
"District Judge, 351st Judicial District",0019,423,261,684,995,68.74%,252,378,630
"District Judge, 351st Judicial District",0020,678,470,1148,3074,37.35%,342,708,1050
"District Judge, 351st Judicial District",0021,419,230,649,1013,64.07%,151,457,608
"District Judge, 351st Judicial District",0022,888,554,1442,2524,57.13%,216,1164,1380
"District Judge, 351st Judicial District",0023,99,65,164,512,32.03%,38,118,156
"District Judge, 351st Judicial District",0024,225,121,346,611,56.63%,37,286,323
"District Judge, 351st Judicial District",0025,244,304,548,1062,51.60%,27,501,528
"District Judge, 351st Judicial District",0026,463,486,949,1843,51.49%,255,610,865
"District Judge, 351st Judicial District",0027,821,695,1516,3005,50.45%,363,1033,1396
"District Judge, 351st Judicial District",0028,1446,465,1911,2782,68.69%,1125,664,1789
"District Judge, 351st Judicial District",0029,418,577,995,2659,37.42%,316,621,937
"District Judge, 351st Judicial District",0030,798,588,1386,2034,68.14%,364,933,1297
"District Judge, 351st Judicial District",0031,911,526,1437,2518,57.07%,30,1360,1390
"District Judge, 351st Judicial District",0032,796,556,1352,2171,62.28%,652,568,1220
"District Judge, 351st Judicial District",0033,1479,843,2322,3540,65.59%,949,1157,2106
"District Judge, 351st Judicial District",0034,1012,749,1761,2676,65.81%,500,1148,1648
"District Judge, 351st Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 351st Judicial District",0036,993,479,1472,2868,51.32%,386,990,1376
"District Judge, 351st Judicial District",0037,801,479,1280,1885,67.90%,446,727,1173
"District Judge, 351st Judicial District",0038,1241,673,1914,2703,70.81%,714,1024,1738
"District Judge, 351st Judicial District",0039,1063,723,1786,2726,65.52%,542,1105,1647
"District Judge, 351st Judicial District",0040,239,135,374,524,71.37%,202,135,337
"District Judge, 351st Judicial District",0041,560,284,844,1197,70.51%,364,447,811
"District Judge, 351st Judicial District",0042,505,139,644,1121,57.45%,12,607,619
"District Judge, 351st Judicial District",0043,520,372,892,1644,54.26%,414,412,826
"District Judge, 351st Judicial District",0044,492,314,806,1976,40.79%,167,572,739
"District Judge, 351st Judicial District",0045,2434,1138,3572,6031,59.23%,607,2811,3418
"District Judge, 351st Judicial District",0046,538,433,971,2468,39.34%,177,739,916
"District Judge, 351st Judicial District",0047,535,345,880,1624,54.19%,21,842,863
"District Judge, 351st Judicial District",0048,371,193,564,992,56.85%,46,495,541
"District Judge, 351st Judicial District",0049,1228,669,1897,3144,60.34%,1308,493,1801
"District Judge, 351st Judicial District",0050,1901,1110,3011,4762,63.23%,1553,1327,2880
"District Judge, 351st Judicial District",0051,657,349,1006,1568,64.16%,722,231,953
"District Judge, 351st Judicial District",0052,970,620,1590,2299,69.16%,815,628,1443
"District Judge, 351st Judicial District",0053,1102,884,1986,2808,70.73%,894,894,1788
"District Judge, 351st Judicial District",0054,606,402,1008,1408,71.59%,528,389,917
"District Judge, 351st Judicial District",0055,441,394,835,1305,63.98%,344,417,761
"District Judge, 351st Judicial District",0056,548,307,855,1285,66.54%,554,230,784
"District Judge, 351st Judicial District",0057,1273,956,2229,3062,72.80%,982,1051,2033
"District Judge, 351st Judicial District",0058,881,747,1628,2521,64.58%,713,781,1494
"District Judge, 351st Judicial District",0059,914,751,1665,2283,72.93%,701,804,1505
"District Judge, 351st Judicial District",0060,839,664,1503,2263,66.42%,451,911,1362
"District Judge, 351st Judicial District",0061,435,528,963,2250,42.80%,252,656,908
"District Judge, 351st Judicial District",0062,419,528,947,2190,43.24%,206,653,859
"District Judge, 351st Judicial District",0063,674,400,1074,1784,60.20%,845,163,1008
"District Judge, 351st Judicial District",0064,410,420,830,2090,39.71%,157,617,774
"District Judge, 351st Judicial District",0065,404,532,936,2178,42.98%,175,703,878
"District Judge, 351st Judicial District",0066,172,279,451,1090,41.38%,65,349,414
"District Judge, 351st Judicial District",0067,664,574,1238,2742,45.15%,272,859,1131
"District Judge, 351st Judicial District",0068,1198,486,1684,2782,60.53%,29,1593,1622
"District Judge, 351st Judicial District",0069,218,284,502,1303,38.53%,85,364,449
"District Judge, 351st Judicial District",0070,1633,726,2359,3142,75.08%,1460,709,2169
"District Judge, 351st Judicial District",0071,1419,948,2367,3662,64.64%,1205,970,2175
"District Judge, 351st Judicial District",0072,441,562,1003,1882,53.29%,280,635,915
"District Judge, 351st Judicial District",0073,499,496,995,1494,66.60%,576,346,922
"District Judge, 351st Judicial District",0074,2212,530,2742,3632,75.50%,2093,454,2547
"District Judge, 351st Judicial District",0075,481,370,851,1329,64.03%,337,441,778
