Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Hastings,"DEM Alfred (""Al"") Bennett",Totals
"District Judge, 61st Judicial District",0001,808,518,1322,2155,81.35%,430,795,1225
"District Judge, 61st Judicial District",0002,753,407,1180,1890,81.38%,543,535,1078
"District Judge, 61st Judicial District",0003,880,474,1134,1519,74.85%,418,812,1030
"District Judge, 61st Judicial District",0004,878,534,1210,1852,73.24%,419,701,1120
"District Judge, 61st Judicial District",0005,472,518,990,1378,71.95%,381,538,899
"District Judge, 61st Judicial District",0008,1251,929,2180,3818,80.29%,1190,888,2078
"District Judge, 61st Judicial District",0007,495,124,819,1058,58.51%,15,590,805
"District Judge, 61st Judicial District",0008,881,430,1091,1708,83.95%,523,495,1018
"District Judge, 61st Judicial District",0009,472,382,854,1738,49.19%,174,820,794
"District Judge, 61st Judicial District",0010,499,245,744,1722,43.21%,181,509,870
"District Judge, 61st Judicial District",0011,418,335,753,1830,41.15%,135,582,897
"District Judge, 61st Judicial District",0012,227,133,380,718,50.28%,187,159,348
"District Judge, 61st Judicial District",0013,1140,443,1583,2823,58.08%,1028,454,1482
"District Judge, 61st Judicial District",0014,758,808,1384,1848,73.81%,704,554,1258
"District Judge, 61st Judicial District",0015,1144,1018,2180,2808,78.98%,1188,797,1983
"District Judge, 61st Judicial District",0018,457,175,832,947,88.74%,287,289,578
"District Judge, 61st Judicial District",0017,348,328,872,1105,80.81%,250,385,815
"District Judge, 61st Judicial District",0018,550,483,1033,1398,74.00%,472,482,954
"District Judge, 61st Judicial District",0019,423,281,884,995,88.74%,240,394,834
"District Judge, 61st Judicial District",0020,878,470,1148,3074,37.35%,320,739,1059
"District Judge, 61st Judicial District",0021,419,230,849,1013,84.07%,140,471,811
"District Judge, 61st Judicial District",0022,888,554,1442,2524,57.13%,198,1183,1379
"District Judge, 61st Judicial District",0023,99,85,184,512,32.03%,35,121,158
"District Judge, 61st Judicial District",0024,225,121,348,811,58.83%,32,294,328
"District Judge, 61st Judicial District",0025,244,304,548,1082,51.80%,17,508,525
"District Judge, 61st Judicial District",0028,483,488,949,1843,51.49%,258,813,871
"District Judge, 61st Judicial District",0027,821,895,1518,3005,50.45%,351,1050,1401
"District Judge, 61st Judicial District",0028,1448,485,1911,2782,88.89%,1098,703,1799
"District Judge, 61st Judicial District",0029,418,577,995,2859,37.42%,308,830,938
"District Judge, 61st Judicial District",0030,798,588,1388,2034,88.14%,338,988,1308
"District Judge, 61st Judicial District",0031,911,528,1437,2518,57.07%,23,1378,1401
"District Judge, 61st Judicial District",0032,798,558,1352,2171,82.28%,828,802,1228
"District Judge, 61st Judicial District",0033,1479,843,2322,3540,85.59%,907,1207,2114
"District Judge, 61st Judicial District",0034,1012,749,1781,2878,85.81%,482,1184,1848
"District Judge, 61st Judicial District",0035,4,0,4,12,33.33%,1,3,4
"District Judge, 61st Judicial District",0036,993,479,1472,2868,51.32%,376,1009,1385
"District Judge, 61st Judicial District",0037,801,479,1280,1885,67.90%,402,778,1180
"District Judge, 61st Judicial District",0038,1241,673,1914,2703,70.81%,649,1095,1744
"District Judge, 61st Judicial District",0039,1063,723,1786,2726,65.52%,494,1165,1659
"District Judge, 61st Judicial District",0040,239,135,374,524,71.37%,166,173,339
"District Judge, 61st Judicial District",0041,560,284,844,1197,70.51%,364,451,815
"District Judge, 61st Judicial District",0042,505,139,644,1121,57.45%,11,606,617
"District Judge, 61st Judicial District",0043,520,372,892,1644,54.26%,412,413,825
"District Judge, 61st Judicial District",0044,492,314,806,1976,40.79%,160,586,746
"District Judge, 61st Judicial District",0045,2434,1138,3572,6031,59.23%,588,2844,3432
"District Judge, 61st Judicial District",0046,538,433,971,2468,39.34%,154,765,919
"District Judge, 61st Judicial District",0047,535,345,880,1624,54.19%,22,844,866
"District Judge, 61st Judicial District",0048,371,193,564,992,56.85%,45,496,541
"District Judge, 61st Judicial District",0049,1228,669,1897,3144,60.34%,1292,519,1811
"District Judge, 61st Judicial District",0050,1901,1110,3011,4762,63.23%,1526,1355,2881
"District Judge, 61st Judicial District",0051,657,349,1006,1568,64.16%,722,234,956
"District Judge, 61st Judicial District",0052,970,620,1590,2299,69.16%,774,681,1455
"District Judge, 61st Judicial District",0053,1102,884,1986,2808,70.73%,817,982,1799
"District Judge, 61st Judicial District",0054,606,402,1008,1408,71.59%,498,426,924
"District Judge, 61st Judicial District",0055,441,394,835,1305,63.98%,330,437,767
"District Judge, 61st Judicial District",0056,548,307,855,1285,66.54%,534,254,788
"District Judge, 61st Judicial District",0057,1273,956,2229,3062,72.80%,880,1155,2035
"District Judge, 61st Judicial District",0058,881,747,1628,2521,64.58%,672,832,1504
"District Judge, 61st Judicial District",0059,914,751,1665,2283,72.93%,662,850,1512
"District Judge, 61st Judicial District",0060,839,664,1503,2263,66.42%,408,969,1377
"District Judge, 61st Judicial District",0061,435,528,963,2250,42.80%,243,666,909
"District Judge, 61st Judicial District",0062,419,528,947,2190,43.24%,187,669,856
"District Judge, 61st Judicial District",0063,674,400,1074,1784,60.20%,835,171,1006
"District Judge, 61st Judicial District",0064,410,420,830,2090,39.71%,147,633,780
"District Judge, 61st Judicial District",0065,404,532,936,2178,42.98%,169,710,879
"District Judge, 61st Judicial District",0066,172,279,451,1090,41.38%,63,352,415
"District Judge, 61st Judicial District",0067,664,574,1238,2742,45.15%,265,862,1127
"District Judge, 61st Judicial District",0068,1198,486,1684,2782,60.53%,26,1602,1628
"District Judge, 61st Judicial District",0069,218,284,502,1303,38.53%,72,374,446
"District Judge, 61st Judicial District",0070,1633,726,2359,3142,75.08%,1315,867,2182
"District Judge, 61st Judicial District",0071,1419,948,2367,3662,64.64%,1166,1039,2205
"District Judge, 61st Judicial District",0072,441,562,1003,1882,53.29%,258,656,914
"District Judge, 61st Judicial District",0073,499,496,995,1494,66.60%,546,369,915
"District Judge, 61st Judicial District",0074,2212,530,2742,3632,75.50%,2055,508,2563
"District Judge, 61st Judicial District",0075,481,370,851,1329,64.03%,320,467,787
"District Judge, 61st Judicial District",0076,814,569,1383,2328,59.41%,711,569,1280
"District Judge, 61st Judicial District",0077,168,81,249,565,44.07%,50,184,234
"District Judge, 61st Judicial District",0078,359,344,703,1479,47.53%,190,436,626
"District Judge, 61st Judicial District",0079,511,717,1228,2959,41.50%,217,906,1123
"District Judge, 61st Judicial District",0080,1159,481,1640,2712,60.47%,326,1226,1552
"District Judge, 61st Judicial District",0081,540,309,849,1839,46.17%,258,524,782
"District Judge, 61st Judicial District",0082,1353,816,2169,3284,66.05%,1584,482,2066
"District Judge, 61st Judicial District",0083,2625,1181,3806,5598,67.99%,1746,1902,3648
"District Judge, 61st Judicial District",0084,444,346,790,1389,56.88%,554,202,756
"District Judge, 61st Judicial District",0085,730,548,1278,2079,61.47%,22,1203,1225
"District Judge, 61st Judicial District",0086,1054,689,1743,2637,66.10%,772,836,1608
"District Judge, 61st Judicial District",0087,1222,861,2083,2749,75.77%,1192,711,1903
"District Judge, 61st Judicial District",0088,235,162,397,678,58.55%,245,134,379
"District Judge, 61st Judicial District",0089,342,454,796,1104,72.10%,403,325,728
"District Judge, 61st Judicial District",0090,1498,958,2456,3571,68.78%,1738,573,2311
"District Judge, 61st Judicial District",0091,466,333,799,1248,64.02%,474,290,764
"District Judge, 61st Judicial District",0092,1105,534,1639,2228,73.56%,1075,443,1518
"District Judge, 61st Judicial District",0093,782,643,1425,3295,43.25%,491,829,1320
"District Judge, 61st Judicial District",0094,148,104,252,537,46.93%,53,184,237
"District Judge, 61st Judicial District",0095,1684,671,2355,3179,74.08%,1544,657,2201
"District Judge, 61st Judicial District",0096,364,237,601,1241,48.43%,58,524,582
"District Judge, 61st Judicial District",0097,2393,764,3157,4566,69.14%,2268,722,2990
"District Judge, 61st Judicial District",0098,874,607,1481,2403,61.63%,1191,227,1418
"District Judge, 61st Judicial District",0099,568,311,879,2040,43.09%,387,451,838
"District Judge, 61st Judicial District",0100,427,324,751,1754,42.82%,322,394,716
"District Judge, 61st Judicial District",0101,203,186,389,941,41.34%,87,290,377
"District Judge, 61st Judicial District",0102,493,268,761,1910,39.84%,189,543,732
"District Judge, 61st Judicial District",0103,1915,1065,2980,4751,62.72%,1534,1313,2847
"District Judge, 61st Judicial District",0104,992,238,1230,1847,66.59%,22,1177,1199
"District Judge, 61st Judicial District",0105,462,453,915,2153,42.50%,210,634,844
"District Judge, 61st Judicial District",0106,49,37,86,284,30.28%,39,44,83
"District Judge, 61st Judicial District",0107,412,441,853,1905,44.78%,133,681,814
"District Judge, 61st Judicial District",0108,1193,514,1707,3229,52.86%,870,745,1615
"District Judge, 61st Judicial District",0109,1160,430,1590,2884,55.13%,24,1525,1549
"District Judge, 61st Judicial District",0110,1465,589,2054,2853,71.99%,1212,725,1937
"District Judge, 61st Judicial District",0111,1868,848,2716,3638,74.66%,1964,595,2559
"District Judge, 61st Judicial District",0112,1262,668,1930,2894,66.69%,1325,508,1833
"District Judge, 61st Judicial District",0113,1125,590,1715,2537,67.60%,937,680,1617
"District Judge, 61st Judicial District",0114,1454,546,2000,2650,75.47%,1540,378,1918
"District Judge, 61st Judicial District",0115,598,305,903,1764,51.19%,101,776,877
"District Judge, 61st Judicial District",0116,1626,747,2373,3014,78.73%,1709,520,2229
"District Judge, 61st Judicial District",0117,398,462,860,1878,45.79%,342,469,811
