Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Richard Risinger,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0001,806,516,1322,2155,61.35%,431,795,1226
"District Judge, 80th Judicial District",0002,753,407,1160,1890,61.38%,535,543,1078
"District Judge, 80th Judicial District",0003,660,474,1134,1519,74.65%,425,605,1030
"District Judge, 80th Judicial District",0004,676,534,1210,1652,73.24%,425,690,1115
"District Judge, 80th Judicial District",0005,472,518,990,1376,71.95%,365,530,895
"District Judge, 80th Judicial District",0006,1251,929,2180,3616,60.29%,1185,893,2078
"District Judge, 80th Judicial District",0007,495,124,619,1058,58.51%,14,592,606
"District Judge, 80th Judicial District",0008,661,430,1091,1706,63.95%,514,501,1015
"District Judge, 80th Judicial District",0009,472,382,854,1736,49.19%,175,623,798
"District Judge, 80th Judicial District",0010,499,245,744,1722,43.21%,166,504,670
"District Judge, 80th Judicial District",0011,418,335,753,1830,41.15%,137,564,701
"District Judge, 80th Judicial District",0012,227,133,360,716,50.28%,185,159,344
"District Judge, 80th Judicial District",0013,1140,443,1583,2823,56.08%,1029,457,1486
"District Judge, 80th Judicial District",0014,758,606,1364,1848,73.81%,688,565,1253
"District Judge, 80th Judicial District",0015,1144,1016,2160,2806,76.98%,1180,784,1964
"District Judge, 80th Judicial District",0016,457,175,632,947,66.74%,287,288,575
"District Judge, 80th Judicial District",0017,346,326,672,1105,60.81%,256,363,619
"District Judge, 80th Judicial District",0018,550,483,1033,1396,74.00%,476,474,950
"District Judge, 80th Judicial District",0019,423,261,684,995,68.74%,241,391,632
"District Judge, 80th Judicial District",0020,678,470,1148,3074,37.35%,322,734,1056
"District Judge, 80th Judicial District",0021,419,230,649,1013,64.07%,142,470,612
"District Judge, 80th Judicial District",0022,888,554,1442,2524,57.13%,198,1175,1373
"District Judge, 80th Judicial District",0023,99,65,164,512,32.03%,31,124,155
"District Judge, 80th Judicial District",0024,225,121,346,611,56.63%,33,293,326
"District Judge, 80th Judicial District",0025,244,304,548,1062,51.60%,16,509,525
