Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0001,808,518,1322,2155,81.35%,713,398,1111
"Houston Community College System, Proposition",0002,753,407,1180,1890,81.38%,580,354,934
"Houston Community College System, Proposition",0003,880,474,1134,1519,74.85%,595,378,973
"Houston Community College System, Proposition",0004,878,534,1210,1852,73.24%,839,408,1047
"Houston Community College System, Proposition",0005,472,518,990,1378,71.95%,481,377,858
"Houston Community College System, Proposition",0007,495,124,819,1058,58.51%,288,88,352
"Houston Community College System, Proposition",0008,881,430,1091,1708,83.95%,532,381,913
"Houston Community College System, Proposition",0009,472,382,854,1738,49.19%,492,178,888
"Houston Community College System, Proposition",0010,499,245,744,1722,43.21%,388,144,530
"Houston Community College System, Proposition",0011,418,335,753,1830,41.15%,404,138,540
"Houston Community College System, Proposition",0014,758,808,1384,1848,73.81%,742,474,1218
"Houston Community College System, Proposition",0015,1144,1018,2180,2808,78.98%,1174,705,1879
"Houston Community College System, Proposition",0018,457,175,832,947,88.74%,345,192,537
"Houston Community College System, Proposition",0017,348,328,872,1105,80.81%,345,197,542
"Houston Community College System, Proposition",0018,550,483,1033,1398,74.00%,521,371,892
"Houston Community College System, Proposition",0019,423,281,884,995,88.74%,388,214,582
"Houston Community College System, Proposition",0020,878,470,1148,3074,37.35%,591,329,920
"Houston Community College System, Proposition",0021,419,230,849,1013,84.07%,348,170,518
"Houston Community College System, Proposition",0022,888,554,1442,2524,57.13%,819,238,1057
"Houston Community College System, Proposition",0023,99,85,184,512,32.03%,91,25,118
"Houston Community College System, Proposition",0024,225,121,348,811,58.83%,189,81,230
"Houston Community College System, Proposition",0025,244,304,548,1082,51.80%,323,87,390
"Houston Community College System, Proposition",0028,483,488,949,1843,51.49%,544,245,789
"Houston Community College System, Proposition",0027,821,895,1518,3005,50.45%,845,351,1198
"Houston Community College System, Proposition",0030,798,588,1388,2034,88.14%,738,333,1071
"Houston Community College System, Proposition",0031,911,528,1437,2518,57.07%,857,188,1043
"Houston Community College System, Proposition",0032,798,558,1352,2171,82.28%,884,423,1107
"Houston Community College System, Proposition",0033,1479,843,2322,3540,85.59%,1244,743,1987
"Houston Community College System, Proposition",0034,1012,749,1781,2878,85.81%,1088,457,1523
"Houston Community College System, Proposition",0038,993,479,1472,2888,51.32%,745,347,1092
"Houston Community College System, Proposition",0037,801,479,1280,1885,87.90%,704,405,1109
"Houston Community College System, Proposition",0038,1241,873,1914,2703,70.81%,1088,595,1881
"Houston Community College System, Proposition",0039,1083,723,1788,2728,85.52%,1119,431,1550
"Houston Community College System, Proposition",0040,239,135,374,524,71.37%,189,129,318
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0042,505,139,644,1121,57.45%,305,85,390
"Houston Community College System, Proposition",0044,492,314,806,1976,40.79%,465,145,610
"Houston Community College System, Proposition",0045,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0046,538,433,971,2468,39.34%,585,178,763
"Houston Community College System, Proposition",0047,535,345,880,1624,54.1,9%,544,1,00,644
"Houston Community College System, Proposition",0048,371,193,564,992,56.85%,286,103,389
"Houston Community College System, Proposition",0052,970,620,1590,2299,69.16%,809,545,1354
"Houston Community College System, Proposition",0053,1102,884,1986,2808,70.73%,1011,678,1689
"Houston Community College System, Proposition",0054,606,402,1008,1408,71.59%,478,380,858
"Houston Community College System, Proposition",0055,441,394,835,1305,63.98%,426,269,695
"Houston Community College System, Proposition",0057,1273,956,2229,3062,72.80%,1168,811,1979
"Houston Community College System, Proposition",0058,881,747,1628,2521,64.58%,750,612,1362
"Houston Community College System, Proposition",0059,914,751,1665,2283,72.93%,863,557,1420
"Houston Community College System, Proposition",0060,839,664,1503,2263,66.42%,908,390,1298
"Houston Community College System, Proposition",0062,419,528,947,2190,43.24%,513,195,708
"Houston Community College System, Proposition",0064,410,420,830,2090,39.71%,463,150,613
"Houston Community College System, Proposition",0065,404,532,936,2178,42.98%,524,162,686
"Houston Community College System, Proposition",0066,172,279,451,1090,41.38%,242,64,306
"Houston Community College System, Proposition",0067,664,574,1238,2742,45.15%,710,235,945
"Houston Community College System, Proposition",0068,1198,486,1684,2782,60.53%,919,238,1157
"Houston Community College System, Proposition",0069,218,284,502,1303,38.53%,256,94,350
"Houston Community College System, Proposition",0070,1633,726,2359,3142,75.08%,1064,937,2001
"Houston Community College System, Proposition",0071,1419,948,2367,3662,64.64%,1100,833,1933
"Houston Community College System, Proposition",0072,441,562,1003,1882,53.29%,587,228,815
"Houston Community College System, Proposition",0073,499,496,995,1494,66.60%,450,418,868
"Houston Community College System, Proposition",0075,481,370,851,1329,64.03%,438,294,732
"Houston Community College System, Proposition",0078,359,344,703,1479,47.53%,387,186,573
"Houston Community College System, Proposition",0079,511,717,1228,2959,41.50%,654,224,878
"Houston Community College System, Proposition",0080,1159,481,1640,2712,60.47%,798,396,1194
"Houston Community College System, Proposition",0085,730,548,1278,2079,61.47%,761,198,959
"Houston Community College System, Proposition",0086,1054,689,1743,2637,66.10%,856,597,1453
"Houston Community College System, Proposition",0087,1222,861,2083,2749,75.77%,1084,760,1844
"Houston Community College System, Proposition",0089,342,454,796,1104,72.10%,455,253,708
"Houston Community College System, Proposition",0094,148,104,252,537,46.93%,146,55,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0095,137,42,179,251,71.31%,75,74,149
"Houston Community College System, Proposition",0096,364,237,601,1241,48.43%,375,65,440
"Houston Community College System, Proposition",0104,992,238,1230,1847,66.59%,534,195,729
"Houston Community College System, Proposition",0105,462,453,915,2153,42.50%,489,222,711
"Houston Community College System, Proposition",0107,410,423,833,1889,44.10%,483,139,622
"Houston Community College System, Proposition",0109,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0115,598,305,903,1764,51.19%,422,145,567
"Houston Community College System, Proposition",0117,301,332,633,1394,45.41%,308,183,491
"Houston Community College System, Proposition",0122,895,349,1244,2199,56.57%,654,196,850
"Houston Community College System, Proposition",0123,440,350,790,1356,58.26%,472,194,666
"Houston Community College System, Proposition",0128,936,736,1672,2257,74.08%,877,584,1461
"Houston Community College System, Proposition",0129,2294,1449,3743,5495,68.12%,1691,1352,3043
"Houston Community College System, Proposition",0130,1176,502,1678,2185,76.80%,642,737,1379
"Houston Community College System, Proposition",0131,604,374,978,1721,56.83%,536,211,747
"Houston Community College System, Proposition",0132,1119,397,1516,2449,61.90%,821,229,1050
"Houston Community College System, Proposition",0133,1083,940,2023,2605,77.66%,1047,734,1781
"Houston Community College System, Proposition",0134,419,392,811,1444,56.16%,352,316,668
"Houston Community College System, Proposition",0135,1424,634,2058,2750,74.84%,982,742,1724
"Houston Community College System, Proposition",0136,981,451,1432,2111,67.84%,840,288,1128
