Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0001,806,516,1322,2155,61.35%,796,341,1137
"Houston |.S.D., PROPOSITION",0002,753,407,1160,1890,61.38%,672,283,955
"Houston |.S.D., PROPOSITION",0003,660,474,1134,1519,74.65%,658,339,997
"Houston |.S.D., PROPOSITION",0004,676,534,1210,1652,73.24%,741,334,1075
"Houston |.S.D., PROPOSITION",0005,472,518,990,1376,71.95%,593,299,892
"Houston |.S.D., PROPOSITION",0007,122,35,157,298,52.68%,59,26,85
"Houston |.S.D., PROPOSITION",0008,661,430,1091,1706,63.95%,532,401,933
"Houston |.S.D., PROPOSITION",0009,472,382,854,1736,49.19%,533,152,685
"Houston |.S.D., PROPOSITION",0010,499,245,744,1722,43.21%,402,129,531
"Houston |.S.D., PROPOSITION",0011,418,335,753,1830,41.15%,419,138,557
"Houston |.S.D., PROPOSITION",0014,758,606,1364,1848,73.81%,870,391,1261
"Houston |.S.D., PROPOSITION",0015,1144,1016,2160,2806,76.98%,1306,621,1927
"Houston |.S.D., PROPOSITION",0016,457,175,632,947,66.74%,369,169,538
"Houston |.S.D., PROPOSITION",0017,346,326,672,1105,60.81%,381,176,557
"Houston |.S.D., PROPOSITION",0018,550,483,1033,1396,74.00%,587,328,915
"Houston |.S.D., PROPOSITION",0019,423,261,684,995,68.74%,411,178,589
"Houston |.S.D., PROPOSITION",0020,678,470,1148,3074,37.35%,650,287,937
"Houston |.S.D., PROPOSITION",0021,419,230,649,1013,64.07%,370,153,523
"Houston |.S.D., PROPOSITION",0022,888,554,1442,2524,57.13%,876,213,1089
"Houston |.S.D., PROPOSITION",0023,99,65,164,512,32.03%,99,21,120
"Houston |.S.D., PROPOSITION",0024,225,121,346,611,56.63%,199,52,251
"Houston |.S.D., PROPOSITION",0025,244,304,548,1062,51.60%,349,60,409
"Houston |.S.D., PROPOSITION",0026,463,486,949,1843,51.49%,589,225,814
"Houston |.S.D., PROPOSITION",0027,821,695,1516,3005,50.45%,892,325,1217
