Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra lbarra Mayfield,DEM Erica M. Graham,Totals
"Judge, County Court at Law No. 1, Unexpired Term",0001,806,516,1322,2155,61.35%,461,765,1226
"Judge, County Court at Law No. 1, Unexpired Term",0002,753,407,1160,1890,61.38%,560,512,1072
"Judge, County Court at Law No. 1, Unexpired Term",0003,660,474,1134,1519,74.65%,449,572,1021
"Judge, County Court at Law No. 1, Unexpired Term",0004,676,534,1210,1652,73.24%,458,651,1109
"Judge, County Court at Law No. 1, Unexpired Term",0005,472,518,990,1376,71.95%,378,510,888
"Judge, County Court at Law No. 1, Unexpired Term",0006,1251,929,2180,3616,60.29%,1189,890,2079
"Judge, County Court at Law No. 1, Unexpired Term",0007,495,124,619,1058,58.51%,15,588,603
"Judge, County Court at Law No. 1, Unexpired Term",0008,661,430,1091,1706,63.95%,548,471,1019
"Judge, County Court at Law No. 1, Unexpired Term",0009,472,382,854,1736,49.19%,181,613,794
"Judge, County Court at Law No. 1, Unexpired Term",0010,499,245,744,1722,43.21%,176,497,673
"Judge, County Court at Law No. 1, Unexpired Term",0011,418,335,753,1830,41.15%,129,567,696
"Judge, County Court at Law No. 1, Unexpired Term",0012,227,133,360,716,50.28%,184,164,348
"Judge, County Court at Law No. 1, Unexpired Term",0013,1140,443,1583,2823,56.08%,1037,458,1495
"Judge, County Court at Law No. 1, Unexpired Term",0014,758,606,1364,1848,73.81%,729,523,1252
"Judge, County Court at Law No. 1, Unexpired Term",0015,1144,1016,2160,2806,76.98%,1312,627,1939
"Judge, County Court at Law No. 1, Unexpired Term",0016,457,175,632,947,66.74%,297,278,575
"Judge, County Court at Law No. 1, Unexpired Term",0017,346,326,672,1105,60.81%,255,363,618
"Judge, County Court at Law No. 1, Unexpired Term",0018,550,483,1033,1396,74.00%,513,434,947
"Judge, County Court at Law No. 1, Unexpired Term",0019,423,261,684,995,68.74%,248,379,627
"Judge, County Court at Law No. 1, Unexpired Term",0020,678,470,1148,3074,37.35%,334,714,1048
"Judge, County Court at Law No. 1, Unexpired Term",0021,419,230,649,1013,64.07%,143,468,611
"Judge, County Court at Law No. 1, Unexpired Term",0022,888,554,1442,2524,57.13%,211,1168,1379
"Judge, County Court at Law No. 1, Unexpired Term",0023,99,65,164,512,32.03%,37,121,158
"Judge, County Court at Law No. 1, Unexpired Term",0024,225,121,346,611,56.63%,35,290,325
"Judge, County Court at Law No. 1, Unexpired Term",0025,244,304,548,1062,51.60%,23,505,528
"Judge, County Court at Law No. 1, Unexpired Term",0026,463,486,949,1843,51.49%,265,610,875
"Judge, County Court at Law No. 1, Unexpired Term",0027,821,695,1516,3005,50.45%,372,1034,1406
"Judge, County Court at Law No. 1, Unexpired Term",0028,1446,465,1911,2782,68.69%,1092,704,1796
"Judge, County Court at Law No. 1, Unexpired Term",0029,418,577,995,2659,37.42%,317,619,936
"Judge, County Court at Law No. 1, Unexpired Term",0030,798,588,1386,2034,68.14%,351,949,1300
"Judge, County Court at Law No. 1, Unexpired Term",0031,911,526,1437,2518,57.07%,30,1366,1396
"Judge, County Court at Law No. 1, Unexpired Term",0032,796,556,1352,2171,62.28%,639,577,1216
"Judge, County Court at Law No. 1, Unexpired Term",0033,1479,843,2322,3540,65.59%,935,1165,2100
"Judge, County Court at Law No. 1, Unexpired Term",0034,1012,749,1761,2676,65.81%,484,1159,1643
"Judge, County Court at Law No. 1, Unexpired Term",0035,4,0,4,12,33.33%,1,3,4
"Judge, County Court at Law No. 1, Unexpired Term",0036,993,479,1472,2868,51.32%,373,1009,1382
"Judge, County Court at Law No. 1, Unexpired Term",0037,801,479,1280,1885,67.90%,433,740,1173
"Judge, County Court at Law No. 1, Unexpired Term",0038,1241,673,1914,2703,70.81%,692,1034,1726
"Judge, County Court at Law No. 1, Unexpired Term",0039,1063,723,1786,2726,65.52%,523,1128,1651
"Judge, County Court at Law No. 1, Unexpired Term",0040,239,135,374,524,71.37%,199,129,328
"Judge, County Court at Law No. 1, Unexpired Term",0041,560,284,844,1197,70.51%,358,452,810
"Judge, County Court at Law No. 1, Unexpired Term",0042,505,139,644,1121,57.45%,10,607,617
"Judge, County Court at Law No. 1, Unexpired Term",0043,520,372,892,1644,54.26%,429,401,830
"Judge, County Court at Law No. 1, Unexpired Term",0044,492,314,806,1976,40.79%,166,576,742
"Judge, County Court at Law No. 1, Unexpired Term",0045,2434,1138,3572,6031,59.23%,593,2838,3431
"Judge, County Court at Law No. 1, Unexpired Term",0046,538,433,971,2468,39.34%,163,754,917
"Judge, County Court at Law No. 1, Unexpired Term",0047,535,345,880,1624,54.19%,21,842,863
"Judge, County Court at Law No. 1, Unexpired Term",0048,371,193,564,992,56.85%,48,493,541
"Judge, County Court at Law No. 1, Unexpired Term",0049,1228,559,1897,3144,60.34%,1301,503,1804
"Judge, County Court at Law No. 1, Unexpired Term",0050,1901,1110,3011,4762,63.23%,1525,1352,2877
"Judge, County Court at Law No. 1, Unexpired Term",0051,657,349,1006,1568,64.16%,710,242,952
"Judge, County Court at Law No. 1, Unexpired Term",0052,970,620,1590,2299,69.16%,796,647,1443
"Judge, County Court at Law No. 1, Unexpired Term",0053,1102,884,1986,2808,70.73%,867,917,1784
"Judge, County Court at Law No. 1, Unexpired Term",0054,606,402,1008,1408,71.59%,513,404,917
"Judge, County Court at Law No. 1, Unexpired Term",0055,441,394,835,1305,63.98%,329,429,758
"Judge, County Court at Law No. 1, Unexpired Term",0056,548,307,855,1285,66.54%,548,242,790
"Judge, County Court at Law No. 1, Unexpired Term",0057,1273,956,2229,3062,72.80%,948,1081,2029
"Judge, County Court at Law No. 1, Unexpired Term",0058,881,747,1628,2521,64.58%,690,814,1504
"Judge, County Court at Law No. 1, Unexpired Term",0059,914,751,1665,2283,72.93%,680,826,1506
"Judge, County Court at Law No. 1, Unexpired Term",0060,839,664,1503,2263,66.42%,434,933,1367
"Judge, County Court at Law No. 1, Unexpired Term",0061,435,528,963,2250,42.80%,242,666,908
"Judge, County Court at Law No. 1, Unexpired Term",0062,419,528,947,2190,43.24%,195,662,857
"Judge, County Court at Law No. 1, Unexpired Term",0063,674,400,1074,1784,60.20%,822,189,1011
"Judge, County Court at Law No. 1, Unexpired Term",0064,410,420,830,2090,39.71%,155,624,779
"Judge, County Court at Law No. 1, Unexpired Term",0065,404,532,936,2178,42.98%,175,704,879
"Judge, County Court at Law No. 1, Unexpired Term",0066,172,279,451,1090,41.38%,63,354,417
"Judge, County Court at Law No. 1, Unexpired Term",0067,664,574,1238,2742,45.15%,264,875,1139
"Judge, County Court at Law No. 1, Unexpired Term",0068,1198,486,1684,2782,60.53%,25,1600,1625
"Judge, County Court at Law No. 1, Unexpired Term",0069,218,284,502,1303,38.53%,78,368,446
"Judge, County Court at Law No. 1, Unexpired Term",0070,1633,726,2359,3142,75.08%,1450,713,2163
"Judge, County Court at Law No. 1, Unexpired Term",0071,1419,948,2367,3662,64.64%,1193,986,2179
"Judge, County Court at Law No. 1, Unexpired Term",0072,441,562,1003,1882,53.29%,277,641,918
"Judge, County Court at Law No. 1, Unexpired Term",0073,499,496,995,1494,66.60%,559,352,911
"Judge, County Court at Law No. 1, Unexpired Term",0074,2212,530,2742,3632,75.50%,2068,479,2547
"Judge, County Court at Law No. 1, Unexpired Term",0075,481,370,851,1329,64.03%,333,449,782
"Judge, County Court at Law No. 1, Unexpired Term",0076,814,559,1383,2328,59.41%,731,547,1278
"Judge, County Court at Law No. 1, Unexpired Term",0077,168,81,249,565,44.07%,52,181,233
"Judge, County Court at Law No. 1, Unexpired Term",0078,359,344,703,1479,47.53%,200,422,622
"Judge, County Court at Law No. 1, Unexpired Term",0079,511,717,1228,2959,41.50%,238,889,1127
"Judge, County Court at Law No. 1, Unexpired Term",0080,1159,481,1640,2712,60.47%,352,1200,1552
"Judge, County Court at Law No. 1, Unexpired Term",0081,540,309,849,1839,46.17%,262,527,789
"Judge, County Court at Law No. 1, Unexpired Term",0082,1353,816,2169,3284,66.05%,1583,479,2062
"Judge, County Court at Law No. 1, Unexpired Term",0083,2525,1181,3806,5598,67.99%,1767,1878,3645
"Judge, County Court at Law No. 1, Unexpired Term",0084,444,346,790,1389,56.88%,545,212,757
"Judge, County Court at Law No. 1, Unexpired Term",0085,730,548,1278,2079,61.47%,28,1190,1218
"Judge, County Court at Law No. 1, Unexpired Term",0086,1054,689,1743,2637,66.10%,799,799,1598
"Judge, County Court at Law No. 1, Unexpired Term",0087,1222,861,2083,2749,75.77%,1321,547,1868
"Judge, County Court at Law No. 1, Unexpired Term",0088,235,162,397,678,58.55%,246,135,381
"Judge, County Court at Law No. 1, Unexpired Term",0089,342,454,796,1104,72.10%,461,254,715
"Judge, County Court at Law No. 1, Unexpired Term",0090,1498,958,2456,3571,68.78%,1779,536,2315
"Judge, County Court at Law No. 1, Unexpired Term",0091,466,333,799,1248,64.02%,484,284,768
"Judge, County Court at Law No. 1, Unexpired Term",0092,1105,534,1639,2228,73.56%,1105,420,1525
"Judge, County Court at Law No. 1, Unexpired Term",0093,782,643,1425,3295,43.25%,503,816,1319
"Judge, County Court at Law No. 1, Unexpired Term",0094,148,104,252,537,46.93%,50,189,239
"Judge, County Court at Law No. 1, Unexpired Term",0095,1584,571,2355,3179,74.08%,1596,598,2194
"Judge, County Court at Law No. 1, Unexpired Term",0096,364,237,601,1241,48.43%,60,523,583
"Judge, County Court at Law No. 1, Unexpired Term",0097,2393,764,3157,4566,69.14%,2249,737,2986
"Judge, County Court at Law No. 1, Unexpired Term",0098,874,607,1481,2403,61.63%,1182,230,1412
"Judge, County Court at Law No. 1, Unexpired Term",0099,568,311,879,2040,43.09%,388,453,841
"Judge, County Court at Law No. 1, Unexpired Term",0100,427,324,751,1754,42.82%,328,387,715
"Judge, County Court at Law No. 1, Unexpired Term",0101,203,186,389,941,41.34%,83,295,378
"Judge, County Court at Law No. 1, Unexpired Term",0102,493,268,761,1910,39.84%,197,538,735
"Judge, County Court at Law No. 1, Unexpired Term",0103,1915,1065,2980,4751,62.72%,1522,1322,2844
"Judge, County Court at Law No. 1, Unexpired Term",0104,992,238,1230,1847,66.59%,24,1171,1195
"Judge, County Court at Law No. 1, Unexpired Term",0105,462,453,915,2153,42.50%,233,613,846
"Judge, County Court at Law No. 1, Unexpired Term",0106,49,37,86,284,30.28%,40,41,81
"Judge, County Court at Law No. 1, Unexpired Term",0107,412,441,853,1905,44.78%,135,684,819
"Judge, County Court at Law No. 1, Unexpired Term",0108,1193,514,1707,3229,52.86%,873,740,1613
"Judge, County Court at Law No. 1, Unexpired Term",0109,1160,430,1590,2884,55.13%,26,1515,1541
"Judge, County Court at Law No. 1, Unexpired Term",0110,1465,589,2054,2853,71.99%,1207,725,1932
"Judge, County Court at Law No. 1, Unexpired Term",0111,1868,848,2716,3638,74.66%,1972,572,2544
"Judge, County Court at Law No. 1, Unexpired Term",0112,1262,668,1930,2894,66.69%,1319,504,1823
"Judge, County Court at Law No. 1, Unexpired Term",0113,1125,590,1715,2537,67.60%,962,655,1617
"Judge, County Court at Law No. 1, Unexpired Term",0114,1454,546,2000,2650,75.47%,1540,374,1914
"Judge, County Court at Law No. 1, Unexpired Term",0115,598,305,903,1764,51.19%,98,776,874
"Judge, County Court at Law No. 1, Unexpired Term",0116,1626,747,2373,3014,78.73%,1800,423,2223
"Judge, County Court at Law No. 1, Unexpired Term",0117,398,452,860,1878,45.79%,346,466,812
"Judge, County Court at Law No. 1, Unexpired Term",0118,460,148,608,743,81.83%,478,85,563
"Judge, County Court at Law No. 1, Unexpired Term",0119,1924,1265,3189,4892,65.19%,2453,614,3067
"Judge, County Court at Law No. 1, Unexpired Term",0120,1197,632,1829,2986,61.25%,1066,634,1700
"Judge, County Court at Law No. 1, Unexpired Term",0121,193,244,437,679,64.36%,284,130,414
"Judge, County Court at Law No. 1, Unexpired Term",0122,895,349,1244,2199,56.57%,37,1159,1196
"Judge, County Court at Law No. 1, Unexpired Term",0123,440,350,790,1356,58.26%,227,497,724
"Judge, County Court at Law No. 1, Unexpired Term",0124,3522,1281,4803,5952,80.70%,3720,845,4565
"Judge, County Court at Law No. 1, Unexpired Term",0125,896,534,1430,2281,62.69%,810,554,1364
"Judge, County Court at Law No. 1, Unexpired Term",0126,1630,407,2037,2799,72.78%,1713,226,1939
"Judge, County Court at Law No. 1, Unexpired Term",0127,854,182,1036,1703,60.83%,703,280,983
"Judge, County Court at Law No. 1, Unexpired Term",0128,936,736,1672,2257,74.08%,1051,429,1480
"Judge, County Court at Law No. 1, Unexpired Term",0129,2294,1449,3743,5495,68.12%,2300,1191,3491
"Judge, County Court at Law No. 1, Unexpired Term",0130,1201,523,1724,2240,76.96%,1267,338,1605
"Judge, County Court at Law No. 1, Unexpired Term",0131,604,374,978,1721,56.83%,226,705,931
"Judge, County Court at Law No. 1, Unexpired Term",0132,1119,397,1516,2449,61.90%,26,1433,1459
"Judge, County Court at Law No. 1, Unexpired Term",0133,1083,940,2023,2605,77.66%,1213,610,1823
"Judge, County Court at Law No. 1, Unexpired Term",0134,419,392,811,1444,56.16%,349,409,758
"Judge, County Court at Law No. 1, Unexpired Term",0135,1424,634,2058,2750,74.84%,1311,570,1881
"Judge, County Court at Law No. 1, Unexpired Term",0136,981,451,1432,2111,67.84%,51,1322,1373
"Judge, County Court at Law No. 1, Unexpired Term",0137,305,193,498,740,67.30%,251,198,449
"Judge, County Court at Law No. 1, Unexpired Term",0138,661,259,920,1749,52.60%,21,861,882
"Judge, County Court at Law No. 1, Unexpired Term",0139,1290,747,2037,2746,74.18%,996,844,1840
"Judge, County Court at Law No. 1, Unexpired Term",0140,1311,683,1994,3104,64.24%,280,1585,1865
"Judge, County Court at Law No. 1, Unexpired Term",0141,181,143,324,872,37.16%,193,108,301
"Judge, County Court at Law No. 1, Unexpired Term",0142,212,171,383,870,44.02%,100,257,357
