Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,DEM Damon Crenshaw,Totals
"Judge, County Court at Law No. 2, Unexpired Term",0001,808,518,1322,2155,81.35%,479,747,1228
"Judge, County Court at Law No. 2, Unexpired Term",0002,753,407,1180,1890,81,38%,588,504,1072
"Judge, County Court at Law No. 2, Unexpired Term",0003,880,474,1134,1519,74.85%,458,580,1018
"Judge, County Court at Law No. 2, Unexpired Term",0004,878,534,1210,1852,73.24%,470,843,1113
"Judge, County Court at Law No. 2, Unexpired Term",0005,472,518,990,1378,71.95%,398,490,888
"Judge, County Court at Law No. 2, Unexpired Term",0008,1251,929,2180,3818,80.29%,1194,884,2078
"Judge, County Court at Law No. 2, Unexpired Term",0007,495,124,819,1058,58.51%,14,589,803
"Judge, County Court at Law No. 2, Unexpired Term",0008,881,430,1091,1708,83.95%,548,488,1018
"Judge, County Court at Law No. 2, Unexpired Term",0009,472,382,854,1738,49.19%,197,595,792
"Judge, County Court at Law No. 2, Unexpired Term",0010,499,245,744,1722,43.21%,172,497,889
"Judge, County Court at Law No. 2, Unexpired Term",0011,418,335,753,1830,41.15%,140,555,895
"Judge, County Court at Law No. 2, Unexpired Term",0012,227,133,380,718,50.28%,185,182,347
"Judge, County Court at Law No. 2, Unexpired Term",0013,1140,443,1583,2823,58.08%,1038,458,1494
"Judge, County Court at Law No. 2, Unexpired Term",0014,758,808,1384,1848,73.81%,744,503,1247
"Judge, County Court at Law No. 2, Unexpired Term",0015,1144,1018,2180,2808,78.98%,1347,813,1980
"Judge, County Court at Law No. 2, Unexpired Term",0018,457,175,832,947,88.74%,303,275,578
"Judge, County Court at Law No. 2, Unexpired Term",0017,348,328,872,1105,80.81%,289,349,818
"Judge, County Court at Law No. 2, Unexpired Term",0018,550,483,1033,1398,74.00%,532,418,950
"Judge, County Court at Law No. 2, Unexpired Term",0019,423,281,884,995,88.74%,254,378,830
"Judge, County Court at Law No. 2, Unexpired Term",0020,878,470,1148,3074,37.35%,348,899,1047
"Judge, County Court at Law No. 2, Unexpired Term",0021,419,230,849,1013,84.07%,148,485,811
"Judge, County Court at Law No. 2, Unexpired Term",0022,888,554,1442,2524,57.13%,220,1180,1380
"Judge, County Court at Law No. 2, Unexpired Term",0023,99,85,184,512,32.03%,38,120,158
"Judge, County Court at Law No. 2, Unexpired Term",0024,225,121,348,811,58.83%,41,283,324
"Judge, County Court at Law No. 2, Unexpired Term",0025,244,304,548,1082,51.80%,28,500,528
"Judge, County Court at Law No. 2, Unexpired Term",0028,483,488,949,1843,51.49%,288,809,875
"Judge, County Court at Law No. 2, Unexpired Term",0027,821,895,1518,3005,50.45%,373,1034,1407
"Judge, County Court at Law No. 2, Unexpired Term",0028,1448,485,1911,2782,88.89%,1098,700,1798
"Judge, County Court at Law No. 2, Unexpired Term",0029,418,577,995,2859,37.42%,318,818,938
"Judge, County Court at Law No. 2, Unexpired Term",0030,798,588,1388,2034,88.14%,388,931,1297
"Judge, County Court at Law No. 2, Unexpired Term",0031,911,528,1437,2518,57.07%,29,1382,1391
"Judge, County Court at Law No. 2, Unexpired Term",0032,798,558,1352,2171,82.28%,848,589,1215
"Judge, County Court at Law No. 2, Unexpired Term",0033,1479,843,2322,3540,85.59%,943,1182,2105
"Judge, County Court at Law No. 2, Unexpired Term",0034,1012,749,1781,2878,85.81%,497,1144,1841
"Judge, County Court at Law No. 2, Unexpired Term",0035,4,0,4,12,33.33%,1,3,4
"Judge, County Court at Law No. 2, Unexpired Term",0036,993,479,1472,2868,51.32%,378,1007,1385
"Judge, County Court at Law No. 2, Unexpired Term",0037,801,479,1280,1885,67.90%,433,739,1172
"Judge, County Court at Law No. 2, Unexpired Term",0038,1241,673,1914,2703,70.81%,710,1022,1732
"Judge, County Court at Law No. 2, Unexpired Term",0039,1063,723,1786,2726,65.52%,543,1108,1651
"Judge, County Court at Law No. 2, Unexpired Term",0040,239,135,374,524,71.37%,211,124,335
"Judge, County Court at Law No. 2, Unexpired Term",0041,560,284,844,1197,70.51%,362,449,811
"Judge, County Court at Law No. 2, Unexpired Term",0042,505,139,644,1121,57.45%,11,603,614
"Judge, County Court at Law No. 2, Unexpired Term",0043,520,372,892,1644,54.26%,420,407,827
"Judge, County Court at Law No. 2, Unexpired Term",0044,492,314,806,1976,40.79%,176,570,746
"Judge, County Court at Law No. 2, Unexpired Term",0045,2434,1138,3572,6031,59.23%,604,2823,3427
"Judge, County Court at Law No. 2, Unexpired Term",0046,538,433,971,2468,39.34%,167,748,915
"Judge, County Court at Law No. 2, Unexpired Term",0047,535,345,880,1624,54.19%,23,841,864
"Judge, County Court at Law No. 2, Unexpired Term",0048,371,193,564,992,56.85%,48,493,541
"Judge, County Court at Law No. 2, Unexpired Term",0049,1228,559,1897,3144,60.34%,1295,510,1805
"Judge, County Court at Law No. 2, Unexpired Term",0050,1901,1110,3011,4762,63.23%,1549,1329,2878
"Judge, County Court at Law No. 2, Unexpired Term",0051,657,349,1006,1568,64.16%,701,252,953
"Judge, County Court at Law No. 2, Unexpired Term",0052,970,620,1590,2299,69.16%,812,638,1450
"Judge, County Court at Law No. 2, Unexpired Term",0053,1102,884,1986,2808,70.73%,882,906,1788
"Judge, County Court at Law No. 2, Unexpired Term",0054,606,402,1008,1408,71.59%,527,392,919
"Judge, County Court at Law No. 2, Unexpired Term",0055,441,394,835,1305,63.98%,341,419,760
"Judge, County Court at Law No. 2, Unexpired Term",0056,548,307,855,1285,66.54%,536,249,785
"Judge, County Court at Law No. 2, Unexpired Term",0057,1273,956,2229,3062,72.80%,956,1071,2027
"Judge, County Court at Law No. 2, Unexpired Term",0058,881,747,1628,2521,64.58%,711,788,1499
"Judge, County Court at Law No. 2, Unexpired Term",0059,914,751,1665,2283,72.93%,710,804,1514
