Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Parker Hervey,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 7",0001,809,516,1325,2155,61.48%,536,363,899
"Judge, Court of Criminal Appeals, Place 7",0002,759,407,1166,1890,61.69%,585,286,871
"Judge, Court of Criminal Appeals, Place 7",0003,663,474,1137,1519,74.85%,507,316,823
"Judge, Court of Criminal Appeals, Place 7",0004,677,534,1211,1652,73.31%,543,333,876
"Judge, Court of Criminal Appeals, Place 7",0005,475,518,993,1376,72.17%,454,276,730
"Judge, Court of Criminal Appeals, Place 7",0006,1251,929,2180,3616,60.29%,1265,362,1627
"Judge, Court of Criminal Appeals, Place 7",0007,495,124,619,1058,58.51%,42,89,131
"Judge, Court of Criminal Appeals, Place 7",0008,663,430,1093,1706,64.07%,589,226,815
"Judge, Court of Criminal Appeals, Place 7",0009,474,382,856,1736,49.31%,246,239,485
"Judge, Court of Criminal Appeals, Place 7",0010,499,245,744,1722,43.21%,232,168,400
"Judge, Court of Criminal Appeals, Place 7",0011,418,335,753,1830,41.15%,191,165,356
"Judge, Court of Criminal Appeals, Place 7",0012,227,133,360,716,50.28%,197,54,251
"Judge, Court of Criminal Appeals, Place 7",0013,1140,443,1583,2823,56.08%,1073,171,1244
"Judge, Court of Criminal Appeals, Place 7",0014,761,606,1367,1848,73.97%,827,247,1074
"Judge, Court of Criminal Appeals, Place 7",0015,1144,1016,2160,2806,76.98%,1429,270,1699
"Judge, Court of Criminal Appeals, Place 7",0016,459,175,634,947,66.95%,310,174,484
"Judge, Court of Criminal Appeals, Place 7",0017,347,326,673,1105,60.90%,294,162,456
"Judge, Court of Criminal Appeals, Place 7",0018,550,483,1033,1396,74.00%,571,214,785
"Judge, Court of Criminal Appeals, Place 7",0019,424,261,685,995,68.84%,272,232,504
"Judge, Court of Criminal Appeals, Place 7",0020,681,470,1151,3074,37.44%,402,324,726
"Judge, Court of Criminal Appeals, Place 7",0021,420,230,650,1013,64.17%,167,201,368
"Judge, Court of Criminal Appeals, Place 7",0022,890,554,1444,2524,57.21%,276,349,625
"Judge, Court of Criminal Appeals, Place 7",0023,100,65,165,512,32.23%,54,29,83
"Judge, Court of Criminal Appeals, Place 7",0024,225,121,346,611,56.63%,46,75,121
"Judge, Court of Criminal Appeals, Place 7",0025,244,304,548,1062,51.60%,39,106,145
"Judge, Court of Criminal Appeals, Place 7",0026,463,486,949,1843,51,49%,336,276,612
"Judge, Court of Criminal Appeals, Place 7",0027,821,595,1516,3005,50.45%,494,403,897
"Judge, Court of Criminal Appeals, Place 7",0028,1446,465,1911,2782,68.69%,1176,250,1426
"Judge, Court of Criminal Appeals, Place 7",0029,418,577,995,2659,37.42%,409,128,537
"Judge, Court of Criminal Appeals, Place 7",0030,801,588,1389,2034,68.29%,416,373,789
"Judge, Court of Criminal Appeals, Place 7",0031,916,526,1442,2518,57.27%,79,286,365
"Judge, Court of Criminal Appeals, Place 7",0032,799,556,1355,2171,62.41%,686,393,1079
"Judge, Court of Criminal Appeals, Place 7",0033,1486,843,2329,3540,65.79%,1041,732,1773
"Judge, Court of Criminal Appeals, Place 7",0034,1017,749,1766,2676,65.99%,574,681,1255
"Judge, Court of Criminal Appeals, Place 7",0035,4,0,4,12,33.33%,1,1,2
"Judge, Court of Criminal Appeals, Place 7",0036,993,479,1472,2868,51.32%,472,309,781
"Judge, Court of Criminal Appeals, Place 7",0037,803,479,1282,1885,68.01%,473,433,906
"Judge, Court of Criminal Appeals, Place 7",0038,1244,673,1917,2703,70.92%,829,578,1407
"Judge, Court of Criminal Appeals, Place 7",0039,1072,723,1795,2726,65.85%,624,606,1230
"Judge, Court of Criminal Appeals, Place 7",0040,239,135,374,524,71.37%,213,86,299
"Judge, Court of Criminal Appeals, Place 7",0041,560,284,844,1197,70.51%,407,167,574
"Judge, Court of Criminal Appeals, Place 7",0042,505,139,644,1121,57.45%,29,124,153
"Judge, Court of Criminal Appeals, Place 7",0043,521,372,893,1644,54.32%,472,163,635
"Judge, Court of Criminal Appeals, Place 7",0044,492,314,806,1976,40.79%,218,211,429
"Judge, Court of Criminal Appeals, Place 7",0045,2434,1138,3572,6031,59.23%,829,713,1542
"Judge, Court of Criminal Appeals, Place 7",0046,539,433,972,2468,39.38%,251,237,488
"Judge, Court of Criminal Appeals, Place 7",0047,536,345,881,1624,54.25%,58,140,198
"Judge, Court of Criminal Appeals, Place 7",0048,371,193,564,992,56.85%,63,91,154
"Judge, Court of Criminal Appeals, Place 7",0049,1229,669,1898,3144,60.37%,1338,194,1532
"Judge, Court of Criminal Appeals, Place 7",0050,1907,1110,3017,4762,63.36%,1709,529,2238
"Judge, Court of Criminal Appeals, Place 7",0051,658,349,1007,1568,64.22%,750,93,843
"Judge, Court of Criminal Appeals, Place 7",0052,981,620,1601,2299,69.64%,903,380,1283
"Judge, Court of Criminal Appeals, Place 7",0053,1107,884,1991,2808,70.90%,935,541,1476
"Judge, Court of Criminal Appeals, Place 7",0054,609,402,1011,1408,71.80%,553,252,805
"Judge, Court of Criminal Appeals, Place 7",0055,443,394,837,1305,64.14%,374,229,603
"Judge, Court of Criminal Appeals, Place 7",0056,549,307,856,1285,66.61%,571,142,713
"Judge, Court of Criminal Appeals, Place 7",0057,1277,956,2233,3062,72.93%,1111,578,1689
"Judge, Court of Criminal Appeals, Place 7",0058,882,747,1629,2521,64.62%,785,424,1209
"Judge, Court of Criminal Appeals, Place 7",0059,915,751,1666,2283,72.97%,788,426,1214
"Judge, Court of Criminal Appeals, Place 7",0060,844,664,1508,2263,66.64%,518,541,1059
