Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0001,809,516,1325,2155,61,48%,557,340,897
"Judge, Court of Criminal Appeals, Place 8",0002,759,407,1166,1890,61.69%,610,258,868
"Judge, Court of Criminal Appeals, Place 8",0003,663,474,1137,1519,74.85%,518,305,823
"Judge, Court of Criminal Appeals, Place 8",0004,577,534,1211,1652,73.31%,553,308,861
"Judge, Court of Criminal Appeals, Place 8",0005,475,518,993,1376,72.17%,455,266,721
"Judge, Court of Criminal Appeals, Place 8",0006,1251,929,2180,3616,60.29%,1273,349,1622
"Judge, Court of Criminal Appeals, Place 8",0007,495,124,619,1058,58.51%,38,88,126
"Judge, Court of Criminal Appeals, Place 8",0008,663,430,1093,1706,64.07%,604,212,816
"Judge, Court of Criminal Appeals, Place 8",0009,474,382,856,1736,49.31%,258,229,487
"Judge, Court of Criminal Appeals, Place 8",0010,499,245,744,1722,43.21%,265,136,401
"Judge, Court of Criminal Appeals, Place 8",0011,418,335,753,1830,41.15%,206,148,354
"Judge, Court of Criminal Appeals, Place 8",0012,227,133,360,716,50.28%,211,39,250
"Judge, Court of Criminal Appeals, Place 8",0013,1140,443,1583,2823,56.08%,1064,169,1233
"Judge, Court of Criminal Appeals, Place 8",0014,761,606,1367,1848,73.97%,841,222,1063
"Judge, Court of Criminal Appeals, Place 8",0015,1144,1016,2160,2806,76.98%,1432,258,1690
"Judge, Court of Criminal Appeals, Place 8",0016,459,175,634,947,66.95%,324,159,483
"Judge, Court of Criminal Appeals, Place 8",0017,347,326,673,1105,60.90%,305,150,455
"Judge, Court of Criminal Appeals, Place 8",0018,550,483,1033,1396,74.00%,584,197,781
"Judge, Court of Criminal Appeals, Place 8",0019,424,261,685,995,68.84%,283,221,504
"Judge, Court of Criminal Appeals, Place 8",0020,681,470,1151,3074,37.44%,415,313,728
"Judge, Court of Criminal Appeals, Place 8",0021,420,230,650,1013,64.17%,173,194,367
"Judge, Court of Criminal Appeals, Place 8",0022,890,554,1444,2524,57.21%,292,334,626
"Judge, Court of Criminal Appeals, Place 8",0023,100,65,165,512,32.23%,52,30,82
"Judge, Court of Criminal Appeals, Place 8",0024,225,121,346,611,56.63%,48,72,120
"Judge, Court of Criminal Appeals, Place 8",0025,244,304,548,1062,51.60%,44,96,140
"Judge, Court of Criminal Appeals, Place 8",0026,463,486,949,1843,51,49%,371,244,615
"Judge, Court of Criminal Appeals, Place 8",0027,821,595,1516,3005,50.45%,540,366,906
"Judge, Court of Criminal Appeals, Place 8",0028,1446,465,1911,2782,68.69%,1171,248,1419
"Judge, Court of Criminal Appeals, Place 8",0029,418,577,995,2659,37.42%,436,102,538
"Judge, Court of Criminal Appeals, Place 8",0030,801,588,1389,2034,68.29%,413,371,784
"Judge, Court of Criminal Appeals, Place 8",0031,916,526,1442,2518,57.27%,72,290,362
"Judge, Court of Criminal Appeals, Place 8",0032,799,556,1355,2171,62.41%,694,377,1071
"Judge, Court of Criminal Appeals, Place 8",0033,1486,843,2329,3540,65.79%,1060,708,1768
"Judge, Court of Criminal Appeals, Place 8",0034,1017,749,1766,2676,65.99%,585,670,1255
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0035,4,0,4,12,33.33%,1,1,2
"Judge, Court of Criminal Appeals, Place 8",0036,993,479,1472,2868,51.32%,486,306,792
"Judge, Court of Criminal Appeals, Place 8",0037,803,479,1282,1885,68.01%,504,404,908
"Judge, Court of Criminal Appeals, Place 8",0038,1244,673,1917,2703,70.92%,833,564,1397
"Judge, Court of Criminal Appeals, Place 8",0039,1072,723,1795,2726,65.85%,635,583,1218
"Judge, Court of Criminal Appeals, Place 8",0040,239,135,374,524,71.37%,215,79,294
"Judge, Court of Criminal Appeals, Place 8",0041,560,284,844,1197,70.51%,416,160,576
"Judge, Court of Criminal Appeals, Place 8",0042,505,139,644,1121,57.45%,25,123,148
"Judge, Court of Criminal Appeals, Place 8",0043,521,372,893,1644,54.32%,484,153,637
"Judge, Court of Criminal Appeals, Place 8",0044,492,314,806,1976,40.79%,249,183,432
"Judge, Court of Criminal Appeals, Place 8",0045,2434,1138,3572,6031,59.23%,863,677,1540
"Judge, Court of Criminal Appeals, Place 8",0046,539,433,972,2468,39.38%,284,205,489
"Judge, Court of Criminal Appeals, Place 8",0047,536,345,881,1624,54.25%,53,141,194
"Judge, Court of Criminal Appeals, Place 8",0048,371,193,564,992,56.85%,71,85,156
"Judge, Court of Criminal Appeals, Place 8",0049,1229,669,1898,3144,60.37%,1335,198,1533
"Judge, Court of Criminal Appeals, Place 8",0050,1907,1110,3017,4762,63.36%,1690,553,2243
"Judge, Court of Criminal Appeals, Place 8",0051,658,349,1007,1568,64.22%,749,93,842
