Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Dale M. Gorczynski,Totals
"Justice of the Peace, Precinct No. 1, Place 1",0001,806,516,1322,2155,61.35%,912,912
"Justice of the Peace, Precinct No. 1, Place 1",0002,753,407,1160,1890,61.38%,710,710
"Justice of the Peace, Precinct No. 1, Place 1",0003,660,474,1134,1519,74.65%,719,719
"Justice of the Peace, Precinct No. 1, Place 1",0004,676,534,1210,1652,73.24%,811,811
"Justice of the Peace, Precinct No. 1, Place 1",0005,472,518,990,1376,71.95%,642,642
"Justice of the Peace, Precinct No. 1, Place 1",0015,1144,1016,2160,2806,76.98%,1093,1093
"Justice of the Peace, Precinct No. 1, Place 1",0016,457,175,632,947,66.74%,343,343
"Justice of the Peace, Precinct No. 1, Place 1",0030,798,588,1386,2034,68.14%,1056,1056
"Justice of the Peace, Precinct No. 1, Place 1",0032,796,556,1352,2171,62.28%,795,795
"Justice of the Peace, Precinct No. 1, Place 1",0033,1479,843,2322,3540,65.59%,1476,1476
"Justice of the Peace, Precinct No. 1, Place 1",0034,1012,749,1761,2676,65.81%,1298,1298
"Justice of the Peace, Precinct No. 1, Place 1",0037,801,479,1280,1885,67.90%,871,871
"Justice of the Peace, Precinct No. 1, Place 1",0038,1241,673,1914,2703,70.81%,1237,1237
"Justice of the Peace, Precinct No. 1, Place 1",0039,1063,723,1786,2726,65.52%,1291,1291
"Justice of the Peace, Precinct No. 1, Place 1",0040,239,135,374,524,71.37%,201,201
"Justice of the Peace, Precinct No. 1, Place 1",0042,505,139,644,1121,57.45%,610,610
"Justice of the Peace, Precinct No. 1, Place 1",0043,520,372,892,1644,54.26%,516,516
"Justice of the Peace, Precinct No. 1, Place 1",0052,970,620,1590,2299,69.16%,883,883
"Justice of the Peace, Precinct No. 1, Place 1",0053,1102,884,1986,2808,70.73%,1238,1238
"Justice of the Peace, Precinct No. 1, Place 1",0054,606,402,1008,1408,71.59%,570,570
"Justice of the Peace, Precinct No. 1, Place 1",0055,441,394,835,1305,63.98%,536,536
"Justice of the Peace, Precinct No. 1, Place 1",0057,1273,956,2229,3062,72.80%,1444,1444
"Justice of the Peace, Precinct No. 1, Place 1",0058,881,747,1628,2521,64.58%,1015,1015
"Justice of the Peace, Precinct No. 1, Place 1",0059,914,751,1665,2283,72.93%,1087,1087
"Justice of the Peace, Precinct No. 1, Place 1",0060,839,664,1503,2263,66.42%,1082,1082
"Justice of the Peace, Precinct No. 1, Place 1",0061,435,528,963,2250,42.80%,767,767
"Justice of the Peace, Precinct No. 1, Place 1",0070,1633,726,2359,3142,75.08%,1173,1173
"Justice of the Peace, Precinct No. 1, Place 1",0071,1419,948,2367,3662,64.64%,1310,1310
"Justice of the Peace, Precinct No. 1, Place 1",0073,499,496,995,1494,66.60%,557,557
"Justice of the Peace, Precinct No. 1, Place 1",0075,481,370,851,1329,64.03%,549,549
"Justice of the Peace, Precinct No. 1, Place 1",0078,359,344,703,1479,47.53%,525,525
"Justice of the Peace, Precinct No. 1, Place 1",0086,1054,689,1743,2637,66.10%,1054,1054
"Justice of the Peace, Precinct No. 1, Place 1",0087,1222,861,2083,2749,75.77%,977,977
"Justice of the Peace, Precinct No. 1, Place 1",0089,342,454,796,1104,72.10%,434,434
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Dale M. Gorczynski,Totals
"Justice of the Peace, Precinct No. 1, Place 1",0101,203,186,389,941,41.34%,315,315
"Justice of the Peace, Precinct No. 1, Place 1",0105,452,453,915,2153,42.50%,715,715
"Justice of the Peace, Precinct No. 1, Place 1",0106,49,37,86,284,30.28%,48,48
"Justice of the Peace, Precinct No. 1, Place 1",0107,412,441,853,1905,44.78%,720,720
"Justice of the Peace, Precinct No. 1, Place 1",0109,1160,430,1590,2884,55.13%,1519,1519
"Justice of the Peace, Precinct No. 1, Place 1",0117,398,462,860,1878,45.79%,562,562
"Justice of the Peace, Precinct No. 1, Place 1",0122,895,349,1244,2199,56.57%,1168,1168
"Justice of the Peace, Precinct No. 1, Place 1",0123,440,350,790,1356,58.26%,571,571
"Justice of the Peace, Precinct No. 1, Place 1",0128,936,736,1672,2257,74.08%,771,771
