Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM JoAnn Delgado,Totals
"Justice of the Peace, Precinct No. 2, Place 1",0023,99,65,164,512,32.03%,128,128
"Justice of the Peace, Precinct No. 2, Place 1",0029,418,577,995,2659,37.42%,696,696
"Justice of the Peace, Precinct No. 2, Place 1",0036,993,479,1472,2868,51.32%,1093,1093
"Justice of the Peace, Precinct No. 2, Place 1",0076,814,559,1383,2328,59.41%,774,774
"Justice of the Peace, Precinct No. 2, Place 1",0077,168,81,249,565,44.07%,194,194
"Justice of the Peace, Precinct No. 2, Place 1",0080,1159,481,1640,2712,60.47%,1327,1327
"Justice of the Peace, Precinct No. 2, Place 1",0081,540,309,849,1839,46.17%,611,611
"Justice of the Peace, Precinct No. 2, Place 1",0093,782,643,1425,3295,43.25%,974,974
"Justice of the Peace, Precinct No. 2, Place 1",0094,148,104,252,537,46.93%,206,206
"Justice of the Peace, Precinct No. 2, Place 1",0134,419,392,811,1444,56.16%,497,497
"Justice of the Peace, Precinct No. 2, Place 1",0142,212,171,383,870,44.02%,293,293
"Justice of the Peace, Precinct No. 2, Place 1",0162,232,262,494,1249,39.55%,342,342
"Justice of the Peace, Precinct No. 2, Place 1",0163,778,635,1413,3054,46.27%,1022,1022
"Justice of the Peace, Precinct No. 2, Place 1",0164,505,304,809,1434,56.42%,779,779
"Justice of the Peace, Precinct No. 2, Place 1",0172,161,147,308,600,51.33%,222,222
"Justice of the Peace, Precinct No. 2, Place 1",0181,416,514,930,1968,47.26%,712,712
"Justice of the Peace, Precinct No. 2, Place 1",0188,307,378,685,1616,42.39%,482,482
"Justice of the Peace, Precinct No. 2, Place 1",0190,275,401,676,1720,39.30%,464,464
"Justice of the Peace, Precinct No. 2, Place 1",0191,196,313,509,1391,36.59%,365,365
"Justice of the Peace, Precinct No. 2, Place 1",0208,806,364,1170,2201,53.16%,905,905
