Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Mike Parrott,Totals
"Justice of the Peace, Precinct No. 3, Place 1",0007,495,124,819,1058,58.51%,593,593
"Justice of the Peace, Precinct No. 3, Place 1",0012,227,133,380,718,50.28%,199,199
"Justice of the Peace, Precinct No. 3, Place 1",0013,1140,443,1583,2823,58.08%,770,770
"Justice of the Peace, Precinct No. 3, Place 1",0028,1445,455,1911,2782,88.89%,1002,1002
"Justice of the Peace, Precinct No. 3, Place 1",0045,2434,1138,3572,8031,59.23%,3108,3108
"Justice of the Peace, Precinct No. 3, Place 1",0083,874,400,1074,1784,80.20%,451,451
"Justice of the Peace, Precinct No. 3, Place 1",0083,2825,1181,3808,5598,87.99%,2309,2309
"Justice of the Peace, Precinct No. 3, Place 1",0097,2393,784,3157,4588,89.14%,1845,1845
"Justice of the Peace, Precinct No. 3, Place 1",0098,874,807,1481,2403,81.83%,532,532
"Justice of the Peace, Precinct No. 3, Place 1",0099,558,311,879,2040,43.09%,543,543
"Justice of the Peace, Precinct No. 3, Place 1",0100,427,324,751,1754,42.82%,478,478
"Justice of the Peace, Precinct No. 3, Place 1",0102,493,288,781,1910,39.84%,585,585
"Justice of the Peace, Precinct No. 3, Place 1",0103,1915,1085,2980,4751,82.72%,1779,1779
"Justice of the Peace, Precinct No. 3, Place 1",0104,992,238,1230,1847,88.59%,1180,1180
"Justice of the Peace, Precinct No. 3, Place 1",0115,598,305,903,1784,51.19%,803,803
"Justice of the Peace, Precinct No. 3, Place 1",0141,181,143,324,872,37.18%,188,188
"Justice of the Peace, Precinct No. 3, Place 1",0150,539,207,748,1212,81.55%,714,714
"Justice of the Peace, Precinct No. 3, Place 1",0151,318,148,484,848,54.85%,428,428
"Justice of the Peace, Precinct No. 3, Place 1",0205,858,201,1057,1887,83.41%,1018,1018
"Justice of the Peace, Precinct No. 3, Place 1",0220,711,353,1084,2380,45.08%,889,889
"Justice of the Peace, Precinct No. 3, Place 1",0248,408,405,813,2122,38.31%,848,848
"Justice of the Peace, Precinct No. 3, Place 1",0249,1028,481,1509,2878,58.39%,718,718
"Justice of the Peace, Precinct No. 3, Place 1",0250,308,247,553,951,58.15%,539,539
"Justice of the Peace, Precinct No. 3, Place 1",0251,809,529,1338,2072,84.58%,1284,1284
"Justice of the Peace, Precinct No. 3, Place 1",0252,1111,358,1487,2350,82.43%,1415,1415
"Justice of the Peace, Precinct No. 3, Place 1",0253,923,325,1248,2252,55.42%,1217,1217
"Justice of the Peace, Precinct No. 3, Place 1",0254,220,282,502,1478,34.01%,383,383
"Justice of the Peace, Precinct No. 3, Place 1",0288,552,542,1094,2119,51.83%,807,807
"Justice of the Peace, Precinct No. 3, Place 1",0353,1544,703,2247,3897,80.78%,1975,1975
"Justice of the Peace, Precinct No. 3, Place 1",0354,1478,517,1993,3193,82.42%,1877,1877
"Justice of the Peace, Precinct No. 3, Place 1",0388,418,143,581,929,80.39%,471,471
"Justice of the Peace, Precinct No. 3, Place 1",0371,228,89,295,475,82.11%,283,283
"Justice of the Peace, Precinct No. 3, Place 1",0375,577,524,1101,2807,42.23%,858,858
"Justice of the Peace, Precinct No. 3, Place 1",0378,529,334,983,1918,50.28%,885,885
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Mike Parrott,Totals
"Justice of the Peace, Precinct No. 3, Place 1",0380,2500,1183,3683,4753,77.49%,1953,1953
"Justice of the Peace, Precinct No. 3, Place 1",0381,957,424,1381,2715,50.87%,1060,1060
"Justice of the Peace, Precinct No. 3, Place 1",0382,276,231,507,841,60.29%,255,255
"Justice of the Peace, Precinct No. 3, Place 1",0386,1464,460,1924,2872,66.99%,812,812
"Justice of the Peace, Precinct No. 3, Place 1",0387,1369,802,2171,3727,58.25%,1107,1107
"Justice of the Peace, Precinct No. 3, Place 1",0396,1157,219,1376,2073,66.38%,1325,1325
"Justice of the Peace, Precinct No. 3, Place 1",0401,723,284,1007,1876,53.68%,949,949
"Justice of the Peace, Precinct No. 3, Place 1",0413,1493,525,2018,3023,66.75%,1532,1532
"Justice of the Peace, Precinct No. 3, Place 1",0414,1452,593,2045,3457,59.16%,883,883
"Justice of the Peace, Precinct No. 3, Place 1",0454,1226,311,1537,2571,59.78%,1485,1485
"Justice of the Peace, Precinct No. 3, Place 1",0456,1266,593,1859,3350,55.49%,1052,1052
"Justice of the Peace, Precinct No. 3, Place 1",0460,1250,402,1652,2346,70.42%,1346,1346
"Justice of the Peace, Precinct No. 3, Place 1",0497,1123,303,1426,2226,64.06%,1336,1336
"Justice of the Peace, Precinct No. 3, Place 1",0502,1150,332,1482,2364,62.69%,728,728
"Justice of the Peace, Precinct No. 3, Place 1",0531,672,113,785,1094,71.76%,387,387
"Justice of the Peace, Precinct No. 3, Place 1",0532,452,184,636,1039,61.21%,265,265
