Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP J. Kent Adams,Totals
"Justice of the Peace, Precinct No. 4, Place 1",0006,1251,929,2180,3616,60.29%,1432,1432
"Justice of the Peace, Precinct No. 4, Place 1",0035,4,0,4,12,33.33%,1,1
"Justice of the Peace, Precinct No. 4, Place 1",0041,560,284,844,1197,70.51%,469,469
"Justice of the Peace, Precinct No. 4, Place 1",0049,1228,669,1897,3144,60.34%,1415,1415
"Justice of the Peace, Precinct No. 4, Place 1",0074,2212,530,2742,3632,75.50%,2183,2183
"Justice of the Peace, Precinct No. 4, Place 1",0082,1353,816,2169,3284,66.05%,1722,1722
"Justice of the Peace, Precinct No. 4, Place 1",0108,1193,514,1707,3229,52.86%,1047,1047
"Justice of the Peace, Precinct No. 4, Place 1",0110,1465,589,2054,2853,71.99%,1414,1414
"Justice of the Peace, Precinct No. 4, Place 1",0111,1868,848,2716,3638,74.66%,2121,2121
"Justice of the Peace, Precinct No. 4, Place 1",0112,1252,558,1930,2894,66.69%,1501,1501
"Justice of the Peace, Precinct No. 4, Place 1",0113,1125,590,1715,2537,67.60%,1135,1135
"Justice of the Peace, Precinct No. 4, Place 1",0114,1454,546,2000,2650,75.47%,1638,1638
"Justice of the Peace, Precinct No. 4, Place 1",0124,3522,1281,4803,5952,80.70%,3974,3974
"Justice of the Peace, Precinct No. 4, Place 1",0125,896,534,1430,2281,62.69%,941,941
"Justice of the Peace, Precinct No. 4, Place 1",0126,1630,407,2037,2799,72.78%,1784,1784
"Justice of the Peace, Precinct No. 4, Place 1",0127,854,182,1036,1703,60.83%,789,789
"Justice of the Peace, Precinct No. 4, Place 1",0173,1798,619,2417,3105,77.84%,1967,1967
"Justice of the Peace, Precinct No. 4, Place 1",0199,1407,773,2180,3159,69.01%,1729,1729
"Justice of the Peace, Precinct No. 4, Place 1",0225,1109,720,1829,3155,57.97%,970,970
"Justice of the Peace, Precinct No. 4, Place 1",0244,1100,656,1756,2912,60.30%,1084,1084
"Justice of the Peace, Precinct No. 4, Place 1",0245,2340,1115,3455,5240,65.94%,2516,2516
"Justice of the Peace, Precinct No. 4, Place 1",0246,1584,624,2208,2999,73.62%,1639,1639
"Justice of the Peace, Precinct No. 4, Place 1",0263,1785,719,2504,3319,75.44%,1959,1959
"Justice of the Peace, Precinct No. 4, Place 1",0300,3013,922,3935,5040,78.08%,3214,3214
"Justice of the Peace, Precinct No. 4, Place 1",0334,255,114,369,755,48.87%,107,107
"Justice of the Peace, Precinct No. 4, Place 1",0340,1778,833,2611,3717,70.24%,2047,2047
"Justice of the Peace, Precinct No. 4, Place 1",0342,2029,1113,3142,5718,54.95%,831,831
"Justice of the Peace, Precinct No. 4, Place 1",0351,2495,793,3288,4537,72.47%,2749,2749
"Justice of the Peace, Precinct No. 4, Place 1",0357,1633,709,2342,3371,69.47%,1845,1845
"Justice of the Peace, Precinct No. 4, Place 1",0358,740,464,1204,2297,52.42%,223,223
"Justice of the Peace, Precinct No. 4, Place 1",0363,1346,687,2033,3291,61.77%,1099,1099
"Justice of the Peace, Precinct No. 4, Place 1",0370,3143,1178,4321,5781,74.74%,3444,3444
"Justice of the Peace, Precinct No. 4, Place 1",0388,2780,1222,4002,5329,75.10%,2588,2588
"Justice of the Peace, Precinct No. 4, Place 1",0399,895,593,1489,2542,58.58%,874,874
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP J. Kent Adams,Totals
"Justice of the Peace, Precinct No. 4, Place 1",0405,0,1,1,0,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0410,337,102,439,849,51.71%,121,121
"Justice of the Peace, Precinct No. 4, Place 1",0442,1366,513,1879,2504,75.04%,1600,1600
"Justice of the Peace, Precinct No. 4, Place 1",0449,62,37,99,164,60.37%,20,20
"Justice of the Peace, Precinct No. 4, Place 1",0451,1575,515,2090,2674,78.16%,1763,1763
"Justice of the Peace, Precinct No. 4, Place 1",0452,1109,639,1748,2810,62.21%,1396,1396
"Justice of the Peace, Precinct No. 4, Place 1",0457,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0459,1537,475,2113,2950,71.63%,1744,1744
"Justice of the Peace, Precinct No. 4, Place 1",0464,786,612,1398,2126,65.76%,1034,1034
"Justice of the Peace, Precinct No. 4, Place 1",0465,1465,702,2167,3343,64.82%,1337,1337
"Justice of the Peace, Precinct No. 4, Place 1",0466,2052,729,2781,4072,68.30%,1762,1762
"Justice of the Peace, Precinct No. 4, Place 1",0468,984,793,1777,3354,52.98%,727,727
"Justice of the Peace, Precinct No. 4, Place 1",0469,2039,638,2677,3779,70.84%,2174,2174
"Justice of the Peace, Precinct No. 4, Place 1",0477,1441,742,2183,3195,68.33%,1775,1775
"Justice of the Peace, Precinct No. 4, Place 1",0478,1959,898,2857,4150,68.84%,2087,2087
"Justice of the Peace, Precinct No. 4, Place 1",0479,1298,588,1886,2648,71.22%,1484,1484
