Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,Totals
"Justice of the Peace, Precinct No. 5, Place 1",0008,661,430,1091,1706,63.95%,651,651
"Justice of the Peace, Precinct No. 5, Place 1",0014,758,606,1364,1848,73.81%,859,859
"Justice of the Peace, Precinct No. 5, Place 1",0050,1901,1110,3011,4762,63.23%,1859,1859
"Justice of the Peace, Precinct No. 5, Place 1",0056,548,307,855,1285,66.54%,604,604
"Justice of the Peace, Precinct No. 5, Place 1",0095,1684,671,2355,3179,74.08%,1762,1762
"Justice of the Peace, Precinct No. 5, Place 1",0096,364,237,601,1241,48.43%,151,151
"Justice of the Peace, Precinct No. 5, Place 1",0116,1626,747,2373,3014,78.73%,1903,1903
"Justice of the Peace, Precinct No. 5, Place 1",0118,460,148,608,743,81.83%,501,501
"Justice of the Peace, Precinct No. 5, Place 1",0119,1924,1265,3189,4892,65.19%,2618,2618
"Justice of the Peace, Precinct No. 5, Place 1",0120,1197,632,1829,2986,61.25%,1237,1237
"Justice of the Peace, Precinct No. 5, Place 1",0121,193,244,437,679,64.36%,303,303
"Justice of the Peace, Precinct No. 5, Place 1",0129,2294,1449,3743,5495,68.12%,2607,2607
"Justice of the Peace, Precinct No. 5, Place 1",0130,1201,523,1724,2240,76.96%,1324,1324
"Justice of the Peace, Precinct No. 5, Place 1",0143,2993,660,3653,4598,79.45%,2777,2777
"Justice of the Peace, Precinct No. 5, Place 1",0146,759,614,1373,1953,70.30%,748,748
"Justice of the Peace, Precinct No. 5, Place 1",0149,2859,1322,4181,6103,68.51%,2257,2257
"Justice of the Peace, Precinct No. 5, Place 1",0155,1957,834,2791,4087,68.29%,2052,2052
"Justice of the Peace, Precinct No. 5, Place 1",0165,918,557,1475,2284,64.58%,1034,1034
"Justice of the Peace, Precinct No. 5, Place 1",0176,626,530,1156,1581,73.12%,700,700
"Justice of the Peace, Precinct No. 5, Place 1",0209,0,4,4,0,0.00%,4,4
"Justice of the Peace, Precinct No. 5, Place 1",0213,1603,939,2542,3308,76.84%,2065,2065
"Justice of the Peace, Precinct No. 5, Place 1",0234,2088,885,2973,3854,77.14%,2336,2336
"Justice of the Peace, Precinct No. 5, Place 1",0256,1059,766,1825,3226,56.57%,941,941
"Justice of the Peace, Precinct No. 5, Place 1",0258,1577,888,2465,3286,75.02%,1882,1882
"Justice of the Peace, Precinct No. 5, Place 1",0260,420,290,710,1187,59.81%,448,448
"Justice of the Peace, Precinct No. 5, Place 1",0262,1470,906,2376,4232,56.14%,1563,1563
"Justice of the Peace, Precinct No. 5, Place 1",0264,936,639,1575,2939,53.59%,976,976
"Justice of the Peace, Precinct No. 5, Place 1",0265,1936,674,2610,3617,72.16%,1995,1995
"Justice of the Peace, Precinct No. 5, Place 1",0269,1143,444,1587,1981,80.11%,1257,1257
