Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Richard C. Vara,Totals
"Justice of the Peace, Precinct No. 6, Place 1",0009,472,382,854,1736,49.19%,673,673
"Justice of the Peace, Precinct No. 6, Place 1",0010,499,245,744,1722,43.21%,589,589
"Justice of the Peace, Precinct No. 6, Place 1",0011,418,335,753,1830,41.15%,635,635
"Justice of the Peace, Precinct No. 6, Place 1",0019,423,231,684,995,68.74%,476,476
"Justice of the Peace, Precinct No. 6, Place 1",0026,463,486,949,1843,51.49%,754,754
"Justice of the Peace, Precinct No. 6, Place 1",0027,821,695,1516,3005,50.45%,1210,1210
"Justice of the Peace, Precinct No. 6, Place 1",0044,492,314,806,1976,40.79%,662,662
"Justice of the Peace, Precinct No. 6, Place 1",0046,538,433,971,2468,39.34%,833,833
"Justice of the Peace, Precinct No. 6, Place 1",0047,535,345,880,1624,54.19%,842,842
"Justice of the Peace, Precinct No. 6, Place 1",0048,371,193,564,992,56.85%,503,503
"Justice of the Peace, Precinct No. 6, Place 1",0062,419,528,947,2190,43.24%,773,773
"Justice of the Peace, Precinct No. 6, Place 1",0064,410,420,830,2090,39.71%,687,687
"Justice of the Peace, Precinct No. 6, Place 1",0065,404,532,936,2178,42.98%,776,776
"Justice of the Peace, Precinct No. 6, Place 1",0066,172,279,451,1090,41.38%,374,374
"Justice of the Peace, Precinct No. 6, Place 1",0067,664,574,1238,2742,45.15%,971,971
"Justice of the Peace, Precinct No. 6, Place 1",0069,218,284,502,1303,38.53%,406,406
"Justice of the Peace, Precinct No. 6, Place 1",0072,441,562,1003,1882,53.29%,797,797
"Justice of the Peace, Precinct No. 6, Place 1",0079,511,717,1228,2959,41.50%,1040,1040
"Justice of the Peace, Precinct No. 6, Place 1",0154,593,360,953,2133,44.68%,762,762
"Justice of the Peace, Precinct No. 6, Place 1",0159,313,187,500,976,51.23%,429,429
"Justice of the Peace, Precinct No. 6, Place 1",0160,243,140,386,688,56.10%,359,359
"Justice of the Peace, Precinct No. 6, Place 1",0161,395,190,585,1030,56.80%,556,556
"Justice of the Peace, Precinct No. 6, Place 1",0167,5,2,7,23,30.43%,7,7
"Justice of the Peace, Precinct No. 6, Place 1",0186,204,1,70,374,795,47.04%,324,324
