Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Holly Williamson,DEM Tommy Ginn,Totals
"Justice of the Peace, Precinct No. 8, Place 1",0051,657,349,1006,1568,64.16%,718,252,970
"Justice of the Peace, Precinct No. 8, Place 1",0084,444,346,790,1389,56.88%,542,224,766
"Justice of the Peace, Precinct No. 8, Place 1",0088,235,162,397,678,58.55%,254,132,386
"Justice of the Peace, Precinct No. 8, Place 1",0090,1498,958,2456,3571,68.78%,1871,485,2356
"Justice of the Peace, Precinct No. 8, Place 1",0091,466,333,799,1248,64.02%,503,265,768
"Justice of the Peace, Precinct No. 8, Place 1",0092,1105,534,1639,2228,73.56%,1158,392,1550
"Justice of the Peace, Precinct No. 8, Place 1",0170,481,353,834,1887,44.20%,403,378,781
"Justice of the Peace, Precinct No. 8, Place 1",0174,1554,767,2321,3159,73.47%,1644,552,2196
"Justice of the Peace, Precinct No. 8, Place 1",0242,363,323,686,1570,43.69%,360,300,660
"Justice of the Peace, Precinct No. 8, Place 1",0267,294,305,599,1346,44.50%,260,297,557
"Justice of the Peace, Precinct No. 8, Place 1",0277,342,305,647,1473,43.92%,276,353,629
"Justice of the Peace, Precinct No. 8, Place 1",0279,548,383,931,1899,49.03%,554,336,890
"Justice of the Peace, Precinct No. 8, Place 1",0290,577,429,1006,1567,64.20%,768,210,978
"Justice of the Peace, Precinct No. 8, Place 1",0302,713,635,1348,2724,49.49%,724,557,1281
"Justice of the Peace, Precinct No. 8, Place 1",0306,1013,323,1336,1847,72.33%,1025,242,1267
"Justice of the Peace, Precinct No. 8, Place 1",0307,1242,876,2118,2931,72.26%,1575,464,2039
"Justice of the Peace, Precinct No. 8, Place 1",0333,1018,939,1957,2901,67.46%,1423,441,1864
"Justice of the Peace, Precinct No. 8, Place 1",0346,1,2,3,1,300.00%,3,0,3
"Justice of the Peace, Precinct No. 8, Place 1",0347,1250,614,1864,3299,56.50%,1164,633,1797
"Justice of the Peace, Precinct No. 8, Place 1",0348,751,280,1031,1740,59.25%,738,258,996
"Justice of the Peace, Precinct No. 8, Place 1",0352,1151,583,1734,3193,54.31%,1198,470,1668
"Justice of the Peace, Precinct No. 8, Place 1",0377,1055,707,1762,2871,61.37%,1343,336,1679
"Justice of the Peace, Precinct No. 8, Place 1",0391,856,355,1211,1805,67.09%,799,356,1155
"Justice of the Peace, Precinct No. 8, Place 1",0393,346,318,664,1206,55.06%,287,335,622
"Justice of the Peace, Precinct No. 8, Place 1",0404,778,552,1330,2589,51.37%,681,593,1274
"Justice of the Peace, Precinct No. 8, Place 1",0415,950,633,1583,2124,74.53%,1112,383,1495
"Justice of the Peace, Precinct No. 8, Place 1",0416,1174,916,2090,3582,58.35%,1086,883,1969
"Justice of the Peace, Precinct No. 8, Place 1",0419,1006,578,1584,2697,58.73%,1031,499,1530
"Justice of the Peace, Precinct No. 8, Place 1",0420,2174,1089,3263,4639,70.34%,2598,565,3163
"Justice of the Peace, Precinct No. 8, Place 1",0470,443,323,766,1349,56.78%,530,202,732
"Justice of the Peace, Precinct No. 8, Place 1",0471,792,597,1389,2349,59.13%,1073,270,1343
"Justice of the Peace, Precinct No. 8, Place 1",0473,914,442,1356,1827,74.22%,958,318,1276
"Justice of the Peace, Precinct No. 8, Place 1",0534,1658,675,2333,3795,61.48%,1713,544,2257
"Justice of the Peace, Precinct No. 8, Place 1",0535,80,94,174,421,41.33%,62,102,164
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Holly Williamson,DEM Tommy Ginn,Totals
"Justice of the Peace, Precinct No. 8, Place 1",0561,837,759,1596,3033,52.62%,896,628,1524
"Justice of the Peace, Precinct No. 8, Place 1",0568,1628,837,2465,3487,70.69%,1654,658,2312
"Justice of the Peace, Precinct No. 8, Place 1",0662,2477,999,3476,4807,72.31%,2794,588,3382
"Justice of the Peace, Precinct No. 8, Place 1",0665,951,394,1345,2007,67.02%,1077,230,1307
"Justice of the Peace, Precinct No. 8, Place 1",0673,1376,643,2019,2988,67.57%,1549,391,1940
"Justice of the Peace, Precinct No. 8, Place 1",0679,1466,661,2127,3331,63.85%,1595,447,2042
"Justice of the Peace, Precinct No. 8, Place 1",0682,1673,912,2585,4134,62.53%,1877,623,2500
"Justice of the Peace, Precinct No. 8, Place 1",0692,999,717,1716,2626,65.35%,1274,370,1644
"Justice of the Peace, Precinct No. 8, Place 1",0695,454,320,774,1646,47.02%,472,273,745
"Justice of the Peace, Precinct No. 8, Place 1",0696,600,373,973,2098,46.38%,590,343,933
"Justice of the Peace, Precinct No. 8, Place 1",0699,1031,566,1597,2288,69.80%,1055,419,1474
"Justice of the Peace, Precinct No. 8, Place 1",0703,742,616,1358,1845,73.60%,1006,277,1283
"Justice of the Peace, Precinct No. 8, Place 1",0704,1334,701,2035,2882,70.61%,1618,350,1968
"Justice of the Peace, Precinct No. 8, Place 1",0715,405,326,731,1380,52.97%,364,327,691
"Justice of the Peace, Precinct No. 8, Place 1",0716,977,622,1599,2670,59.89%,1130,416,1546
"Justice of the Peace, Precinct No. 8, Place 1",0718,1844,1019,2863,4050,70.69%,1981,701,2682
"Justice of the Peace, Precinct No. 8, Place 1",0721,1334,637,1971,2842,69.35%,1358,498,1856
"Justice of the Peace, Precinct No. 8, Place 1",0724,325,170,495,716,69.13%,346,128,474
"Justice of the Peace, Precinct No. 8, Place 1",0728,343,208,551,881,62.54%,315,208,523
"Justice of the Peace, Precinct No. 8, Place 1",0732,701,543,1244,1895,65.65%,740,418,1158
"Justice of the Peace, Precinct No. 8, Place 1",0744,848,509,1357,2024,67.05%,914,372,1286
"Justice of the Peace, Precinct No. 8, Place 1",0745,1066,542,1608,2396,67.11%,1050,476,1526
"Justice of the Peace, Precinct No. 8, Place 1",0746,230,151,381,707,53.89%,187,158,345
"Justice of the Peace, Precinct No. 8, Place 1",0748,420,307,727,1319,55.12%,326,355,681
"Justice of the Peace, Precinct No. 8, Place 1",0750,264,147,411,720,57.08%,229,159,388
"Justice of the Peace, Precinct No. 8, Place 1",0752,571,277,848,1511,56.12%,610,206,816
"Justice of the Peace, Precinct No. 8, Place 1",0755,1048,896,1944,3569,54.47%,727,1115,1842
"Justice of the Peace, Precinct No. 8, Place 1",0770,58,48,106,262,40.46%,43,59,102
"Justice of the Peace, Precinct No. 8, Place 1",0785,66,55,121,310,39.03%,68,52,120
"Justice of the Peace, Precinct No. 8, Place 1",0791,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct No. 8, Place 1",0793,889,338,1227,2437,50.35%,696,487,1183
"Justice of the Peace, Precinct No. 8, Place 1",0796,145,92,237,485,48.87%,118,107,225
"Justice of the Peace, Precinct No. 8, Place 1",0907,60,43,103,134,76.87%,24,78,102
"Justice of the Peace, Precinct No. 8, Place 1",0950,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Holly Williamson,DEM Tommy Ginn,Totals
"Justice of the Peace, Precinct No. 8, Place 1",1034,0,0,0,1,0.00%,0,0,0
