Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Brett Busby,DEM Barbara Gardner,Totals
"Justice, 14th Court of Appeals District, Place 3",0001,808,516,1324,2155,61.44%,445,787,1232
"Justice, 14th Court of Appeals District, Place 3",0002,754,407,1161,1890,61.43%,538,546,1084
"Justice, 14th Court of Appeals District, Place 3",0003,660,474,1134,1519,74.65%,457,581,1038
"Justice, 14th Court of Appeals District, Place 3",0004,676,534,1210,1652,73.24%,464,667,1131
"Justice, 14th Court of Appeals District, Place 3",0005,472,518,990,1376,71.95%,373,529,902
"Justice, 14th Court of Appeals District, Place 3",0006,1251,929,2180,3616,60.29%,1164,914,2078
"Justice, 14th Court of Appeals District, Place 3",0007,495,124,619,1058,58.51%,13,592,605
"Justice, 14th Court of Appeals District, Place 3",0008,661,430,1091,1706,63.95%,523,502,1025
"Justice, 14th Court of Appeals District, Place 3",0009,473,382,855,1736,49.25%,175,620,795
"Justice, 14th Court of Appeals District, Place 3",0010,499,245,744,1722,43.21%,157,514,671
"Justice, 14th Court of Appeals District, Place 3",0011,418,335,753,1830,41.15%,130,569,699
"Justice, 14th Court of Appeals District, Place 3",0012,227,133,360,716,50.28%,186,159,345
"Justice, 14th Court of Appeals District, Place 3",0013,1140,443,1583,2823,56.08%,1031,467,1498
"Justice, 14th Court of Appeals District, Place 3",0014,761,606,1367,1848,73.97%,709,562,1271
"Justice, 14th Court of Appeals District, Place 3",0015,1144,1016,2160,2806,76.98%,1244,726,1970
"Justice, 14th Court of Appeals District, Place 3",0016,457,175,632,947,66.74%,289,289,578
"Justice, 14th Court of Appeals District, Place 3",0017,347,326,673,1105,60.90%,250,374,624
"Justice, 14th Court of Appeals District, Place 3",0018,550,483,1033,1396,74.00%,490,470,960
"Justice, 14th Court of Appeals District, Place 3",0019,423,261,684,995,68.74%,247,383,630
"Justice, 14th Court of Appeals District, Place 3",0020,679,470,1149,3074,37.38%,322,738,1060
"Justice, 14th Court of Appeals District, Place 3",0021,419,230,649,1013,64.07%,143,469,612
"Justice, 14th Court of Appeals District, Place 3",0022,888,554,1442,2524,57.13%,198,1183,1381
"Justice, 14th Court of Appeals District, Place 3",0023,100,65,165,512,32.23%,32,124,156
"Justice, 14th Court of Appeals District, Place 3",0024,225,121,346,611,56.63%,34,290,324
"Justice, 14th Court of Appeals District, Place 3",0025,244,304,548,1062,51.60%,19,507,526
"Justice, 14th Court of Appeals District, Place 3",0026,463,486,949,1843,51.49%,241,631,872
"Justice, 14th Court of Appeals District, Place 3",0027,821,595,1516,3005,50.45%,335,1070,1405
"Justice, 14th Court of Appeals District, Place 3",0028,1446,465,1911,2782,68.69%,1099,710,1809
"Justice, 14th Court of Appeals District, Place 3",0029,418,577,995,2659,37.42%,306,638,944
"Justice, 14th Court of Appeals District, Place 3",0030,798,588,1386,2034,68.14%,350,960,1310
"Justice, 14th Court of Appeals District, Place 3",0031,913,526,1439,2518,57.15%,25,1381,1406
"Justice, 14th Court of Appeals District, Place 3",0032,796,556,1352,2171,62.28%,645,592,1237
"Justice, 14th Court of Appeals District, Place 3",0033,1479,843,2322,3540,65.59%,924,1196,2120
"Justice, 14th Court of Appeals District, Place 3",0034,1013,749,1762,2676,65.84%,477,1181,1658
"Justice, 14th Court of Appeals District, Place 3",0035,4,0,4,12,33.33%,1,3,4
"Justice, 14th Court of Appeals District, Place 3",0036,993,479,1472,2868,51.32%,361,1023,1384
"Justice, 14th Court of Appeals District, Place 3",0037,801,479,1280,1885,67.90%,434,753,1187
"Justice, 14th Court of Appeals District, Place 3",0038,1241,673,1914,2703,70.81%,656,1102,1758
"Justice, 14th Court of Appeals District, Place 3",0039,1064,723,1787,2726,65.55%,508,1154,1662
"Justice, 14th Court of Appeals District, Place 3",0040,239,135,374,524,71.37%,189,151,340
"Justice, 14th Court of Appeals District, Place 3",0041,560,284,844,1197,70.51%,353,461,814
"Justice, 14th Court of Appeals District, Place 3",0042,505,139,644,1121,57.45%,10,608,618
"Justice, 14th Court of Appeals District, Place 3",0043,520,372,892,1644,54.26%,407,431,838
"Justice, 14th Court of Appeals District, Place 3",0044,492,314,806,1976,40.79%,159,586,745
"Justice, 14th Court of Appeals District, Place 3",0045,2434,1138,3572,6031,59.23%,583,2848,3431
"Justice, 14th Court of Appeals District, Place 3",0046,538,433,971,2468,39.34%,150,774,924
"Justice, 14th Court of Appeals District, Place 3",0047,535,345,880,1624,54.19%,24,842,866
"Justice, 14th Court of Appeals District, Place 3",0048,371,193,564,992,56.85%,45,496,541
"Justice, 14th Court of Appeals District, Place 3",0049,1229,669,1898,3144,60.37%,1293,517,1810
"Justice, 14th Court of Appeals District, Place 3",0050,1904,1110,3014,4762,63.29%,1510,1382,2892
"Justice, 14th Court of Appeals District, Place 3",0051,657,349,1006,1568,64.16%,702,257,959
"Justice, 14th Court of Appeals District, Place 3",0052,972,620,1592,2299,69.25%,800,662,1462
"Justice, 14th Court of Appeals District, Place 3",0053,1102,884,1986,2808,70.73%,838,973,1811
"Justice, 14th Court of Appeals District, Place 3",0054,607,402,1009,1408,71.66%,507,421,928
"Justice, 14th Court of Appeals District, Place 3",0055,441,394,835,1305,63.98%,334,430,764
"Justice, 14th Court of Appeals District, Place 3",0056,548,307,855,1285,66.54%,528,265,793
"Justice, 14th Court of Appeals District, Place 3",0057,1274,956,2230,3062,72.83%,947,1116,2063
"Justice, 14th Court of Appeals District, Place 3",0058,882,747,1629,2521,64.62%,691,822,1513
"Justice, 14th Court of Appeals District, Place 3",0059,914,751,1665,2283,72.93%,673,860,1533
"Justice, 14th Court of Appeals District, Place 3",0060,840,664,1504,2263,66.46%,417,970,1387
"Justice, 14th Court of Appeals District, Place 3",0061,435,528,963,2250,42.80%,238,673,911
