Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0001,808,518,1324,2155,81.44%,479,751,1230
"Justice, 14th Court of Appeals District, Place 4",0002,754,407,1181,1890,81.43%,588,510,1078
"Justice, 14th Court of Appeals District, Place 4",0003,880,474,1134,1519,74.85%,480,553,1033
"Justice, 14th Court of Appeals District, Place 4",0004,878,534,1210,1852,73.24%,498,825,1123
"Justice, 14th Court of Appeals District, Place 4",0005,472,518,990,1378,71.95%,409,490,899
"Justice, 14th Court of Appeals District, Place 4",0008,1251,929,2180,3818,80.29%,1204,873,2077
"Justice, 14th Court of Appeals District, Place 4",0007,495,124,819,1058,58.51%,14,591,805
"Justice, 14th Court of Appeals District, Place 4",0008,881,430,1091,1708,83.95%,554,489,1023
"Justice, 14th Court of Appeals District, Place 4",0009,473,382,855,1738,49.25%,187,810,797
"Justice, 14th Court of Appeals District, Place 4",0010,499,245,744,1722,43.21%,177,489,888
"Justice, 14th Court of Appeals District, Place 4",0011,418,335,753,1830,41.15%,140,558,898
"Justice, 14th Court of Appeals District, Place 4",0012,227,133,380,718,50.28%,187,158,345
"Justice, 14th Court of Appeals District, Place 4",0013,1140,443,1583,2823,58.08%,1084,431,1495
"Justice, 14th Court of Appeals District, Place 4",0014,781,808,1387,1848,73.97%,759,508,1285
"Justice, 14th Court of Appeals District, Place 4",0015,1144,1018,2180,2808,78.98%,1385,808,1973
"Justice, 14th Court of Appeals District, Place 4",0018,457,175,832,947,88.74%,310,270,580
"Justice, 14th Court of Appeals District, Place 4",0017,347,328,873,1105,80.90%,285,358,821
"Justice, 14th Court of Appeals District, Place 4",0018,550,483,1033,1398,74.00%,538,418,958
"Justice, 14th Court of Appeals District, Place 4",0019,423,281,884,995,88.74%,257,374,831
"Justice, 14th Court of Appeals District, Place 4",0020,879,470,1149,3074,37.38%,343,711,1054
"Justice, 14th Court of Appeals District, Place 4",0021,419,230,849,1013,84.07%,150,482,812
"Justice, 14th Court of Appeals District, Place 4",0022,888,554,1442,2524,57.13%,210,1183,1373
"Justice, 14th Court of Appeals District, Place 4",0023,100,85,185,512,32.23%,37,119,158
"Justice, 14th Court of Appeals District, Place 4",0024,225,121,348,811,58.83%,37,288,323
"Justice, 14th Court of Appeals District, Place 4",0025,244,304,548,1082,51.80%,23,502,525
"Justice, 14th Court of Appeals District, Place 4",0028,483,488,949,1843,51.49%,280,811,871
"Justice, 14th Court of Appeals District, Place 4",0027,821,895,1518,3005,50.45%,374,1030,1404
"Justice, 14th Court of Appeals District, Place 4",0028,1448,485,1911,2782,88.89%,1125,873,1798
"Justice, 14th Court of Appeals District, Place 4",0029,418,577,995,2859,37.42%,319,823,942
"Justice, 14th Court of Appeals District, Place 4",0030,798,588,1388,2034,88.14%,388,939,1305
"Justice, 14th Court of Appeals District, Place 4",0031,913,528,1439,2518,57.15%,24,1379,1403
"Justice, 14th Court of Appeals District, Place 4",0032,798,558,1352,2171,82.28%,885,589,1234
"Justice, 14th Court of Appeals District, Place 4",0033,1479,843,2322,3540,85.59%,978,1132,2108
"Justice, 14th Court of Appeals District, Place 4",0034,1013,749,1782,2878,85.84%,518,1125,1843
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0035,4,0,4,12,33.33%,1,3,4
"Justice, 14th Court of Appeals District, Place 4",0038,993,479,1472,2888,51.32%,378,1004,1382
"Justice, 14th Court of Appeals District, Place 4",0037,801,479,1280,1885,87.90%,483,713,1178
"Justice, 14th Court of Appeals District, Place 4",0038,1241,873,1914,2703,70.81%,730,1014,1744
"Justice, 14th Court of Appeals District, Place 4",0039,1084,723,1787,2728,85.55%,557,1095,1852
"Justice, 14th Court of Appeals District, Place 4",0040,239,1,35,374,524,71.37%,207,1,27,334
"Justice, 14th Court of Appeals District, Place 4",0041,580,284,844,1197,70.51%,389,445,814
"Justice, 14th Court of Appeals District, Place 4",0042,505,139,844,1121,57.45%,14,804,818
"Justice, 14th Court of Appeals District, Place 4",0043,520,372,892,1844,54.28%,421,405,828
"Justice, 14th Court of Appeals District, Place 4",0044,492,314,808,1978,40.79%,184,577,741
"Justice, 14th Court of Appeals District, Place 4",0045,2434,1138,3572,8031,59.23%,818,2819,3435
"Justice, 14th Court of Appeals District, Place 4",0048,538,433,971,2488,39.34%,184,755,919
"Justice, 14th Court of Appeals District, Place 4",0047,535,345,880,1824,54.19%,24,837,881
"Justice, 14th Court of Appeals District, Place 4",0048,371,193,584,992,58.85%,52,490,542
"Justice, 14th Court of Appeals District, Place 4",0049,1229,559,1898,3144,80.37%,1318,493,1809
"Justice, 14th Court of Appeals District, Place 4",0050,1904,1110,3014,4782,83.29%,1583,1327,2890
"Justice, 14th Court of Appeals District, Place 4",0051,857,349,1008,1588,84.18%,730,228,958
"Justice, 14th Court of Appeals District, Place 4",0052,972,820,1592,2299,89.25%,825,828,1451
"Justice, 14th Court of Appeals District, Place 4",0053,1102,884,1988,2808,70.73%,909,898,1807
"Justice, 14th Court of Appeals District, Place 4",0054,807,402,1009,1408,71.88%,538,389,927
"Justice, 14th Court of Appeals District, Place 4",0055,441,394,835,1305,83.98%,349,415,784
"Justice, 14th Court of Appeals District, Place 4",0058,548,307,855,1285,88.54%,581,230,791
"Justice, 14th Court of Appeals District, Place 4",0057,1274,958,2230,3082,72.83%,992,1048,2040
"Justice, 14th Court of Appeals District, Place 4",0058,882,747,1829,2521,84.82%,735,773,1508
"Justice, 14th Court of Appeals District, Place 4",0059,914,751,1885,2283,72.93%,727,791,1518
"Justice, 14th Court of Appeals District, Place 4",0080,840,884,1504,2283,88.48%,448,932,1380
"Justice, 14th Court of Appeals District, Place 4",0081,435,528,983,2250,42.80%,250,859,909
"Justice, 14th Court of Appeals District, Place 4",0082,419,528,947,2190,43.24%,200,851,851
"Justice, 14th Court of Appeals District, Place 4",0083,874,400,1074,1784,80.20%,838,188,1004
"Justice, 14th Court of Appeals District, Place 4",0084,410,420,830,2090,39.71%,153,818,771
"Justice, 14th Court of Appeals District, Place 4",0085,404,532,938,2178,42.98%,178,709,885
"Justice, 14th Court of Appeals District, Place 4",0088,172,279,451,1090,41.38%,88,348,412
"Justice, 14th Court of Appeals District, Place 4",0087,885,574,1239,2742,45.19%,274,883,1137
"Justice, 14th Court of Appeals District, Place 4",0088,1199,488,1885,2782,80.57%,30,1595,1825
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0069,218,284,502,1303,38.53%,81,362,443
"Justice, 14th Court of Appeals District, Place 4",0070,1634,726,2360,3142,75.11%,1486,693,2179
"Justice, 14th Court of Appeals District, Place 4",0071,1423,948,2371,3662,64.75%,1232,969,2201
"Justice, 14th Court of Appeals District, Place 4",0072,441,562,1003,1882,53.29%,291,630,921
"Justice, 14th Court of Appeals District, Place 4",0073,500,496,996,1494,66.67%,574,340,914
"Justice, 14th Court of Appeals District, Place 4",0074,2212,530,2742,3632,75.50%,2108,457,2565
"Justice, 14th Court of Appeals District, Place 4",0075,482,370,852,1329,64.11%,353,435,788
"Justice, 14th Court of Appeals District, Place 4",0076,814,559,1383,2328,59.41%,732,556,1288
"Justice, 14th Court of Appeals District, Place 4",0077,168,81,249,565,44.07%,55,177,232
"Justice, 14th Court of Appeals District, Place 4",0078,359,344,703,1479,47.53%,207,425,632
"Justice, 14th Court of Appeals District, Place 4",0079,511,717,1228,2959,41.50%,243,881,1124
"Justice, 14th Court of Appeals District, Place 4",0080,1159,481,1640,2712,60.47%,349,1201,1550
"Justice, 14th Court of Appeals District, Place 4",0081,540,309,849,1839,46.17%,270,516,786
"Justice, 14th Court of Appeals District, Place 4",0082,1353,816,2169,3284,66.05%,1603,468,2071
"Justice, 14th Court of Appeals District, Place 4",0083,2528,1181,3809,5598,68.04%,1810,1857,3667
"Justice, 14th Court of Appeals District, Place 4",0084,444,346,790,1389,56.88%,560,199,759
"Justice, 14th Court of Appeals District, Place 4",0085,730,548,1278,2079,61.47%,33,1193,1226
"Justice, 14th Court of Appeals District, Place 4",0086,1054,689,1743,2637,66.10%,820,790,1610
"Justice, 14th Court of Appeals District, Place 4",0087,1222,861,2083,2749,75.77%,1381,522,1903
"Justice, 14th Court of Appeals District, Place 4",0088,235,162,397,678,58.55%,252,128,380
"Justice, 14th Court of Appeals District, Place 4",0089,343,454,797,1104,72.19%,485,240,725
"Justice, 14th Court of Appeals District, Place 4",0090,1498,958,2456,3571,68.78%,1807,512,2319
"Justice, 14th Court of Appeals District, Place 4",0091,466,333,799,1248,64.02%,490,277,767
"Justice, 14th Court of Appeals District, Place 4",0092,1105,534,1639,2228,73.56%,1132,393,1525
"Justice, 14th Court of Appeals District, Place 4",0093,782,643,1425,3295,43.25%,530,795,1325
"Justice, 14th Court of Appeals District, Place 4",0094,148,104,252,537,46.93%,55,181,236
"Justice, 14th Court of Appeals District, Place 4",0095,1585,571,2356,3179,74.11%,1638,575,2213
"Justice, 14th Court of Appeals District, Place 4",0096,364,237,601,1241,48.43%,57,524,581
"Justice, 14th Court of Appeals District, Place 4",0097,2393,764,3157,4566,69.14%,2291,704,2995
"Justice, 14th Court of Appeals District, Place 4",0098,874,607,1481,2403,61.63%,1205,212,1417
"Justice, 14th Court of Appeals District, Place 4",0099,568,311,879,2040,43.09%,394,448,842
"Justice, 14th Court of Appeals District, Place 4",0100,427,324,751,1754,42.82%,334,385,719
"Justice, 14th Court of Appeals District, Place 4",0101,204,186,390,941,41.45%,95,283,378
"Justice, 14th Court of Appeals District, Place 4",0102,493,268,761,1910,39.84%,194,540,734
