Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0001,808,516,1324,2155,61.44%,628,628
"Justice, 14th Court of Appeals District, Place 6",0002,754,407,1161,1890,61.43%,674,674
"Justice, 14th Court of Appeals District, Place 6",0003,660,474,1134,1519,74.65%,577,577
"Justice, 14th Court of Appeals District, Place 6",0004,676,534,1210,1652,73.24%,598,598
"Justice, 14th Court of Appeals District, Place 6",0005,472,518,990,1376,71.95%,502,502
"Justice, 14th Court of Appeals District, Place 6",0006,1251,929,2180,3616,60.29%,1389,1389
"Justice, 14th Court of Appeals District, Place 6",0007,495,124,619,1058,58.51%,55,55
"Justice, 14th Court of Appeals District, Place 6",0008,661,430,1091,1706,63.95%,633,633
"Justice, 14th Court of Appeals District, Place 6",0009,473,382,855,1736,49.25%,298,298
"Justice, 14th Court of Appeals District, Place 6",0010,499,245,744,1722,43.21%,271,271
"Justice, 14th Court of Appeals District, Place 6",0011,418,335,753,1830,41.15%,239,239
"Justice, 14th Court of Appeals District, Place 6",0012,227,133,360,716,50.28%,220,220
"Justice, 14th Court of Appeals District, Place 6",0013,1140,443,1583,2823,56.08%,1128,1128
"Justice, 14th Court of Appeals District, Place 6",0014,761,606,1367,1848,73.97%,847,847
"Justice, 14th Court of Appeals District, Place 6",0015,1144,1016,2160,2806,76.98%,1457,1457
"Justice, 14th Court of Appeals District, Place 6",0016,457,175,632,947,66.74%,360,360
"Justice, 14th Court of Appeals District, Place 6",0017,347,326,673,1105,60.90%,325,325
"Justice, 14th Court of Appeals District, Place 6",0018,550,483,1033,1396,74.00%,602,602
"Justice, 14th Court of Appeals District, Place 6",0019,423,261,684,995,68.74%,355,355
"Justice, 14th Court of Appeals District, Place 6",0020,679,470,1149,3074,37.38%,478,478
"Justice, 14th Court of Appeals District, Place 6",0021,419,230,649,1013,64.07%,219,219
"Justice, 14th Court of Appeals District, Place 6",0022,888,554,1442,2524,57.13%,369,369
"Justice, 14th Court of Appeals District, Place 6",0023,100,65,165,512,32.23%,51,51
"Justice, 14th Court of Appeals District, Place 6",0024,225,121,346,611,56.63%,65,65
"Justice, 14th Court of Appeals District, Place 6",0025,244,304,548,1062,51.60%,64,64
"Justice, 14th Court of Appeals District, Place 6",0026,463,486,949,1843,51.49%,401,401
"Justice, 14th Court of Appeals District, Place 6",0027,821,595,1516,3005,50.45%,577,577
"Justice, 14th Court of Appeals District, Place 6",0028,1446,465,1911,2782,68.69%,1248,1248
"Justice, 14th Court of Appeals District, Place 6",0029,418,577,995,2659,37.42%,442,442
"Justice, 14th Court of Appeals District, Place 6",0030,798,588,1386,2034,68.14%,511,511
"Justice, 14th Court of Appeals District, Place 6",0031,913,526,1439,2518,57.15%,132,132
"Justice, 14th Court of Appeals District, Place 6",0032,796,556,1352,2171,62.28%,795,795
"Justice, 14th Court of Appeals District, Place 6",0033,1479,843,2322,3540,65.59%,1197,1197
"Justice, 14th Court of Appeals District, Place 6",0034,1013,749,1762,2676,65.84%,687,687
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0035,4,0,4,12,33.33%,1,1
"Justice, 14th Court of Appeals District, Place 6",0036,993,479,1472,2868,51.32%,526,526
"Justice, 14th Court of Appeals District, Place 6",0037,801,479,1280,1885,67.90%,533,533
"Justice, 14th Court of Appeals District, Place 6",0038,1241,673,1914,2703,70.81%,910,910
"Justice, 14th Court of Appeals District, Place 6",0039,1064,723,1787,2726,65.55%,723,723
"Justice, 14th Court of Appeals District, Place 6",0040,239,135,374,524,71.37%,234,234
"Justice, 14th Court of Appeals District, Place 6",0041,560,284,844,1197,70.51%,442,442
"Justice, 14th Court of Appeals District, Place 6",0042,505,139,644,1121,57.45%,47,47
"Justice, 14th Court of Appeals District, Place 6",0043,520,372,892,1644,54.26%,496,496
"Justice, 14th Court of Appeals District, Place 6",0044,492,314,806,1976,40.79%,245,245
"Justice, 14th Court of Appeals District, Place 6",0045,2434,1138,3572,6031,59.23%,1007,1007
"Justice, 14th Court of Appeals District, Place 6",0046,538,433,971,2468,39.34%,298,298
"Justice, 14th Court of Appeals District, Place 6",0047,535,345,880,1624,54.19%,81,81
"Justice, 14th Court of Appeals District, Place 6",0048,371,193,564,992,56.85%,82,82
"Justice, 14th Court of Appeals District, Place 6",0049,1229,559,1898,3144,60.37%,1400,1400
"Justice, 14th Court of Appeals District, Place 6",0050,1904,1110,3014,4762,63.29%,1810,1810
"Justice, 14th Court of Appeals District, Place 6",0051,657,349,1006,1568,64.16%,782,782
"Justice, 14th Court of Appeals District, Place 6",0052,972,620,1592,2299,69.25%,993,993
"Justice, 14th Court of Appeals District, Place 6",0053,1102,884,1986,2808,70.73%,1044,1044
"Justice, 14th Court of Appeals District, Place 6",0054,607,402,1009,1408,71.66%,617,617
"Justice, 14th Court of Appeals District, Place 6",0055,441,394,835,1305,63.98%,444,444
"Justice, 14th Court of Appeals District, Place 6",0056,548,307,855,1285,66.54%,597,597
"Justice, 14th Court of Appeals District, Place 6",0057,1274,956,2230,3062,72.83%,1185,1185
"Justice, 14th Court of Appeals District, Place 6",0058,882,747,1629,2521,64.62%,884,884
"Justice, 14th Court of Appeals District, Place 6",0059,914,751,1665,2283,72.93%,872,872
"Justice, 14th Court of Appeals District, Place 6",0060,840,664,1504,2263,66.46%,607,607
"Justice, 14th Court of Appeals District, Place 6",0061,435,528,963,2250,42.80%,370,370
"Justice, 14th Court of Appeals District, Place 6",0062,419,528,947,2190,43.24%,354,354
"Justice, 14th Court of Appeals District, Place 6",0063,674,400,1074,1784,60.20%,882,882
"Justice, 14th Court of Appeals District, Place 6",0064,410,420,830,2090,39.71%,266,266
"Justice, 14th Court of Appeals District, Place 6",0065,404,532,936,2178,42.98%,318,318
"Justice, 14th Court of Appeals District, Place 6",0066,172,279,451,1090,41.38%,121,121
"Justice, 14th Court of Appeals District, Place 6",0067,665,574,1239,2742,45.19%,424,424
"Justice, 14th Court of Appeals District, Place 6",0068,1199,486,1685,2782,60.57%,169,169
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0069,218,284,502,1303,38.53%,155,155
"Justice, 14th Court of Appeals District, Place 6",0070,1634,726,2360,3142,75.11%,1622,1622
"Justice, 14th Court of Appeals District, Place 6",0071,1423,948,2371,3662,64.75%,1441,1441
"Justice, 14th Court of Appeals District, Place 6",0072,441,562,1003,1882,53.29%,444,444
"Justice, 14th Court of Appeals District, Place 6",0073,500,496,996,1494,66.67%,657,657
"Justice, 14th Court of Appeals District, Place 6",0074,2212,530,2742,3632,75.50%,2174,2174
"Justice, 14th Court of Appeals District, Place 6",0075,482,370,852,1329,64.11%,427,427
"Justice, 14th Court of Appeals District, Place 6",0076,814,569,1383,2328,59.41%,861,861
"Justice, 14th Court of Appeals District, Place 6",0077,168,81,249,565,44.07%,84,84
"Justice, 14th Court of Appeals District, Place 6",0078,359,344,703,1479,47.53%,323,323
"Justice, 14th Court of Appeals District, Place 6",0079,511,717,1228,2959,41.50%,418,418
"Justice, 14th Court of Appeals District, Place 6",0080,1159,481,1640,2712,60.47%,528,528
"Justice, 14th Court of Appeals District, Place 6",0081,540,309,849,1839,46.17%,378,378
"Justice, 14th Court of Appeals District, Place 6",0082,1353,816,2169,3284,66.05%,1689,1689
"Justice, 14th Court of Appeals District, Place 6",0083,2628,1181,3809,5598,68.04%,2152,2152
"Justice, 14th Court of Appeals District, Place 6",0084,444,346,790,1389,56.88%,597,597
"Justice, 14th Court of Appeals District, Place 6",0085,730,548,1278,2079,61.47%,227,227
"Justice, 14th Court of Appeals District, Place 6",0086,1054,689,1743,2637,66.10%,983,983
"Justice, 14th Court of Appeals District, Place 6",0087,1222,861,2083,2749,75.77%,1462,1462
"Justice, 14th Court of Appeals District, Place 6",0088,235,162,397,678,58.55%,265,265
"Justice, 14th Court of Appeals District, Place 6",0089,343,454,797,1104,72.19%,543,543
"Justice, 14th Court of Appeals District, Place 6",0090,1498,958,2456,3571,68.78%,1917,1917
"Justice, 14th Court of Appeals District, Place 6",0091,466,333,799,1248,64.02%,543,543
"Justice, 14th Court of Appeals District, Place 6",0092,1105,534,1639,2228,73.56%,1202,1202
"Justice, 14th Court of Appeals District, Place 6",0093,782,643,1425,3295,43.25%,677,677
"Justice, 14th Court of Appeals District, Place 6",0094,148,104,252,537,46.93%,91,91
"Justice, 14th Court of Appeals District, Place 6",0095,1685,671,2356,3179,74.11%,1743,1743
"Justice, 14th Court of Appeals District, Place 6",0096,364,237,601,1241,48.43%,127,127
"Justice, 14th Court of Appeals District, Place 6",0097,2393,764,3157,4566,69.14%,2429,2429
"Justice, 14th Court of Appeals District, Place 6",0098,874,607,1481,2403,61.63%,1242,1242
"Justice, 14th Court of Appeals District, Place 6",0099,568,311,879,2040,43.09%,464,464
"Justice, 14th Court of Appeals District, Place 6",0100,427,324,751,1754,42.82%,406,406
"Justice, 14th Court of Appeals District, Place 6",0101,204,186,390,941,41.45%,132,132
"Justice, 14th Court of Appeals District, Place 6",0102,493,268,761,1910,39.84%,258,258
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Boyce,Totals
"Justice, 14th Court of Appeals District, Place 6",0103,1915,1065,2980,4751,62.72%,1788,1788
"Justice, 14th Court of Appeals District, Place 6",0104,992,238,1230,1847,66.59%,101,101
"Justice, 14th Court of Appeals District, Place 6",0105,462,453,915,2153,42.50%,386,386
"Justice, 14th Court of Appeals District, Place 6",0106,49,37,86,284,30.28%,50,50
"Justice, 14th Court of Appeals District, Place 6",0107,412,441,853,1905,44.78%,240,240
"Justice, 14th Court of Appeals District, Place 6",0108,1194,514,1708,3229,52.90%,1001,1001
"Justice, 14th Court of Appeals District, Place 6",0109,1160,430,1590,2884,55.13%,162,162
"Justice, 14th Court of Appeals District, Place 6",0110,1465,589,2054,2853,71.99%,1367,1367
"Justice, 14th Court of Appeals District, Place 6",0111,1868,848,2716,3638,74.66%,2111,2111
"Justice, 14th Court of Appeals District, Place 6",0112,1262,668,1930,2894,66.69%,1462,1462
"Justice, 14th Court of Appeals District, Place 6",0113,1125,590,1715,2537,67.60%,1079,1079
"Justice, 14th Court of Appeals District, Place 6",0114,1454,546,2000,2650,75.47%,1619,1619
