Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0001,808,516,1324,2155,61.44%,476,757,1233
"Justice, 1st Court of Appeals District, Place 2",0002,754,407,1161,1890,61.43%,566,522,1088
"Justice, 1st Court of Appeals District, Place 2",0003,660,474,1134,1519,74.65%,475,575,1050
"Justice, 1st Court of Appeals District, Place 2",0004,676,534,1210,1652,73.24%,497,632,1129
"Justice, 1st Court of Appeals District, Place 2",0005,472,518,990,1376,71.95%,417,498,915
"Justice, 1st Court of Appeals District, Place 2",0006,1251,929,2180,3616,60.29%,1186,903,2089
"Justice, 1st Court of Appeals District, Place 2",0007,495,124,619,1058,58.51%,14,591,605
"Justice, 1st Court of Appeals District, Place 2",0008,661,430,1091,1706,63.95%,543,483,1026
"Justice, 1st Court of Appeals District, Place 2",0009,473,382,855,1736,49.25%,177,618,795
"Justice, 1st Court of Appeals District, Place 2",0010,499,245,744,1722,43.21%,164,512,676
"Justice, 1st Court of Appeals District, Place 2",0011,418,335,753,1830,41.15%,126,574,700
"Justice, 1st Court of Appeals District, Place 2",0012,227,133,360,716,50.28%,186,160,346
"Justice, 1st Court of Appeals District, Place 2",0013,1140,443,1583,2823,56.08%,1045,459,1504
"Justice, 1st Court of Appeals District, Place 2",0014,761,606,1367,1848,73.97%,749,532,1281
"Justice, 1st Court of Appeals District, Place 2",0015,1144,1016,2160,2806,76.98%,1362,621,1983
"Justice, 1st Court of Appeals District, Place 2",0016,457,175,632,947,66.74%,305,272,577
"Justice, 1st Court of Appeals District, Place 2",0017,347,326,673,1105,60.90%,255,363,618
"Justice, 1st Court of Appeals District, Place 2",0018,550,483,1033,1396,74.00%,523,442,965
"Justice, 1st Court of Appeals District, Place 2",0019,423,261,684,995,68.74%,248,382,630
"Justice, 1st Court of Appeals District, Place 2",0020,679,470,1149,3074,37.38%,346,718,1064
"Justice, 1st Court of Appeals District, Place 2",0021,419,230,649,1013,64.07%,147,467,614
"Justice, 1st Court of Appeals District, Place 2",0022,888,554,1442,2524,57.13%,207,1167,1374
"Justice, 1st Court of Appeals District, Place 2",0023,100,65,165,512,32.23%,34,122,156
"Justice, 1st Court of Appeals District, Place 2",0024,225,121,346,611,56.63%,36,290,326
"Justice, 1st Court of Appeals District, Place 2",0025,244,304,548,1062,51.60%,25,501,526
"Justice, 1st Court of Appeals District, Place 2",0026,463,486,949,1843,51.49%,255,633,888
"Justice, 1st Court of Appeals District, Place 2",0027,821,595,1516,3005,50.45%,360,1060,1420
"Justice, 1st Court of Appeals District, Place 2",0028,1446,465,1911,2782,68.69%,1116,702,1818
"Justice, 1st Court of Appeals District, Place 2",0029,418,577,995,2659,37.42%,311,627,938
"Justice, 1st Court of Appeals District, Place 2",0030,798,588,1386,2034,68.14%,370,952,1322
"Justice, 1st Court of Appeals District, Place 2",0031,913,526,1439,2518,57.15%,28,1376,1404
"Justice, 1st Court of Appeals District, Place 2",0032,796,556,1352,2171,62.28%,668,575,1243
"Justice, 1st Court of Appeals District, Place 2",0033,1479,843,2322,3540,65.59%,968,1161,2129
"Justice, 1st Court of Appeals District, Place 2",0034,1013,749,1762,2676,65.84%,503,1145,1648
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0035,4,0,4,12,33.33%,1,3,4
"Justice, 1st Court of Appeals District, Place 2",0036,993,479,1472,2868,51.32%,371,1013,1384
"Justice, 1st Court of Appeals District, Place 2",0037,801,479,1280,1885,67.90%,451,737,1188
"Justice, 1st Court of Appeals District, Place 2",0038,1241,673,1914,2703,70.81%,741,1026,1767
"Justice, 1st Court of Appeals District, Place 2",0039,1064,723,1787,2726,65.55%,562,1101,1663
"Justice, 1st Court of Appeals District, Place 2",0040,239,135,374,524,71.37%,215,124,339
"Justice, 1st Court of Appeals District, Place 2",0041,560,284,844,1197,70.51%,367,452,819
"Justice, 1st Court of Appeals District, Place 2",0042,505,139,644,1121,57.45%,9,607,616
"Justice, 1st Court of Appeals District, Place 2",0043,520,372,892,1644,54.26%,409,420,829
"Justice, 1st Court of Appeals District, Place 2",0044,492,314,806,1976,40.79%,161,582,743
"Justice, 1st Court of Appeals District, Place 2",0045,2434,1138,3572,6031,59.23%,577,2861,3438
"Justice, 1st Court of Appeals District, Place 2",0046,538,433,971,2468,39.34%,156,765,921
"Justice, 1st Court of Appeals District, Place 2",0047,535,345,880,1624,54.19%,22,843,865
"Justice, 1st Court of Appeals District, Place 2",0048,371,193,564,992,56.85%,45,496,541
"Justice, 1st Court of Appeals District, Place 2",0049,1229,559,1898,3144,60.37%,1302,516,1818
"Justice, 1st Court of Appeals District, Place 2",0050,1904,1110,3014,4762,63.29%,1534,1362,2896
"Justice, 1st Court of Appeals District, Place 2",0051,657,349,1006,1568,64.16%,712,249,961
"Justice, 1st Court of Appeals District, Place 2",0052,972,620,1592,2299,69.25%,830,639,1469
"Justice, 1st Court of Appeals District, Place 2",0053,1102,884,1986,2808,70.73%,921,892,1813
"Justice, 1st Court of Appeals District, Place 2",0054,607,402,1009,1408,71.66%,520,415,935
"Justice, 1st Court of Appeals District, Place 2",0055,441,394,835,1305,63.98%,345,419,764
"Justice, 1st Court of Appeals District, Place 2",0056,548,307,855,1285,66.54%,545,251,796
"Justice, 1st Court of Appeals District, Place 2",0057,1274,956,2230,3062,72.83%,1001,1063,2064
"Justice, 1st Court of Appeals District, Place 2",0058,882,747,1629,2521,64.62%,727,795,1522
"Justice, 1st Court of Appeals District, Place 2",0059,914,751,1665,2283,72.93%,730,797,1527
"Justice, 1st Court of Appeals District, Place 2",0060,840,664,1504,2263,66.46%,458,929,1387
"Justice, 1st Court of Appeals District, Place 2",0061,435,528,963,2250,42.80%,233,678,911
"Justice, 1st Court of Appeals District, Place 2",0062,419,528,947,2190,43.24%,191,672,863
"Justice, 1st Court of Appeals District, Place 2",0063,674,400,1074,1784,60.20%,828,192,1020
"Justice, 1st Court of Appeals District, Place 2",0064,410,420,830,2090,39.71%,150,623,773
"Justice, 1st Court of Appeals District, Place 2",0065,404,532,936,2178,42.98%,166,719,885
"Justice, 1st Court of Appeals District, Place 2",0066,172,279,451,1090,41.38%,67,347,414
"Justice, 1st Court of Appeals District, Place 2",0067,665,574,1239,2742,45.19%,258,878,1136
"Justice, 1st Court of Appeals District, Place 2",0068,1199,486,1685,2782,60.57%,29,1598,1627
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0069,218,284,502,1303,38.53%,77,371,448
"Justice, 1st Court of Appeals District, Place 2",0070,1634,726,2360,3142,75.11%,1481,716,2197
"Justice, 1st Court of Appeals District, Place 2",0071,1423,948,2371,3662,64.75%,1230,984,2214
"Justice, 1st Court of Appeals District, Place 2",0072,441,562,1003,1882,53.29%,266,655,921
"Justice, 1st Court of Appeals District, Place 2",0073,500,496,996,1494,66.67%,570,352,922
"Justice, 1st Court of Appeals District, Place 2",0074,2212,530,2742,3632,75.50%,2076,496,2572
"Justice, 1st Court of Appeals District, Place 2",0075,482,370,852,1329,64.11%,354,443,797
"Justice, 1st Court of Appeals District, Place 2",0076,814,569,1383,2328,59.41%,721,573,1294
"Justice, 1st Court of Appeals District, Place 2",0077,168,81,249,565,44.07%,48,183,231
"Justice, 1st Court of Appeals District, Place 2",0078,359,344,703,1479,47.53%,196,431,627
"Justice, 1st Court of Appeals District, Place 2",0079,511,717,1228,2959,41.50%,230,900,1130
"Justice, 1st Court of Appeals District, Place 2",0080,1159,481,1640,2712,60.47%,344,1218,1562
"Justice, 1st Court of Appeals District, Place 2",0081,540,309,849,1839,46.17%,245,549,794
"Justice, 1st Court of Appeals District, Place 2",0082,1353,816,2169,3284,66.05%,1577,497,2074
"Justice, 1st Court of Appeals District, Place 2",0083,2628,1181,3809,5598,68.04%,1767,1899,3666
"Justice, 1st Court of Appeals District, Place 2",0084,444,346,790,1389,56.88%,551,209,760
"Justice, 1st Court of Appeals District, Place 2",0085,730,548,1278,2079,61.47%,26,1208,1234
"Justice, 1st Court of Appeals District, Place 2",0086,1054,689,1743,2637,66.10%,807,807,1614
"Justice, 1st Court of Appeals District, Place 2",0087,1222,861,2083,2749,75.77%,1412,522,1934
"Justice, 1st Court of Appeals District, Place 2",0088,235,162,397,678,58.55%,245,138,383
