Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Harvey Brown,DEM Chuck Silverman,Totals
"Justice, 1st Court of Appeals District, Place 6",0001,808,516,1324,2155,61.44%,468,762,1230
"Justice, 1st Court of Appeals District, Place 6",0002,754,407,1161,1890,61.43%,557,527,1084
"Justice, 1st Court of Appeals District, Place 6",0003,660,474,1134,1519,74.65%,481,561,1042
"Justice, 1st Court of Appeals District, Place 6",0004,676,534,1210,1652,73.24%,488,636,1124
"Justice, 1st Court of Appeals District, Place 6",0005,472,518,990,1376,71.95%,398,506,904
"Justice, 1st Court of Appeals District, Place 6",0006,1251,929,2180,3616,60.29%,1190,889,2079
"Justice, 1st Court of Appeals District, Place 6",0007,495,124,619,1058,58.51%,13,591,604
"Justice, 1st Court of Appeals District, Place 6",0008,661,430,1091,1706,63.95%,546,479,1025
"Justice, 1st Court of Appeals District, Place 6",0009,473,382,855,1736,49.25%,184,615,799
"Justice, 1st Court of Appeals District, Place 6",0010,499,245,744,1722,43.21%,163,507,670
"Justice, 1st Court of Appeals District, Place 6",0011,418,335,753,1830,41.15%,131,571,702
"Justice, 1st Court of Appeals District, Place 6",0012,227,133,360,716,50.28%,191,156,347
"Justice, 1st Court of Appeals District, Place 6",0013,1140,443,1583,2823,56.08%,1046,451,1497
"Justice, 1st Court of Appeals District, Place 6",0014,761,606,1367,1848,73.97%,734,537,1271
"Justice, 1st Court of Appeals District, Place 6",0015,1144,1016,2160,2806,76.98%,1343,636,1979
"Justice, 1st Court of Appeals District, Place 6",0016,457,175,632,947,66.74%,305,280,585
"Justice, 1st Court of Appeals District, Place 6",0017,347,326,673,1105,60.90%,257,364,621
"Justice, 1st Court of Appeals District, Place 6",0018,550,483,1033,1396,74.00%,526,435,961
"Justice, 1st Court of Appeals District, Place 6",0019,423,261,684,995,68.74%,247,385,632
"Justice, 1st Court of Appeals District, Place 6",0020,679,470,1149,3074,37.38%,337,726,1063
"Justice, 1st Court of Appeals District, Place 6",0021,419,230,649,1013,64.07%,143,467,610
"Justice, 1st Court of Appeals District, Place 6",0022,888,554,1442,2524,57.13%,205,1171,1376
"Justice, 1st Court of Appeals District, Place 6",0023,100,65,165,512,32.23%,35,121,156
"Justice, 1st Court of Appeals District, Place 6",0024,225,121,346,611,56.63%,36,287,323
"Justice, 1st Court of Appeals District, Place 6",0025,244,304,548,1062,51.60%,25,501,526
"Justice, 1st Court of Appeals District, Place 6",0026,463,486,949,1843,51.49%,250,625,875
"Justice, 1st Court of Appeals District, Place 6",0027,821,595,1516,3005,50.45%,355,1048,1403
"Justice, 1st Court of Appeals District, Place 6",0028,1446,465,1911,2782,68.69%,1124,682,1806
"Justice, 1st Court of Appeals District, Place 6",0029,418,577,995,2659,37.42%,320,622,942
"Justice, 1st Court of Appeals District, Place 6",0030,798,588,1386,2034,68.14%,362,949,1311
"Justice, 1st Court of Appeals District, Place 6",0031,913,526,1439,2518,57.15%,27,1373,1400
"Justice, 1st Court of Appeals District, Place 6",0032,796,556,1352,2171,62.28%,662,577,1239
"Justice, 1st Court of Appeals District, Place 6",0033,1479,843,2322,3540,65.59%,947,1173,2120
