Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0001,808,516,1324,2155,61.44%,465,767,1232
"Justice, 1st Court of Appeals District, Place 7",0002,754,407,1161,1890,61.43%,550,536,1086
"Justice, 1st Court of Appeals District, Place 7",0003,660,474,1134,1519,74.65%,469,568,1037
"Justice, 1st Court of Appeals District, Place 7",0004,676,534,1210,1652,73.24%,489,637,1126
"Justice, 1st Court of Appeals District, Place 7",0005,472,518,990,1376,71.95%,400,506,906
"Justice, 1st Court of Appeals District, Place 7",0006,1251,929,2180,3616,60.29%,1185,890,2075
"Justice, 1st Court of Appeals District, Place 7",0007,495,124,619,1058,58.51%,11,591,602
"Justice, 1st Court of Appeals District, Place 7",0008,661,430,1091,1706,63.95%,541,485,1026
"Justice, 1st Court of Appeals District, Place 7",0009,473,382,855,1736,49.25%,181,615,796
"Justice, 1st Court of Appeals District, Place 7",0010,499,245,744,1722,43.21%,162,504,666
"Justice, 1st Court of Appeals District, Place 7",0011,418,335,753,1830,41.15%,132,568,700
"Justice, 1st Court of Appeals District, Place 7",0012,227,133,360,716,50.28%,191,156,347
"Justice, 1st Court of Appeals District, Place 7",0013,1140,443,1583,2823,56.08%,1058,438,1496
"Justice, 1st Court of Appeals District, Place 7",0014,761,606,1367,1848,73.97%,738,528,1266
"Justice, 1st Court of Appeals District, Place 7",0015,1144,1016,2160,2806,76.98%,1330,637,1967
"Justice, 1st Court of Appeals District, Place 7",0016,457,175,632,947,66.74%,300,278,578
"Justice, 1st Court of Appeals District, Place 7",0017,347,326,673,1105,60.90%,253,365,618
"Justice, 1st Court of Appeals District, Place 7",0018,550,483,1033,1396,74.00%,535,425,960
"Justice, 1st Court of Appeals District, Place 7",0019,423,261,684,995,68.74%,240,391,631
"Justice, 1st Court of Appeals District, Place 7",0020,679,470,1149,3074,37.38%,337,724,1061
"Justice, 1st Court of Appeals District, Place 7",0021,419,230,649,1013,64.07%,145,469,614
"Justice, 1st Court of Appeals District, Place 7",0022,888,554,1442,2524,57.13%,206,1172,1378
"Justice, 1st Court of Appeals District, Place 7",0023,100,65,165,512,32.23%,35,121,156
"Justice, 1st Court of Appeals District, Place 7",0024,225,121,346,611,56.63%,38,286,324
"Justice, 1st Court of Appeals District, Place 7",0025,244,304,548,1062,51.60%,22,500,522
"Justice, 1st Court of Appeals District, Place 7",0026,463,486,949,1843,51.49%,250,628,878
"Justice, 1st Court of Appeals District, Place 7",0027,821,595,1516,3005,50.45%,359,1048,1407
"Justice, 1st Court of Appeals District, Place 7",0028,1446,465,1911,2782,68.69%,1120,684,1804
"Justice, 1st Court of Appeals District, Place 7",0029,418,577,995,2659,37.42%,319,623,942
"Justice, 1st Court of Appeals District, Place 7",0030,798,588,1386,2034,68.14%,362,945,1307
"Justice, 1st Court of Appeals District, Place 7",0031,913,526,1439,2518,57.15%,24,1376,1400
"Justice, 1st Court of Appeals District, Place 7",0032,796,556,1352,2171,62.28%,664,574,1238
"Justice, 1st Court of Appeals District, Place 7",0033,1479,843,2322,3540,65.59%,948,1168,2116
"Justice, 1st Court of Appeals District, Place 7",0034,1013,749,1762,2676,65.84%,498,1161,1659
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0035,4,0,4,12,33.33%,1,3,4
"Justice, 1st Court of Appeals District, Place 7",0036,993,479,1472,2868,51.32%,371,1010,1381
"Justice, 1st Court of Appeals District, Place 7",0037,801,479,1280,1885,67.90%,451,746,1197
"Justice, 1st Court of Appeals District, Place 7",0038,1241,673,1914,2703,70.81%,702,1061,1763
"Justice, 1st Court of Appeals District, Place 7",0039,1064,723,1787,2726,65.55%,526,1133,1659
"Justice, 1st Court of Appeals District, Place 7",0040,239,135,374,524,71.37%,203,138,341
"Justice, 1st Court of Appeals District, Place 7",0041,560,284,844,1197,70.51%,365,451,816
"Justice, 1st Court of Appeals District, Place 7",0042,505,139,644,1121,57.45%,13,604,617
"Justice, 1st Court of Appeals District, Place 7",0043,520,372,892,1644,54.26%,420,409,829
"Justice, 1st Court of Appeals District, Place 7",0044,492,314,806,1976,40.79%,164,577,741
"Justice, 1st Court of Appeals District, Place 7",0045,2434,1138,3572,6031,59.23%,606,2823,3429
"Justice, 1st Court of Appeals District, Place 7",0046,538,433,971,2468,39.34%,159,763,922
"Justice, 1st Court of Appeals District, Place 7",0047,535,345,880,1624,54.19%,21,839,860
"Justice, 1st Court of Appeals District, Place 7",0048,371,193,564,992,56.85%,42,497,539
"Justice, 1st Court of Appeals District, Place 7",0049,1229,669,1898,3144,60.37%,1306,509,1815
"Justice, 1st Court of Appeals District, Place 7",0050,1904,1110,3014,4762,63.29%,1532,1359,2891
"Justice, 1st Court of Appeals District, Place 7",0051,657,349,1006,1568,64.16%,718,239,957
"Justice, 1st Court of Appeals District, Place 7",0052,972,620,1592,2299,69.25%,811,653,1464
"Justice, 1st Court of Appeals District, Place 7",0053,1102,884,1986,2808,70.73%,887,925,1812
"Justice, 1st Court of Appeals District, Place 7",0054,607,402,1009,1408,71.66%,519,413,932
"Justice, 1st Court of Appeals District, Place 7",0055,441,394,835,1305,63.98%,340,422,762
"Justice, 1st Court of Appeals District, Place 7",0056,548,307,855,1285,66.54%,556,235,791
"Justice, 1st Court of Appeals District, Place 7",0057,1274,956,2230,3062,72.83%,974,1080,2054
"Justice, 1st Court of Appeals District, Place 7",0058,882,747,1629,2521,64.62%,702,812,1514
"Justice, 1st Court of Appeals District, Place 7",0059,914,751,1665,2283,72.93%,696,834,1530
"Justice, 1st Court of Appeals District, Place 7",0060,840,664,1504,2263,66.46%,441,943,1384
"Justice, 1st Court of Appeals District, Place 7",0061,435,528,963,2250,42.80%,254,651,905
"Justice, 1st Court of Appeals District, Place 7",0062,419,528,947,2190,43.24%,189,672,861
"Justice, 1st Court of Appeals District, Place 7",0063,674,400,1074,1784,60.20%,842,168,1010
"Justice, 1st Court of Appeals District, Place 7",0064,410,420,830,2090,39.71%,147,627,774
"Justice, 1st Court of Appeals District, Place 7",0065,404,532,936,2178,42.98%,164,717,881
"Justice, 1st Court of Appeals District, Place 7",0066,172,279,451,1090,41.38%,66,347,413
"Justice, 1st Court of Appeals District, Place 7",0067,665,574,1239,2742,45.19%,263,872,1135
"Justice, 1st Court of Appeals District, Place 7",0068,1199,486,1685,2782,60.57%,29,1602,1631
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0069,218,284,502,1303,38.53%,79,366,445
"Justice, 1st Court of Appeals District, Place 7",0070,1634,726,2360,3142,75.11%,1463,722,2185
"Justice, 1st Court of Appeals District, Place 7",0071,1423,948,2371,3662,64.75%,1218,996,2214
"Justice, 1st Court of Appeals District, Place 7",0072,441,562,1003,1882,53.29%,266,657,923
"Justice, 1st Court of Appeals District, Place 7",0073,500,496,996,1494,66.67%,568,352,920
"Justice, 1st Court of Appeals District, Place 7",0074,2212,530,2742,3632,75.50%,2092,480,2572
"Justice, 1st Court of Appeals District, Place 7",0075,482,370,852,1329,64.11%,342,452,794
"Justice, 1st Court of Appeals District, Place 7",0076,814,559,1383,2328,59.41%,728,561,1289
"Justice, 1st Court of Appeals District, Place 7",0077,168,81,249,565,44.07%,54,180,234
"Justice, 1st Court of Appeals District, Place 7",0078,359,344,703,1479,47.53%,198,429,627
"Justice, 1st Court of Appeals District, Place 7",0079,511,717,1228,2959,41.50%,214,910,1124
"Justice, 1st Court of Appeals District, Place 7",0080,1159,481,1640,2712,60.47%,347,1209,1556
"Justice, 1st Court of Appeals District, Place 7",0081,540,309,849,1839,46.17%,264,521,785
"Justice, 1st Court of Appeals District, Place 7",0082,1353,816,2169,3284,66.05%,1582,490,2072
"Justice, 1st Court of Appeals District, Place 7",0083,2528,1181,3809,5598,68.04%,1760,1898,3658
"Justice, 1st Court of Appeals District, Place 7",0084,444,346,790,1389,56.88%,554,208,762
"Justice, 1st Court of Appeals District, Place 7",0085,730,548,1278,2079,61.47%,22,1206,1228
"Justice, 1st Court of Appeals District, Place 7",0086,1054,689,1743,2637,66.10%,805,805,1610
"Justice, 1st Court of Appeals District, Place 7",0087,1222,861,2083,2749,75.77%,1356,558,1914
"Justice, 1st Court of Appeals District, Place 7",0088,235,162,397,678,58.55%,247,135,382
"Justice, 1st Court of Appeals District, Place 7",0089,343,454,797,1104,72.19%,481,248,729
"Justice, 1st Court of Appeals District, Place 7",0090,1498,958,2456,3571,68.78%,1783,538,2321
"Justice, 1st Court of Appeals District, Place 7",0091,466,333,799,1248,64.02%,488,279,767
"Justice, 1st Court of Appeals District, Place 7",0092,1105,534,1639,2228,73.56%,1128,401,1529
"Justice, 1st Court of Appeals District, Place 7",0093,782,643,1425,3295,43.25%,506,820,1326
"Justice, 1st Court of Appeals District, Place 7",0094,148,104,252,537,46.93%,52,185,237
"Justice, 1st Court of Appeals District, Place 7",0095,1585,571,2356,3179,74.11%,1616,591,2207
"Justice, 1st Court of Appeals District, Place 7",0096,364,237,601,1241,48.43%,58,524,582
"Justice, 1st Court of Appeals District, Place 7",0097,2393,764,3157,4566,69.14%,2283,718,3001
