Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0001,808,516,1324,2155,61.44%,469,758,1227
"Justice, 1st Court of Appeals District, Place 8",0002,754,407,1161,1890,61.43%,564,514,1078
"Justice, 1st Court of Appeals District, Place 8",0003,660,474,1134,1519,74.65%,472,559,1031
"Justice, 1st Court of Appeals District, Place 8",0004,676,534,1210,1652,73.24%,479,647,1126
"Justice, 1st Court of Appeals District, Place 8",0005,472,518,990,1376,71.95%,399,502,901
"Justice, 1st Court of Appeals District, Place 8",0006,1251,929,2180,3616,60.29%,1184,892,2076
"Justice, 1st Court of Appeals District, Place 8",0007,495,124,619,1058,58.51%,14,590,604
"Justice, 1st Court of Appeals District, Place 8",0008,661,430,1091,1706,63.95%,554,469,1023
"Justice, 1st Court of Appeals District, Place 8",0009,473,382,855,1736,49.25%,180,616,796
"Justice, 1st Court of Appeals District, Place 8",0010,499,245,744,1722,43.21%,176,488,664
"Justice, 1st Court of Appeals District, Place 8",0011,418,335,753,1830,41.15%,136,563,699
"Justice, 1st Court of Appeals District, Place 8",0012,227,133,360,716,50.28%,190,157,347
"Justice, 1st Court of Appeals District, Place 8",0013,1140,443,1583,2823,56.08%,1063,428,1491
"Justice, 1st Court of Appeals District, Place 8",0014,761,606,1367,1848,73.97%,751,514,1265
"Justice, 1st Court of Appeals District, Place 8",0015,1144,1016,2160,2806,76.98%,1351,615,1966
"Justice, 1st Court of Appeals District, Place 8",0016,457,175,632,947,66.74%,296,276,572
"Justice, 1st Court of Appeals District, Place 8",0017,347,326,673,1105,60.90%,258,359,617
"Justice, 1st Court of Appeals District, Place 8",0018,550,483,1033,1396,74.00%,520,434,954
"Justice, 1st Court of Appeals District, Place 8",0019,423,261,684,995,68.74%,251,381,632
"Justice, 1st Court of Appeals District, Place 8",0020,679,470,1149,3074,37.38%,339,718,1057
"Justice, 1st Court of Appeals District, Place 8",0021,419,230,649,1013,64.07%,145,467,612
"Justice, 1st Court of Appeals District, Place 8",0022,888,554,1442,2524,57.13%,204,1174,1378
