Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0001,808,516,1324,2155,61.44%,458,773,1231
"Justice, 1st Court of Appeals District, Place 9",0002,754,407,1161,1890,61.43%,555,527,1082
"Justice, 1st Court of Appeals District, Place 9",0003,660,474,1134,1519,74.65%,452,583,1035
"Justice, 1st Court of Appeals District, Place 9",0004,676,534,1210,1652,73.24%,465,662,1127
"Justice, 1st Court of Appeals District, Place 9",0005,472,518,990,1376,71.95%,394,516,910
"Justice, 1st Court of Appeals District, Place 9",0006,1251,929,2180,3616,60.29%,1181,900,2081
"Justice, 1st Court of Appeals District, Place 9",0007,495,124,619,1058,58.51%,14,591,605
"Justice, 1st Court of Appeals District, Place 9",0008,661,430,1091,1706,63.95%,527,495,1022
"Justice, 1st Court of Appeals District, Place 9",0009,473,382,855,1736,49.25%,179,618,797
"Justice, 1st Court of Appeals District, Place 9",0010,499,245,744,1722,43.21%,164,507,671
"Justice, 1st Court of Appeals District, Place 9",0011,418,335,753,1830,41.15%,139,562,701
"Justice, 1st Court of Appeals District, Place 9",0012,227,133,360,716,50.28%,189,158,347
"Justice, 1st Court of Appeals District, Place 9",0013,1140,443,1583,2823,56.08%,1059,440,1499
"Justice, 1st Court of Appeals District, Place 9",0014,761,606,1367,1848,73.97%,721,546,1267
"Justice, 1st Court of Appeals District, Place 9",0015,1144,1016,2160,2806,76.98%,1322,644,1966
"Justice, 1st Court of Appeals District, Place 9",0016,457,175,632,947,66.74%,293,283,576
"Justice, 1st Court of Appeals District, Place 9",0017,347,326,673,1105,60.90%,255,369,624
"Justice, 1st Court of Appeals District, Place 9",0018,550,483,1033,1396,74.00%,506,454,960
"Justice, 1st Court of Appeals District, Place 9",0019,423,261,684,995,68.74%,244,386,630
"Justice, 1st Court of Appeals District, Place 9",0020,679,470,1149,3074,37.38%,323,739,1062
"Justice, 1st Court of Appeals District, Place 9",0021,419,230,649,1013,64.07%,142,470,612
"Justice, 1st Court of Appeals District, Place 9",0022,888,554,1442,2524,57.13%,204,1173,1377
"Justice, 1st Court of Appeals District, Place 9",0023,100,65,165,512,32.23%,35,121,156
"Justice, 1st Court of Appeals District, Place 9",0024,225,121,346,611,56.63%,34,288,322
"Justice, 1st Court of Appeals District, Place 9",0025,244,304,548,1062,51.60%,22,504,526
"Justice, 1st Court of Appeals District, Place 9",0026,463,486,949,1843,51.49%,244,633,877
"Justice, 1st Court of Appeals District, Place 9",0027,821,595,1516,3005,50.45%,348,1053,1401
"Justice, 1st Court of Appeals District, Place 9",0028,1446,465,1911,2782,68.69%,1115,690,1805
"Justice, 1st Court of Appeals District, Place 9",0029,418,577,995,2659,37.42%,322,620,942
"Justice, 1st Court of Appeals District, Place 9",0030,798,588,1386,2034,68.14%,352,954,1306
"Justice, 1st Court of Appeals District, Place 9",0031,913,526,1439,2518,57.15%,24,1375,1399
"Justice, 1st Court of Appeals District, Place 9",0032,796,556,1352,2171,62.28%,646,590,1236
"Justice, 1st Court of Appeals District, Place 9",0033,1479,843,2322,3540,65.59%,935,1186,2121
