Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0001,809,518,1325,2155,81.48%,483,237,213,933
"Justice, Supreme Court, Place 4",0002,759,407,1188,1890,81.89%,575,185,140,900
"Justice, Supreme Court, Place 4",0003,883,474,1137,1519,74.85%,478,211,191,878
"Justice, Supreme Court, Place 4",0004,877,534,1211,1852,73.31%,478,218,218,914
"Justice, Supreme Court, Place 4",0005,475,518,993,1378,72.17%,425,174,171,770
"Justice, Supreme Court, Place 4",0008,1251,929,2180,3818,80.29%,1231,285,141,1837
"Justice, Supreme Court, Place 4",0007,495,124,819,1058,58.51%,27,83,42,132
"Justice, Supreme Court, Place 4",0008,883,430,1093,1708,84.07%,573,150,117,840
"Justice, Supreme Court, Place 4",0009,474,382,858,1738,49.31%,220,175,103,498
"Justice, Supreme Court, Place 4",0010,499,245,744,1722,43.21%,218,117,72,407
"Justice, Supreme Court, Place 4",0011,418,335,753,1830,41.15%,188,124,74,388
"Justice, Supreme Court, Place 4",0012,227,133,380,718,50.28%,200,42,9,251
"Justice, Supreme Court, Place 4",0013,1140,443,1583,2823,58.08%,1058,118,78,1252
"Justice, Supreme Court, Place 4",0014,781,808,1387,1848,73.97%,803,149,178,1130
"Justice, Supreme Court, Place 4",0015,1144,1018,2180,2808,78.98%,1378,217,184,1777
"Justice, Supreme Court, Place 4",0018,459,175,834,947,88.95%,303,117,77,497
"Justice, Supreme Court, Place 4",0017,347,328,873,1105,80.90%,291,109,89,489
"Justice, Supreme Court, Place 4",0018,550,483,1033,1398,74.00%,551,124,144,819
"Justice, Supreme Court, Place 4",0019,424,281,885,995,88.84%,249,170,101,520
"Justice, Supreme Court, Place 4",0020,881,470,1151,3074,37.44%,389,228,184,781
"Justice, Supreme Court, Place 4",0021,420,230,850,1013,84.17%,149,129,92,370
"Justice, Supreme Court, Place 4",0022,890,554,1444,2524,57.21%,281,287,157,885
"Justice, Supreme Court, Place 4",0023,100,85,185,512,32.23%,45,25,14,84
"Justice, Supreme Court, Place 4",0024,225,121,348,811,58.83%,44,53,28,125
"Justice, Supreme Court, Place 4",0025,244,304,548,1082,51.80%,38,82,44,144
"Justice, Supreme Court, Place 4",0028,483,488,949,1843,51.49%,319,149,184,832
"Justice, Supreme Court, Place 4",0027,821,895,1518,3005,50.45%,430,257,248,933
"Justice, Supreme Court, Place 4",0028,1448,485,1911,2782,88.89%,1183,181,88,1432
