Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM Michele Petty,LIB Mark Ash,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 6",0001,809,516,1325,2155,61.48%,419,751,41,38,1249
"Justice, Supreme Court, Place 6",0002,759,407,1166,1890,61.69%,515,515,54,23,1107
"Justice, Supreme Court, Place 6",0003,663,474,1137,1519,74.85%,409,558,67,34,1068
"Justice, Supreme Court, Place 6",0004,577,534,1211,1652,73.31%,437,627,57,31,1152
"Justice, Supreme Court, Place 6",0005,475,518,993,1376,72.17%,367,478,45,33,923
"Justice, Supreme Court, Place 6",0006,1251,929,2180,3616,60.29%,1123,893,53,30,2099
"Justice, Supreme Court, Place 6",0007,495,124,619,1058,58.51%,11,590,5,2,608
"Justice, Supreme Court, Place 6",0008,663,430,1093,1706,64.07%,511,481,33,18,1043
"Justice, Supreme Court, Place 6",0009,474,382,856,1736,49.31%,165,607,19,16,807
"Justice, Supreme Court, Place 6",0010,499,245,744,1722,43.21%,159,496,13,12,680
"Justice, Supreme Court, Place 6",0011,418,335,753,1830,41.15%,122,552,12,11,697
"Justice, Supreme Court, Place 6",0012,227,133,360,716,50.28%,177,164,7,2,350
"Justice, Supreme Court, Place 6",0013,1140,443,1583,2823,56.08%,1010,450,40,16,1516
"Justice, Supreme Court, Place 6",0014,761,606,1367,1848,73.97%,710,530,32,19,1291
"Justice, Supreme Court, Place 6",0015,1144,1016,2160,2806,76.98%,1275,680,40,20,2015
"Justice, Supreme Court, Place 6",0016,459,175,634,947,66.95%,284,276,31,8,599
"Justice, Supreme Court, Place 6",0017,347,326,673,1105,60.90%,241,365,18,14,638
"Justice, Supreme Court, Place 6",0018,550,483,1033,1396,74.00%,475,450,35,12,972
"Justice, Supreme Court, Place 6",0019,424,261,685,995,68.84%,230,363,34,17,644
"Justice, Supreme Court, Place 6",0020,681,470,1151,3074,37.44%,308,705,47,29,1089
"Justice, Supreme Court, Place 6",0021,420,230,650,1013,64.17%,124,459,30,7,620
"Justice, Supreme Court, Place 6",0022,890,554,1444,2524,57.21%,189,1175,15,10,1389
"Justice, Supreme Court, Place 6",0023,100,65,165,512,32.23%,35,121,1,2,159
"Justice, Supreme Court, Place 6",0024,225,121,346,611,56.63%,36,285,5,2,328
"Justice, Supreme Court, Place 6",0025,244,304,548,1062,51.60%,16,496,10,5,527
"Justice, Supreme Court, Place 6",0026,463,486,949,1843,51.49%,229,605,20,38,892
"Justice, Supreme Court, Place 6",0027,821,595,1516,3005,50.45%,319,1026,37,44,1426
"Justice, Supreme Court, Place 6",0028,1446,465,1911,2782,68.69%,1078,691,39,19,1827
"Justice, Supreme Court, Place 6",0029,418,577,995,2659,37.42%,306,613,13,10,942
"Justice, Supreme Court, Place 6",0030,801,588,1389,2034,68.29%,325,940,46,28,1339
"Justice, Supreme Court, Place 6",0031,916,526,1442,2518,57.27%,23,1376,7,5,1411
"Justice, Supreme Court, Place 6",0032,799,556,1355,2171,62.41%,602,574,83,17,1276
"Justice, Supreme Court, Place 6",0033,1486,843,2329,3540,65.79%,866,1161,111,39,2177
"Justice, Supreme Court, Place 6",0034,1017,749,1766,2676,65.99%,440,1100,82,55,1677
"Justice, Supreme Court, Place 6",0035,4,0,4,12,33.33%,1,3,0,0,4
"Justice, Supreme Court, Place 6",0036,993,479,1472,2868,51.32%,355,1005,16,13,1389
"Justice, Supreme Court, Place 6",0037,803,479,1282,1885,68.01%,401,725,57,23,1206
"Justice, Supreme Court, Place 6",0038,1244,673,1917,2703,70.92%,640,1037,80,36,1793
"Justice, Supreme Court, Place 6",0039,1072,723,1795,2726,65.85%,471,1112,66,51,1700
"Justice, Supreme Court, Place 6",0040,239,135,374,524,71.37%,184,139,16,2,341
"Justice, Supreme Court, Place 6",0041,560,284,844,1197,70.51%,340,453,21,8,822
"Justice, Supreme Court, Place 6",0042,505,139,644,1121,57.45%,10,601,4,2,617
"Justice, Supreme Court, Place 6",0043,521,372,893,1644,54.32%,383,400,32,21,836
"Justice, Supreme Court, Place 6",0044,492,314,806,1976,40.79%,139,570,20,19,748
"Justice, Supreme Court, Place 6",0045,2434,1138,3572,6031,59.23%,548,2812,35,43,3438
"Justice, Supreme Court, Place 6",0046,539,433,972,2468,39.38%,144,738,14,25,921
"Justice, Supreme Court, Place 6",0047,536,345,881,1624,54.25%,22,835,4,1,862
"Justice, Supreme Court, Place 6",0048,371,193,564,992,56.85%,43,487,11,2,543
"Justice, Supreme Court, Place 6",0049,1229,669,1898,3144,60.37%,1251,516,43,20,1830
"Justice, Supreme Court, Place 6",0050,1907,1110,3017,4762,63.36%,1473,1350,74,22,2919
"Justice, Supreme Court, Place 6",0051,658,349,1007,1568,64.22%,686,258,19,12,975
"Justice, Supreme Court, Place 6",0052,981,620,1601,2299,69.64%,760,648,75,21,1504
"Justice, Supreme Court, Place 6",0053,1107,884,1991,2808,70.90%,792,934,89,52,1867
"Justice, Supreme Court, Place 6",0054,609,402,1011,1408,71.80%,481,405,54,13,953
"Justice, Supreme Court, Place 6",0055,443,394,837,1305,64.14%,304,416,46,15,781
"Justice, Supreme Court, Place 6",0056,549,307,856,1285,66.61%,518,247,30,11,806
"Justice, Supreme Court, Place 6",0057,1277,956,2233,3062,72.93%,880,1086,94,58,2118
"Justice, Supreme Court, Place 6",0058,882,747,1629,2521,64.62%,647,800,64,31,1542
"Justice, Supreme Court, Place 6",0059,915,751,1666,2283,72.97%,647,808,58,42,1555
"Justice, Supreme Court, Place 6",0060,844,664,1508,2263,66.64%,389,917,60,43,1409
"Justice, Supreme Court, Place 6",0061,437,528,965,2250,42.89%,225,667,12,14,918
"Justice, Supreme Court, Place 6",0062,420,528,948,2190,43.29%,173,664,12,14,863
"Justice, Supreme Court, Place 6",0063,675,400,1075,1784,60.26%,821,175,20,11,1027
"Justice, Supreme Court, Place 6",0064,410,420,830,2090,39.71%,140,612,13,15,780
"Justice, Supreme Court, Place 6",0065,404,532,936,2178,42.98%,160,690,15,18,883
"Justice, Supreme Court, Place 6",0066,172,279,451,1090,41.38%,56,340,9,8,413
"Justice, Supreme Court, Place 6",0067,666,574,1240,2742,45.22%,247,851,20,22,1140
"Justice, Supreme Court, Place 6",0068,1199,486,1685,2782,60.57%,24,1592,4,11,1631
"Justice, Supreme Court, Place 6",0069,218,284,502,1303,38.53%,72,370,6,3,451
"Justice, Supreme Court, Place 6",0070,1640,726,2366,3142,75.30%,1379,755,72,30,2236
"Justice, Supreme Court, Place 6",0071,1430,948,2378,3662,64.94%,1108,999,125,28,2260
"Justice, Supreme Court, Place 6",0072,442,562,1004,1882,53.35%,252,639,24,21,936
"Justice, Supreme Court, Place 6",0073,500,496,996,1494,66.67%,536,355,27,21,939
"Justice, Supreme Court, Place 6",0074,2217,530,2747,3632,75.63%,2027,501,53,21,2602
"Justice, Supreme Court, Place 6",0075,487,370,857,1329,64.48%,328,432,31,17,808
"Justice, Supreme Court, Place 6",0076,814,559,1383,2328,59.41%,706,571,20,16,1313
"Justice, Supreme Court, Place 6",0077,169,81,250,565,44.25%,51,183,3,1,238
"Justice, Supreme Court, Place 6",0078,360,344,704,1479,47.60%,192,424,9,12,637
