Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Stephen J. Szymczak,Totals
"Klein I.S.D. Trustee, Position 4",0082,1353,816,2169,3284,66.05%,1181,1181
"Klein I.S.D. Trustee, Position 4",0109,414,197,611,946,64.59%,270,270
"Klein I.S.D. Trustee, Position 4",0112,1262,668,1930,2894,66.69%,1075,1075
"Klein I.S.D. Trustee, Position 4",0113,1125,590,1715,2537,67.60%,855,855
"Klein I.S.D. Trustee, Position 4",0114,89,104,193,152,126.97%,110,110
"Klein I.S.D. Trustee, Position 4",0245,2336,1115,3451,5230,65.98%,1724,1724
"Klein I.S.D. Trustee, Position 4",0246,1584,624,2208,2999,73.62%,1149,1149
"Klein I.S.D. Trustee, Position 4",0263,1785,719,2504,3319,75.44%,1268,1268
"Klein I.S.D. Trustee, Position 4",0452,1048,604,1652,2661,62.08%,893,893
"Klein I.S.D. Trustee, Position 4",0464,786,612,1398,2126,65.76%,751,751
"Klein I.S.D. Trustee, Position 4",0467,478,229,707,1230,57.48%,292,292
"Klein I.S.D. Trustee, Position 4",0468,957,768,1725,3238,53.27%,717,717
"Klein I.S.D. Trustee, Position 4",0477,1441,742,2183,3195,68.33%,1212,1212
"Klein I.S.D. Trustee, Position 4",0482,1961,835,2796,4128,67.73%,1537,1537
"Klein I.S.D. Trustee, Position 4",0484,24,11,35,37,94.59%,17,17
"Klein I.S.D. Trustee, Position 4",0496,0,11,11,0,0.00%,2,2
"Klein I.S.D. Trustee, Position 4",0500,1336,679,2015,2784,72.38%,1042,1042
"Klein I.S.D. Trustee, Position 4",0511,0,6,6,0,0.00%,2,2
"Klein I.S.D. Trustee, Position 4",0513,684,172,856,1093,78.32%,399,399
"Klein I.S.D. Trustee, Position 4",0514,1966,860,2826,3941,71.71%,1517,1517
"Klein I.S.D. Trustee, Position 4",0515,1592,708,2400,3173,75.64%,1347,1347
"Klein I.S.D. Trustee, Position 4",0516,1896,937,2833,4208,67.32%,1326,1326
"Klein I.S.D. Trustee, Position 4",0551,3088,1527,4615,6135,75.22%,2533,2533
"Klein I.S.D. Trustee, Position 4",0552,1621,844,2465,3241,76.06%,1572,1572
"Klein I.S.D. Trustee, Position 4",0575,27,9,36,79,45.57%,22,22
"Klein I.S.D. Trustee, Position 4",0592,370,288,658,1258,52.31%,247,247
"Klein I.S.D. Trustee, Position 4",0597,258,113,371,728,50.96%,136,136
"Klein I.S.D. Trustee, Position 4",0601,2028,858,2886,3990,72.33%,1555,1555
"Klein I.S.D. Trustee, Position 4",0614,431,131,562,868,64.75%,273,273
"Klein I.S.D. Trustee, Position 4",0623,1708,626,2334,3481,67.05%,1077,1077
"Klein I.S.D. Trustee, Position 4",0624,9,0,9,16,56.25%,2,2
"Klein I.S.D. Trustee, Position 4",0628,0,6,6,1,600.00%,3,3
"Klein I.S.D. Trustee, Position 4",0631,1489,392,1881,2733,68.83%,1026,1026
"Klein I.S.D. Trustee, Position 4",0633,1782,578,2460,3257,75.53%,1314,1314
"Klein I.S.D. Trustee, Position 4",0648,1590,668,2258,3197,70.63%,1216,1216
"Klein I.S.D. Trustee, Position 4",0668,927,555,1582,2458,64.36%,798,798
"Klein I.S.D. Trustee, Position 4",0672,2301,1078,3379,4710,71.74%,1778,1778
"Klein I.S.D. Trustee, Position 4",0690,1965,1116,3081,4184,73.64%,1612,1612
"Klein I.S.D. Trustee, Position 4",0723,607,278,885,1495,59.20%,347,347
"Klein I.S.D. Trustee, Position 4",0735,9,0,9,23,39.13%,6,6
"Klein I.S.D. Trustee, Position 4",0783,103,43,146,265,55.09%,76,76
"Klein I.S.D. Trustee, Position 4",0841,0,2,2,0,0.00%,0,0
"Klein I.S.D. Trustee, Position 4",0851,2001,729,2730,3927,69.52%,1391,1391
"Klein I.S.D. Trustee, Position 4",0853,1412,605,2017,2773,72.74%,1139,1139
"Klein I.S.D. Trustee, Position 4",0855,4,13,17,18,94.44%,6,6
"Klein I.S.D. Trustee, Position 4",0859,309,201,510,860,59.30%,264,264
"Klein I.S.D. Trustee, Position 4",0861,684,314,998,1695,58.88%,355,355
"Klein I.S.D. Trustee, Position 4",0868,573,586,1159,2292,50.57%,495,495
"Klein I.S.D. Trustee, Position 4",0870,0,0,0,0,0.00%,0,0
"Klein I.S.D. Trustee, Position 4",0873,253,125,378,701,53.92%,159,159
"Klein I.S.D. Trustee, Position 4",0874,1534,748,2282,3107,73.45%,1264,1264
"Klein I.S.D. Trustee, Position 4",0876,1629,639,2268,3013,75.27%,1242,1242
"Klein I.S.D. Trustee, Position 4",0880,1068,472,1540,2007,76.73%,805,805
"Klein I.S.D. Trustee, Position 4",0884,118,37,155,330,46.97%,43,43
"Klein I.S.D. Trustee, Position 4",0916,504,182,786,1045,75.22%,374,374
"Klein I.S.D. Trustee, Position 4",0977,104,83,187,535,34.95%,75,75
"Klein I.S.D. Trustee, Position 4",0998,15,9,24,35,68.57%,15,15
"Klein I.S.D. Trustee, Position 4",0999,30,16,46,65,70.77%,29,29
"Klein I.S.D. Trustee, Position 4",1025,4,0,4,18,22.22%,1,1
"Klein I.S.D. Trustee, Position 4",1026,0,0,0,0,0.00%,0,0
"Klein I.S.D. Trustee, Position 4",1030,397,105,502,655,76.64%,292,292
"Klein I.S.D. Trustee, Position 4",Totals:,55269,26183,81452,118370,,42228,42228
