Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Ronnie Anderson,Totals
"Klein I.S.D. Trustee, Position 5",0082,1353,816,2169,3284,66.05%,1174,1174
"Klein I.S.D. Trustee, Position 5",0109,414,197,611,946,64.59%,290,290
"Klein I.S.D. Trustee, Position 5",0112,1262,668,1930,2894,66.69%,1076,1076
"Klein I.S.D. Trustee, Position 5",0113,1125,590,1715,2537,67.60%,844,844
"Klein I.S.D. Trustee, Position 5",0114,89,104,193,152,126.97%,105,105
"Klein I.S.D. Trustee, Position 5",0245,2336,1115,3451,5230,65.98%,1744,1744
"Klein I.S.D. Trustee, Position 5",0246,1584,624,2208,2999,73.62%,1121,1121
"Klein I.S.D. Trustee, Position 5",0263,1785,719,2504,3319,75.44%,1257,1257
"Klein I.S.D. Trustee, Position 5",0452,1048,604,1652,2661,62.08%,864,864
"Klein I.S.D. Trustee, Position 5",0464,786,612,1398,2126,65.76%,747,747
"Klein I.S.D. Trustee, Position 5",0467,478,229,707,1230,57.48%,296,296
"Klein I.S.D. Trustee, Position 5",0468,957,768,1725,3238,53.27%,715,715
"Klein I.S.D. Trustee, Position 5",0477,1441,742,2183,3195,68.33%,1197,1197
"Klein I.S.D. Trustee, Position 5",0482,1961,835,2796,4128,67.73%,1512,1512
"Klein I.S.D. Trustee, Position 5",0484,24,11,35,37,94.59%,17,17
"Klein I.S.D. Trustee, Position 5",0496,0,11,11,0,0.00%,3,3
"Klein I.S.D. Trustee, Position 5",0500,1336,679,2015,2784,72.38%,1033,1033
"Klein I.S.D. Trustee, Position 5",0511,0,6,6,0,0.00%,2,2
"Klein I.S.D. Trustee, Position 5",0513,684,172,856,1093,78.32%,400,400
"Klein I.S.D. Trustee, Position 5",0514,1966,860,2826,3941,71.71%,1512,1512
"Klein I.S.D. Trustee, Position 5",0515,1592,708,2400,3173,75.64%,1395,1395
"Klein I.S.D. Trustee, Position 5",0516,1896,937,2833,4208,67.32%,1322,1322
"Klein I.S.D. Trustee, Position 5",0551,3088,1527,4615,6135,75.22%,2547,2547
"Klein I.S.D. Trustee, Position 5",0552,1621,844,2465,3241,76.06%,1492,1492
"Klein I.S.D. Trustee, Position 5",0575,27,9,36,79,45.57%,22,22
"Klein I.S.D. Trustee, Position 5",0592,370,288,658,1258,52.31%,258,258
"Klein I.S.D. Trustee, Position 5",0597,258,113,371,728,50.96%,146,146
"Klein I.S.D. Trustee, Position 5",0601,2028,858,2886,3990,72.33%,1570,1570
"Klein I.S.D. Trustee, Position 5",0614,431,131,562,868,64.75%,286,286
"Klein I.S.D. Trustee, Position 5",0623,1708,626,2334,3481,67.05%,1084,1084
"Klein I.S.D. Trustee, Position 5",0624,9,0,9,16,56.25%,4,4
"Klein I.S.D. Trustee, Position 5",0628,0,6,6,1,600.00%,4,4
"Klein I.S.D. Trustee, Position 5",0631,1489,392,1881,2733,68.83%,1031,1031
"Klein I.S.D. Trustee, Position 5",0633,1782,578,2460,3257,75.53%,1301,1301
"Klein I.S.D. Trustee, Position 5",0648,1590,668,2258,3197,70.63%,1218,1218
"Klein I.S.D. Trustee, Position 5",0668,927,555,1582,2458,64.36%,799,799
"Klein I.S.D. Trustee, Position 5",0672,2301,1078,3379,4710,71.74%,1769,1769
"Klein I.S.D. Trustee, Position 5",0690,1965,1116,3081,4184,73.64%,1585,1585
"Klein I.S.D. Trustee, Position 5",0723,607,278,885,1495,59.20%,382,382
"Klein I.S.D. Trustee, Position 5",0735,9,0,9,23,39.13%,6,6
"Klein I.S.D. Trustee, Position 5",0783,103,43,146,265,55.09%,76,76
"Klein I.S.D. Trustee, Position 5",0841,0,2,2,0,0.00%,0,0
"Klein I.S.D. Trustee, Position 5",0851,2001,729,2730,3927,69.52%,1401,1401
"Klein I.S.D. Trustee, Position 5",0853,1412,605,2017,2773,72.74%,1142,1142
"Klein I.S.D. Trustee, Position 5",0855,4,13,17,18,94.44%,5,5
"Klein I.S.D. Trustee, Position 5",0859,309,201,510,860,59.30%,264,264
"Klein I.S.D. Trustee, Position 5",0861,684,314,998,1695,58.88%,389,389
"Klein I.S.D. Trustee, Position 5",0868,573,586,1159,2292,50.57%,500,500
"Klein I.S.D. Trustee, Position 5",0870,0,0,0,0,0.00%,0,0
"Klein I.S.D. Trustee, Position 5",0873,253,125,378,701,53.92%,160,160
"Klein I.S.D. Trustee, Position 5",0874,1534,748,2282,3107,73.45%,1246,1246
"Klein I.S.D. Trustee, Position 5",0876,1629,639,2268,3013,75.27%,1229,1229
"Klein I.S.D. Trustee, Position 5",0880,1068,472,1540,2007,76.73%,808,808
"Klein I.S.D. Trustee, Position 5",0884,118,37,155,330,46.97%,47,47
"Klein I.S.D. Trustee, Position 5",0916,504,182,786,1045,75.22%,370,370
"Klein I.S.D. Trustee, Position 5",0977,104,83,187,535,34.95%,69,69
"Klein I.S.D. Trustee, Position 5",0998,15,9,24,35,68.57%,16,16
"Klein I.S.D. Trustee, Position 5",0999,30,16,46,65,70.77%,28,28
"Klein I.S.D. Trustee, Position 5",1025,4,0,4,18,22.22%,1,1
"Klein I.S.D. Trustee, Position 5",1026,0,0,0,0,0.00%,0,0
"Klein I.S.D. Trustee, Position 5",1030,397,105,502,655,76.64%,277,277
"Klein I.S.D. Trustee, Position 5",Totals:,55269,26183,81452,118370,,42158,42158
