Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,William F. (Bill) Pilkington,Jim Smith,Totals
"Klein |.S.D. Trustee, Position 3",0082,1353,816,2169,3284,66.05%,702,572,1274
"Klein |.S.D. Trustee, Position 3",0109,414,197,611,946,64.59%,136,189,325
"Klein |.S.D. Trustee, Position 3",0112,1262,668,1930,2894,66.69%,637,510,1147
"Klein |.S.D. Trustee, Position 3",0113,1125,590,1715,2537,67.60%,507,437,944
"Klein |.S.D. Trustee, Position 3",0114,89,104,193,152,126.97%,62,43,105
"Klein |.S.D. Trustee, Position 3",0245,2336,1115,3451,5230,65.98%,1148,719,1867
"Klein |.S.D. Trustee, Position 3",0246,1584,624,2208,2999,73.62%,748,489,1237
"Klein |.S.D. Trustee, Position 3",0263,1785,719,2504,3319,75.44%,885,514,1399
"Klein |.S.D. Trustee, Position 3",0452,1048,604,1652,2661,62.08%,568,363,931
"Klein |.S.D. Trustee, Position 3",0464,786,612,1398,2126,65.76%,481,323,804
"Klein |.S.D. Trustee, Position 3",0467,478,229,707,1230,57.48%,170,173,343
"Klein |.S.D. Trustee, Position 3",0468,957,768,1725,3238,53.27%,430,416,846
"Klein |.S.D. Trustee, Position 3",0477,1441,742,2183,3195,68.33%,746,541,1287
"Klein |.S.D. Trustee, Position 3",0482,1961,835,2796,4128,67.73%,937,696,1633
"Klein |.S.D. Trustee, Position 3",0484,24,11,35,37,94.59%,11,6,17
"Klein |.S.D. Trustee, Position 3",0496,0,11,11,0,0.00%,2,1,3
"Klein |.S.D. Trustee, Position 3",0500,1336,679,2015,2784,72.38%,633,482,1115
"Klein |.S.D. Trustee, Position 3",0511,0,6,6,0,0.00%,2,2,4
"Klein |.S.D. Trustee, Position 3",0513,684,172,856,1093,78.32%,336,162,498
"Klein |.S.D. Trustee, Position 3",0514,1966,860,2826,3941,71.71%,929,654,1583
"Klein |.S.D. Trustee, Position 3",0515,1592,708,2400,3173,75.64%,835,609,1444
"Klein |.S.D. Trustee, Position 3",0516,1896,937,2833,4208,67.32%,760,717,1477
"Klein |.S.D. Trustee, Position 3",0551,3088,1527,4615,6135,75.22%,1611,1089,2700
"Klein |.S.D. Trustee, Position 3",0552,1621,844,2465,3241,76.06%,1101,489,1590
